,Date,Open,High,Low,Close,Volume,Change
0,2002-02-07,2653,2653,2653,2653,590530,NaN
1,2002-02-08,2652,2968,2540,2968,698590,11.87
2,2002-02-14,3320,3320,3320,3320,4650,11.86
3,2002-02-15,3718,3718,2922,2922,1855350,-11.99
4,2002-02-18,2843,2892,2585,2744,357900,-6.09
5,2002-02-19,2719,2770,2417,2417,518620,-11.92
6,2002-02-20,2279,2520,2250,2520,716860,4.26
7,2002-02-21,2520,2557,2380,2413,269070,-4.25
8,2002-02-22,2346,2433,2346,2380,249610,-1.37
9,2002-02-25,2461,2660,2445,2478,506230,4.12
10,2002-02-26,2545,2582,2420,2462,281950,-0.65
11,2002-02-27,2445,2504,2337,2346,222200,-4.71
12,2002-02-28,2337,2404,2296,2396,201490,2.13
13,2002-03-04,2487,2607,2417,2417,453980,0.88
14,2002-03-05,2487,2536,2404,2470,263880,2.19
15,2002-03-06,2488,2488,2421,2446,147200,-0.97
16,2002-03-07,2453,2719,2453,2504,615380,2.37
17,2002-03-08,2552,2760,2520,2636,398340,5.27
18,2002-03-11,2693,2951,2685,2860,1030820,8.5
19,2002-03-12,2888,2925,2681,2711,282950,-5.21
20,2002-03-13,2735,2756,2569,2582,211260,-4.76
21,2002-03-14,2557,2653,2557,2653,109340,2.75
22,2002-03-15,2660,2707,2581,2586,148720,-2.53
23,2002-03-18,2653,2653,2557,2608,121160,0.85
24,2002-03-19,2586,2711,2569,2661,231100,2.03
25,2002-03-20,2693,2772,2586,2620,282250,-1.54
26,2002-03-21,2620,2653,2529,2604,141910,-0.61
27,2002-03-22,2574,2612,2545,2566,132020,-1.46
28,2002-03-25,2569,2569,2466,2466,179800,-3.9
29,2002-03-26,2370,2483,2370,2429,122240,-1.5
30,2002-03-27,2396,2478,2396,2454,119200,1.03
31,2002-03-28,2453,2569,2437,2496,224740,1.71
32,2002-03-29,2693,2693,2544,2549,315330,2.12
33,2002-04-01,2569,2620,2487,2504,204890,-1.77
34,2002-04-02,2504,2520,2413,2450,134500,-2.16
35,2002-04-03,2487,2520,2445,2504,99150,2.2
36,2002-04-04,2503,2557,2449,2474,79690,-1.2
37,2002-04-08,2488,2529,2412,2429,138790,-1.82
38,2002-04-09,2421,2470,2408,2458,140570,1.19
39,2002-04-10,2487,2636,2453,2478,449880,0.81
40,2002-04-11,2536,2773,2528,2773,855530,11.9
41,2002-04-12,2856,2877,2612,2641,554580,-4.76
42,2002-04-15,2693,2955,2569,2852,1001850,7.99
