,Date,Open,High,Low,Close,Volume,Change
0,2000-08-03,100393,100393,100393,100393,93925,NaN
1,2000-08-04,95645,112264,93610,112264,961292,11.82
2,2000-08-07,115317,125492,113960,125491,211201,11.78
3,2000-08-08,140075,140414,110567,110568,1997807,-11.89
4,2000-08-09,113280,122099,102089,110568,915469,0.0
5,2000-08-10,113281,114978,103106,104802,468123,-5.21
6,2000-08-11,99036,110568,94628,98019,536225,-6.47
7,2000-08-14,98020,100394,86488,86487,441802,-11.77
8,2000-08-16,84114,89879,78008,82756,546986,-4.31
9,2000-08-17,83434,87843,78686,82078,429367,-0.82
10,2000-08-18,82078,84452,72582,75295,281146,-8.26
11,2000-08-21,75294,76651,66475,66476,322116,-11.71
12,2000-08-22,67154,74276,66475,74277,329793,11.74
13,2000-08-23,76651,80720,69868,70885,737225,-4.57
14,2000-08-24,69869,72582,62475,62475,278595,-11.86
15,2000-08-25,62881,62881,57116,62407,270759,-0.11
16,2000-08-28,63085,66274,61118,65595,253182,5.11
17,2000-08-29,63153,73261,63153,73260,551520,11.69
18,2000-08-30,75973,81738,73598,81739,1079030,11.57
19,2000-08-31,86148,91236,82757,86148,1107794,5.39
20,2000-09-01,83435,92253,82757,89879,754418,4.33
21,2000-09-04,88183,95645,79365,79365,1170846,-11.7
22,2000-09-05,76652,80721,71225,73260,600622,-7.69
23,2000-09-06,72243,79705,72243,76312,567308,4.17
24,2000-09-07,76313,80721,71225,72921,556423,-4.44
25,2000-09-08,71903,77330,71564,76312,283798,4.65
26,2000-09-14,75973,75973,73260,74277,110968,-2.67
27,2000-09-15,73260,77329,71224,74277,275559,0.0
28,2000-09-18,73938,73938,65460,65798,154287,-11.42
29,2000-09-19,64441,67832,61863,67833,145524,3.09
30,2000-09-20,69189,72920,66543,67833,250321,0.0
31,2000-09-21,67493,69868,62812,63763,105179,-6.0
32,2000-09-22,57658,65119,56165,56165,111714,-11.92
33,2000-09-25,49450,57658,49450,56301,160763,0.24
34,2000-09-26,52978,63017,52978,61660,182432,9.52
35,2000-09-27,61661,65460,59761,61050,321775,-0.99
36,2000-09-28,63085,63696,59761,61389,158966,0.56
37,2000-09-29,61728,64984,60371,62745,209683,2.21
38,2000-10-02,62678,63898,60506,63288,85298,0.87
39,2000-10-04,61728,70546,60778,70207,327723,10.93
40,2000-10-05,69868,76990,67832,73938,489955,5.31
41,2000-10-06,75973,75973,69868,71225,240820,-3.67
42,2000-10-09,73938,74617,67833,71903,341298,0.95
43,2000-10-10,70885,79704,69529,78347,571785,8.96
44,2000-10-11,75974,76652,69190,69190,245711,-11.69
45,2000-10-12,65120,67833,62881,65323,229664,-5.59
46,2000-10-13,61050,65120,57523,65120,149203,-0.31
47,2000-10-16,67154,71224,65459,66476,331276,2.08
48,2000-10-17,61050,65324,58541,58540,204512,-11.94
49,2000-10-18,53656,58337,52299,55284,157698,-5.56
50,2000-10-19,55353,61050,54267,57997,123798,4.91
51,2000-10-20,58336,60710,58336,60168,112964,3.74
52,2000-10-23,58540,60371,58540,59150,91110,-1.69
53,2000-10-24,59015,63084,58540,60711,106981,2.64
54,2000-10-25,59693,64578,59150,61796,81558,1.79
55,2000-10-26,60711,61729,59693,61457,50200,-0.55
56,2000-10-27,61389,66475,61389,63152,136564,2.76
57,2000-10-30,63355,64712,57726,59421,83493,-5.91
58,2000-10-31,56979,60371,52570,60303,56376,1.48
59,2000-11-01,58336,63627,58336,63288,100818,4.95
60,2000-11-02,63287,70546,62406,70546,355382,11.47
61,2000-11-03,71563,74276,67222,67833,520991,-3.85
62,2000-11-06,67832,72920,67832,71564,225212,5.5
63,2000-11-07,72581,78007,70206,73938,287272,3.32
64,2000-11-08,72581,75633,70206,73598,205852,-0.46
65,2000-11-09,72242,80043,71903,77669,359667,5.53
66,2000-11-10,79025,84113,72581,73938,431924,-4.8
67,2000-11-13,73261,73261,68173,68511,157381,-7.34
68,2000-11-14,67832,74955,67832,73598,261190,7.43
69,2000-11-15,74616,82417,72920,81399,635237,10.6
70,2000-11-16,80043,85130,77329,80721,294046,-0.83
71,2000-11-17,80721,85470,78687,82756,369299,2.52
72,2000-11-20,84451,89200,82756,84452,795609,2.05
73,2000-11-21,84114,84114,74617,76312,393316,-9.64
74,2000-11-22,74617,78008,71903,75973,322391,-0.44
75,2000-11-23,73598,73598,67154,67222,228191,-11.52
76,2000-11-24,63966,67832,61049,67833,270697,0.91
77,2000-11-27,67833,70886,67833,69869,183566,3.0
78,2000-11-28,65323,67832,63084,64102,189406,-8.25
79,2000-11-29,61728,62406,56979,59964,204214,-6.46
80,2000-11-30,57659,62272,57523,61050,76491,1.81
81,2000-12-01,56979,64305,56979,62881,173596,3.0
82,2000-12-04,61117,65119,61117,63084,72106,0.32
83,2000-12-05,65119,68172,62745,67358,101007,6.78
84,2000-12-06,67357,71563,67357,67833,126346,0.71
85,2000-12-07,67154,68850,66137,67833,37915,0.0
86,2000-12-08,67832,71903,67832,71225,132086,5.0
87,2000-12-11,71225,73261,71225,73260,77873,2.86
88,2000-12-12,73261,73938,69190,72242,102063,-1.39
89,2000-12-13,70546,76991,70546,76652,132585,6.1
90,2000-12-14,75974,82757,73599,80043,123746,4.42
91,2000-12-15,80043,80382,70546,70546,153615,-11.86
92,2000-12-18,65120,67494,62407,62407,217552,-11.54
93,2000-12-19,58405,64306,54946,54945,455333,-11.96
94,2000-12-20,48908,50875,48366,48365,112796,-11.98
95,2000-12-21,42599,42599,42599,42599,30966,-11.92
96,2000-12-22,37513,40565,37513,37512,680313,-11.94
97,2000-12-26,36088,37309,33035,33917,250103,-9.58
98,2001-01-02,33102,37986,33102,37986,183054,12.0
99,2001-01-03,37986,42531,36630,41378,383809,8.93
100,2001-01-04,46126,46329,43413,45651,277669,10.33
101,2001-01-05,46736,46736,40225,42056,247476,-7.87
102,2001-01-08,40700,43413,39343,42395,175781,0.81
103,2001-01-09,42803,47484,42260,47483,425290,12.0
104,2001-01-10,48094,51689,41784,41785,680145,-12.0
105,2001-01-11,42396,44432,39479,43278,293264,3.57
106,2001-01-12,43482,46466,43414,44227,431460,2.19
107,2001-01-15,46126,49517,46126,49518,444482,11.96
108,2001-01-16,50196,50196,46126,48975,263973,-1.1
109,2001-01-17,49315,53453,46805,51893,393537,5.96
110,2001-01-18,51485,55894,51485,52910,314437,1.96
111,2001-01-19,54945,56640,52909,53588,124901,1.28
112,2001-01-22,54335,56098,52978,54267,238980,1.27
113,2001-01-26,53589,54946,51215,51553,164027,-5.0
114,2001-01-29,51214,55554,51214,53520,208372,3.82
115,2001-01-30,53927,58268,52977,55555,403031,3.8
116,2001-01-31,56980,56980,52096,55013,167803,-0.98
117,2001-02-01,55622,58133,53927,55690,281235,1.23
118,2001-02-02,55284,57590,55284,55690,134224,0.0
119,2001-02-05,55962,56234,53385,54199,178551,-2.68
120,2001-02-06,52910,55353,52910,54267,102524,0.13
121,2001-02-07,56436,59692,55012,55962,304411,3.12
122,2001-02-08,55962,59084,55962,58472,205507,4.49
123,2001-02-09,59083,59083,56640,56640,123987,-3.13
124,2001-02-12,57659,61729,56777,58947,212246,4.07
125,2001-02-13,59353,63627,55622,56980,892196,-3.34
126,2001-02-14,56301,57522,55554,56369,188767,-1.07
127,2001-02-15,57115,58675,55622,56301,310035,-0.12
128,2001-02-16,56234,57252,53996,54606,227976,-3.01
129,2001-02-19,54606,57184,53249,54606,293758,0.0
130,2001-02-20,56302,57319,54742,55488,268829,1.62
131,2001-02-21,54605,54605,51892,52638,155983,-5.14
132,2001-02-22,51893,51893,46330,47144,217321,-10.44
133,2001-02-23,44905,48840,44905,47755,70091,1.3
134,2001-02-26,47483,49721,47483,49179,101852,2.98
135,2001-02-27,48027,50197,46737,47076,107480,-4.28
136,2001-02-28,47077,48772,45516,48365,81342,2.74
137,2001-03-02,47890,47890,46126,46126,61614,-4.63
138,2001-03-05,44771,46602,43346,46601,116144,1.03
139,2001-03-06,46059,49111,45516,47958,56724,2.91
140,2001-03-07,48094,50128,48094,49179,103202,2.55
141,2001-03-08,49517,53452,49517,52027,98903,5.79
142,2001-03-09,51485,52231,49382,52027,84128,0.0
143,2001-03-12,51486,51893,49925,51214,66175,-1.56
144,2001-03-13,48704,48840,47823,48162,85876,-5.96
145,2001-03-14,48907,50807,48907,49382,63401,2.53
146,2001-03-15,48230,51486,46805,50536,46352,2.34
147,2001-03-16,50874,54945,50196,53588,115629,6.04
148,2001-03-19,54267,55895,53249,53792,151144,0.38
149,2001-03-20,54266,55148,52570,53520,74771,-0.51
150,2001-03-21,53249,55962,52299,54267,180994,1.4
151,2001-03-22,54946,58201,54267,55352,310167,2.0
152,2001-03-23,55690,58065,55080,56980,193156,2.94
153,2001-03-26,56979,59015,55284,57319,141717,0.59
154,2001-03-27,56979,57997,55554,57251,97180,-0.12
155,2001-03-28,58879,58879,56301,56301,91714,-1.66
156,2001-03-29,55623,57591,55623,57590,124679,2.29
157,2001-03-30,58066,61050,56980,61050,199576,6.01
158,2001-04-02,59829,64103,59829,61389,294226,0.56
159,2001-04-03,60711,61254,59083,61050,170499,-0.55
