,Date,Open,High,Low,Close,Volume,Change
0,2001-04-10,44800,44800,44800,44800,44449,12.0
1,2001-04-11,49000,50100,47100,50100,126619,11.83
2,2001-04-12,56100,56100,56100,56100,4581,11.98
3,2001-04-13,62800,62800,62800,62800,6008,11.94
4,2001-04-16,65800,67900,56000,62300,359842,-0.8
5,2001-04-17,62000,63500,59200,62200,145492,-0.16
6,2001-04-18,64000,69600,63500,69600,200104,11.9
7,2001-04-19,61300,67900,61300,61300,400423,-11.93
8,2001-04-20,59400,60600,55100,55900,180570,-8.81
9,2001-04-23,57000,59200,56200,57000,129632,1.97
10,2001-04-24,54500,55500,52800,53300,95054,-6.49
11,2001-04-25,51200,56000,51200,52300,95433,-1.88
12,2001-04-26,53900,58500,52600,54800,167411,4.78
13,2001-04-27,55100,56100,53900,56100,73095,2.37
14,2001-04-30,57200,58300,55300,56000,110748,-0.18
15,2001-05-02,56000,57300,55200,56000,80394,0.0
16,2001-05-03,56900,61000,56000,56000,138738,0.0
17,2001-05-04,56400,57400,54200,55100,67670,-1.61
18,2001-05-07,55100,56600,54900,55100,45171,0.0
19,2001-05-08,55100,56800,54500,55300,49834,0.36
20,2001-05-09,56000,61400,53200,58800,157560,6.33
21,2001-05-10,59000,59800,56500,56500,80806,-3.91
22,2001-05-11,56500,56500,54800,55600,50684,-1.59
23,2001-05-14,54700,57500,54700,55600,50287,0.0
24,2001-05-15,55100,57300,55100,55600,48263,0.0
25,2001-05-16,56500,56600,55200,56000,37339,0.72
26,2001-05-17,56000,59300,55700,58500,94927,4.46
27,2001-05-18,59100,65500,58100,65500,257950,11.97
28,2001-05-21,66500,71000,65000,66600,198478,1.68
29,2001-05-22,67500,68500,63100,64300,63716,-3.45
30,2001-05-23,63600,67500,63500,64600,67943,0.47
31,2001-05-24,63500,64500,60800,61700,47437,-4.49
32,2001-05-25,60700,62200,59900,61300,49860,-0.65
33,2001-05-28,62900,63500,60700,61500,35281,0.33
34,2001-05-29,60000,61400,59700,59700,34747,-2.93
35,2001-05-30,59900,60900,57200,58100,46142,-2.68
36,2001-05-31,57000,57500,56000,56800,23997,-2.24
37,2001-06-01,55500,59200,55500,57000,59133,0.35
38,2001-06-04,57200,58200,56100,56100,22458,-1.58
39,2001-06-05,55500,56700,52400,52600,51146,-6.24
40,2001-06-07,52600,53000,50100,50700,27780,-3.61
41,2001-06-08,51000,52600,50700,52000,32914,2.56
42,2001-06-11,51000,52500,51000,51600,17711,-0.77
43,2001-06-12,51000,54200,50800,53400,37446,3.49
44,2001-06-13,53000,54400,52400,53600,17467,0.37
45,2001-06-14,54000,54300,52900,53400,17894,-0.37
46,2001-06-15,53800,53900,52700,53200,15269,-0.37
47,2001-06-18,53200,54300,52400,53900,33090,1.32
48,2001-06-19,53900,56300,52800,55000,64781,2.04
49,2001-06-20,55500,56000,51700,52000,30128,-5.45
50,2001-06-21,52000,52800,50100,50500,30591,-2.88
51,2001-06-22,50500,51300,48500,49000,23272,-2.97
52,2001-06-25,47050,49400,47050,47750,16793,-2.55
53,2001-06-26,48000,48100,44000,44000,21578,-7.85
54,2001-06-27,44000,45000,43500,44100,13044,0.23
55,2001-06-28,43200,45000,43200,44300,8860,0.45
56,2001-06-29,45500,45600,44400,45000,9988,1.58
57,2001-07-02,45200,46100,44100,45600,14860,1.33
58,2001-07-03,45800,48000,44900,46600,33638,2.19
59,2001-07-04,47000,47000,45650,46000,10293,-1.29
60,2001-07-05,46000,46000,44700,44700,10948,-2.83
61,2001-07-06,44200,44200,41900,42400,18548,-5.15
62,2001-07-09,40600,41950,37350,37350,21148,-11.91
63,2001-07-10,37500,37900,36550,36800,14286,-1.47
64,2001-07-11,32400,35500,32400,33500,19963,-8.97
65,2001-07-12,34200,37000,34100,36000,24231,7.46
66,2001-07-13,37000,37000,33200,33950,16132,-5.69
67,2001-07-16,34000,35000,33300,34000,12013,0.15
68,2001-07-18,34350,34350,32100,32350,9885,-4.85
69,2001-07-19,31000,32350,30750,31700,14567,-2.01
70,2001-07-20,30800,33300,30800,32200,11830,1.58
71,2001-07-23,31400,32800,31100,31600,13239,-1.86
72,2001-07-24,31900,35350,31600,35350,25656,11.87
73,2001-07-25,36700,37700,35400,36750,63569,3.96
74,2001-07-26,37000,41150,36750,38200,52240,3.95
75,2001-07-27,38950,40500,37200,38000,22963,-0.52
76,2001-07-30,38000,40700,38000,40000,20446,5.26
77,2001-07-31,40200,44700,40200,42900,30165,7.25
78,2001-08-01,43500,45000,41500,43300,22929,0.93
79,2001-08-02,42700,43800,40600,40750,18345,-5.89
