,Date,Open,High,Low,Close,Volume,Change
0,2002-08-08,163580,163580,163580,163581,1113828,NaN
1,2002-08-09,166096,178632,152931,156060,12373472,-4.6
2,2002-08-12,162950,162950,151670,152299,3066106,-2.41
3,2002-08-13,153562,157317,147922,149166,7598946,-2.06
4,2002-08-14,147284,151668,147284,147285,4719858,-1.26
5,2002-08-16,148544,149172,146031,146031,3774828,-0.85
6,2002-08-19,146660,147916,145404,145405,5467778,-0.43
7,2002-08-20,146031,146659,145403,146031,2450788,0.43
8,2002-08-21,145404,147288,145404,145405,5114952,-0.43
9,2002-08-22,145404,146660,145404,145405,1746708,0.0
10,2002-08-23,146031,147287,145403,146031,2018670,0.43
11,2002-08-26,146660,147916,145404,145405,2919506,-0.43
12,2002-08-27,146031,146659,145403,146031,1159362,0.43
13,2002-08-28,145404,146660,145404,145405,1450692,-0.43
14,2002-08-29,145404,146032,145404,145405,914676,0.0
15,2002-08-30,145403,155439,145403,146031,13330288,0.43
16,2002-09-02,146660,147916,145404,145405,2168592,-0.43
17,2002-09-03,146032,149802,145404,145405,4736392,0.0
18,2002-09-04,145411,148552,145411,148538,3297488,2.15
19,2002-09-05,147288,148545,145404,145405,2507096,-2.11
20,2002-09-06,146032,150430,145404,145405,14186546,0.0
21,2002-09-09,128482,128482,128482,128483,223092,-11.64
22,2002-09-10,113453,113453,113453,113441,485032,-11.71
23,2002-09-11,107804,114072,105933,105920,9400518,-6.63
24,2002-09-12,108432,118470,107189,117828,6753406,11.24
25,2002-09-13,115954,122223,110943,112814,2489106,-4.26
26,2002-09-16,112823,122217,112194,120962,6505892,7.22
27,2002-09-17,120968,122225,115957,117828,6198004,-2.59
28,2002-09-18,115956,120339,112201,112187,1775252,-4.79
29,2002-09-19,111574,115329,110317,111561,1197638,-0.56
30,2002-09-23,107179,109678,102782,104040,1510272,-6.74
31,2002-09-24,101531,113453,101531,107800,2768558,3.61
32,2002-09-25,104038,109050,95886,104040,2059666,-3.49
33,2002-09-26,105295,108422,102154,104040,1368228,0.0
34,2002-09-27,102789,112827,100291,112814,1279142,8.43
35,2002-09-30,103414,114693,103414,114695,1930672,1.67
36,2002-10-01,109687,114700,109687,112187,934322,-2.19
37,2002-10-02,114068,114068,107799,107800,656978,-3.91
38,2002-10-04,107799,111568,106557,107800,751506,0.0
39,2002-10-07,105928,108426,103414,108427,419144,0.58
40,2002-10-08,105308,107806,104680,104666,445582,-3.47
41,2002-10-09,105298,105927,102785,102786,422396,-1.8
42,2002-10-10,100287,100915,95890,96519,706852,-6.1
43,2002-10-11,97781,100294,97153,99653,399964,3.25
44,2002-10-14,99667,102166,99039,99026,833364,-0.63
45,2002-10-15,99667,105308,99667,104666,1167494,5.7
46,2002-10-16,105295,106551,102782,104040,668802,-0.6
47,2002-10-17,102791,109688,101535,105920,1614264,1.81
48,2002-10-18,107803,113457,107189,112187,1362718,5.92
49,2002-10-21,112819,115318,109050,110308,632548,-1.67
50,2002-10-22,112830,114701,108433,111561,2786426,1.14
51,2002-10-23,109061,114701,109061,111561,1031786,0.0
52,2002-10-24,111573,117841,111573,117828,2332150,5.62
53,2002-10-25,117213,119726,113457,117828,2514226,0.0
54,2002-10-28,117840,128491,116583,118455,4000060,0.53
55,2002-10-29,117830,122842,113447,116574,1866972,-1.59
56,2002-10-30,117839,123478,114069,119081,6003394,2.15
57,2002-10-31,125366,125981,117841,117828,2666242,-1.05
58,2002-11-01,118467,119096,112827,112814,1092886,-4.26
59,2002-11-04,110306,115318,110306,110308,932062,-2.22
60,2002-11-05,110308,112193,104040,109680,1264410,-0.57
61,2002-11-06,109686,115326,107188,112814,2525904,2.86
62,2002-11-07,111571,114070,109058,112814,1206138,0.0
63,2002-11-08,112191,112191,108422,110308,486000,-2.22
64,2002-11-11,107796,112193,107796,109054,955470,-1.14
65,2002-11-12,106557,109055,105928,107800,663818,-1.15
66,2002-11-13,109054,109054,104042,108427,655408,0.58
67,2002-11-14,108432,111573,105933,105920,1070110,-2.31
68,2002-11-15,107798,109054,105299,108427,1149178,2.37
69,2002-11-18,107184,109054,106556,108427,313150,0.0
70,2002-11-19,106557,119720,106557,114067,1863906,5.2
71,2002-11-20,111575,113460,110319,110934,393972,-2.75
72,2002-11-21,112823,112823,105928,108427,388806,-2.26
73,2002-11-22,109688,109688,105933,105920,410864,-2.31
74,2002-11-25,106561,108432,105933,105920,420894,0.0
75,2002-11-26,107188,108430,105303,106547,530478,0.59
76,2002-11-27,106559,108429,105930,107173,526106,0.59
77,2002-11-28,109680,115948,108423,109680,2077876,2.34
78,2002-11-29,109681,111565,106554,109054,583778,-0.57
79,2002-12-02,108434,111575,107806,110934,760880,1.72
80,2002-12-03,111571,115326,111571,112814,1230404,1.69
81,2002-12-04,114071,116584,109687,112187,1577624,-0.56
82,2002-12-05,112193,118461,110937,115321,1354188,2.79
83,2002-12-06,116574,120329,114061,116574,1536436,1.09
84,2002-12-09,119098,122225,115957,117828,1933566,1.08
85,2002-12-10,115954,117839,110943,112814,1091144,-4.26
86,2002-12-11,112819,115318,110306,110308,1513530,-2.22
87,2002-12-12,110319,112832,109062,110934,621058,0.57
88,2002-12-13,110306,112819,109678,110308,828104,-0.56
89,2002-12-16,110308,111564,108423,109680,408982,-0.57
90,2002-12-17,111569,115325,110313,113441,993826,3.43
91,2002-12-18,113450,117833,112822,115321,2258738,1.66
92,2002-12-20,117209,117838,110941,113441,1538170,-1.63
93,2002-12-23,114696,115952,106557,107800,2114016,-4.97
94,2002-12-24,105303,107802,98407,106547,800612,-1.16
95,2002-12-26,102788,109684,101531,107800,846468,1.18
96,2002-12-27,105303,113456,105303,106547,2512762,-1.16
97,2002-12-30,106564,109691,95269,99026,1772310,-7.06
98,2003-01-02,99032,105299,99032,102160,720748,3.16
99,2003-01-03,105302,106559,100919,100906,878666,-1.23
100,2003-01-06,101529,104042,99030,102786,637986,1.86
101,2003-01-07,104673,104673,100289,101533,549810,-1.22
102,2003-01-08,100291,102789,100291,100906,429786,-0.62
103,2003-01-09,99039,100924,98411,99026,388218,-1.86
104,2003-01-10,100284,102155,96515,97772,812554,-1.27
105,2003-01-13,94651,108430,94651,100906,1769328,3.21
106,2003-01-14,100921,102163,99035,100279,542890,-0.62
107,2003-01-15,100293,101535,99664,100279,268740,0.0
108,2003-01-16,99664,101535,99035,100279,190348,0.0
109,2003-01-17,99663,103418,99034,100906,440500,0.63
110,2003-01-20,102162,109687,101534,106547,1418752,5.59
111,2003-01-21,106553,107181,102156,103413,869650,-2.94
112,2003-01-22,100925,105937,97784,98399,1125202,-4.85
113,2003-01-23,97154,100295,97154,99026,288054,0.64
114,2003-01-24,99029,99657,91505,97146,514496,-1.9
115,2003-01-27,90884,95267,90884,94011,310212,-3.23
116,2003-01-28,92769,95267,92769,94011,175390,0.0
117,2003-01-29,93387,99027,92131,92132,637558,-2.0
118,2003-01-30,92764,101531,92764,95892,1372662,4.08
119,2003-02-03,97773,99029,95260,97146,576086,1.31
120,2003-02-04,99033,99033,94020,95892,1607738,-1.29
121,2003-02-05,94028,95270,91515,92758,612212,-3.27
122,2003-02-06,92137,93393,89624,89624,405562,-3.38
123,2003-02-07,87755,89012,82743,82730,852586,-7.69
124,2003-02-10,82745,85244,78348,82103,1027890,-0.76
125,2003-02-11,82738,83981,78341,78970,647436,-3.82
126,2003-02-12,77721,79606,73338,75209,788876,-4.76
127,2003-02-13,74593,80233,73964,75836,1374598,0.83
128,2003-02-14,75843,79598,74587,78343,783688,3.31
129,2003-02-17,83351,83351,78339,79597,975840,1.6
130,2003-02-18,80855,80855,77086,78343,420802,-1.58
131,2003-02-19,79605,79605,75849,75836,365608,-3.2
132,2003-02-20,76482,76482,73969,73956,424732,-2.48
133,2003-02-21,72077,77089,72077,77090,479644,4.24
134,2003-02-24,77711,85863,77083,85864,2259662,11.38
135,2003-02-25,85865,91506,82110,90878,1052938,5.84
136,2003-02-26,90883,93396,86499,88371,1479128,-2.76
137,2003-02-27,85247,87132,80235,80851,574722,-8.51
138,2003-02-28,80855,82111,78342,78343,336938,-3.1
139,2003-03-03,77085,83981,75842,78970,579168,0.8
140,2003-03-04,78978,78978,75223,75209,217194,-4.76
141,2003-03-05,72085,75225,72085,73956,319230,-1.67
142,2003-03-06,75846,77089,73333,77090,670262,4.24
143,2003-03-07,77083,77083,72072,73329,447126,-4.88
144,2003-03-10,72083,72711,67070,68942,392852,-5.98
145,2003-03-11,67699,69583,64557,68942,365630,0.0
146,2003-03-12,72713,77097,70213,73956,1536004,7.27
147,2003-03-13,74588,74588,65179,65808,2159286,-11.02
148,2003-03-14,70827,70827,67071,68315,552592,3.81
149,2003-03-17,66435,71446,60167,60168,1269684,-11.93
150,2003-03-18,61421,63305,60164,61421,570928,2.08
151,2003-03-19,60167,62680,60167,60168,410322,-2.04
152,2003-03-20,60800,63941,60800,63928,667672,6.25
153,2003-03-21,64553,71450,63311,70822,1595222,10.78
154,2003-03-24,69583,73967,67699,68942,796070,-2.65
155,2003-03-25,65186,68955,63943,68942,387904,0.0
156,2003-03-26,69582,75223,68954,75209,899350,9.09
157,2003-03-27,72706,73963,70822,70822,330062,-5.83
158,2003-03-28,71448,72704,70206,71449,202710,0.89
159,2003-03-31,70215,71457,67701,67689,261104,-5.26
160,2003-04-01,66443,68957,65815,68315,107214,0.92
161,2003-04-02,67696,70823,67696,70196,302018,2.75
162,2003-04-03,72079,75221,70208,70196,1224236,0.0
163,2003-04-04,69582,70824,68954,69569,204674,-0.89
164,2003-04-07,72703,72703,70204,72076,270895,3.6
165,2003-04-08,70820,72076,70820,71449,114709,-0.87
166,2003-04-09,70815,73328,70201,73329,147027,2.63
167,2003-04-10,72711,74595,71455,74583,187855,1.71
168,2003-04-11,73341,75225,73341,73956,75659,-0.84
169,2003-04-14,73960,74588,72074,72076,83314,-2.54
170,2003-04-15,73341,78981,73341,73956,715888,2.61
171,2003-04-16,75223,77721,73966,75209,343649,1.69
172,2003-04-17,74590,77089,73333,77090,219251,2.5
173,2003-04-18,77723,85248,77723,80223,1707015,4.06
174,2003-04-21,81485,89624,77088,89624,1630333,11.72
175,2003-04-22,94016,94016,79596,85864,1325321,-4.2
176,2003-04-23,85870,89011,83985,88998,623274,3.65
177,2003-04-24,90258,90886,85875,87117,394600,-2.11
178,2003-04-25,83357,84614,77089,77090,556305,-11.51
179,2003-04-28,70213,75854,70213,73956,193875,-4.07
180,2003-04-29,75842,80226,75842,78970,360423,6.78
181,2003-04-30,77088,79600,77088,77716,272026,-1.59
182,2003-05-02,77713,81482,77085,78970,268835,1.61
183,2003-05-06,81480,82736,78967,79597,268861,0.79
184,2003-05-07,82117,82117,80232,82103,277744,3.15
185,2003-05-09,80858,86497,80229,83357,904439,1.53
186,2003-05-12,85247,86504,82749,86491,454402,3.76
187,2003-05-13,87122,87751,82111,84610,328234,-2.17
188,2003-05-14,83353,85866,82111,84610,171550,0.0
189,2003-05-15,83982,89007,83353,84610,321113,0.0
190,2003-05-16,83358,85243,81487,82730,359576,-2.22
191,2003-05-19,81491,81491,77722,80851,210495,-2.27
192,2003-05-20,78341,80854,77713,78970,103867,-2.33
193,2003-05-21,78342,79598,78342,78343,204470,-0.79
194,2003-05-22,77719,78975,75848,76463,218508,-2.4
195,2003-05-23,76477,77720,75849,75836,231759,-0.82
196,2003-05-26,75846,78973,75846,77090,308481,1.65
197,2003-05-27,78967,79596,77711,79597,263820,3.25
198,2003-05-28,82119,84617,79605,81477,570156,2.36
199,2003-05-29,82108,82108,78339,79597,162560,-2.31
200,2003-05-30,78967,80852,78967,79597,242211,0.0
201,2003-06-02,79607,81491,79607,80851,120301,1.58
202,2003-06-03,81482,81482,78969,78970,166418,-2.33
203,2003-06-04,80856,83983,78971,83984,339869,6.35
204,2003-06-05,83987,94025,83987,94011,3870331,11.94
205,2003-06-09,97142,100911,92131,92132,3477510,-2.0
206,2003-06-10,89622,95262,88380,90252,1564722,-2.04
207,2003-06-11,93387,93387,89618,92132,1136397,2.08
208,2003-06-12,94018,95261,89621,90878,657523,-1.36
209,2003-06-13,90880,91509,87124,89624,563005,-1.38
210,2003-06-16,87122,92134,86493,90878,793927,1.4
211,2003-06-17,92132,92132,88377,91505,611832,0.69
212,2003-06-18,90257,90257,85244,87745,541697,-4.11
213,2003-06-19,87756,90255,85871,88371,425638,0.71
214,2003-06-20,87129,89628,86501,87745,217015,-0.71
215,2003-06-23,87752,92135,87123,90252,332913,2.86
216,2003-06-24,90250,90250,90250,90252,0,0.0
217,2003-06-25,88378,99657,87750,97146,1199006,7.64
218,2003-06-26,94025,94653,90884,94011,315555,-3.23
219,2003-06-27,94645,94645,90248,91505,338061,-2.67
220,2003-06-30,89621,92762,89006,90878,164555,-0.69
221,2003-07-01,90253,91509,87754,88998,219265,-2.07
222,2003-07-02,89017,89631,86504,86491,370157,-2.82
223,2003-07-03,89004,92131,85863,85864,552585,-0.72
224,2003-07-04,86503,87759,85245,87117,220425,1.46
225,2003-07-07,88384,89013,87128,88371,356043,1.44
226,2003-07-08,92765,92765,89010,89624,387103,1.42
227,2003-07-09,89628,90885,86501,87745,350091,-2.1
228,2003-07-10,87131,87759,85875,87117,258327,-0.72
229,2003-07-11,85875,87132,85247,86491,135204,-0.72
230,2003-07-14,86504,88389,85875,86491,122826,0.0
231,2003-07-15,87120,87748,85235,85864,197222,-0.72
232,2003-07-16,85864,86492,85236,85238,118922,-0.73
233,2003-07-18,85244,85244,82117,82103,145961,-3.68
234,2003-07-21,80861,83110,76227,81477,601865,-0.76
235,2003-07-22,77089,78973,75595,77090,188532,-5.38
236,2003-07-23,76228,78098,75223,75209,194208,-2.44
237,2003-07-24,75220,77216,75220,76212,84383,1.33
238,2003-07-25,75600,76842,74594,75209,100433,-1.32
239,2003-07-28,75975,76604,74594,75585,131432,0.5
240,2003-07-29,74965,75593,71446,72076,318990,-4.64
241,2003-07-30,72832,72832,70584,70572,168711,-2.09
242,2003-07-31,70578,73328,69573,73329,158289,3.91
243,2003-08-01,71824,76835,70582,71825,480618,-2.05
244,2003-08-04,72201,72452,69577,71825,73384,0.0
245,2003-08-05,70583,71826,70583,71198,114476,-0.87
246,2003-08-06,69958,71200,69581,69945,86173,-1.76
247,2003-08-07,70205,73457,69953,71825,315191,2.69
248,2003-08-08,74334,74334,70816,73079,108083,1.75
249,2003-08-11,72700,73705,71443,73705,178663,0.86
250,2003-08-12,72700,73705,71820,73705,87018,0.0
251,2003-08-13,72073,73958,71822,72702,209661,-1.36
252,2003-08-14,73713,75849,72457,75836,266867,4.31
253,2003-08-18,78090,84986,77085,84986,666273,12.07
254,2003-08-19,90886,91514,80233,81477,772681,-4.13
255,2003-08-20,79605,82119,77092,81477,327207,0.0
256,2003-08-21,80228,82490,77716,77716,276034,-4.62
257,2003-08-22,76836,79098,76222,77466,252234,-0.32
258,2003-08-25,77473,80362,76482,79973,170349,3.24
259,2003-08-26,80986,80986,76225,76212,190041,-4.7
260,2003-08-27,76839,78095,76225,76463,100454,0.33
261,2003-08-28,77093,78726,75223,75209,128283,-1.64
262,2003-08-29,77216,77216,74592,76212,168419,1.33
263,2003-09-01,75598,77469,75598,75836,113733,-0.49
264,2003-09-02,76222,78721,76222,77716,142500,2.48
265,2003-09-03,77719,78975,74592,76463,145547,-1.61
266,2003-09-04,75223,77093,74594,75209,70813,-1.64
267,2003-09-05,74586,75214,70817,72702,138083,-3.33
268,2003-09-08,71198,73082,71198,71198,83923,-2.07
269,2003-09-09,71825,73333,70820,71449,99261,0.35
270,2003-09-15,71576,72204,70584,70572,91486,-1.23
271,2003-09-16,70579,73454,70202,73079,119031,3.55
272,2003-09-17,73705,74961,73077,73705,64314,0.86
273,2003-09-18,74346,74974,72713,73956,56932,0.34
274,2003-09-19,77095,77095,73716,74583,72828,0.85
275,2003-09-22,74084,75341,71446,72452,98029,-2.86
276,2003-09-23,73335,73335,68324,70196,86361,-3.11
277,2003-09-24,70580,73330,68947,72702,85315,3.57
278,2003-09-25,70825,72083,68327,68942,151426,-5.17
279,2003-09-26,68329,69585,66820,68315,96037,-0.91
280,2003-09-29,67065,67694,65180,65182,120374,-4.59
281,2003-09-30,65176,67437,65176,67438,94235,3.46
282,2003-10-01,66814,66814,63688,64930,56482,-3.72
283,2003-10-02,66433,70816,65553,67062,330402,3.28
284,2003-10-06,68946,68946,65806,66435,62718,-0.93
285,2003-10-07,67692,68069,64551,65808,125924,-0.94
286,2003-10-08,65559,66187,64317,64554,128318,-1.91
287,2003-10-09,65182,66438,64554,64554,30479,0.0
288,2003-10-10,64553,66186,64553,64930,73753,0.58
289,2003-10-13,65180,66814,64552,65182,39257,0.39
290,2003-10-14,64928,67190,64551,65558,89389,0.58
291,2003-10-15,66184,66184,64551,65808,54143,0.38
292,2003-10-16,65182,66438,64554,64554,69411,-1.91
293,2003-10-17,65938,65938,63313,63677,74683,-1.36
294,2003-10-20,64318,64933,63313,63928,87160,0.39
295,2003-10-21,67065,71448,65180,71449,320049,11.76
296,2003-10-22,73328,77083,68945,73329,943503,2.63
297,2003-10-23,74965,74965,69324,72076,169259,-1.71
298,2003-10-24,71454,74971,70211,74959,484476,4.0
299,2003-10-27,73708,77212,71824,71825,258669,-4.18
300,2003-10-28,71828,73084,69329,70196,138761,-2.27
301,2003-10-29,70210,71201,69582,69569,140289,-0.89
302,2003-10-30,69959,71453,68954,69569,141562,0.0
303,2003-10-31,70584,70584,68700,70572,144863,1.44
304,2003-11-03,70207,72706,70207,70822,133551,0.35
305,2003-11-04,70827,70827,68077,68315,136536,-3.54
306,2003-11-05,68318,68946,65806,66435,147740,-2.75
307,2003-11-06,66191,72208,65563,68691,503944,3.4
308,2003-11-07,70202,70202,66810,67062,54866,-2.37
309,2003-11-10,67692,67692,65808,65808,83121,-1.87
310,2003-11-11,64930,67191,64553,64930,120773,-1.33
311,2003-11-12,65180,66185,64929,65182,41703,0.39
312,2003-11-13,65553,69070,65553,67438,78919,3.46
313,2003-11-14,68077,68705,67071,68315,55768,1.3
314,2003-11-17,67447,70211,66819,68942,135845,0.92
315,2003-11-18,71198,77089,71198,77090,1080979,11.82
316,2003-11-19,77090,82116,75848,76463,985917,-0.81
317,2003-11-20,78978,80235,73715,75209,330328,-1.64
318,2003-11-21,72074,76835,71446,72076,286737,-4.17
319,2003-11-24,71577,72457,69330,69945,604618,-2.96
320,2003-11-25,71825,72453,70206,71449,263495,2.15
321,2003-11-26,71455,74345,70589,74332,320033,4.04
322,2003-11-27,77462,78969,72702,72702,881836,-2.19
323,2003-11-28,73330,74586,72702,72702,198770,0.0
324,2003-12-01,73960,73960,72074,72076,136320,-0.86
325,2003-12-02,72452,73457,70582,71825,141538,-0.35
326,2003-12-03,73078,73078,71445,72702,113280,1.22
327,2003-12-04,72074,73079,72074,72452,58141,-0.34
328,2003-12-05,72461,75601,72084,74332,190939,2.59
329,2003-12-08,75847,80356,75847,76839,427316,3.37
330,2003-12-09,78095,78471,74968,76839,129242,0.0
331,2003-12-10,75219,77215,75219,76839,121757,0.0
332,2003-12-11,77845,80358,76225,76212,140904,-0.82
333,2003-12-12,76837,77089,75595,77090,132376,1.15
334,2003-12-15,76226,77469,75221,75836,124518,-1.63
335,2003-12-16,75214,75842,72702,72702,111626,-4.13
336,2003-12-17,72454,73459,70821,71198,56771,-2.07
337,2003-12-18,72702,73707,71194,72702,110945,2.11
338,2003-12-19,72076,73709,71197,71449,50684,-1.72
339,2003-12-22,69957,72079,69580,70196,66287,-1.75
340,2003-12-23,69955,71450,69955,70822,24049,0.89
341,2003-12-24,70336,71579,68954,69318,104454,-2.12
342,2003-12-26,70824,70824,68702,69569,103311,0.36
