,Date,Open,High,Low,Close,Volume,Change
0,2002-05-23,586372,586372,586372,586431,38170,NaN
1,2002-05-24,656735,656735,656735,656779,390082,12.0
2,2002-05-27,734914,734914,695820,734930,546881,11.9
3,2002-05-28,735074,766375,647117,666658,327027,-9.29
4,2002-05-29,631501,631501,588496,588497,99649,-11.72
5,2002-05-30,517869,521781,517869,517927,46083,-11.99
6,2002-05-31,480784,557008,480784,498376,342387,-3.77
7,2002-06-03,482729,502268,439725,443665,263448,-10.98
8,2002-06-04,443739,469152,412452,445745,152000,0.47
9,2002-06-05,465123,465123,433851,443665,123475,-0.47
10,2002-06-07,430087,441819,396838,398844,77340,-10.1
11,2002-06-10,400648,412381,377183,377227,110136,-5.42
12,2002-06-11,389017,422251,385105,422295,126699,11.95
13,2002-06-12,441833,447692,414457,426206,184281,0.93
14,2002-06-14,400749,430073,400749,422295,65914,-0.92
15,2002-06-17,428007,470997,428007,471026,169998,11.54
16,2002-06-18,525751,525751,490553,525738,418818,11.62
17,2002-06-19,508152,537476,463198,463213,103826,-11.89
18,2002-06-20,429989,443670,408487,431939,200885,-6.75
19,2002-06-21,433896,439770,398713,428039,89578,-0.9
20,2002-06-24,396738,410418,377183,377227,165263,-11.87
21,2002-06-25,377358,404749,332391,332407,132557,-11.88
22,2002-06-26,322613,322613,293275,293333,95938,-11.75
23,2002-06-27,289265,302946,273622,279526,152148,-4.71
24,2002-06-28,289404,312854,289404,312870,110376,11.93
25,2002-07-02,289398,310915,279628,305057,115382,-2.5
26,2002-07-03,312817,324534,293263,324594,132211,6.4
27,2002-07-04,326387,361584,318579,353791,371387,8.99
28,2002-07-05,353912,361733,322610,336320,311121,-4.94
29,2002-07-08,346051,351925,320624,324594,261043,-3.49
30,2002-07-09,334238,361615,318595,361601,497375,11.4
31,2002-07-10,357804,398862,349983,355857,955348,-1.59
32,2002-07-11,371467,387125,351913,351958,408660,-1.1
33,2002-07-12,359670,369440,340115,342065,460717,-2.81
34,2002-07-15,340115,353796,322523,342065,461603,0.0
35,2002-07-16,336335,350001,306996,312870,447353,-8.53
36,2002-07-18,314699,328366,308840,310790,246198,-0.66
37,2002-07-19,308805,312716,287303,302977,186193,-2.51
38,2002-07-22,277663,308950,273753,273796,198158,-9.63
39,2002-07-23,256129,303059,254182,297244,253680,8.56
40,2002-07-24,279531,283456,263916,263903,183068,-11.22
41,2002-07-25,281572,287430,269824,269882,149939,2.27
42,2002-07-26,269709,273621,259955,271716,64354,0.68
43,2002-07-29,271793,303064,271793,277695,244131,2.2
44,2002-07-30,285401,295170,275617,283440,110924,2.07
45,2002-07-31,279594,303058,273722,293333,324309,3.49
46,2002-08-01,308820,310782,279482,279526,279026,-4.71
47,2002-08-02,275516,279414,254014,265748,120211,-4.93
48,2002-08-05,261956,267830,244379,244366,122117,-8.05
49,2002-08-06,232612,244359,232612,236539,92310,-3.2
50,2002-08-07,244347,263916,244347,263903,252379,11.57
51,2002-08-08,267896,283553,256163,281606,233717,6.71
52,2002-08-09,283410,283410,256034,256079,242669,-9.06
53,2002-08-12,267810,269757,252167,259989,145695,1.53
54,2002-08-13,258014,269761,258014,263903,177064,1.51
55,2002-08-14,263899,287363,263899,283440,451850,7.4
56,2002-08-16,291240,291240,275598,275627,154329,-2.76
57,2002-08-19,275617,304940,273655,283440,353593,2.83
58,2002-08-20,283553,299181,281591,281606,300134,-0.65
59,2002-08-21,283405,287330,269724,275627,219383,-2.12
60,2002-08-22,277647,293275,275684,293333,172075,6.42
61,2002-08-23,305022,320664,289378,297244,787806,1.33
62,2002-08-26,291274,295170,281476,283440,122076,-4.64
63,2002-08-27,289290,302985,285393,291253,172257,2.76
64,2002-08-28,293290,306984,285467,297244,315430,2.06
65,2002-08-29,295237,306985,291326,293333,146001,-1.32
66,2002-08-30,289412,297234,277680,281606,190777,-4.0
67,2002-09-02,275717,281591,275717,281606,156868,0.0
68,2002-09-03,277663,281574,273753,273796,66418,-2.77
69,2002-09-04,262020,277663,262020,273796,72739,0.0
70,2002-09-05,269842,281574,269842,273796,73127,0.0
71,2002-09-06,273661,273661,263906,267802,46877,-2.19
72,2002-09-09,267687,269651,248148,250111,73151,-6.61
73,2002-09-10,246197,259862,236412,246197,80443,-1.56
74,2002-09-11,254099,258009,246276,252179,64788,2.43
75,2002-09-12,246293,261936,246293,259989,36175,3.1
76,2002-09-13,248273,263916,244347,263903,57811,1.51
77,2002-09-16,269757,269757,250204,259989,41691,-1.48
78,2002-09-17,263882,263882,252150,252179,49507,-3.0
79,2002-09-18,248148,254006,244252,250111,19995,-0.82
80,2002-09-19,244214,273523,244214,257924,57113,3.12
81,2002-09-23,255955,255955,242288,250111,24488,-3.03
82,2002-09-24,242296,250103,238371,242298,41279,-3.12
83,2002-09-25,238340,244214,222712,234473,71707,-3.23
84,2002-09-26,234464,240338,218850,218850,46958,-6.66
85,2002-09-27,209080,218849,199310,199310,111145,-8.93
86,2002-09-30,193433,199293,179753,191486,58290,-3.93
87,2002-10-01,181703,197347,181703,195400,43239,2.04
88,2002-10-02,195510,201384,189652,189652,81281,-2.94
89,2002-10-04,183766,197461,181818,193552,66757,2.06
90,2002-10-07,187691,199410,187691,193552,42488,0.0
91,2002-10-08,201323,205234,189605,205278,52448,6.06
92,2002-10-09,205133,210993,197327,211037,53013,2.81
93,2002-10-10,210976,210976,197310,203213,25901,-3.71
94,2002-10-11,205133,214889,203171,211037,48914,3.85
95,2002-10-14,212930,220766,209034,214936,40115,1.85
96,2002-10-15,222878,222878,211144,220916,66251,2.78
97,2002-10-16,222810,224772,216965,224815,44283,1.76
98,2002-10-17,224772,224772,216965,224815,39639,0.0
99,2002-10-18,224696,238377,218851,226660,97386,0.82
100,2002-10-21,228619,230568,218849,222761,59226,-1.72
