,Date,Open,High,Low,Close,Volume,Change
0,2001-05-31,14000,14000,14000,14000,150,100.0
1,2001-06-01,15650,15650,15150,15650,1215328,11.79
2,2001-06-04,16600,16900,13800,13800,2157185,-11.82
3,2001-06-05,13700,13950,12150,12150,1182693,-11.96
4,2001-06-07,11800,12350,10700,10800,719848,-11.11
5,2001-06-08,10500,11450,10500,10900,850091,0.93
6,2001-06-11,10500,11200,10450,10550,353272,-3.21
7,2001-06-12,10650,11000,10350,10500,426928,-0.47
8,2001-06-13,10700,11250,10700,10900,618551,3.81
9,2001-06-14,11000,11000,10500,10650,229289,-2.29
10,2001-06-15,10650,11050,10300,10650,445057,0.0
11,2001-06-18,10600,10750,9950,9970,264585,-6.38
12,2001-06-19,9720,10400,9640,10050,406119,0.8
13,2001-06-20,10200,10200,9130,9300,239189,-7.46
14,2001-06-21,9400,9490,8900,9000,238585,-3.23
15,2001-06-22,8700,9060,8610,8650,199073,-3.89
16,2001-06-25,8700,9050,8660,8710,232531,0.69
17,2001-06-26,8950,9040,7670,7720,420477,-11.37
18,2001-06-27,7950,7950,7260,7530,295515,-2.46
19,2001-06-28,7600,7950,7400,7690,242774,2.12
20,2001-06-29,7830,7950,7710,7900,217280,2.73
21,2001-07-02,7810,7950,7690,7730,105378,-2.15
22,2001-07-03,7750,8400,7750,8350,556345,8.02
23,2001-07-04,8450,8470,8000,8290,207367,-0.72
24,2001-07-05,8290,8740,8180,8590,471961,3.62
25,2001-07-06,8500,8500,7820,7900,161957,-8.03
26,2001-07-09,7420,7600,6960,6960,159827,-11.9
27,2001-07-10,6890,7100,6880,6990,174902,0.43
28,2001-07-11,6330,6740,6160,6250,245559,-10.59
29,2001-07-12,6400,6990,6380,6890,279432,10.24
30,2001-07-13,6880,6980,6150,6300,173321,-8.56
31,2001-07-16,6370,6480,6100,6480,142608,2.86
32,2001-07-18,6520,6600,6120,6120,64338,-5.56
33,2001-07-19,5730,6090,5730,5800,104869,-5.23
34,2001-07-20,5920,6110,5850,5950,193170,2.59
35,2001-07-23,6000,6490,6000,6260,445488,5.21
36,2001-07-24,6300,6800,6110,6750,731388,7.83
37,2001-07-25,6750,6880,6500,6550,329378,-2.96
38,2001-07-26,6840,7130,6500,6850,637246,4.58
39,2001-07-27,7010,7250,6720,6970,522525,1.75
40,2001-07-30,6950,7050,6410,6450,267257,-7.46
41,2001-07-31,6500,6500,6220,6390,213703,-0.93
42,2001-08-01,6450,6720,6450,6600,254781,3.29
43,2001-08-02,6550,7200,6470,7200,349792,9.09
44,2001-08-03,7200,7400,7010,7220,350765,0.28
45,2001-08-06,7290,7690,7130,7300,458894,1.11
46,2001-08-07,7250,7340,6810,6810,197911,-6.71
47,2001-08-08,6700,6880,6650,6880,122659,1.03
48,2001-08-09,6650,6850,6650,6740,82855,-2.03
49,2001-08-10,6800,7150,6770,7150,136288,6.08
50,2001-08-13,7300,7570,7010,7150,523436,0.0
51,2001-08-14,7290,7440,7050,7130,225449,-0.28
52,2001-08-16,7000,7000,6700,6710,122788,-5.89
53,2001-08-17,6510,6690,6510,6580,181004,-1.94
54,2001-08-20,6410,6420,6080,6110,119341,-7.14
