,Date,Open,High,Low,Close,Volume,Change
0,2001-07-31,6000,6000,6000,6000,164924,100.0
1,2001-08-01,6720,6720,6720,6720,219102,12.0
2,2001-08-02,7520,7520,6500,7520,842024,11.9
3,2001-08-03,7410,8420,7290,8420,273529,11.97
4,2001-08-06,9050,9430,8810,9430,40747,12.0
5,2001-08-07,10550,10550,9700,10550,428989,11.88
6,2001-08-08,11200,11800,10350,10900,673996,3.32
7,2001-08-09,9700,10100,9600,9600,373245,-11.93
8,2001-08-10,9200,9450,8470,8900,683302,-7.29
9,2001-08-13,9200,9960,9030,9960,583419,11.91
10,2001-08-14,10000,10450,8770,8900,570814,-10.64
11,2001-08-16,8520,8700,7840,7840,315523,-11.91
12,2001-08-17,7780,8400,7600,7680,304577,-2.04
13,2001-08-20,7410,8000,7300,7390,303591,-3.78
14,2001-08-21,7450,7800,7450,7700,242202,4.19
15,2001-08-22,7460,7590,7360,7480,209052,-2.86
16,2001-08-23,7560,7600,6590,6600,343624,-11.76
17,2001-08-24,6630,6730,6080,6320,247126,-4.24
18,2001-08-27,6420,6500,6110,6200,204731,-1.9
19,2001-08-28,6200,6940,6200,6940,557195,11.94
20,2001-08-29,6800,6890,6120,6120,373014,-11.82
21,2001-08-30,5970,5970,5390,5390,378911,-11.93
22,2001-08-31,5010,5200,4750,4760,285554,-11.69
23,2001-09-03,4900,5260,4560,5050,696540,6.09
24,2001-09-04,5180,5200,4720,4950,428163,-1.98
25,2001-09-05,4650,4820,4620,4620,227844,-6.67
26,2001-09-06,4710,5170,4710,5100,737774,10.39
27,2001-09-07,4900,5690,4900,5690,830797,11.57
28,2001-09-10,5750,6370,5730,6160,941106,8.26
29,2001-09-11,6150,6730,5850,6480,911853,5.19
30,2001-09-12,5710,5850,5710,5710,523866,-11.88
31,2001-09-13,5610,6000,5250,5260,782859,-7.88
32,2001-09-14,5300,5510,4630,4630,500173,-11.98
33,2001-09-17,4120,4240,4080,4080,94345,-11.88
34,2001-09-18,4100,4560,4080,4460,1226304,9.31
35,2001-09-19,4210,4750,4210,4300,1007559,-3.59
36,2001-09-20,4310,4370,3790,3790,448275,-11.86
37,2001-09-21,3520,3550,3340,3450,559697,-8.97
38,2001-09-24,3510,3640,3450,3480,551996,0.87
39,2001-09-25,3650,3700,3070,3070,526738,-11.78
40,2001-09-26,3200,3260,2900,3070,459265,0.0
41,2001-09-27,3070,3350,3060,3300,497399,7.49
42,2001-09-28,3150,3530,3150,3370,669671,2.12
43,2001-10-04,3520,3770,3510,3770,289487,11.87
44,2001-10-05,4100,4220,3860,3900,1164782,3.45
45,2001-10-08,3710,4150,3600,3950,770830,1.28
46,2001-10-09,4100,4370,4070,4300,705537,8.86
47,2001-10-10,4330,4430,4150,4190,333902,-2.56
48,2001-10-11,4320,4690,4320,4690,473210,11.93
49,2001-10-12,4900,5040,4560,4710,952850,0.43
50,2001-10-15,4760,4780,4500,4690,451457,-0.42
51,2001-10-16,4800,5170,4750,4760,662764,1.49
52,2001-10-17,4850,5130,4820,5000,726239,5.04
53,2001-10-18,4820,5000,4400,4440,407576,-11.2
54,2001-10-19,4600,4600,4250,4440,307149,0.0
55,2001-10-22,4500,4650,4450,4560,327159,2.7
56,2001-10-23,4650,4860,4600,4700,510794,3.07
57,2001-10-24,4780,5260,4750,5260,959505,11.91
58,2001-10-25,5340,5520,4850,5000,879398,-4.94
59,2001-10-26,5030,5600,5030,5530,1340301,10.6
60,2001-10-29,5530,6190,5360,6190,898763,11.93
61,2001-10-30,6310,6720,5750,5920,1814537,-4.36
62,2001-10-31,6000,6140,5330,5650,850695,-4.56
63,2001-11-01,5750,6320,5630,6320,1058841,11.86
64,2001-11-02,6360,6520,5820,5900,897948,-6.65
65,2001-11-05,5800,6120,5760,5940,455786,0.68
66,2001-11-06,6010,6280,5760,5780,467426,-2.69
67,2001-11-07,5780,5850,5430,5460,329245,-5.54
68,2001-11-08,5460,5640,5430,5430,235293,-0.55
69,2001-11-09,5350,5580,5350,5400,245555,-0.55
70,2001-11-12,5400,5780,5270,5740,549106,6.3
71,2001-11-13,5810,5910,5510,5530,428700,-3.66
72,2001-11-14,5650,5740,5480,5580,344394,0.9
73,2001-11-15,5600,5700,5050,5110,407173,-8.42
