,Date,Open,High,Low,Close,Volume,Change
0,2001-10-09,40000,40000,40000,40000,77793,90.48
1,2001-10-10,35200,35200,35200,35200,7923,-12.0
2,2001-10-11,31000,31000,31000,31000,7533,-11.93
3,2001-10-12,31100,34700,31050,33000,286394,6.45
4,2001-10-15,33500,33800,30500,30750,155021,-6.82
5,2001-10-16,31200,32250,28500,29150,101161,-5.2
6,2001-10-17,29550,32100,28800,30200,125328,3.6
7,2001-10-18,27400,30900,27400,28600,89850,-5.3
8,2001-10-19,29500,29900,28600,28600,53074,0.0
9,2001-10-22,29150,31750,29050,30450,115386,6.47
10,2001-10-23,30450,34100,30100,34100,121566,11.99
11,2001-10-24,33900,35500,31200,31500,106777,-7.62
12,2001-10-25,32000,33700,31350,32200,57622,2.22
13,2001-10-26,32800,32900,30700,31000,42482,-3.73
14,2001-10-29,30550,32700,30400,31000,61288,0.0
15,2001-10-30,30550,32900,30100,31300,63583,0.97
16,2001-10-31,32500,35050,31900,35050,87492,11.98
17,2001-11-01,37100,39250,33400,33500,196606,-4.42
18,2001-11-02,34000,34300,31950,32800,44044,-2.09
19,2001-11-05,33500,34150,32600,33400,41994,1.83
20,2001-11-06,33400,33800,32100,32350,35829,-3.14
21,2001-11-07,32000,33400,32000,32500,30036,0.46
22,2001-11-08,32550,33400,31500,31500,26814,-3.08
23,2001-11-09,31600,33750,30800,32300,60105,2.54
24,2001-11-12,34000,36150,33000,35500,107409,9.91
25,2001-11-13,34500,35500,32500,35500,86454,0.0
26,2001-11-14,36850,39750,35650,39750,120579,11.97
27,2001-11-15,41450,42450,36500,41000,116911,3.14
28,2001-11-16,40000,41800,36500,36500,90525,-10.98
29,2001-11-19,35150,36000,33800,34800,49823,-4.66
30,2001-11-20,35300,36000,32500,36000,67470,3.45
31,2001-11-21,34100,35700,33600,33700,48463,-6.39
32,2001-11-22,32500,33950,32500,32700,26187,-2.97
33,2001-11-23,32600,33500,31600,32000,20938,-2.14
34,2001-11-26,31500,32800,31500,31600,30474,-1.25
35,2001-11-27,31000,32000,30400,30400,31140,-3.8
36,2001-11-28,30400,32000,30000,30600,32328,0.66
37,2001-11-29,30600,31400,30400,30700,17354,0.33
38,2001-11-30,30700,32400,30700,31700,14950,3.26
39,2001-12-03,32000,33000,31050,31050,21694,-2.05
40,2001-12-04,30700,31150,30400,30400,15777,-2.09
41,2001-12-05,30000,30950,30000,30200,20855,-0.66
42,2001-12-06,30750,30750,29100,29300,25655,-2.98
43,2001-12-07,29150,29900,29050,29200,21269,-0.34
44,2001-12-10,29100,29500,28500,29000,12868,-0.68
45,2001-12-11,28650,29850,28650,28850,17364,-0.52
46,2001-12-12,28650,29600,28650,28900,15564,0.17
47,2001-12-13,29000,30400,28900,29200,25279,1.04
48,2001-12-14,29700,31700,29450,30400,44960,4.11
49,2001-12-17,30300,30300,28500,29000,16144,-4.61
50,2001-12-18,29550,29800,27500,27550,15731,-5.0
51,2001-12-19,27050,27500,26000,26300,18829,-4.54
52,2001-12-20,26300,26900,25950,26200,7080,-0.38
53,2001-12-21,25500,27000,25500,26300,16756,0.38
54,2001-12-24,26800,28500,26550,27000,25381,2.66
55,2001-12-26,28000,28150,26500,27800,11047,2.96
56,2001-12-27,27050,28800,26800,26800,11597,-3.6
57,2001-12-28,26500,27300,26250,26600,11927,-0.75
58,2002-01-02,26700,27500,26700,27100,9227,1.88
59,2002-01-03,26900,27100,26400,26650,9855,-1.66
60,2002-01-04,26650,26950,26350,26700,12463,0.19
61,2002-01-07,26900,27700,26600,27100,9931,1.5
62,2002-01-08,27000,27300,26150,26700,9733,-1.48
63,2002-01-09,26700,26700,26000,26200,7994,-1.87
64,2002-01-10,26000,26600,25400,26000,14351,-0.76
65,2002-01-11,25550,26300,25500,25650,7187,-1.35
66,2002-01-14,25150,26650,25150,25750,8437,0.39
67,2002-01-15,25500,26250,25500,26000,4678,0.97
68,2002-01-16,26200,26200,25500,25550,5635,-1.73
69,2002-01-17,25150,25800,24200,24750,5302,-3.13
70,2002-01-18,24000,24700,23200,23200,7449,-6.26
71,2002-01-21,22350,23850,22300,22600,8909,-2.59
72,2002-01-22,22500,23350,22500,22600,7608,0.0
73,2002-01-23,22600,23000,22350,22600,8518,0.0
74,2002-01-24,22600,23000,22350,22350,9354,-1.11
75,2002-01-25,22300,22550,21300,21750,13151,-2.68
76,2002-01-28,21850,23000,21600,23000,12299,5.75
77,2002-01-29,22750,23250,22400,22500,10130,-2.17
78,2002-01-30,22050,23600,21750,22600,20460,0.44
79,2002-01-31,23600,25300,23100,25300,42827,11.95
80,2002-02-01,25800,27900,25800,26350,52086,4.15
81,2002-02-04,26300,28200,25200,25900,18486,-1.71
82,2002-02-05,24600,27000,24600,25800,15667,-0.39
83,2002-02-06,25050,26000,23750,23850,11847,-7.56
84,2002-02-07,22300,23800,22300,22400,9191,-6.08
85,2002-02-08,21050,22700,20900,22000,12348,-1.79
86,2002-02-14,22000,23000,22000,22200,5595,0.91
87,2002-02-15,22400,22600,21400,21500,9875,-3.15
88,2002-02-18,22000,24050,22000,24050,8955,11.86
89,2002-02-19,25000,25700,22600,24000,11625,-0.21
90,2002-02-20,24500,24500,22550,22950,7201,-4.38
91,2002-02-21,23900,23900,22900,23100,8029,0.65
92,2002-02-22,22650,23800,22650,23650,4653,2.38
93,2002-02-25,23750,26450,23750,25950,11526,9.73
94,2002-02-26,25600,27350,25400,25600,62422,-1.35
95,2002-02-27,25100,26400,24050,24300,9264,-5.08
96,2002-02-28,24300,25200,23500,24650,9711,1.44
97,2002-03-04,24000,25100,24000,24800,8299,0.61
98,2002-03-05,25000,27750,25000,26800,30650,8.06
99,2002-03-06,27000,27000,25750,26700,8487,-0.37
100,2002-03-07,27500,27750,26200,26400,12502,-1.12
101,2002-03-08,25800,27500,25700,27500,8526,4.17
102,2002-03-11,28000,30800,27700,30800,36464,12.0
103,2002-03-12,31000,31000,29000,30000,17405,-2.6
104,2002-03-13,30000,31000,29050,30200,13508,0.67
105,2002-03-14,29600,32300,29450,31000,20766,2.65
106,2002-03-15,29100,31200,28400,28550,30312,-7.9
107,2002-03-18,28500,28600,27400,28000,24409,-1.93
108,2002-03-19,27800,28650,27650,28450,18426,1.61
109,2002-03-20,28550,29200,27600,28400,20011,-0.18
110,2002-03-21,28350,28850,27000,27000,21151,-4.93
111,2002-03-22,27150,27400,26500,26600,19463,-1.48
112,2002-03-25,26400,27000,25850,26000,13702,-2.26
113,2002-03-26,26000,26950,25800,26100,11158,0.38
114,2002-03-27,25500,26600,25500,25950,10605,-0.57
115,2002-03-28,25950,26400,25400,25400,11337,-2.12
116,2002-03-29,24550,26000,24500,24500,15816,-3.54
117,2002-04-01,24700,25100,23300,23500,11331,-4.08
118,2002-04-02,23700,24300,23500,23500,10776,0.0
119,2002-04-03,24000,24700,23500,24100,11066,2.55
