,Date,Open,High,Low,Close,Volume,Change
0,2009-06-23,19150,22000,19000,22000,1147880,NaN
1,2009-06-24,25300,25300,19200,19400,3278089,-11.82
2,2009-06-25,19500,19900,17600,17850,977450,-7.99
3,2009-06-26,18050,20300,17550,17950,1190030,0.56
4,2009-06-29,18300,19700,18200,18650,447906,3.9
5,2009-06-30,19450,21400,19100,20500,1341130,9.92
6,2009-07-01,19900,20400,19150,19550,334287,-4.63
7,2009-07-02,19500,19950,18400,18700,250060,-4.35
8,2009-07-03,18050,19250,18000,19000,178067,1.6
9,2009-07-06,18800,19000,18050,18100,163092,-4.74
10,2009-07-07,18200,18500,17900,18150,125579,0.28
11,2009-07-08,18000,18000,17300,17750,173367,-2.2
12,2009-07-09,18050,19050,17750,18200,379459,2.54
13,2009-07-10,18350,18450,17900,18150,122714,-0.27
14,2009-07-13,17650,18050,17550,17700,88002,-2.48
15,2009-07-14,17750,18000,17250,17550,72319,-0.85
16,2009-07-15,17850,18150,17550,17650,63305,0.57
17,2009-07-16,17700,18500,17550,17650,106933,0.0
18,2009-07-17,18000,18100,17500,17700,72113,0.28
19,2009-07-20,17600,17950,17550,17600,76944,-0.56
20,2009-07-21,17650,17900,17500,17550,75789,-0.28
21,2009-07-22,17600,17750,17100,17150,90213,-2.28
22,2009-07-23,17250,17300,16800,17000,67448,-0.87
23,2009-07-24,17150,17150,16700,17100,63018,0.59
24,2009-07-27,17500,17800,17300,17500,54681,2.34
25,2009-07-28,17450,17450,17000,17250,34688,-1.43
26,2009-07-29,17200,17500,16850,16850,90261,-2.32
27,2009-07-30,17700,17900,17000,17150,117277,1.78
28,2009-07-31,17100,17150,16400,16450,125912,-4.08
29,2009-08-03,16500,16500,15450,15850,149821,-3.65
30,2009-08-04,16100,16100,15500,15850,64032,0.0
31,2009-08-05,15900,16150,15800,15950,77540,0.63
32,2009-08-06,15950,16400,15700,16150,89913,1.25
33,2009-08-07,16200,16650,16050,16350,82407,1.24
34,2009-08-10,16500,16500,16150,16300,65860,-0.31
35,2009-08-11,16200,16800,16150,16650,98860,2.15
36,2009-08-12,16750,17550,16500,17350,151643,4.2
37,2009-08-13,17400,17900,17300,17500,102272,0.86
38,2009-08-14,17450,17550,17000,17100,80336,-2.29
39,2009-08-17,16900,18550,16700,17250,220856,0.88
40,2009-08-18,17150,17200,16250,16500,131483,-4.35
41,2009-08-19,16500,16700,16300,16300,26502,-1.21
42,2009-08-20,16250,16600,16000,16400,56402,0.61
43,2009-08-21,16250,16400,15850,15950,69674,-2.74
44,2009-08-24,15950,16100,15300,15400,91956,-3.45
45,2009-08-25,15600,16000,15450,15450,57398,0.32
46,2009-08-26,15500,15750,15450,15650,25152,1.29
47,2009-08-27,15800,15850,15450,15450,34437,-1.28
48,2009-08-28,15600,15600,15200,15400,35441,-0.32
49,2009-08-31,15550,15900,15400,15400,39857,0.0
50,2009-09-01,15400,15600,15000,15100,46685,-1.95
51,2009-09-02,15200,15550,15000,15000,66840,-0.66
52,2009-09-03,15050,15500,14800,14950,106280,-0.33
53,2009-09-04,15000,15150,14600,14600,59550,-2.34
54,2009-09-07,14700,15100,14500,14650,46380,0.34
55,2009-09-08,14650,14850,14300,14500,85100,-1.02
56,2009-09-09,14500,14950,14250,14450,100804,-0.34
57,2009-09-10,14400,14700,14350,14500,42520,0.35
58,2009-09-11,14550,14700,14450,14600,45970,0.69
59,2009-09-14,14650,14950,14450,14600,52111,0.0
60,2009-09-15,14650,14700,13900,14150,112380,-3.08
61,2009-09-16,14150,14200,13850,13900,79209,-1.77
62,2009-09-17,14000,14400,13850,14150,76429,1.8
63,2009-09-18,14250,15800,14100,15350,307949,8.48
64,2009-09-21,15200,15800,14800,15750,152758,2.61
65,2009-09-22,15850,15950,15600,15850,82530,0.63
66,2009-09-23,15900,16500,15700,16500,83061,4.1
67,2009-09-24,16500,17350,16100,16450,156070,-0.3
68,2009-09-25,16200,16500,16100,16300,51221,-0.91
69,2009-09-28,16550,16550,15500,15750,56510,-3.37
70,2009-09-29,16150,16900,15950,16750,92616,6.35
71,2009-09-30,16750,17150,16200,16200,138358,-3.28
72,2009-10-01,16200,16850,16200,16750,64267,3.4
73,2009-10-05,16500,16550,15700,15800,50818,-5.67
74,2009-10-06,15800,16100,15450,15600,50824,-1.27
75,2009-10-07,15800,15850,15250,15250,27688,-2.24
76,2009-10-08,15900,16500,15650,16300,95620,6.89
77,2009-10-09,16450,16650,16000,16350,65191,0.31
78,2009-10-12,16500,16500,16000,16500,23715,0.92
79,2009-10-13,16350,16750,16150,16650,33196,0.91
80,2009-10-14,16700,17300,16600,17300,108104,3.9
81,2009-10-15,17400,17800,17050,17700,67701,2.31
82,2009-10-16,17700,17700,17200,17300,76870,-2.26
83,2009-10-19,17450,17900,17400,17750,88690,2.6
84,2009-10-20,18000,19000,17850,18800,198136,5.92
85,2009-10-21,18800,19350,18500,18600,114062,-1.06
86,2009-10-22,18350,18900,18250,18550,70082,-0.27
