,Date,Open,High,Low,Close,Volume,Change
0,2001-08-28,5680,5680,5680,5680,41878,100.28
1,2001-08-29,6360,6360,6360,6360,15211,11.97
2,2001-08-30,7120,7120,7120,7120,15504,11.95
3,2001-08-31,7970,7970,7250,7970,1272593,11.94
4,2001-09-03,7700,7770,7020,7040,515676,-11.67
5,2001-09-04,7110,7880,7050,7450,960401,5.82
6,2001-09-05,7050,7440,6570,7060,291271,-5.23
7,2001-09-06,7200,7200,6640,6640,164301,-5.95
8,2001-09-07,6510,7200,6210,6880,327461,3.61
9,2001-09-10,6650,7060,6610,6900,168028,0.29
10,2001-09-11,6800,6980,6710,6770,96848,-1.88
11,2001-09-12,5960,5960,5960,5960,6060,-11.96
12,2001-09-13,5260,6000,5260,5600,167532,-6.04
13,2001-09-14,5650,5900,4940,5500,120701,-1.79
14,2001-09-17,5500,5500,4900,5190,46151,-5.64
15,2001-09-18,5300,5810,5300,5810,80206,11.95
16,2001-09-19,5800,6500,5800,6500,108912,11.88
17,2001-09-20,6490,6650,6010,6110,47972,-6.0
18,2001-09-21,5900,6300,5500,6110,24742,0.0
19,2001-09-24,6010,6320,6010,6250,30545,2.29
20,2001-09-25,6250,6430,5920,6100,45418,-2.4
21,2001-09-26,6150,6250,6040,6110,47819,0.16
22,2001-09-27,6200,6200,6070,6190,24419,1.31
23,2001-09-28,6200,6530,6200,6470,40237,4.52
24,2001-10-04,6710,7000,6510,6840,35434,5.72
25,2001-10-05,7000,7330,6840,7010,115668,2.49
26,2001-10-08,7300,7300,6900,6910,52579,-1.43
27,2001-10-09,7010,7050,6940,6970,48202,0.87
28,2001-10-10,7000,7160,6700,7000,86088,0.43
29,2001-10-11,7110,7160,6900,6900,46752,-1.43
30,2001-10-12,6560,7170,6560,7020,76464,1.74
31,2001-10-15,7100,7110,6950,7000,84832,-0.28
32,2001-10-16,7150,7780,7030,7350,128023,5.0
33,2001-10-17,7490,7500,7180,7250,55370,-1.36
34,2001-10-18,7250,7460,7050,7400,59422,2.07
35,2001-10-19,7370,7670,7370,7550,75189,2.03
36,2001-10-22,7650,7690,7450,7630,54505,1.06
37,2001-10-23,7680,8540,7680,8100,261964,6.16
38,2001-10-24,8200,9070,8200,9070,165286,11.98
39,2001-10-25,9210,9430,8640,9170,230315,1.1
40,2001-10-26,9260,9950,9030,9500,123354,3.6
41,2001-10-29,9340,9800,9200,9200,116834,-3.16
42,2001-10-30,9100,9100,8670,8900,74483,-3.26
43,2001-10-31,8700,9440,8700,9200,73938,3.37
44,2001-11-01,9200,9640,9000,9250,64451,0.54
45,2001-11-02,9250,9690,9210,9510,131293,2.81
46,2001-11-05,9660,9660,9280,9440,69639,-0.74
47,2001-11-06,9510,9510,9270,9420,51174,-0.21
48,2001-11-07,9290,9700,9290,9600,98097,1.91
49,2001-11-08,9600,10750,9460,10750,120701,11.98
50,2001-11-09,11000,11350,10600,10750,148295,0.0
51,2001-11-12,11000,11150,10400,11000,89008,2.33
52,2001-11-13,11000,11950,10700,11450,166775,4.09
53,2001-11-14,11450,12100,11000,11300,120046,-1.31
54,2001-11-15,11300,11450,10700,11300,96929,0.0
55,2001-11-16,11200,11400,10700,10800,91904,-4.42
56,2001-11-19,10100,10500,9550,9550,147969,-11.57
57,2001-11-20,9000,9530,9000,9530,62875,11.99
58,2001-11-21,8390,9450,8390,8800,97218,-7.66
59,2001-11-22,8020,9600,8000,8500,39978,-3.41
60,2001-11-23,8500,9100,8400,8560,40556,0.71
61,2001-11-26,8560,8830,7700,8250,63277,-3.62
62,2001-11-27,8010,8700,8000,8550,33615,3.64
63,2001-11-28,8600,8600,8150,8390,22062,-1.87
64,2001-11-29,8210,8550,8120,8500,19984,1.31
65,2001-11-30,8500,8700,8400,8670,16869,2.0
66,2001-12-03,8990,8990,8310,8500,22393,-1.96
67,2001-12-04,8500,8590,8300,8590,20044,1.06
68,2001-12-05,8620,8620,8310,8600,15959,0.12
69,2001-12-06,8300,8540,8100,8500,22728,-1.16
70,2001-12-07,8330,8330,8000,8150,28137,-4.12
71,2001-12-10,8050,8150,7300,7300,100094,-10.43
72,2001-12-11,7010,7750,6800,7650,82492,4.79
73,2001-12-12,6800,7740,6800,6900,72665,-9.8
74,2001-12-13,7000,7400,6900,7100,35907,2.9
75,2001-12-14,6950,7200,6800,7100,34629,0.0
76,2001-12-17,7100,7190,6500,6690,65752,-5.77
77,2001-12-18,6300,6680,6000,6000,50232,-10.31
78,2001-12-19,6010,6550,5500,6500,56654,8.33
79,2001-12-20,6510,6580,5820,6000,35270,-7.69
80,2001-12-21,5730,6100,5700,5990,18951,-0.17
81,2001-12-24,6010,6700,6010,6700,42480,11.85
82,2001-12-26,6790,7500,6770,7390,64362,10.3
83,2001-12-27,7440,7680,7110,7300,24187,-1.22
84,2001-12-28,7400,7700,7100,7530,30291,3.15
85,2002-01-02,7400,8100,7330,8000,35964,6.24
86,2002-01-03,8240,8240,7610,7980,23570,-0.25
87,2002-01-04,8200,8200,7780,8050,25970,0.88
88,2002-01-07,8150,8180,7750,8080,45513,0.37
89,2002-01-08,7970,8000,7810,7900,69248,-2.23
90,2002-01-09,7600,7760,7000,7500,38197,-5.06
91,2002-01-10,7500,7500,6900,7500,15149,0.0
92,2002-01-11,6900,7580,6900,7300,26872,-2.67
93,2002-01-14,7090,7420,7080,7100,16405,-2.74
94,2002-01-15,7200,7200,6700,6800,38432,-4.23
95,2002-01-16,5990,6200,5990,6040,278677,-11.18
96,2002-01-17,6000,6550,5830,6320,178397,4.64
97,2002-01-18,6320,6900,6320,6850,120437,8.39
98,2002-01-21,6820,6940,6300,6700,55576,-2.19
99,2002-01-22,6700,7030,6700,7000,47284,4.48
100,2002-01-23,6980,7800,6900,7570,100559,8.14
101,2002-01-24,7600,7950,7600,7630,53981,0.79
102,2002-01-25,7600,8050,7600,7850,109549,2.88
103,2002-01-28,8000,8040,7700,7770,66790,-1.02
104,2002-01-29,7800,7950,7400,7680,38545,-1.16
105,2002-01-30,7500,7600,7180,7390,32446,-3.78
106,2002-01-31,7210,7360,6900,6900,46513,-6.63
107,2002-02-01,6600,6930,6600,6650,74666,-3.62
108,2002-02-04,6550,6690,6020,6250,35314,-6.02
109,2002-02-05,6050,6950,6050,6890,64483,10.24
110,2002-02-06,6900,7000,6550,6730,24556,-2.32
111,2002-02-07,6700,7000,6700,6780,25469,0.74
112,2002-02-08,6830,7530,6650,7440,175365,9.73
113,2002-02-14,7400,7900,7400,7660,44029,2.96
114,2002-02-15,7710,7760,7650,7750,43644,1.17
115,2002-02-18,7990,8350,7900,8050,150600,3.87
116,2002-02-19,8090,8120,7850,8100,121980,0.62
117,2002-02-20,8060,8140,7840,8000,67884,-1.23
118,2002-02-21,7700,8250,7700,8250,91051,3.13
119,2002-02-22,8310,8450,8160,8450,68230,2.42
120,2002-02-25,8510,8550,8250,8440,64474,-0.12
121,2002-02-26,8400,8900,8350,8600,161256,1.9
122,2002-02-27,8650,8900,8600,8890,86562,3.37
123,2002-02-28,8820,9100,8760,9050,162786,1.8
124,2002-03-04,9150,9150,8900,9090,120994,0.44
125,2002-03-05,8980,9230,8980,9230,117936,1.54
126,2002-03-06,9070,9240,8900,9100,60303,-1.41
127,2002-03-07,9200,9200,8600,8600,61426,-5.49
128,2002-03-08,8600,8650,8240,8410,79564,-2.21
129,2002-03-11,8250,8440,7900,7900,109336,-6.06
130,2002-03-12,7900,8280,7850,8250,127190,4.43
131,2002-03-13,8400,8850,8190,8780,194943,6.42
132,2002-03-14,9000,9000,8430,8700,115122,-0.91
133,2002-03-15,8460,8950,8460,8700,118489,0.0
134,2002-03-18,8280,8600,8200,8350,144970,-4.02
135,2002-03-19,8210,8260,7800,7900,127108,-5.39
136,2002-03-20,7620,8000,7500,7700,182268,-2.53
137,2002-03-21,7720,8030,7700,7910,59258,2.73
138,2002-03-22,8030,8030,7700,7710,49884,-2.53
139,2002-03-25,7800,8100,7720,7880,63571,2.2
140,2002-03-26,7950,7960,7700,7880,81426,0.0
141,2002-03-27,7930,8340,7860,8250,102175,4.7
142,2002-03-28,8270,8360,8100,8220,59365,-0.36
143,2002-03-29,8220,8220,7990,8200,68856,-0.24
144,2002-04-01,8080,8090,7220,7220,57170,-11.95
145,2002-04-02,7220,7220,6610,6750,105685,-6.51
146,2002-04-03,6800,6900,6200,6300,71065,-6.67
147,2002-04-04,6200,6650,6100,6500,85014,3.17
148,2002-04-08,6500,6690,6490,6570,20022,1.08
149,2002-04-09,6650,6790,6580,6790,28634,3.35
150,2002-04-10,6750,6760,6320,6400,26693,-5.74
151,2002-04-11,6330,6510,6220,6500,23973,1.56
152,2002-04-12,6500,7280,6500,7280,91583,12.0
153,2002-04-15,7030,7600,7030,7210,50143,-0.96
154,2002-04-16,7210,7600,7200,7500,52880,4.02
155,2002-04-17,7350,7800,7350,7510,54621,0.13
