,Date,Open,High,Low,Close,Volume,Change
0,2001-11-01,64287,64287,64287,64287,1688,NaN
1,2001-11-02,71993,71993,71993,71992,3775,11.99
2,2001-11-05,80579,80579,79038,80579,414022,11.93
3,2001-11-06,82781,84542,77497,77937,663405,-3.28
4,2001-11-07,79698,87183,78597,87183,455067,11.86
5,2001-11-08,89826,92908,81900,82120,722866,-5.81
6,2001-11-09,80579,80579,75075,76836,209436,-6.43
7,2001-11-12,76836,79258,73974,76616,173978,-0.29
8,2001-11-13,77497,80139,75296,77717,261798,1.44
9,2001-11-14,79258,79698,76175,76395,162923,-1.7
10,2001-11-15,75735,77056,68470,70451,227591,-7.78
11,2001-11-16,70452,70892,66489,70011,132417,-0.62
12,2001-11-19,68690,73974,68690,70451,139447,0.63
13,2001-11-20,70672,71332,66929,66928,102515,-5.0
14,2001-11-21,65608,68691,65168,66048,126414,-1.31
15,2001-11-22,65609,67590,64728,65388,79590,-1.0
16,2001-11-23,64948,67590,64728,66048,169663,1.01
17,2001-11-26,66930,69572,64948,65168,170930,-1.33
18,2001-11-27,65168,70451,65168,68690,309514,5.4
19,2001-11-28,67370,69131,60545,60544,158878,-11.86
20,2001-11-29,60545,60545,56362,58563,87176,-3.27
21,2001-11-30,58563,60985,57462,58783,133190,0.38
22,2001-12-03,59004,65829,59004,65388,693406,11.24
23,2001-12-04,66929,68030,64727,64727,340692,-1.01
24,2001-12-05,65168,66489,61205,62526,218117,-3.4
25,2001-12-06,63186,64727,58783,59443,245343,-4.93
26,2001-12-07,60325,60985,58343,58563,319798,-1.48
27,2001-12-10,59444,60765,58123,60764,216833,3.76
28,2001-12-11,60764,60764,57241,59002,140353,-2.9
29,2001-12-12,58122,59443,56801,59002,199227,0.0
30,2001-12-13,59664,63627,59444,62966,339368,6.72
31,2001-12-14,62526,63627,61205,62966,195015,0.0
32,2001-12-17,64288,65168,60104,60324,228995,-4.2
33,2001-12-18,60325,62306,56802,56802,128593,-5.84
34,2001-12-19,56361,57682,50197,50637,292515,-10.85
35,2001-12-20,51077,51077,46674,49536,146125,-2.17
36,2001-12-21,46234,50197,46234,48655,148270,-1.78
37,2001-12-24,47335,49537,43372,43371,163316,-10.86
38,2001-12-26,43152,45353,41390,42182,209755,-2.74
39,2001-12-27,42183,46894,41478,45793,307448,8.56
40,2001-12-28,44473,48876,44473,47334,260216,3.37
41,2002-01-02,48656,48876,46895,46894,311341,-0.93
42,2002-01-03,47335,49977,45574,49976,519895,6.57
43,2002-01-04,50857,52839,49976,51077,476025,2.2
44,2002-01-07,51958,54380,49977,49976,470287,-2.16
45,2002-01-08,48876,50637,48215,48655,219776,-2.64
46,2002-01-09,49977,52619,49316,50637,389099,4.07
47,2002-01-10,50197,50857,48215,49316,211669,-2.61
48,2002-01-11,48656,49977,48216,48215,125972,-2.23
49,2002-01-14,48215,48215,46233,46673,132671,-3.2
50,2002-01-15,46674,46894,43592,44472,156370,-4.72
51,2002-01-16,43592,46674,43592,45353,143760,1.98
52,2002-01-17,44692,48435,43812,48434,155219,6.79
53,2002-01-18,48436,49977,45353,45353,167976,-6.36
54,2002-01-21,45793,49316,45793,49316,214197,8.74
55,2002-01-22,48436,51298,48216,50197,301608,1.79
56,2002-01-23,50197,56141,49536,56141,816754,11.84
57,2002-01-24,57682,62745,56361,57241,1281951,1.96
58,2002-01-25,59884,60544,55701,58122,478811,1.54
59,2002-01-28,60324,64948,60324,64947,879576,11.74
60,2002-01-29,68030,72213,63627,67149,1312024,3.39
61,2002-01-30,64948,68911,64508,67149,444342,0.0
62,2002-01-31,68250,71332,65388,69571,970442,3.61
63,2002-02-01,70671,72653,67369,69790,637093,0.31
64,2002-02-04,68690,70231,61425,61424,460109,-11.99
65,2002-02-05,59664,63847,58343,62526,260505,1.79
66,2002-02-06,60104,62966,59444,59443,110736,-4.93
67,2002-02-07,58122,61645,58122,60103,178331,1.11
68,2002-02-08,61205,64727,59444,64727,167432,7.69
69,2002-02-14,65608,68910,65168,68690,180407,6.12
70,2002-02-15,66489,68030,64287,64727,114290,-5.77
71,2002-02-18,66048,66048,62966,64727,103303,0.0
72,2002-02-19,64727,64727,61205,61424,191382,-5.1
73,2002-02-20,59444,60104,55921,57682,247187,-6.09
74,2002-02-21,58123,59664,57242,59443,299092,3.05
75,2002-02-22,58122,59443,54379,57241,285443,-3.7
76,2002-02-25,57243,58343,54160,54600,324293,-4.61
77,2002-02-26,55481,57903,55041,55480,263883,1.61
78,2002-02-27,55701,57022,54821,56582,180503,1.99
79,2002-02-28,57462,60104,56802,59443,289652,5.06
80,2002-03-04,62526,66048,61865,63626,434690,7.04
81,2002-03-05,64727,67369,62966,63406,482951,-0.35
82,2002-03-06,63846,66708,62746,65827,306562,3.82
83,2002-03-07,67810,70672,61646,65168,653431,-1.0
84,2002-03-08,62966,65608,62746,63846,177338,-2.03
85,2002-03-11,65168,68470,63847,66048,433888,3.45
86,2002-03-12,64727,66048,63406,63846,198266,-3.33
87,2002-03-13,65168,67589,63847,66928,292899,4.83
88,2002-03-14,64727,66929,64507,65607,153698,-1.97
89,2002-03-15,65608,71332,65168,70451,563962,7.38
90,2002-03-18,72214,75076,69351,73974,680490,5.0
91,2002-03-19,72654,73975,69571,72873,659112,-1.49
92,2002-03-20,73534,74195,67150,67149,438504,-7.85
93,2002-03-21,65167,66929,64507,65607,260366,-2.3
94,2002-03-22,68691,68911,66929,67369,325481,2.69
95,2002-03-25,66708,69791,65608,67809,309956,0.65
96,2002-03-26,66048,67810,63406,63406,319046,-6.49
97,2002-03-27,64288,67370,62967,67369,367889,6.25
98,2002-03-28,68251,69351,65168,65168,372881,-3.27
99,2002-03-29,65168,66048,62305,63406,163238,-2.7
100,2002-04-01,64287,64287,59223,59883,207538,-5.56
101,2002-04-02,59884,61645,58563,60764,147487,1.47
102,2002-04-03,59444,60545,53720,56582,410202,-6.88
103,2002-04-04,55921,57902,55481,56361,175000,-0.39
104,2002-04-08,56361,56582,54160,55921,184998,-0.78
105,2002-04-09,56581,58562,55700,57241,273689,2.36
106,2002-04-10,55921,56361,51297,52838,220999,-7.69
107,2002-04-11,51958,53719,51077,53058,168173,0.42
108,2002-04-12,50197,52398,50197,50857,97728,-4.15
109,2002-04-15,51518,53720,51078,52178,170327,2.6
110,2002-04-16,51517,54600,51517,53278,137716,2.11
111,2002-04-17,54160,54600,52398,52838,129780,-0.83
112,2002-04-18,53940,53940,51078,51738,112560,-2.08
113,2002-04-19,50638,51518,47555,47775,168236,-7.66
114,2002-04-22,47775,47775,43768,45133,185585,-5.53
115,2002-04-23,43900,44472,42315,42710,180864,-5.37
116,2002-04-24,42711,43592,41698,42710,126014,0.0
117,2002-04-25,42315,42579,40289,40421,114591,-5.36
118,2002-04-26,40069,42711,40069,42710,113891,5.66
119,2002-04-29,41831,44473,40950,43944,109311,2.89
120,2002-04-30,44032,45133,42711,44032,179041,0.2
121,2002-05-02,44693,46894,44472,45793,162748,4.0
122,2002-05-03,44913,45573,43592,44032,78643,-3.85
123,2002-05-06,43592,46454,42535,43856,161364,-0.4
124,2002-05-07,42755,45133,42755,44252,84217,0.9
125,2002-05-08,45574,45574,44473,44913,67208,1.49
126,2002-05-09,45793,49756,45793,46233,233598,2.94
127,2002-05-10,46234,48876,44693,45133,171418,-2.38
128,2002-05-13,44032,45133,43592,44032,88428,-2.44
129,2002-05-14,44913,46234,44473,45353,85878,3.0
130,2002-05-15,45794,47995,45794,47334,148971,4.37
131,2002-05-16,47335,47335,45794,46894,70492,-0.93
132,2002-05-17,46674,49536,46014,49095,197700,4.69
133,2002-05-20,48656,49536,47335,47554,84104,-3.14
134,2002-05-21,46674,48875,43944,44692,158216,-6.02
135,2002-05-22,44032,45793,43240,44032,111078,-1.48
136,2002-05-23,44032,45133,42051,42050,98726,-4.5
137,2002-05-24,42051,43064,41215,41302,122389,-1.78
138,2002-05-27,40862,41831,40334,40333,85658,-2.35
139,2002-05-28,41039,41655,38793,38793,135112,-3.82
140,2002-05-29,38749,38749,35226,35930,182515,-7.38
141,2002-05-30,35490,36458,35005,35885,82885,-0.13
142,2002-05-31,35930,36503,34785,35093,94855,-2.21
143,2002-06-03,35358,35358,33773,34169,60888,-2.63
144,2002-06-04,32804,34346,32804,34169,83511,0.0
145,2002-06-05,34962,35930,34653,34917,82907,2.19
146,2002-06-07,33861,33905,32980,32980,48351,-5.55
147,2002-06-10,33025,34169,33025,34169,32497,3.61
148,2002-06-11,34345,34345,33552,33904,30851,-0.78
149,2002-06-12,33949,34786,33905,34741,33356,2.47
150,2002-06-14,34565,35578,34345,34829,33460,0.25
151,2002-06-17,35402,35710,34698,34697,22840,-0.38
152,2002-06-18,34917,35226,33640,33640,42544,-3.05
153,2002-06-19,33288,33332,29722,30161,47305,-10.34
154,2002-06-20,30383,30383,28621,29105,39613,-3.5
155,2002-06-21,28665,28665,27608,28356,51771,-2.57
156,2002-06-24,28269,28401,25230,28400,152343,0.16
157,2002-06-25,29942,31791,26551,26551,326473,-6.51
158,2002-06-26,24659,24879,23382,23381,76948,-11.94
159,2002-06-27,23557,24350,22676,23160,99076,-0.95
160,2002-06-28,23249,24790,23249,24437,158319,5.51
161,2002-07-02,23425,24086,22809,23777,109542,-2.7
162,2002-07-03,23161,25979,23029,25539,190203,7.41
163,2002-07-04,26419,27168,25539,26199,250666,2.58
164,2002-07-05,25979,28092,25979,27211,273578,3.86
165,2002-07-08,28180,29413,26683,26859,347073,-1.29
166,2002-07-09,27521,28754,26860,28621,386725,6.56
167,2002-07-10,28621,30603,28181,29589,319586,3.38
168,2002-07-11,29545,29545,27299,27607,266554,-6.7
169,2002-07-12,27828,28268,27211,27387,174280,-0.8
170,2002-07-15,26860,27212,26199,26419,156381,-3.53
171,2002-07-16,26551,26640,24218,24437,122821,-7.5
172,2002-07-18,25098,25715,24702,24878,97110,1.8
173,2002-07-19,23998,24218,22985,23777,68477,-4.43
174,2002-07-22,21664,22589,20959,20959,132363,-11.85
175,2002-07-23,20739,22545,20255,22544,167428,7.56
176,2002-07-24,22104,22104,20827,21311,145258,-5.47
177,2002-07-25,22809,22809,21311,21355,76424,0.21
178,2002-07-26,20739,21444,19859,20695,137292,-3.09
179,2002-07-29,21576,21664,20387,20519,81581,-0.85
180,2002-07-30,21003,21796,21003,21047,107566,2.57
181,2002-07-31,21180,21312,20695,20695,63776,-1.67
182,2002-08-01,21223,21311,19902,20166,89850,-2.56
183,2002-08-02,19595,20035,19331,19727,72890,-2.18
184,2002-08-05,19154,19595,18714,18890,49725,-4.24
185,2002-08-06,18141,19154,17877,18493,94141,-2.1
186,2002-08-07,18934,19903,18934,19727,109636,6.67
187,2002-08-08,20034,20783,19726,20166,91757,2.23
188,2002-08-09,20431,21136,20343,20343,157296,0.88
189,2002-08-12,20651,20695,19814,19990,39314,-1.74
190,2002-08-13,20035,20299,19683,20255,60585,1.33
191,2002-08-14,19727,20475,19727,20343,101908,0.43
192,2002-08-16,21135,21575,20298,20474,133464,0.64
193,2002-08-19,20475,20827,19947,20607,79218,0.65
194,2002-08-20,20740,22501,20475,22016,449477,6.84
195,2002-08-21,22105,22369,21620,22016,125095,0.0
196,2002-08-22,22236,23293,21620,22412,252952,1.8
197,2002-08-23,22853,22853,21488,21487,117574,-4.13
198,2002-08-26,24041,24041,23997,24041,268598,11.89
199,2002-08-27,26904,26904,23601,24085,1128938,0.18
200,2002-08-28,24085,25846,22544,23820,719341,-1.1
201,2002-08-29,24042,24042,22280,22896,246302,-3.88
202,2002-08-30,22897,24659,22237,23381,535555,2.12
203,2002-09-02,23117,23866,22589,22632,309057,-3.2
204,2002-09-03,22633,23514,22060,22104,284602,-2.33
205,2002-09-04,21576,21972,20915,21179,156585,-4.18
206,2002-09-05,20783,21752,20783,20783,168302,-1.87
207,2002-09-06,20255,20519,19286,19374,139104,-6.78
208,2002-09-09,19595,19595,17173,17172,179199,-11.37
209,2002-09-10,17613,17745,17041,17260,93861,0.51
210,2002-09-11,17613,18670,17393,18669,173599,8.16
211,2002-09-12,18538,18934,18186,18537,102161,-0.71
212,2002-09-13,17833,18053,17701,17832,66873,-3.8
213,2002-09-16,18098,18142,17305,18053,157569,1.24
214,2002-09-17,18274,18626,18142,18361,99553,1.71
215,2002-09-18,17745,17921,17393,17392,88373,-5.28
216,2002-09-19,17173,17569,16953,17216,57052,-1.01
217,2002-09-23,17216,17216,16292,16731,83837,-2.82
218,2002-09-24,16160,16512,15852,15851,49820,-5.26
219,2002-09-25,15676,15852,14839,15191,52943,-4.16
220,2002-09-26,15632,15940,14839,14883,71615,-2.03
221,2002-09-27,14971,15236,14707,14883,41375,0.0
222,2002-09-30,14310,14530,13209,13473,63822,-9.47
223,2002-10-01,12769,13782,12769,13738,51875,1.97
224,2002-10-02,14267,14443,13782,13782,70106,0.32
225,2002-10-04,13253,13914,13253,13561,40838,-1.6
226,2002-10-07,13430,13430,12990,13033,58400,-3.89
227,2002-10-08,12593,13518,12593,13430,66812,3.05
228,2002-10-09,13562,13738,13254,13298,54085,-0.98
229,2002-10-10,13077,13121,12329,12769,65006,-3.98
230,2002-10-11,13209,13562,12681,12945,88122,1.38
231,2002-10-14,13518,14487,13430,14487,238456,11.91
232,2002-10-15,14751,15720,14311,14795,259893,2.13
233,2002-10-16,15235,15235,13914,14134,220935,-4.47
234,2002-10-17,14090,15808,13870,15807,397524,11.84
235,2002-10-18,16292,17261,16292,16776,317815,6.13
236,2002-10-21,16732,16732,15411,15454,214036,-7.88
237,2002-10-22,15676,15940,14751,14971,123744,-3.13
238,2002-10-23,15103,16689,14971,16688,307338,11.47
239,2002-10-24,17129,18185,16776,17172,476203,2.9
240,2002-10-25,16336,16732,16072,16247,128529,-5.39
241,2002-10-28,17172,17172,15895,16115,192024,-0.81
242,2002-10-29,15852,16424,15719,15807,123775,-1.91
243,2002-10-30,15807,16115,14970,15454,76449,-2.23
244,2002-10-31,15367,15631,14927,14926,96687,-3.42
245,2002-11-01,14971,15015,14310,14662,76881,-1.77
246,2002-11-04,14839,15060,14531,14707,64031,0.31
247,2002-11-05,14751,15103,14134,14398,72744,-2.1
248,2002-11-06,14486,15411,14442,15146,201478,5.2
249,2002-11-07,15279,16072,14751,15543,265538,2.62
250,2002-11-08,15235,15543,15015,15543,98238,0.0
251,2002-11-11,15543,16027,14662,14662,119463,-5.67
252,2002-11-12,14222,14442,14090,14222,75004,-3.0
253,2002-11-13,14311,14487,13782,13870,78746,-2.48
254,2002-11-14,13650,14311,13122,13430,60655,-3.17
255,2002-11-15,13518,13870,13474,13738,70226,2.29
256,2002-11-18,13562,14091,13034,13210,139148,-3.84
257,2002-11-19,12990,13826,12990,13606,59953,3.0
258,2002-11-20,13430,13870,13342,13870,56454,1.94
259,2002-11-21,14090,14487,13694,13826,140222,-0.32
260,2002-11-22,14046,14134,13738,14046,64846,1.59
261,2002-11-25,14090,14354,13958,14266,43812,1.57
262,2002-11-26,14487,14663,14178,14222,41164,-0.31
263,2002-11-27,14090,15059,13958,14926,93621,4.95
264,2002-11-28,15499,16204,15103,15807,196034,5.9
265,2002-11-29,15807,16512,15455,16511,189266,4.45
266,2002-12-02,16865,17877,16424,16864,301510,2.14
267,2002-12-03,17041,17261,16424,16952,186096,0.52
268,2002-12-04,16689,16689,15764,16072,116843,-5.19
269,2002-12-05,15720,16997,15500,16952,196686,5.48
270,2002-12-06,16908,18978,16732,18273,871455,7.79
271,2002-12-09,18670,20343,18450,19066,604641,4.34
272,2002-12-10,18625,18625,17657,18096,256185,-5.09
273,2002-12-11,18538,19903,17789,19242,698811,6.33
274,2002-12-12,19242,19770,18714,19242,325319,0.0
275,2002-12-13,19242,19242,18053,18096,259170,-5.96
276,2002-12-16,17437,17613,16292,16291,222557,-9.97
277,2002-12-17,16644,17172,16116,16203,198592,-0.54
278,2002-12-18,15851,16820,15543,16027,173333,-1.09
279,2002-12-20,16028,16380,15895,16291,102039,1.65
280,2002-12-23,16160,16468,14486,14530,156064,-10.81
281,2002-12-24,14002,14751,13210,13738,101339,-5.45
282,2002-12-26,13474,14311,13430,13650,85448,-0.64
283,2002-12-27,13210,13694,13034,13210,58676,-3.22
284,2002-12-30,12770,12770,12110,12505,58167,-5.34
285,2003-01-02,12769,13958,12769,13958,109149,11.62
286,2003-01-03,14399,15632,13958,15411,281760,10.41
287,2003-01-06,15940,17261,15588,17260,563785,12.0
288,2003-01-07,18274,18274,16292,16688,591864,-3.31
289,2003-01-08,16953,18670,16468,18669,613351,11.87
290,2003-01-09,18890,20475,17833,19550,1115135,4.72
291,2003-01-10,19594,21576,18273,19550,1378785,0.0
