,Date,Open,High,Low,Close,Volume,Change
0,2003-07-11,13000,14550,13000,14550,144,11.92
1,2003-07-14,16250,16250,16250,16250,502,11.68
2,2003-07-15,18200,18200,18200,18200,791,12.0
3,2003-07-16,20350,20350,20350,20350,4671,11.81
4,2003-07-18,22750,22750,22750,22750,146014,11.79
5,2003-07-21,24000,24800,20050,20050,646043,-11.87
6,2003-07-22,19500,22450,18800,22450,465881,11.97
7,2003-07-23,23000,25100,22050,25100,567104,11.8
8,2003-07-24,25700,26500,22100,22700,410097,-9.56
9,2003-07-25,22200,22700,20200,21300,180481,-6.17
10,2003-07-28,21300,22400,20500,21300,231276,0.0
11,2003-07-29,21350,22200,21250,21350,167776,0.23
12,2003-07-30,21400,22000,20200,20400,114668,-4.45
13,2003-07-31,20100,20500,19000,19100,169352,-6.37
14,2003-08-01,18900,21350,18900,20900,316633,9.42
15,2003-08-04,20150,20600,18900,19800,121287,-5.26
16,2003-08-05,20600,21100,20350,20850,114475,5.3
17,2003-08-06,20300,20550,19550,19900,97542,-4.56
18,2003-08-07,20000,20300,19450,20000,82853,0.5
19,2003-08-08,20500,22400,20350,21800,576886,9.0
20,2003-08-11,21900,22700,20900,22700,262933,4.13
21,2003-08-12,23450,24200,22300,22500,346626,-0.88
22,2003-08-13,23200,25000,22600,24000,340598,6.67
23,2003-08-14,23800,24700,23000,24350,249534,1.46
24,2003-08-18,24000,24700,23300,23500,186297,-3.49
25,2003-08-19,23900,24100,21850,22300,170282,-5.11
26,2003-08-20,22300,22850,21800,22850,88295,2.47
27,2003-08-21,22800,23300,21100,21700,127331,-5.03
28,2003-08-22,21350,22500,20950,21400,74491,-1.38
29,2003-08-25,21000,21400,20650,21100,62564,-1.4
30,2003-08-26,21000,21650,21000,21200,86738,0.47
31,2003-08-27,21500,21500,20250,20450,71154,-3.54
32,2003-08-28,20200,20400,18000,18750,175985,-8.31
33,2003-08-29,19000,19550,18000,19500,127781,4.0
34,2003-09-01,20100,20100,18800,19000,95934,-2.56
35,2003-09-02,18800,20600,18550,19850,182459,4.47
36,2003-09-03,19850,20850,19800,20100,158812,1.26
37,2003-09-04,20150,20200,19150,19150,63486,-4.73
38,2003-09-05,19400,19400,18650,19350,48048,1.04
39,2003-09-08,19350,19350,18500,19000,41973,-1.81
40,2003-09-09,18800,19150,18600,18700,54426,-1.58
41,2003-09-15,18100,18100,16900,16950,296191,-9.36
42,2003-09-16,16800,17500,16700,17500,197271,3.24
43,2003-09-17,17600,17750,17300,17400,179490,-0.57
44,2003-09-18,17500,18400,17500,18400,473534,5.75
45,2003-09-19,18600,18600,17450,17600,274012,-4.35
46,2003-09-22,17900,18150,15500,16900,248339,-3.98
47,2003-09-23,17300,18250,17000,18000,342043,6.51
48,2003-09-24,18600,20150,18500,19300,779444,7.22
49,2003-09-25,18900,19850,18150,19850,291656,2.85
50,2003-09-26,19700,20200,18850,18850,368318,-5.04
51,2003-09-29,18800,19500,18050,18400,292171,-2.39
52,2003-09-30,18750,18950,17700,17700,225161,-3.8
53,2003-10-01,17200,17800,17100,17500,151793,-1.13
54,2003-10-02,18000,18950,17900,18850,434911,7.71
55,2003-10-06,19000,19500,18650,19100,203123,1.33
56,2003-10-07,19500,19850,18900,19400,295603,1.57
57,2003-10-08,19800,19800,19200,19200,193084,-1.03
58,2003-10-09,19050,20850,19000,20600,313199,7.29
59,2003-10-10,20600,21600,20200,20700,298674,0.49
60,2003-10-13,20550,21250,20250,20850,104470,0.72
61,2003-10-14,21450,21450,20500,21200,126907,1.68
62,2003-10-15,21300,21900,21000,21500,166139,1.42
63,2003-10-16,21300,22650,21300,22600,318995,5.12
64,2003-10-17,22850,22900,21800,22300,100332,-1.33
65,2003-10-20,22000,22700,21700,22350,95365,0.22
66,2003-10-21,22650,22650,21400,21400,67438,-4.25
67,2003-10-22,21200,21700,20700,21650,128297,1.17
68,2003-10-23,21300,21500,20600,21200,82642,-2.08
69,2003-10-24,21200,21450,20600,21250,52027,0.24
70,2003-10-27,21200,21950,21000,21950,80729,3.29
71,2003-10-28,22250,22450,21800,22400,95384,2.05
72,2003-10-29,22400,22700,20900,20900,92976,-6.7
73,2003-10-30,20900,21000,19800,20550,138106,-1.67
74,2003-10-31,20550,21600,20100,20850,159314,1.46
75,2003-11-03,20700,21250,20700,20900,56616,0.24
76,2003-11-04,20900,21200,19450,20100,145383,-3.83
77,2003-11-05,19800,20000,17700,17700,335163,-11.94
78,2003-11-06,17700,18250,16350,17850,175910,0.85
79,2003-11-07,18200,18200,17200,17800,86325,-0.28
80,2003-11-10,17300,18800,17200,18000,105512,1.12
81,2003-11-11,17850,18500,17850,18500,35552,2.78
82,2003-11-12,18700,18750,17900,18350,59409,-0.81
83,2003-11-13,18500,18750,17700,18450,83218,0.54
84,2003-11-14,18250,18500,17900,17900,38044,-2.98
85,2003-11-17,17650,17900,17400,17550,34022,-1.96
86,2003-11-18,17550,17800,17300,17600,27408,0.28
87,2003-11-19,17800,19450,17500,19000,201097,7.95
88,2003-11-20,19300,19600,18350,18700,78299,-1.58
89,2003-11-21,18450,19200,18250,18850,48919,0.8
90,2003-11-24,19100,19750,18500,18650,134584,-1.06
91,2003-11-25,19000,20650,18850,20300,246962,8.85
92,2003-11-26,20600,20800,19900,20800,81516,2.46
93,2003-11-27,20300,20500,19700,19700,55278,-5.29
94,2003-11-28,19750,20000,19200,19900,82205,1.02
95,2003-12-01,20050,20100,19500,20000,63870,0.5
96,2003-12-02,20500,21300,20350,21050,197368,5.25
97,2003-12-03,21500,21500,20500,20600,76155,-2.14
98,2003-12-04,20800,22250,20800,21600,259949,4.85
99,2003-12-05,21850,21850,20950,21550,101990,-0.23
100,2003-12-08,21550,21550,20800,21000,65084,-2.55
101,2003-12-09,20900,21350,19750,20000,154207,-4.76
102,2003-12-10,20200,20400,17650,19100,834275,-4.5
103,2003-12-11,19600,19750,18900,19200,191355,0.52
104,2003-12-12,19500,19650,18550,18750,167482,-2.34
105,2003-12-15,18900,19450,18500,19150,166457,2.13
106,2003-12-16,18850,19600,18550,19550,168883,2.09
107,2003-12-17,19700,19850,19200,19650,85828,0.51
108,2003-12-18,20250,22000,20100,21900,681381,11.45
109,2003-12-19,22000,22250,19500,19650,404913,-10.27
110,2003-12-22,19500,20300,18500,18800,250629,-4.33
111,2003-12-23,18950,19400,18100,18100,133105,-3.72
112,2003-12-24,18150,18450,17600,17700,73796,-2.21
113,2003-12-26,17650,17950,17600,17700,88554,0.0
114,2003-12-29,17500,18700,17500,18500,68884,4.52
115,2003-12-30,19000,19200,18700,19000,68659,2.7
116,2004-01-02,19250,19600,18800,19000,58837,0.0
117,2004-01-05,19200,19250,18350,18600,51768,-2.11
118,2004-01-06,18650,19000,17900,18000,68261,-3.23
119,2004-01-07,18250,18250,17850,18150,41481,0.83
120,2004-01-08,18100,18250,17650,17650,46493,-2.75
121,2004-01-09,17800,18600,17650,18000,133487,1.98
122,2004-01-12,17900,18200,17300,17600,104184,-2.22
123,2004-01-13,17700,17900,17350,17400,105401,-1.14
124,2004-01-14,17500,17500,16650,16700,129030,-4.02
125,2004-01-15,16650,16700,15900,16100,99401,-3.59
126,2004-01-16,16300,16650,16150,16300,47187,1.24
127,2004-01-19,16350,16850,16350,16350,81127,0.31
128,2004-01-20,16500,16600,15750,16350,53564,0.0
129,2004-01-26,16450,16500,16200,16400,37030,0.31
130,2004-01-27,16250,16500,15750,15800,59963,-3.66
131,2004-01-28,15550,15750,14500,15000,125053,-5.06
132,2004-01-29,15000,15800,14450,15450,147162,3.0
133,2004-01-30,15850,15850,15300,15300,45075,-0.97
134,2004-02-02,15300,15550,14750,15050,76385,-1.63
135,2004-02-03,14900,15350,14500,14500,65230,-3.65
136,2004-02-04,14450,15200,14300,14650,90230,1.03
137,2004-02-05,14900,15350,14900,15000,93402,2.39
138,2004-02-06,14950,15300,14900,15000,43350,0.0
139,2004-02-09,15100,15700,14900,14900,105390,-0.67
140,2004-02-10,15200,15200,14450,14500,89163,-2.68
141,2004-02-11,14900,15350,14800,15300,101753,5.52
142,2004-02-12,15300,15550,14900,15400,148254,0.65
143,2004-02-13,15500,16100,15200,15700,176635,1.95
144,2004-02-16,15700,16000,15250,15600,76143,-0.64
145,2004-02-17,15500,15950,15450,15600,86225,0.0
146,2004-02-18,15550,15800,14750,14800,114728,-5.13
147,2004-02-19,14800,15500,14650,14900,96528,0.68
148,2004-02-20,14750,15000,14250,14350,118874,-3.69
149,2004-02-23,14250,14500,14250,14350,44308,0.0
150,2004-02-24,14300,14350,13500,14050,80687,-2.09
151,2004-02-25,13800,14100,12950,13100,142058,-6.76
152,2004-02-26,13100,13350,12300,12300,124745,-6.11
153,2004-02-27,12300,12950,12250,12550,114251,2.03
154,2004-03-02,12400,12650,12000,12000,140222,-4.38
155,2004-03-03,11900,12500,11900,12400,144776,3.33
156,2004-03-04,12500,12800,12050,12200,128310,-1.61
157,2004-03-05,12200,12550,12050,12500,102134,2.46
158,2004-03-08,12700,13050,12400,13000,141054,4.0
159,2004-03-09,12850,13100,12700,12800,76956,-1.54
160,2004-03-10,12500,13050,12200,12200,158652,-4.69
161,2004-03-11,12100,12450,12050,12400,62173,1.64
162,2004-03-12,12200,12950,11200,12200,194338,-1.61
163,2004-03-15,12200,13050,12200,12950,148763,6.15
164,2004-03-16,12800,13500,12700,13300,123019,2.7
165,2004-03-17,13600,14100,13600,14000,124452,5.26
166,2004-03-18,14000,14300,13750,14250,133374,1.79
167,2004-03-19,14150,14300,14000,14200,61547,-0.35
168,2004-03-22,14150,14150,13650,13800,56697,-2.82
169,2004-03-23,13500,13850,13400,13800,35846,0.0
170,2004-03-24,13550,14350,13550,14000,53785,1.45
171,2004-03-25,13800,14700,13800,13900,100524,-0.71
172,2004-03-26,14200,14300,13300,13300,56883,-4.32
173,2004-03-29,13500,13600,13300,13600,49490,2.26
174,2004-03-30,13650,13850,13450,13650,40268,0.37
175,2004-03-31,13700,13850,13650,13700,32357,0.37
176,2004-04-01,13700,14250,13500,14250,52853,4.01
177,2004-04-02,14350,14750,14150,14550,70026,2.11
178,2004-04-06,14800,14950,14300,14650,83363,0.69
179,2004-04-07,14650,14900,14500,14600,57720,-0.34
180,2004-04-08,14850,15750,14700,15750,219458,7.88
181,2004-04-09,16000,16350,15950,15950,191917,1.27
182,2004-04-12,16000,16200,15500,15800,74020,-0.94
183,2004-04-13,16200,16200,14700,15000,112108,-5.06
184,2004-04-14,14850,15300,14600,15250,49843,1.67
185,2004-04-16,14950,15150,14600,14700,55734,-3.61
186,2004-04-19,15000,15100,14700,15000,73386,2.04
187,2004-04-20,15000,15800,14900,15450,83821,3.0
188,2004-04-21,15250,16200,15250,15750,102630,1.94
189,2004-04-22,16000,16200,15500,15550,71027,-1.27
190,2004-04-23,16000,17400,16000,16850,244116,8.36
191,2004-04-26,17300,17500,16850,17100,148660,1.48
192,2004-04-27,17400,17600,16500,17500,107864,2.34
193,2004-04-28,17650,17800,17300,17550,115750,0.29
194,2004-04-29,17200,17250,15750,16150,82533,-7.98
195,2004-04-30,15500,16450,14700,16350,88541,1.24
196,2004-05-03,16350,16500,16100,16150,26650,-1.22
197,2004-05-04,16100,17000,16100,16350,95667,1.24
198,2004-05-06,16800,16800,15900,16100,95412,-1.53
199,2004-05-07,16100,16300,15500,16050,46417,-0.31
200,2004-05-10,15700,16250,14150,14150,72597,-11.84
201,2004-05-11,13550,14150,12500,13000,187699,-8.13
202,2004-05-12,13250,14300,13250,13350,87535,2.69
203,2004-05-13,13000,13400,12600,12600,66715,-5.62
204,2004-05-14,12750,13200,11400,11700,79874,-7.14
205,2004-05-17,11400,11950,10300,10500,96456,-10.26
206,2004-05-18,10050,11200,10050,11200,71175,6.67
207,2004-05-19,11250,12350,11250,11950,81992,6.7
208,2004-05-20,11500,12050,10850,11000,74989,-7.95
209,2004-05-21,11700,12100,11500,11700,62142,6.36
210,2004-05-24,12200,12250,11750,11850,31004,1.28
211,2004-05-25,11500,12150,11350,12000,42443,1.27
212,2004-05-27,12450,12700,12000,12000,32933,0.0
213,2004-05-28,12200,12400,11700,12200,22436,1.67
214,2004-05-31,12350,12400,11800,12200,23066,0.0
215,2004-06-01,12200,13100,12200,13000,80558,6.56
216,2004-06-02,13000,13500,12400,12650,87319,-2.69
217,2004-06-03,13000,13000,11550,11800,30369,-6.72
218,2004-06-04,11800,11900,11500,11850,20716,0.42
219,2004-06-07,12000,12150,11850,11950,20449,0.84
220,2004-06-08,11950,12100,11500,11600,18305,-2.93
221,2004-06-09,11600,11750,11350,11400,14172,-1.72
222,2004-06-10,11200,12600,11200,12150,45245,6.58
223,2004-06-11,12100,12100,11200,11500,26539,-5.35
224,2004-06-14,11200,11500,10600,10600,22411,-7.83
225,2004-06-15,10550,10800,10150,10750,22189,1.42
