,Date,Open,High,Low,Close,Volume,Change
0,2002-01-10,4000,4000,4000,4000,158306,11.11
1,2002-01-11,3710,4090,3600,3850,425036,-3.75
2,2002-01-14,3800,4180,3700,4050,233868,5.19
3,2002-01-15,4000,4210,3820,4210,132358,3.95
4,2002-01-16,4650,4710,4500,4710,130329,11.88
5,2002-01-17,5000,5000,4150,4300,285626,-8.7
6,2002-01-18,4400,4400,4030,4200,124107,-2.33
7,2002-01-21,3810,4170,3780,3870,99510,-7.86
8,2002-01-22,3900,4230,3900,4050,125819,4.65
9,2002-01-23,4100,4490,4000,4130,154641,1.98
10,2002-01-24,4280,4350,3850,3870,121501,-6.3
11,2002-01-25,3900,4130,3840,3970,83083,2.58
12,2002-01-28,4020,4200,3920,4200,108766,5.79
13,2002-01-29,4400,4600,4230,4240,160814,0.95
14,2002-01-30,4110,4420,4010,4200,117831,-0.94
15,2002-01-31,4280,4700,4270,4700,283637,11.9
16,2002-02-01,5250,5260,4700,5260,399467,11.91
17,2002-02-04,5350,5400,4630,4660,201077,-11.41
18,2002-02-05,4550,5100,4270,4790,163367,2.79
19,2002-02-06,4700,4970,4220,4220,131809,-11.9
20,2002-02-07,4150,4240,3990,4060,56326,-3.79
21,2002-02-08,4000,4100,3940,4000,32584,-1.48
22,2002-02-14,4020,4190,3740,3830,51067,-4.25
23,2002-02-15,3800,3900,3740,3770,69302,-1.57
24,2002-02-18,3810,3920,3770,3800,82086,0.8
25,2002-02-19,3830,3950,3750,3840,39158,1.05
26,2002-02-20,3800,4180,3760,3900,145752,1.56
27,2002-02-21,3880,4020,3750,3780,157859,-3.08
28,2002-02-22,3630,3830,3630,3720,82471,-1.59
29,2002-02-25,3720,3760,3350,3400,114747,-8.6
30,2002-02-26,3450,3540,3310,3350,83835,-1.47
31,2002-02-27,3450,3540,3330,3500,132927,4.48
32,2002-02-28,3510,3560,3420,3490,39465,-0.29
33,2002-03-04,3600,3640,3500,3550,100186,1.72
34,2002-03-05,3600,3970,3570,3780,649086,6.48
35,2002-03-06,3850,4110,3720,3800,362992,0.53
36,2002-03-07,3850,3960,3800,3810,306326,0.26
37,2002-03-08,3850,3860,3670,3690,127013,-3.15
38,2002-03-11,3750,4050,3750,3950,527234,7.05
39,2002-03-12,4030,4100,3770,3830,404247,-3.04
40,2002-03-13,3870,3900,3680,3680,202501,-3.92
41,2002-03-14,3700,3910,3650,3830,342718,4.08
42,2002-03-15,3900,4180,3810,3880,1305234,1.31
43,2002-03-18,4000,4100,3780,4050,979783,4.38
44,2002-03-19,4100,4140,3990,4010,485478,-0.99
45,2002-03-20,3980,4040,3800,3830,424305,-4.49
46,2002-03-21,3710,3820,3700,3800,277571,-0.78
47,2002-03-22,3900,3940,3780,3790,282004,-0.26
48,2002-03-25,3800,3940,3790,3850,242811,1.58
49,2002-03-26,3900,3910,3820,3860,211216,0.26
50,2002-03-27,3930,4090,3930,4000,670328,3.63
51,2002-03-28,4050,4150,3820,3890,480352,-2.75
52,2002-03-29,3940,4280,3930,4280,1225271,10.03
53,2002-04-01,4290,4350,3880,3880,643099,-9.35
54,2002-04-02,4030,4090,3900,4030,473563,3.87
55,2002-04-03,3970,4350,3930,4250,783263,5.46
56,2002-04-04,4150,4520,4150,4360,828613,2.59
57,2002-04-08,4350,4400,4060,4250,442403,-2.52
58,2002-04-09,4250,4570,4210,4430,882597,4.24
59,2002-04-10,4370,4410,3900,3900,517835,-11.96
60,2002-04-11,3910,4030,3550,3770,558911,-3.33
61,2002-04-12,3700,3850,3610,3680,342949,-2.39
62,2002-04-15,3680,3800,3620,3620,250453,-1.63
63,2002-04-16,3580,3700,3570,3620,220187,0.0
64,2002-04-17,3710,3730,3520,3540,357365,-2.21
65,2002-04-18,3510,3670,3480,3520,353479,-0.56
66,2002-04-19,3550,3680,3410,3480,416774,-1.14
67,2002-04-22,3490,3600,3150,3180,244668,-8.62
68,2002-04-23,3130,3150,2980,3040,239328,-4.4
69,2002-04-24,2980,3090,2910,2910,197610,-4.28
70,2002-04-25,2910,2950,2750,2780,207505,-4.47
71,2002-04-26,2810,2940,2760,2880,212173,3.6
72,2002-04-29,2860,2990,2750,2930,342380,1.74
73,2002-04-30,2930,2990,2850,2920,205094,-0.34
74,2002-05-02,3070,3080,2970,3000,248716,2.74
75,2002-05-03,3000,3000,2770,2890,170176,-3.67
76,2002-05-06,2820,2880,2780,2780,235367,-3.81
