,Date,Open,High,Low,Close,Volume,Change
0,2006-11-28,7277,8363,7277,8362,167609,NaN
1,2006-11-29,7243,8328,7138,7138,586143,-14.64
2,2006-11-30,6725,6795,6088,6088,240512,-14.71
3,2006-12-01,5877,6122,5618,5808,226135,-4.6
4,2006-12-04,5857,6171,5639,5780,160594,-0.48
5,2006-12-05,5927,5927,5506,5535,92392,-4.24
6,2006-12-06,5506,5576,5094,5143,103499,-7.08
7,2006-12-07,5108,5912,5080,5913,270127,14.97
8,2006-12-08,5738,5837,5080,5108,154955,-13.61
9,2006-12-11,5270,5340,5080,5178,67428,1.37
10,2006-12-12,5087,5212,4708,4786,49801,-7.57
11,2006-12-13,4688,5130,4688,4794,116990,0.17
12,2006-12-14,4766,4919,4688,4723,28235,-1.48
13,2006-12-15,4688,5389,4688,4955,106563,4.91
14,2006-12-18,4955,5088,4836,4835,17824,-2.42
15,2006-12-19,4836,5031,4836,4884,17924,1.01
16,2006-12-20,4884,5010,4869,4898,16071,0.29
17,2006-12-21,4835,4960,4737,4737,13776,-3.29
18,2006-12-22,4758,5038,4687,4688,23053,-1.03
19,2006-12-26,4695,4884,4513,4583,17969,-2.24
20,2006-12-27,4787,4787,4493,4640,8976,1.24
21,2006-12-28,4520,4687,4142,4199,297114,-9.5
22,2007-01-02,4233,4374,4164,4276,69654,1.83
23,2007-01-03,4290,4402,4233,4388,48601,2.62
24,2007-01-04,4339,4752,4339,4619,80977,5.26
25,2007-01-05,4661,4758,4493,4653,46217,0.74
26,2007-01-08,4583,4793,4555,4786,40336,2.86
27,2007-01-09,4982,5501,4836,5500,307212,14.92
28,2007-01-10,5634,5662,4989,5178,123983,-5.85
29,2007-01-11,5333,5528,4885,4884,101252,-5.68
30,2007-01-12,4913,5249,4906,5248,58059,7.45
31,2007-01-15,5319,5507,5109,5248,97268,0.0
32,2007-01-16,5179,5424,5088,5095,79849,-2.92
33,2007-01-17,5059,5115,4849,5101,63789,0.12
34,2007-01-18,5024,5129,4947,5038,24345,-1.24
35,2007-01-19,4933,5024,4828,4849,39064,-3.75
36,2007-01-22,4794,4794,4514,4549,46363,-6.19
37,2007-01-23,4548,4618,4352,4352,42644,-4.33
38,2007-01-24,4289,4492,4289,4415,23743,1.45
39,2007-01-25,4612,4976,4451,4591,45633,3.99
40,2007-01-26,4583,4702,4415,4534,9231,-1.24
41,2007-01-29,4534,4534,4338,4394,26896,-3.09
42,2007-01-30,4353,4444,4339,4380,16591,-0.32
43,2007-01-31,4576,4576,4282,4282,18376,-2.24
44,2007-02-01,4317,4380,4268,4331,22405,1.14
45,2007-02-02,4233,4360,4233,4297,29230,-0.79
46,2007-02-05,4296,4352,4289,4310,45179,0.3
47,2007-02-06,4345,4541,4331,4401,45541,2.11
48,2007-02-07,4422,4443,4373,4394,23463,-0.16
49,2007-02-08,4401,4513,4394,4394,27214,0.0
50,2007-02-09,4443,4478,4352,4352,21792,-0.96
51,2007-02-12,4409,4745,4360,4437,98656,1.95
52,2007-02-13,4395,4479,4318,4339,31520,-2.21
53,2007-02-14,4339,4374,4304,4367,29020,0.65
54,2007-02-15,4576,4576,4429,4513,33536,3.34
55,2007-02-16,4479,4514,4374,4409,15784,-2.3
56,2007-02-20,4402,4430,4339,4409,15542,0.0
57,2007-02-21,4401,4793,4394,4667,61435,5.85
58,2007-02-22,4738,5361,4703,4773,167757,2.27
59,2007-02-23,4799,4799,4618,4646,34083,-2.66
60,2007-02-26,4646,4786,4534,4786,41103,3.01
61,2007-02-27,4968,4968,4576,4576,49089,-4.39
62,2007-02-28,4268,4478,4268,4394,32289,-3.98
63,2007-03-02,4338,4660,4282,4422,24529,0.64
64,2007-03-05,4409,4528,4346,4380,24759,-0.95
65,2007-03-06,4290,4444,4290,4409,19007,0.66
66,2007-03-07,4457,4527,4422,4513,18254,2.36
67,2007-03-08,4458,4612,4458,4562,13841,1.09
68,2007-03-09,4556,4640,4479,4479,21613,-1.82
69,2007-03-12,4443,4527,4443,4513,34623,0.76
70,2007-03-13,4513,4611,4457,4513,26537,0.0
71,2007-03-14,4478,4541,4366,4513,21236,0.0
72,2007-03-15,4514,4570,4451,4479,22679,-0.75
73,2007-03-16,4479,4654,4444,4653,19280,3.88
74,2007-03-19,4654,4969,4654,4913,43240,5.59
75,2007-03-20,5004,5004,4703,4794,19784,-2.42
76,2007-03-21,4772,4890,4708,4779,9512,-0.31
77,2007-03-22,4793,4863,4723,4849,38512,1.46
78,2007-03-23,4856,4898,4604,4758,53986,-1.88
79,2007-03-26,4794,5249,4766,5087,131584,6.91
80,2007-03-27,5109,5137,4948,5004,25278,-1.63
81,2007-03-28,5003,5094,4926,4989,37388,-0.3
82,2007-03-29,4939,5163,4939,5073,66803,1.68
83,2007-03-30,5121,5318,5072,5122,93738,0.97
84,2007-04-02,5234,5234,4955,5004,44336,-2.3
85,2007-04-03,4968,4996,4814,4961,39305,-0.86
86,2007-04-04,4981,4981,4863,4968,28661,0.14
87,2007-04-05,4933,5163,4898,5038,29459,1.41
88,2007-04-06,5004,5249,5004,5178,35606,2.78
89,2007-04-09,5178,5191,4954,4968,50798,-4.06
90,2007-04-10,5024,5030,4933,4968,31979,0.0
91,2007-04-11,4968,5142,4863,4898,68105,-1.41
92,2007-04-12,4864,5081,4864,5004,41479,2.16
93,2007-04-13,5073,5073,4864,4996,36289,-0.16
94,2007-04-16,5018,5143,4898,5108,57999,2.24
95,2007-04-17,5108,5108,5010,5059,31927,-0.96
96,2007-04-18,5072,5087,5003,5010,23751,-0.97
97,2007-04-19,4969,5073,4934,5004,17057,-0.12
98,2007-04-20,5039,5283,4948,5220,68414,4.32
99,2007-04-23,5388,5443,5254,5353,66379,2.55
100,2007-04-24,5402,5787,5319,5724,109804,6.93
101,2007-04-25,5877,6116,5458,5738,88605,0.24
102,2007-04-26,5737,6192,5625,6081,61248,5.98
103,2007-04-27,6018,6159,5808,5948,60963,-2.19
104,2007-04-30,6123,6123,5668,5948,33095,0.0
105,2007-05-02,6018,6018,5737,5878,14911,-1.18
106,2007-05-03,5808,6018,5759,5927,23822,0.83
107,2007-05-04,6018,6368,5878,6221,85697,4.96
108,2007-05-07,6368,6368,6229,6333,38629,1.8
109,2007-05-08,6368,6431,6130,6298,13756,-0.55
110,2007-05-09,6493,6493,6262,6445,32648,2.33
111,2007-05-10,6465,6983,6465,6822,79354,5.85
112,2007-05-11,6578,6823,6578,6788,22752,-0.5
113,2007-05-14,6997,6997,6374,6507,41544,-4.14
114,2007-05-15,6507,7452,6507,6941,307701,6.67
115,2007-05-16,7067,7732,6878,7207,163709,3.83
116,2007-05-17,7207,7207,7207,7207,0,0.0
117,2007-05-18,6977,6977,6165,6522,129615,-9.5
118,2007-05-21,6522,6613,6423,6507,21202,-0.23
119,2007-05-22,6683,6683,5955,6235,61096,-4.18
120,2007-05-23,6241,6367,6185,6185,30714,-0.8
121,2007-05-25,6094,6613,6094,6388,36764,3.28
122,2007-05-28,6389,6753,6389,6613,39782,3.52
123,2007-05-29,6717,6759,6501,6578,27453,-0.53
124,2007-05-30,6507,6661,6367,6367,28504,-3.21
125,2007-05-31,6305,6494,6229,6333,34222,-0.53
126,2007-06-01,6502,6502,5956,6109,18634,-3.54
127,2007-06-04,6193,6368,6109,6228,7198,1.95
128,2007-06-05,6235,6368,6130,6158,21897,-1.12
129,2007-06-07,6229,6368,6018,6291,28209,2.16
130,2007-06-08,6018,6417,6018,6158,29271,-2.11
131,2007-06-11,6320,6508,6229,6410,31968,4.09
132,2007-06-12,6411,6599,6298,6522,29796,1.75
133,2007-06-13,6507,6647,6451,6598,20374,1.17
134,2007-06-14,6577,6675,6472,6578,12682,-0.3
135,2007-06-15,6640,6640,6458,6479,17141,-1.51
136,2007-06-18,6507,6815,6507,6661,46595,2.81
137,2007-06-19,6780,6780,6507,6640,26107,-0.32
138,2007-06-20,6732,6732,6473,6606,18616,-0.51
139,2007-06-21,6458,6605,6458,6578,15994,-0.42
140,2007-06-22,6472,6717,6472,6661,31264,1.26
141,2007-06-25,6648,7628,6438,6886,52860,3.38
142,2007-06-26,6997,7032,6507,6892,17805,0.09
143,2007-06-27,6920,6969,6507,6648,10879,-3.54
144,2007-06-28,6647,6710,6542,6648,9322,0.0
145,2007-06-29,6718,6718,6229,6228,20791,-6.32
146,2007-07-02,6102,6648,6102,6298,31543,1.12
147,2007-07-03,6613,6613,6159,6158,18994,-2.22
148,2007-07-04,6220,6283,5703,5822,41515,-5.46
149,2007-07-05,5822,6123,5822,5948,13963,2.16
150,2007-07-06,6004,6081,5878,5906,7682,-0.71
151,2007-07-09,5844,6221,5829,6158,35777,4.27
152,2007-07-10,5885,6647,5885,6466,17488,5.0
153,2007-07-11,6298,6626,6262,6388,38269,-1.21
154,2007-07-12,6395,6507,6158,6346,7643,-0.66
155,2007-07-13,6242,6432,5857,5857,19053,-7.71
156,2007-07-16,5857,6438,5844,6312,96711,7.77
157,2007-07-18,6299,6396,5977,6298,66390,-0.22
158,2007-07-19,6367,6367,6067,6102,13008,-3.11
159,2007-07-20,6299,6299,6074,6179,7990,1.26
160,2007-07-23,6123,6299,5745,5885,23249,-4.76
161,2007-07-24,6221,6432,5857,6249,24351,6.19
162,2007-07-25,6325,6325,6038,6263,8388,0.22
163,2007-07-26,6095,6291,5948,5948,10751,-5.03
164,2007-07-27,6018,6068,5605,5948,11263,0.0
165,2007-07-30,5976,5976,5703,5871,5144,-1.29
166,2007-07-31,5870,6018,5737,5787,15605,-1.43
167,2007-08-01,5794,6088,5612,5619,7357,-2.9
168,2007-08-02,5647,5857,5564,5682,11108,1.12
169,2007-08-03,5688,5807,5597,5689,2066,0.12
170,2007-08-06,5667,5737,5633,5689,5807,0.0
171,2007-08-07,5709,5940,5318,5423,17211,-4.68
172,2007-08-08,5353,5668,5353,5500,15313,1.42
173,2007-08-09,5395,5662,5039,5248,28253,-4.58
174,2007-08-10,5142,5353,5115,5262,6071,0.27
175,2007-08-13,5324,5353,5199,5283,5381,0.4
176,2007-08-14,5045,5178,4799,4800,21340,-9.14
