,Date,Open,High,Low,Close,Volume,Change
0,2002-03-18,0,0,0,5600,0,12.0
1,2002-03-19,0,0,0,6270,0,11.96
2,2002-03-20,0,0,0,7020,0,11.96
3,2002-03-21,0,0,0,7860,0,11.97
4,2002-03-22,0,0,0,8800,0,11.96
5,2002-03-25,0,0,0,9850,0,11.93
6,2002-03-26,0,0,0,11000,0,11.68
7,2002-03-27,0,0,0,12300,0,11.82
8,2002-03-28,0,0,0,12300,0,0.0
9,2002-03-29,0,0,0,12300,0,0.0
10,2002-04-01,0,0,0,12300,0,0.0
11,2002-04-02,0,0,0,13750,0,11.79
12,2002-04-03,0,0,0,15400,0,12.0
13,2002-04-04,0,0,0,15400,0,0.0
14,2002-04-08,0,0,0,15400,0,0.0
15,2002-04-09,0,0,0,15400,0,0.0
16,2002-04-10,0,0,0,15400,0,0.0
17,2002-04-11,0,0,0,15400,0,0.0
18,2002-04-12,0,0,0,15400,0,0.0
19,2002-04-15,0,0,0,15400,0,0.0
20,2002-04-16,0,0,0,15400,0,0.0
21,2002-04-17,0,0,0,15400,0,0.0
22,2002-04-18,0,0,0,15400,0,0.0
23,2002-04-19,0,0,0,15400,0,0.0
24,2002-04-22,0,0,0,15400,0,0.0
25,2002-04-23,0,0,0,15400,0,0.0
26,2002-04-24,0,0,0,15400,0,0.0
27,2002-04-25,0,0,0,15400,0,0.0
28,2002-04-26,0,0,0,15400,0,0.0
29,2002-04-29,0,0,0,15400,0,0.0
30,2002-04-30,0,0,0,15400,0,0.0
31,2002-05-02,0,0,0,15400,0,0.0
32,2002-05-03,0,0,0,15400,0,0.0
33,2002-05-06,0,0,0,15400,0,0.0
34,2002-05-07,0,0,0,15400,0,0.0
35,2002-05-08,0,0,0,15400,0,0.0
36,2002-05-09,0,0,0,15400,0,0.0
37,2002-05-10,0,0,0,15400,0,0.0
38,2002-05-13,0,0,0,15400,0,0.0
39,2002-05-14,0,0,0,15400,0,0.0
40,2002-05-15,0,0,0,15400,0,0.0
41,2002-05-16,0,0,0,15400,0,0.0
42,2002-05-17,0,0,0,15400,0,0.0
43,2002-05-20,0,0,0,15400,0,0.0
