,Date,Open,High,Low,Close,Volume,Change
0,2004-10-01,12615,13600,12515,13165,636563,NaN
1,2004-10-04,13449,13516,13032,13182,197466,0.13
2,2004-10-05,13282,13282,12682,12948,164518,-1.78
3,2004-10-06,12882,13333,12565,12948,241799,0.0
4,2004-10-07,12815,13082,12698,13032,570685,0.65
5,2004-10-08,13032,13983,12949,13682,277190,4.99
6,2004-10-11,13800,14350,13549,14333,153298,4.76
7,2004-10-12,14551,14934,14150,14500,216839,1.17
8,2004-10-13,14684,14851,14484,14567,102975,0.46
9,2004-10-14,14350,14350,13783,14116,124168,-3.1
10,2004-10-15,13783,14250,13750,14083,72649,-0.23
11,2004-10-18,14083,14367,13883,14116,70554,0.23
12,2004-10-19,14234,15652,14050,15435,267146,9.34
13,2004-10-20,15452,15819,14768,15067,209196,-2.38
14,2004-10-21,15118,15218,14517,14817,130899,-1.66
15,2004-10-22,15151,15352,13950,14150,169230,-4.5
16,2004-10-25,13917,14350,13783,14050,73301,-0.71
17,2004-10-26,13950,14317,13566,13616,71607,-3.09
18,2004-10-27,13733,14067,13316,13682,91334,0.48
19,2004-10-28,13917,14000,13483,13616,53654,-0.48
20,2004-10-29,13616,13616,12949,13382,80329,-1.72
21,2004-11-01,13216,13383,12648,12681,223545,-5.24
22,2004-11-02,12682,13766,12682,13082,606890,3.16
23,2004-11-03,13349,13449,13082,13282,217936,1.53
24,2004-11-04,13349,13349,12749,12748,128341,-4.02
25,2004-11-05,12749,13066,12515,12514,155732,-1.84
26,2004-11-08,12532,12682,12064,12281,144209,-1.86
27,2004-11-09,12281,12598,12248,12364,112073,0.68
28,2004-11-10,12515,13266,12482,13015,200109,5.27
29,2004-11-11,13015,13716,12915,13682,183628,5.12
30,2004-11-12,13716,13750,13282,13516,113970,-1.21
31,2004-11-15,13549,14117,13516,13949,231992,3.2
32,2004-11-16,14234,14250,13800,14000,296058,0.37
33,2004-11-17,15000,15650,14650,15200,863749,8.57
34,2004-11-18,14900,15200,14250,14500,308053,-4.61
35,2004-11-19,14450,14450,13700,14200,164403,-2.07
36,2004-11-22,13700,14250,13550,13850,238577,-2.46
37,2004-11-23,14450,14550,14150,14150,185862,2.17
38,2004-11-24,14100,14200,13800,13850,130522,-2.12
39,2004-11-25,13800,14550,13800,14300,193128,3.25
40,2004-11-26,14100,14400,13850,14000,106875,-2.1
41,2004-11-29,13850,14200,13400,13950,122436,-0.36
42,2004-11-30,14000,14200,13650,13900,110076,-0.36
43,2004-12-01,13600,13800,13250,13400,418873,-3.6
44,2004-12-02,13700,13700,13300,13350,144926,-0.37
45,2004-12-03,13350,13450,12900,13250,129140,-0.75
46,2004-12-06,13250,13700,13200,13400,183455,1.13
47,2004-12-07,13300,13600,13050,13100,102765,-2.24
48,2004-12-08,13000,13150,12550,12800,200052,-2.29
49,2004-12-09,12800,12800,12300,12600,112470,-1.56
50,2004-12-10,12850,13150,12650,12800,246152,1.59
51,2004-12-13,12700,12900,12350,12550,85197,-1.95
52,2004-12-14,12500,12700,11700,12300,321996,-1.99
53,2004-12-15,12300,13500,12200,13300,415951,8.13
54,2004-12-16,12950,13500,12700,13200,1073119,-0.75
55,2004-12-17,13350,13700,13050,13150,387514,-0.38
56,2004-12-20,13300,13850,13150,13750,705927,4.56
57,2004-12-21,13750,13850,13350,13800,466377,0.36
58,2004-12-22,13950,13950,13500,13500,258483,-2.17
59,2004-12-23,13500,13700,12850,13000,292669,-3.7
60,2004-12-24,12900,12950,12500,12500,257155,-3.85
61,2004-12-27,12500,12700,12300,12550,242197,0.4
62,2004-12-28,12450,12500,11500,12000,461514,-4.38
63,2004-12-29,12150,12450,12100,12350,302262,2.92
64,2004-12-30,12350,12800,12350,12700,271240,2.83
65,2005-01-03,12900,13350,12750,13200,532314,3.94
66,2005-01-04,13400,13600,13150,13450,637971,1.89
67,2005-01-05,13300,13600,13200,13500,579584,0.37
68,2005-01-06,13550,14450,13350,13750,951767,1.85
69,2005-01-07,13950,14500,13750,14000,858612,1.82
70,2005-01-10,14200,14850,14050,14350,1103129,2.5
71,2005-01-11,14400,14450,13800,14250,604164,-0.7
