,Date,Open,High,Low,Close,Volume,Change
0,2003-07-21,4380,4380,3850,3920,10684,-10.5
1,2003-07-22,3950,3960,3900,3960,3650,1.02
2,2003-07-23,3900,3900,3820,3840,4595,-3.03
3,2003-07-24,3780,3960,3780,3960,2024,3.13
4,2003-07-25,3940,4440,3910,4130,10650,4.29
5,2003-07-28,4060,4070,3920,4050,7520,-1.94
6,2003-07-29,4000,4100,3950,4100,960,1.23
7,2003-07-30,3905,4100,3905,4085,5103,-0.37
8,2003-07-31,4015,4020,4010,4020,1870,-1.59
9,2003-08-01,4100,4110,4050,4060,1210,1.0
10,2003-08-04,4060,4060,4000,4000,2370,-1.48
11,2003-08-05,4000,4040,3940,3950,992,-1.25
12,2003-08-06,3945,3950,3875,3940,1460,-0.25
13,2003-08-07,3880,3950,3820,3825,940,-2.92
14,2003-08-08,3770,3985,3770,3985,60,4.18
15,2003-08-11,3985,3985,3800,3850,1590,-3.39
16,2003-08-12,3815,3850,3815,3850,400,0.0
17,2003-08-13,4280,4280,3900,3935,1020,2.21
18,2003-08-14,3905,3950,3905,3950,293,0.38
19,2003-08-18,3950,4100,3875,3900,10123,-1.27
20,2003-08-19,3900,3905,3820,3845,7696,-1.41
21,2003-08-20,3845,3850,3800,3820,5710,-0.65
22,2003-08-21,3940,4100,3855,4100,7693,7.33
23,2003-08-22,4000,4100,3800,3845,5910,-6.22
24,2003-08-25,3920,4000,3920,3940,3570,2.47
25,2003-08-26,3880,3980,3830,3840,3390,-2.54
26,2003-08-27,3900,4100,3860,4050,5630,5.47
27,2003-08-28,3990,4000,3910,3910,2090,-3.46
28,2003-08-29,3910,3950,3910,3910,4027,0.0
29,2003-09-01,4080,4080,3910,4050,5050,3.58
30,2003-09-02,3990,4000,3950,3960,4654,-2.22
31,2003-09-03,3950,4090,3950,4090,5380,3.28
32,2003-09-04,3960,4200,3960,4015,6303,-1.83
33,2003-09-05,4170,4170,4000,4005,2080,-0.25
34,2003-09-08,3985,4100,3985,4000,3900,-0.12
35,2003-09-09,4050,4100,4005,4100,3650,2.5
36,2003-09-15,4040,4095,4015,4015,1100,-2.07
37,2003-09-16,4020,4090,4020,4020,1950,0.12
38,2003-09-17,4000,4000,3705,3705,17560,-7.84
39,2003-09-18,3910,4000,3900,3920,5342,5.8
40,2003-09-19,4000,4000,3910,3910,3976,-0.26
41,2003-09-22,3850,3850,3610,3630,8660,-7.16
42,2003-09-23,3425,3750,3425,3750,4920,3.31
43,2003-09-24,3780,3800,3780,3800,183,1.33
44,2003-09-25,3465,3735,3465,3560,2521,-6.32
45,2003-09-26,3570,3650,3565,3565,1851,0.14
46,2003-09-29,3565,3645,3565,3645,1530,2.24
47,2003-09-30,3605,3670,3605,3670,210,0.69
48,2003-10-01,3665,3665,3500,3660,5160,-0.27
49,2003-10-02,3515,3515,3500,3505,5540,-4.23
50,2003-10-06,3510,3550,3510,3550,1870,1.28
51,2003-10-07,3555,3595,3550,3595,2660,1.27
52,2003-10-08,3870,3870,3520,3520,900,-2.09
53,2003-10-09,3465,3645,3435,3470,634,-1.42
54,2003-10-10,3875,3875,3875,3875,10,11.67
55,2003-10-13,3750,3870,3700,3700,700,-4.52
56,2003-10-14,3705,3795,3700,3700,1750,0.0
57,2003-10-15,3750,3750,3670,3705,2380,0.14
58,2003-10-16,3710,3795,3700,3700,11760,-0.13
59,2003-10-17,3670,3840,3650,3650,1910,-1.35
60,2003-10-20,3510,3565,3510,3565,5780,-2.33
61,2003-10-21,3575,3575,3575,3575,50,0.28
62,2003-10-22,3520,3520,3520,3520,60,-1.54
63,2003-10-23,3435,3755,3435,3755,20,6.68
64,2003-10-24,3355,3725,3355,3700,470,-1.46
65,2003-10-27,3460,3600,3460,3510,980,-5.14
66,2003-10-28,3520,3640,3520,3560,2280,1.42
67,2003-10-29,3530,3535,3520,3520,5490,-1.12
68,2003-10-30,3500,3530,3500,3500,36740,-0.57
69,2003-10-31,3465,3500,3325,3500,420,0.0
70,2003-11-03,3475,3630,3475,3630,4470,3.71
71,2003-11-04,3595,3660,3550,3555,8512,-2.07
72,2003-11-05,3565,3675,3565,3660,5453,2.95
73,2003-11-06,3650,3800,3650,3750,1630,2.46
74,2003-11-07,3750,3750,3750,3750,140,0.0
75,2003-11-10,3610,3840,3610,3610,1003,-3.73
76,2003-11-11,3520,3600,3520,3560,4047,-1.39
77,2003-11-12,3550,3770,3470,3545,1372,-0.42
78,2003-11-13,3540,3660,3540,3620,1760,2.12
79,2003-11-14,3575,3695,3575,3695,1070,2.07
80,2003-11-17,3565,3760,3565,3760,5171,1.76
81,2003-11-18,3700,3790,3700,3790,910,0.8
82,2003-11-19,0,0,0,3790,0,0.0
83,2003-11-20,3780,3780,3700,3780,3930,-0.26
84,2003-11-21,3630,3650,3630,3640,3864,-3.7
85,2003-11-24,3605,3605,3550,3550,690,-2.47
