,Date,Open,High,Low,Close,Volume,Change
0,2003-11-14,5416,6058,5416,6059,88649,NaN
1,2003-11-17,6770,6770,6596,6770,126512,11.73
2,2003-11-18,6770,6891,6353,6666,117241,-1.54
3,2003-11-19,6387,6665,6318,6336,36672,-4.95
4,2003-11-20,6179,6665,6144,6180,72368,-2.46
5,2003-11-21,6110,6526,6110,6406,40611,3.66
6,2003-11-24,6405,6405,5745,5902,34162,-7.87
7,2003-11-25,5901,6492,5901,6215,37571,5.3
8,2003-11-26,6214,6474,5971,6075,30835,-2.25
9,2003-11-27,6093,6093,5693,5781,19881,-4.84
10,2003-11-28,6075,6457,6075,6458,140821,11.71
11,2003-12-01,6596,6596,6075,6354,67360,-1.61
12,2003-12-02,6457,6457,6144,6249,33679,-1.65
13,2003-12-03,6179,6318,6023,6075,27948,-2.78
14,2003-12-04,6249,6717,6231,6666,87415,9.73
15,2003-12-05,6630,6665,6370,6596,30387,-1.05
16,2003-12-08,6457,6544,6249,6319,23726,-4.2
17,2003-12-09,6266,6353,5901,6006,138919,-4.95
18,2003-12-10,6041,6041,5745,5902,28869,-1.73
19,2003-12-11,5780,6041,5762,5832,40322,-1.19
20,2003-12-12,5901,5901,5762,5832,28019,0.0
21,2003-12-15,5901,5901,5380,5486,159257,-5.93
22,2003-12-16,5554,5832,5276,5346,117352,-2.55
23,2003-12-17,5417,5451,4981,5138,94382,-3.89
24,2003-12-18,5068,5364,5033,5138,117445,0.0
25,2003-12-19,5276,5380,4773,4808,219671,-6.42
26,2003-12-22,4773,4859,4235,4236,185272,-11.9
27,2003-12-23,4148,4166,3732,3733,405166,-11.87
28,2003-12-24,3801,4113,3679,3906,472705,4.63
29,2003-12-26,4009,4044,3437,3444,310813,-11.83
30,2003-12-29,3402,3853,3402,3784,309224,9.87
31,2003-12-30,3853,4061,3732,3802,356069,0.48
32,2004-01-02,3871,4148,3818,4062,208706,6.84
33,2004-01-05,4027,4044,3853,3889,136722,-4.26
34,2004-01-06,3992,4027,3662,3749,250183,-3.6
35,2004-01-07,3714,3801,3447,3472,185934,-7.39
36,2004-01-08,3471,3627,3176,3198,210766,-7.89
37,2004-01-09,3263,3297,3040,3107,168895,-2.85
38,2004-01-12,3106,3273,3106,3125,138532,0.58
39,2004-01-13,3180,3489,3180,3490,227565,11.68
40,2004-01-14,3610,3697,3360,3361,193985,-3.7
41,2004-01-15,3402,3749,3350,3749,195444,11.54
42,2004-01-16,3835,4027,3662,3941,291505,5.12
43,2004-01-19,3992,3992,3818,3836,111117,-2.66
44,2004-01-20,3818,3818,3541,3628,85447,-5.42
45,2004-01-26,3627,3992,3541,3958,165550,9.1
46,2004-01-27,3992,4113,3818,3958,149074,0.0
47,2004-01-28,3958,4217,3905,3992,154107,0.86
48,2004-01-29,3992,4460,3905,4461,184800,11.75
49,2004-01-30,4582,4617,4287,4427,176139,-0.76
50,2004-02-02,4513,4600,4322,4583,195727,3.52
51,2004-02-03,4530,4617,4252,4374,119800,-4.56
52,2004-02-04,4270,4304,3974,3992,111647,-8.73
53,2004-02-05,3958,4200,3958,4115,86735,3.08
54,2004-02-06,4079,4235,4027,4149,77117,0.83
55,2004-02-09,4131,4408,4009,4409,100799,6.27
56,2004-02-10,4391,4859,4304,4670,267924,5.92
57,2004-02-11,4530,4756,4495,4513,94871,-3.36
58,2004-02-12,4600,4703,4478,4687,104874,3.86
59,2004-02-13,4721,4721,4374,4461,133030,-4.82
60,2004-02-16,4443,4600,4339,4444,74921,-0.38
61,2004-02-17,4408,4513,4270,4444,78217,0.0
62,2004-02-18,4478,4773,4460,4600,139516,3.51
63,2004-02-19,4669,4721,4513,4721,89533,2.63
64,2004-02-20,4721,5051,4651,4895,201108,3.69
65,2004-02-23,4895,5033,4721,4757,140173,-2.82
66,2004-02-24,4687,4721,4547,4635,70274,-2.56
67,2004-02-25,4617,4738,4582,4583,57038,-1.12
68,2004-02-26,4617,4825,4600,4808,67126,4.91
69,2004-02-27,4808,4930,4669,4704,59863,-2.16
70,2004-03-02,4825,4895,4738,4808,46784,2.21
71,2004-03-03,4756,4843,4703,4739,31977,-1.44
72,2004-03-04,4808,4895,4721,4878,59195,2.93
73,2004-03-05,4895,4912,4738,4739,44801,-2.85
74,2004-03-08,4687,4877,4669,4791,57505,1.1
75,2004-03-09,4790,4859,4738,4826,27256,0.73
76,2004-03-10,4859,5276,4721,5034,101399,4.31
77,2004-03-11,5033,5207,4964,5156,66702,2.42
78,2004-03-12,5155,5398,4547,5000,117357,-3.03
79,2004-03-15,5033,5051,4843,4895,38805,-2.1
80,2004-03-16,4790,4877,4669,4791,40984,-2.12
81,2004-03-17,4790,4877,4756,4774,30994,-0.35
82,2004-03-18,4859,5103,4825,5016,35028,5.07
83,2004-03-19,5051,5416,4859,4965,209881,-1.02
84,2004-03-22,4964,5068,4808,4861,27243,-2.09
85,2004-03-23,4859,4859,4651,4652,51611,-4.3
86,2004-03-24,4564,4721,4547,4548,31077,-2.24
87,2004-03-25,4478,4617,4356,4496,42477,-1.14
88,2004-03-26,4530,4703,4513,4704,89934,4.63
89,2004-03-29,4790,4859,4651,4652,27522,-1.11
90,2004-03-30,4651,4687,4547,4635,27780,-0.37
91,2004-03-31,4617,4756,4582,4721,66405,1.86
92,2004-04-01,4651,4773,4651,4721,47849,0.0
93,2004-04-02,4756,4877,4687,4791,82776,1.48
94,2004-04-06,4859,4946,4738,4947,75424,3.26
95,2004-04-07,4964,5016,4859,4861,38137,-1.74
96,2004-04-08,4843,4964,4790,4844,69017,-0.35
97,2004-04-09,4877,4877,4513,4566,61388,-5.74
98,2004-04-12,4617,4756,4617,4757,37610,4.18
99,2004-04-13,4721,4790,4582,4617,19584,-2.94
100,2004-04-14,4600,4669,4547,4617,24219,0.0
101,2004-04-16,4617,4634,4564,4617,31620,0.0
102,2004-04-19,4617,4859,4582,4861,48162,5.28
103,2004-04-20,4895,5433,4808,5433,302522,11.77
104,2004-04-21,5485,5867,5433,5555,236678,2.25
105,2004-04-22,5572,5606,5380,5503,82778,-0.94
106,2004-04-23,5728,6005,5693,5798,169266,5.36
107,2004-04-26,5797,5867,5588,5590,69254,-3.59
108,2004-04-27,5520,5554,5207,5503,67435,-1.56
109,2004-04-28,5520,5849,5450,5555,92226,0.94
110,2004-04-29,5450,5624,5016,5277,59341,-5.0
111,2004-04-30,5207,5346,5068,5277,17032,0.0
112,2004-05-03,5276,5588,5276,5433,63612,2.96
113,2004-05-04,5588,5624,5380,5503,30844,1.29
114,2004-05-06,5606,5606,5085,5174,41449,-5.98
115,2004-05-07,5172,5172,4825,5174,33226,0.0
116,2004-05-10,4964,5138,4564,4670,57698,-9.74
117,2004-05-11,4617,4721,4322,4444,23592,-4.84
118,2004-05-12,4513,4669,4443,4583,35337,3.13
119,2004-05-13,4513,4617,4374,4392,11681,-4.17
120,2004-05-14,4513,4513,4166,4392,19863,0.0
121,2004-05-17,4235,4460,3871,3975,24161,-9.49
122,2004-05-18,3818,3992,3749,3889,40972,-2.16
123,2004-05-19,3940,4079,3818,4010,116867,3.11
124,2004-05-20,3922,3922,3541,3541,64280,-11.7
125,2004-05-21,3489,3784,3388,3749,184875,5.87
126,2004-05-24,3784,3853,3697,3749,84546,0.0
127,2004-05-25,3766,3766,3454,3472,92574,-7.39
128,2004-05-27,3558,3610,3454,3472,57401,0.0
129,2004-05-28,3471,3541,3394,3437,43911,-1.01
130,2004-05-31,3402,3418,3193,3399,112131,-1.11
131,2004-06-01,3353,3801,3353,3802,184158,11.86
132,2004-06-02,3714,4009,3662,3975,142670,4.55
133,2004-06-03,4027,4061,3749,3889,120510,-2.16
134,2004-06-04,3835,4270,3784,4253,155096,9.36
135,2004-06-07,4252,4426,4113,4323,57489,1.65
136,2004-06-08,4322,4322,4096,4166,40590,-3.63
137,2004-06-09,4200,4271,4096,4097,33196,-1.66
138,2004-06-10,4027,4183,4009,4149,19405,1.27
139,2004-06-11,4131,4131,3940,4079,49862,-1.69
140,2004-06-14,3992,4044,3592,3594,32995,-11.89
141,2004-06-15,3592,3627,3308,3628,75562,0.95
142,2004-06-16,3627,3766,3505,3733,47299,2.89
143,2004-06-17,3592,3749,3523,3646,27084,-2.33
144,2004-06-18,3662,3662,3422,3541,19189,-2.88
145,2004-06-21,3523,3592,3467,3468,12398,-2.06
146,2004-06-22,3437,3541,3402,3472,12115,0.12
147,2004-06-23,3471,3558,3418,3441,19492,-0.89
148,2004-06-24,3454,3489,3402,3403,24649,-1.1
149,2004-06-25,3353,3467,3353,3444,10203,1.2
150,2004-06-28,3418,3558,3384,3559,25090,3.34
151,2004-06-29,3575,3645,3471,3646,32497,2.44
152,2004-06-30,3697,3714,3592,3611,26610,-0.96
153,2004-07-01,3627,3662,3541,3541,11034,-1.94
154,2004-07-02,3471,3489,3402,3420,13565,-3.42
155,2004-07-05,3332,3454,3332,3437,3581,0.5
156,2004-07-06,3402,3471,3402,3468,16300,0.9
157,2004-07-07,3429,3437,3367,3406,10123,-1.79
158,2004-07-08,3402,3467,3374,3375,16330,-0.91
159,2004-07-09,3450,3450,3367,3410,6549,1.04
160,2004-07-12,3440,3645,3402,3646,25015,6.92
161,2004-07-13,3662,3679,3541,3611,17535,-0.96
162,2004-07-14,3575,3610,3505,3594,9725,-0.47
163,2004-07-15,3471,3541,3418,3472,7667,-3.39
164,2004-07-16,3471,3575,3402,3403,5287,-1.99
165,2004-07-19,3318,3471,3318,3386,3848,-0.5
166,2004-07-20,3450,3645,3402,3403,9023,0.5
167,2004-07-21,3408,3454,3384,3386,5483,-0.5
168,2004-07-22,3336,3454,3297,3299,7924,-2.57
169,2004-07-23,3231,3402,3231,3350,9027,1.55
170,2004-07-26,3284,3402,3284,3291,5510,-1.76
171,2004-07-27,3231,3332,3096,3263,7902,-0.85
172,2004-07-28,3193,3297,3082,3229,5074,-1.04
173,2004-07-29,3246,3246,3089,3121,3594,-3.34
174,2004-07-30,3020,3155,2995,2996,3857,-4.01
175,2004-08-02,2985,3353,2885,2920,9953,-2.54
176,2004-08-03,2916,3016,2725,2986,45756,2.26
177,2004-08-04,2968,3072,2812,3073,16515,2.91
178,2004-08-05,3072,3246,3055,3246,20320,5.63
179,2004-08-06,3124,3228,3124,3177,3715,-2.13
180,2004-08-09,3176,3280,3162,3281,13842,3.27
181,2004-08-10,3311,3311,3183,3299,14936,0.55
182,2004-08-11,3263,3367,3193,3367,37082,2.06
183,2004-08-12,3367,3437,3332,3437,27201,2.08
184,2004-08-13,3433,3437,3384,3403,7853,-0.99
185,2004-08-16,3418,3418,3346,3403,12786,0.0
186,2004-08-17,3384,3467,3297,3299,8438,-3.06
187,2004-08-18,3124,3311,3124,3263,17878,-1.09
188,2004-08-19,3263,3297,3200,3229,18048,-1.04
189,2004-08-20,3159,3228,3127,3129,7431,-3.1
190,2004-08-23,3242,3242,3103,3131,27996,0.06
191,2004-08-24,3131,3186,3061,3091,7671,-1.28
192,2004-08-25,3142,3142,3065,3073,10207,-0.58
193,2004-08-26,3048,3152,3048,3062,10928,-0.36
194,2004-08-27,3106,3106,3006,3042,8632,-0.65
195,2004-08-30,3020,3055,2985,3014,8429,-0.92
196,2004-08-31,2968,3010,2933,2996,12427,-0.6
197,2004-09-01,2985,3353,2929,3329,86197,11.11
198,2004-09-02,3228,3297,3159,3225,33581,-3.12
199,2004-09-03,3284,3426,3221,3312,56315,2.7
200,2004-09-06,3301,3350,3235,3236,15725,-2.29
201,2004-09-07,3235,3263,3124,3149,18885,-2.69
202,2004-09-08,3159,3159,3006,3125,39055,-0.76
203,2004-09-09,3055,3124,3048,3091,11094,-1.09
204,2004-09-10,3086,3228,3086,3225,54042,4.34
205,2004-09-13,3228,3297,3207,3253,44256,0.87
206,2004-09-14,3253,3256,3142,3145,21277,-3.32
207,2004-09-15,3148,3172,3023,3038,57166,-3.4
208,2004-09-16,3002,3072,3002,3020,11699,-0.59
209,2004-09-17,3020,3055,2968,2986,23541,-1.13
210,2004-09-20,2954,3010,2944,2944,17706,-1.41
211,2004-09-21,2950,2982,2912,2917,13397,-0.92
212,2004-09-22,2929,2968,2728,2847,34640,-2.4
213,2004-09-23,2725,2812,2697,2777,85178,-2.46
214,2004-09-24,2776,2808,2745,2757,12597,-0.72
215,2004-09-30,2760,2791,2679,2722,10043,-1.27
216,2004-10-01,2679,2735,2669,2674,12240,-1.76
217,2004-10-04,2689,2735,2644,2659,17120,-0.56
218,2004-10-05,2679,2770,2651,2743,25372,3.16
219,2004-10-06,2742,2763,2714,2736,10745,-0.26
220,2004-10-07,2735,2735,2666,2666,14324,-2.56
221,2004-10-08,2634,2666,2604,2666,26760,0.0
222,2004-10-11,2666,2689,2606,2656,13999,-0.38
223,2004-10-12,2704,2704,2627,2638,17142,-0.68
224,2004-10-13,2617,2683,2617,2621,18289,-0.64
225,2004-10-14,2638,2673,2638,2652,9465,1.18
226,2004-10-15,2655,2763,2655,2743,13767,3.43
227,2004-10-18,2711,2863,2711,2777,28721,1.24
228,2004-10-19,2842,2888,2804,2888,35018,4.0
