,Date,Open,High,Low,Close,Volume,Change
0,2004-06-04,2502,2595,2205,2215,924679,NaN
1,2004-06-07,2242,2363,2103,2289,329050,3.34
2,2004-06-08,2354,2372,2187,2206,136467,-3.63
3,2004-06-09,2205,2289,2140,2159,157594,-2.13
4,2004-06-10,2122,2205,2103,2169,69229,0.46
5,2004-06-11,2140,2150,1909,1909,103184,-11.99
6,2004-06-14,1853,1909,1686,1798,162643,-5.81
7,2004-06-15,1853,1890,1612,1696,281497,-5.67
8,2004-06-16,1679,1705,1547,1600,98945,-5.66
9,2004-06-17,1579,1649,1506,1538,128684,-3.87
10,2004-06-18,1521,1594,1484,1594,97447,3.64
11,2004-06-21,1631,1649,1486,1487,134385,-6.71
12,2004-06-22,1488,1488,1319,1483,123818,-0.27
13,2004-06-23,1557,1660,1547,1603,295325,8.09
14,2004-06-24,1594,1621,1488,1498,70918,-6.55
15,2004-06-25,1482,1501,1425,1450,48623,-3.2
16,2004-06-28,1427,1455,1360,1361,54767,-6.14
17,2004-06-29,1353,1421,1353,1364,54891,0.22
18,2004-06-30,1388,1527,1379,1527,145042,11.95
19,2004-07-01,1571,1597,1466,1466,120946,-3.99
20,2004-07-02,1453,1453,1358,1394,42852,-4.91
21,2004-07-05,1395,1418,1342,1375,26284,-1.36
22,2004-07-06,1353,1386,1334,1346,33884,-2.11
23,2004-07-07,1316,1347,1297,1323,38769,-1.71
24,2004-07-08,1334,1343,1278,1283,38117,-3.02
25,2004-07-09,1267,1323,1267,1292,28564,0.7
26,2004-07-12,1297,1345,1288,1288,39986,-0.31
27,2004-07-13,1303,1399,1288,1338,70856,3.88
28,2004-07-14,1356,1356,1241,1246,39699,-6.88
29,2004-07-15,1245,1267,1164,1183,39367,-5.06
30,2004-07-16,1169,1186,1114,1147,43215,-3.04
31,2004-07-19,1147,1173,1130,1144,24880,-0.26
32,2004-07-20,1141,1149,1093,1094,30510,-4.37
33,2004-07-21,1102,1126,1093,1110,29104,1.46
34,2004-07-22,1065,1091,1012,1012,36512,-8.83
35,2004-07-23,1013,1047,986,990,26269,-2.17
36,2004-07-26,963,1010,939,1010,82972,2.02
37,2004-07-27,1010,1019,950,973,39031,-3.66
38,2004-07-28,991,1017,974,994,43387,2.16
39,2004-07-29,991,1084,976,1005,132582,1.11
40,2004-07-30,1049,1049,947,997,51773,-0.8
41,2004-08-02,997,997,937,940,34417,-5.72
42,2004-08-03,936,962,909,918,25760,-2.34
43,2004-08-04,893,965,889,942,49667,2.61
44,2004-08-05,936,1021,936,1019,46331,8.17
45,2004-08-06,978,1019,978,1003,17236,-1.57
46,2004-08-09,1002,1062,989,1044,69583,4.09
47,2004-08-10,1054,1108,1043,1103,73987,5.65
48,2004-08-11,1138,1138,1075,1077,66838,-2.36
49,2004-08-12,1071,1112,1056,1066,28323,-1.02
50,2004-08-13,1058,1093,1058,1071,39133,0.47
51,2004-08-16,1056,1104,1056,1090,27463,1.77
52,2004-08-17,1101,1138,1086,1110,31080,1.83
53,2004-08-18,1104,1121,1086,1112,19468,0.18
54,2004-08-19,1115,1199,1115,1166,61370,4.86
55,2004-08-20,1184,1186,1132,1183,29034,1.46
56,2004-08-23,1223,1223,1139,1140,36993,-3.63
57,2004-08-24,1145,1164,1126,1147,28467,0.61
58,2004-08-25,1139,1201,1139,1192,28972,3.92
59,2004-08-26,1221,1332,1221,1281,128039,7.47
60,2004-08-27,1304,1304,1238,1251,51395,-2.34
61,2004-08-30,1232,1297,1232,1238,28990,-1.04
62,2004-08-31,1238,1264,1238,1253,13172,1.21
63,2004-09-01,1284,1295,1232,1290,17282,2.95
64,2004-09-02,1297,1304,1240,1268,24080,-1.71
65,2004-09-03,1132,1256,1132,1210,23304,-4.57
66,2004-09-06,1245,1245,1193,1218,5090,0.66
67,2004-09-07,1199,1221,1191,1209,15894,-0.74
68,2004-09-08,1190,1238,1190,1218,15415,0.74
69,2004-09-09,1273,1316,1258,1270,66511,4.27
70,2004-09-10,1293,1345,1277,1346,87860,5.98
71,2004-09-13,1362,1469,1317,1422,164202,5.65
72,2004-09-14,1469,1469,1366,1390,45494,-2.25
73,2004-09-15,1423,1497,1373,1455,57196,4.68
74,2004-09-16,1445,1462,1418,1433,32720,-1.51
75,2004-09-17,1449,1468,1390,1405,32093,-1.95
76,2004-09-20,1392,1405,1367,1375,34566,-2.14
77,2004-09-21,1388,1475,1354,1398,32490,1.67
78,2004-09-22,1416,1475,1416,1455,88278,4.08
79,2004-09-23,1458,1458,1390,1401,25411,-3.71
80,2004-09-24,1371,1412,1354,1374,29185,-1.93
81,2004-09-30,1373,1405,1367,1405,17990,2.26
82,2004-10-01,1397,1421,1369,1383,20520,-1.57
83,2004-10-04,1390,1547,1390,1472,293036,6.44
84,2004-10-05,1471,1538,1458,1522,82362,3.4
85,2004-10-06,1575,1575,1484,1485,46469,-2.43
86,2004-10-07,1466,1494,1434,1442,26791,-2.9
87,2004-10-08,1423,1477,1408,1418,33235,-1.66
88,2004-10-11,1405,1453,1390,1435,20714,1.2
89,2004-10-12,1460,1460,1375,1381,18541,-3.76
90,2004-10-13,1367,1401,1366,1366,11694,-1.09
91,2004-10-14,1338,1388,1310,1335,17689,-2.27
92,2004-10-15,1308,1319,1264,1272,16613,-4.72
93,2004-10-18,1262,1267,1241,1253,10589,-1.49
94,2004-10-19,1260,1286,1253,1260,16871,0.56
95,2004-10-20,1301,1388,1299,1335,50381,5.95
96,2004-10-21,1362,1362,1275,1311,17593,-1.8
97,2004-10-22,1288,1314,1269,1298,15986,-0.99
98,2004-10-25,1251,1254,1208,1216,15377,-6.32
99,2004-10-26,1139,1204,1139,1201,14076,-1.23
100,2004-10-27,1199,1223,1182,1192,12930,-0.75
101,2004-10-28,1199,1223,1149,1192,34431,0.0
102,2004-10-29,1193,1225,1169,1214,15144,1.85
103,2004-11-01,1169,1291,1169,1251,15985,3.05
104,2004-11-02,1256,1278,1236,1270,7226,1.52
105,2004-11-03,1278,1290,1238,1275,10607,0.39
106,2004-11-04,1278,1278,1262,1272,5185,-0.24
107,2004-11-05,1280,1330,1280,1325,12540,4.17
108,2004-11-08,1334,1367,1291,1307,14206,-1.36
109,2004-11-09,1332,1332,1223,1290,9661,-1.3
110,2004-11-10,1290,1316,1266,1268,13002,-1.71
111,2004-11-11,1267,1278,1223,1223,11983,-3.55
112,2004-11-12,1210,1267,1210,1268,28474,3.68
113,2004-11-15,1280,1291,1273,1283,16408,1.18
114,2004-11-16,1288,1297,1262,1298,16805,1.17
115,2004-11-17,1288,1332,1288,1305,45256,0.54
116,2004-11-18,1319,1319,1269,1270,19661,-2.68
117,2004-11-19,1253,1301,1238,1240,34816,-2.36
118,2004-11-22,1210,1251,1208,1212,32761,-2.26
119,2004-11-23,1204,1240,1204,1233,23099,1.73
120,2004-11-24,1228,1243,1223,1229,12730,-0.32
121,2004-11-25,1258,1306,1214,1216,7692,-1.06
122,2004-11-26,1217,1234,1169,1179,41142,-3.04
123,2004-11-29,1178,1180,1143,1168,14240,-0.93
124,2004-11-30,1151,1195,1151,1164,18359,-0.34
125,2004-12-01,1139,1154,1126,1149,17124,-1.29
126,2004-12-02,1145,1186,1138,1138,12742,-0.96
127,2004-12-03,1136,1156,1093,1110,20692,-2.46
128,2004-12-06,1108,1108,1088,1088,18324,-1.98
129,2004-12-07,984,1093,984,1075,15651,-1.19
130,2004-12-08,1043,1078,1043,1064,7079,-1.02
131,2004-12-09,1067,1139,1067,1068,9834,0.38
132,2004-12-10,1091,1091,1058,1058,8709,-0.94
133,2004-12-13,1041,1067,1039,1047,13911,-1.04
134,2004-12-14,1060,1071,1038,1057,24144,0.96
135,2004-12-15,1078,1177,1038,1177,39307,11.35
136,2004-12-16,1149,1177,1121,1159,9213,-1.53
137,2004-12-17,1167,1167,1104,1108,7151,-4.4
138,2004-12-20,1091,1136,1065,1136,35923,2.53
139,2004-12-21,1143,1162,1093,1095,11978,-3.61
140,2004-12-22,1104,1130,1088,1097,8514,0.18
141,2004-12-23,1086,1110,1060,1068,17570,-2.64
142,2004-12-24,1067,1073,1039,1070,84133,0.19
143,2004-12-27,1065,1076,1039,1062,13497,-0.75
144,2004-12-28,1067,1067,1039,1051,21318,-1.04
145,2004-12-29,1023,1067,1023,1055,2713,0.38
146,2004-12-30,1056,1056,1038,1057,27253,0.19
147,2005-01-03,1067,1108,1049,1107,13418,4.73
148,2005-01-04,1102,1145,1086,1107,52143,0.0
149,2005-01-05,1108,1121,1080,1112,17367,0.45
150,2005-01-06,1130,1241,1119,1192,162327,7.19
151,2005-01-07,1191,1223,1158,1171,48788,-1.76
152,2005-01-10,1186,1253,1167,1242,67185,6.06
153,2005-01-11,1241,1256,1204,1233,32610,-0.72
154,2005-01-12,1241,1243,1180,1220,33661,-1.05
155,2005-01-13,1201,1362,1201,1298,200873,6.39
156,2005-01-14,1316,1453,1316,1453,242108,11.94
157,2005-01-17,1627,1627,1620,1627,149314,11.98
158,2005-01-18,1668,1818,1575,1733,445462,6.52
159,2005-01-19,1751,1816,1668,1724,251061,-0.52
160,2005-01-20,1690,1759,1575,1603,282221,-7.02
161,2005-01-21,1601,1794,1575,1794,287172,11.92
162,2005-01-24,1810,2001,1807,2002,385420,11.59
163,2005-01-25,2029,2029,1788,1818,373655,-9.19
164,2005-01-26,1872,1872,1601,1602,263069,-11.88
165,2005-01-27,1544,1610,1464,1531,204389,-4.43
166,2005-01-28,1557,1640,1557,1603,185660,4.7
167,2005-01-31,1786,1794,1777,1794,143794,11.92
168,2005-02-01,1851,1853,1612,1668,255675,-7.02
169,2005-02-02,1668,1701,1538,1576,110787,-5.52
170,2005-02-03,1575,1603,1482,1483,70456,-5.9
171,2005-02-04,1468,1540,1468,1468,80711,-1.01
172,2005-02-07,1473,1566,1468,1529,110079,4.16
173,2005-02-11,1538,1538,1453,1466,103690,-4.12
174,2005-02-14,1482,1571,1482,1533,153245,4.57
175,2005-02-15,1581,1592,1503,1557,128058,1.57
176,2005-02-16,1575,1629,1514,1629,220879,4.62
177,2005-02-17,1647,1647,1584,1594,84789,-2.15
178,2005-02-18,1592,1592,1492,1496,125284,-6.15
179,2005-02-21,1484,1503,1427,1446,89728,-3.34
180,2005-02-22,1447,1501,1408,1444,72853,-0.14
181,2005-02-23,1416,1607,1403,1557,168423,7.83
182,2005-02-24,1723,1742,1671,1742,171152,11.88
183,2005-02-25,1946,1946,1671,1761,576534,1.09
184,2005-02-28,1835,1964,1575,1620,886724,-8.01
185,2005-03-02,1634,1686,1531,1659,178595,2.41
186,2005-03-03,1723,1853,1686,1826,319790,10.07
187,2005-03-04,1794,2038,1779,2039,301251,11.66
188,2005-03-07,2122,2187,1946,2067,273431,1.37
189,2005-03-08,2066,2085,1825,1826,287219,-11.66
190,2005-03-09,1723,1723,1607,1607,388140,-11.99
191,2005-03-10,1560,1592,1469,1520,154887,-5.41
192,2005-03-11,1538,1588,1492,1550,125199,1.97
193,2005-03-14,1531,1570,1516,1520,94931,-1.94
194,2005-03-15,1521,1534,1338,1359,172506,-10.59
195,2005-03-16,1360,1371,1260,1368,168931,0.66
196,2005-03-17,1367,1460,1316,1355,144014,-0.95
197,2005-03-18,1356,1386,1299,1335,57070,-1.48
198,2005-03-21,1334,1362,1280,1316,45647,-1.42
199,2005-03-22,1295,1364,1295,1336,98874,1.52
200,2005-03-23,1306,1336,1260,1298,40722,-2.84
201,2005-03-24,1299,1366,1280,1281,94295,-1.31
202,2005-03-25,1271,1295,1206,1225,72934,-4.37
203,2005-03-28,1217,1241,1217,1227,41192,0.16
204,2005-03-29,1217,1253,1158,1168,49535,-4.81
205,2005-03-30,1175,1175,1128,1133,49053,-3.0
206,2005-03-31,1160,1245,1093,1140,393120,0.62
207,2005-04-01,1123,1164,1123,1142,46021,0.18
208,2005-04-04,1134,1186,1130,1134,57697,-0.7
209,2005-04-06,1115,1154,1115,1131,49268,-0.26
210,2005-04-07,1115,1152,1115,1146,46895,1.33
211,2005-04-08,1171,1204,1149,1197,55853,4.45
212,2005-04-11,1238,1238,1180,1183,77161,-1.17
213,2005-04-12,1175,1202,1126,1131,54397,-4.4
214,2005-04-13,1158,1158,1082,1140,118019,0.8
215,2005-04-14,1097,1128,1097,1103,34692,-3.25
216,2005-04-15,1086,1102,1015,1057,50432,-4.17
217,2005-04-18,1000,1034,915,927,121544,-12.3
218,2005-04-19,930,949,926,932,51215,0.54
219,2005-04-20,949,982,949,956,69791,2.58
220,2005-04-21,930,956,904,925,37769,-3.24
221,2005-04-22,941,971,937,947,42432,2.38
222,2005-04-25,939,963,932,960,35550,1.37
223,2005-04-26,978,993,928,929,66804,-3.23
224,2005-04-27,936,936,908,916,40577,-1.4
225,2005-04-28,910,934,878,880,47532,-3.93
226,2005-04-29,865,880,841,847,53958,-3.75
227,2005-05-02,856,904,856,871,115429,2.83
228,2005-05-03,865,889,826,831,42160,-4.59
229,2005-05-04,819,889,816,840,74688,1.08
230,2005-05-06,839,908,839,908,165952,8.1
231,2005-05-09,908,921,871,872,74749,-3.96
232,2005-05-10,876,880,836,844,53319,-3.21
233,2005-05-11,835,841,806,819,56723,-2.96
234,2005-05-12,800,818,798,806,57243,-1.59
235,2005-05-13,795,830,791,816,43845,1.24
236,2005-05-16,811,830,806,813,56741,-0.37
237,2005-05-17,823,844,822,830,52553,2.09
238,2005-05-18,835,869,832,869,54757,4.7
239,2005-05-19,884,899,873,890,38889,2.42
240,2005-05-20,907,907,865,866,56326,-2.7
241,2005-05-23,850,867,835,836,42474,-3.46
242,2005-05-24,843,849,834,845,41266,1.08
243,2005-05-25,855,897,855,890,115758,5.33
244,2005-05-26,886,917,876,881,82729,-1.01
245,2005-05-27,900,962,895,945,79170,7.26
246,2005-05-30,947,997,945,997,70515,5.5
247,2005-05-31,997,997,952,988,42844,-0.9
248,2005-06-01,982,982,911,912,71546,-7.69
249,2005-06-02,917,974,889,927,96170,1.64
250,2005-06-03,926,954,924,934,42514,0.76
251,2005-06-07,923,943,908,929,53631,-0.54
252,2005-06-08,919,1067,919,1068,377457,14.96
253,2005-06-09,1071,1219,1038,1083,391411,1.4
254,2005-06-10,1084,1158,1058,1108,96054,2.31
255,2005-06-13,1121,1134,1056,1081,102191,-2.44
256,2005-06-14,1039,1089,1019,1029,98969,-4.81
257,2005-06-15,1032,1076,1019,1040,85830,1.07
258,2005-06-16,1039,1106,1039,1075,75047,3.37
259,2005-06-17,1086,1101,1058,1075,65395,0.0
260,2005-06-20,1080,1093,1060,1066,33615,-0.84
261,2005-06-21,1060,1152,1060,1084,183000,1.69
262,2005-06-22,1082,1130,1073,1110,45756,2.4
263,2005-06-23,1112,1145,1078,1083,58135,-2.43
264,2005-06-24,1071,1088,980,1057,61624,-2.4
265,2005-06-27,1017,1019,974,990,56007,-6.34
266,2005-06-28,974,1000,974,975,26994,-1.52
267,2005-06-29,1019,1019,986,994,34602,1.95
268,2005-06-30,1010,1141,1010,1142,90469,14.89
269,2005-07-01,1186,1221,1093,1103,189117,-3.42
270,2005-07-04,1093,1130,1086,1118,69435,1.36
271,2005-07-05,1139,1139,1097,1108,47227,-0.89
272,2005-07-06,1117,1167,1117,1134,71912,2.35
273,2005-07-07,1121,1180,1121,1151,72673,1.5
274,2005-07-08,1195,1288,1167,1205,201346,4.69
275,2005-07-11,1193,1230,1160,1175,89140,-2.49
276,2005-07-12,1186,1186,1141,1149,39023,-2.21
277,2005-07-13,1149,1243,1149,1155,241578,0.52
278,2005-07-14,1165,1177,1126,1131,63855,-2.08
279,2005-07-15,1138,1158,1108,1118,47863,-1.15
280,2005-07-18,1117,1136,1102,1112,40066,-0.54
281,2005-07-19,1101,1123,1093,1101,48254,-0.99
282,2005-07-20,1112,1119,1095,1105,28078,0.36
283,2005-07-21,1104,1134,1075,1084,54599,-1.9
284,2005-07-22,1088,1097,1004,1062,52320,-2.03
285,2005-07-25,1075,1075,1041,1062,28823,0.0
286,2005-07-26,1049,1093,1030,1075,43961,1.22
287,2005-07-27,1095,1149,1095,1112,104521,3.44
288,2005-07-28,1139,1139,1084,1118,41378,0.54
289,2005-07-29,1112,1117,1093,1099,39605,-1.7
290,2005-08-01,1093,1106,1084,1084,24621,-1.36
291,2005-08-02,1076,1093,1056,1057,25281,-2.49
292,2005-08-03,1078,1078,1056,1071,45182,1.32
293,2005-08-04,1065,1065,1013,1019,14711,-4.86
294,2005-08-05,982,1000,937,945,34477,-7.26
295,2005-08-08,939,973,928,942,44272,-0.32
296,2005-08-09,941,962,932,958,14718,1.7
297,2005-08-10,962,976,960,973,13660,1.57
298,2005-08-11,963,999,960,994,32909,2.16
299,2005-08-12,999,1006,991,1001,6922,0.7
300,2005-08-16,993,1019,973,999,28197,-0.2
