,Date,Open,High,Low,Close,Volume,Change
0,2004-10-22,5160,5160,5130,5160,57513,0.0
1,2004-10-25,5150,5160,5140,5160,11680,0.0
2,2004-10-26,5170,5170,5150,5170,21910,0.19
3,2004-10-27,5160,5160,5160,5160,6319,-0.19
4,2004-10-28,5170,5200,5170,5190,26520,0.58
5,2004-10-29,5190,5190,5170,5190,2830,0.0
6,2004-11-01,5200,5380,5190,5200,19550,0.19
7,2004-11-02,5220,5270,5220,5270,5300,1.35
8,2004-11-03,5250,5280,5200,5280,24400,0.19
9,2004-11-04,5250,5270,5250,5270,10090,-0.19
10,2004-11-05,5280,5290,5270,5270,11751,0.0
11,2004-11-08,5290,5310,5270,5280,12580,0.19
12,2004-11-09,5270,5270,5270,5270,200,-0.19
13,2004-11-10,5300,5300,5270,5270,9190,0.0
14,2004-11-11,5270,5270,5260,5270,2320,0.0
15,2004-11-12,5270,5300,5260,5270,4360,0.0
16,2004-11-15,5270,5350,5270,5300,240,0.57
17,2004-11-16,5300,5310,5270,5310,4840,0.19
18,2004-11-17,5300,5390,5300,5390,48540,1.51
19,2004-11-18,5350,5400,5350,5400,13800,0.19
20,2004-11-19,5400,5420,5400,5400,5270,0.0
21,2004-11-22,5400,5400,5400,5400,130,0.0
22,2004-11-23,5400,5420,5400,5410,16700,0.19
23,2004-11-24,5410,5420,5400,5410,20460,0.0
24,2004-11-25,5400,5400,5400,5400,2690,-0.18
25,2004-11-26,5410,5410,5410,5410,300,0.19
26,2004-11-29,5410,5410,5400,5410,2010,0.0
27,2004-11-30,5400,5420,5400,5420,970,0.18
28,2004-12-01,5430,5430,5430,5430,600,0.18
29,2004-12-02,5480,5480,5470,5480,4000,0.92
30,2004-12-03,0,0,0,5480,0,0.0
31,2004-12-06,0,0,0,5480,0,0.0
32,2004-12-07,5480,5480,5480,5480,500,0.0
33,2004-12-08,5480,5500,5470,5500,2020,0.36
34,2004-12-09,5480,5500,5470,5470,710,-0.55
35,2004-12-10,5520,5520,5500,5520,4540,0.91
36,2004-12-13,5500,5560,5500,5560,11220,0.72
37,2004-12-14,5550,5550,5510,5540,27760,-0.36
38,2004-12-15,0,0,0,5540,0,0.0
39,2004-12-16,5550,5550,5540,5540,1040,0.0
40,2004-12-17,5550,5550,5540,5550,2000,0.18
41,2004-12-20,5550,5620,5550,5620,1040,1.26
42,2004-12-21,0,0,0,5620,0,0.0
43,2004-12-22,5600,5600,5600,5600,80,-0.36
44,2004-12-23,5550,5550,5550,5550,720,-0.89
45,2004-12-24,5680,5680,5550,5550,30,0.0
46,2004-12-27,5600,5690,5600,5680,28100,2.34
47,2004-12-28,5680,5680,5680,5680,11560,0.0
48,2004-12-29,5680,5800,5560,5560,6871,-2.11
49,2004-12-30,5560,5990,5560,5570,1090,0.18
50,2005-01-03,5570,5570,5550,5560,9700,-0.18
51,2005-01-04,5560,5560,5530,5530,1250,-0.54
52,2005-01-05,5520,5530,5520,5530,3070,0.0
53,2005-01-06,5530,5530,5530,5530,2030,0.0
