,Date,Open,High,Low,Close,Volume,Change
0,2004-12-27,5400,5470,5310,5450,24571,0.93
1,2004-12-28,5450,5460,5450,5460,7014,0.18
2,2004-12-29,5440,5460,5410,5460,18080,0.0
3,2004-12-30,5440,5500,5440,5500,2030,0.73
4,2005-01-03,5430,5450,5370,5400,1040,-1.82
5,2005-01-04,5390,5430,5390,5400,39502,0.0
6,2005-01-05,5360,5400,5360,5380,9220,-0.37
7,2005-01-06,5360,5380,5320,5380,22430,0.0
8,2005-01-07,5390,5400,5360,5400,13335,0.37
9,2005-01-10,5400,5400,5370,5400,5530,0.0
10,2005-01-11,5400,5400,5390,5400,5750,0.0
11,2005-01-12,5380,5420,5380,5410,2220,0.19
12,2005-01-13,5410,5420,5400,5420,9697,0.18
13,2005-01-14,5400,5430,5400,5420,1430,0.0
14,2005-01-17,5400,5400,5400,5400,7470,-0.37
15,2005-01-18,5400,5410,5350,5400,9660,0.0
16,2005-01-19,5310,5400,5310,5400,7790,0.0
17,2005-01-20,5360,5400,5360,5380,5770,-0.37
18,2005-01-21,5400,5400,5370,5400,15110,0.37
19,2005-01-24,5380,5400,5380,5380,9777,-0.37
20,2005-01-25,5370,5390,5360,5390,3880,0.19
21,2005-01-26,5380,5380,5380,5380,9220,-0.19
22,2005-01-27,5380,5390,5310,5370,5860,-0.19
23,2005-01-28,5370,5380,5310,5380,1390,0.19
24,2005-01-31,5350,5370,5350,5370,10670,-0.19
25,2005-02-01,5370,5390,5370,5390,5000,0.37
26,2005-02-02,5390,5400,5380,5380,5020,-0.19
27,2005-02-03,5390,5390,5390,5390,5000,0.19
28,2005-02-04,5350,5350,5350,5350,350,-0.74
29,2005-02-07,5330,5360,5310,5360,710,0.19
30,2005-02-11,5380,5380,5300,5300,430,-1.12
31,2005-02-14,5350,5350,5160,5350,780,0.94
32,2005-02-15,5120,5390,5120,5300,1840,-0.93
33,2005-02-16,5300,5350,5300,5350,1550,0.94
34,2005-02-17,5160,5290,5160,5280,2160,-1.31
35,2005-02-18,5190,5240,5170,5220,6690,-1.14
36,2005-02-21,5180,5290,5150,5150,4250,-1.34
37,2005-02-22,5250,5250,5180,5230,3870,1.55
38,2005-02-23,5200,5200,5200,5200,246,-0.57
39,2005-02-24,5200,5200,5200,5200,550,0.0
40,2005-02-25,5180,5200,5180,5200,70,0.0
41,2005-02-28,5180,5250,5180,5240,1430,0.77
42,2005-03-02,5240,5240,5200,5240,3870,0.0
43,2005-03-03,5200,5220,5200,5220,2080,-0.38
44,2005-03-04,5200,5250,5200,5250,7160,0.57
45,2005-03-07,5250,5280,5250,5260,17080,0.19
46,2005-03-08,5390,5390,5210,5350,5040,1.71
47,2005-03-09,5270,5270,5250,5250,1360,-1.87
48,2005-03-10,5220,5320,5220,5320,870,1.33
49,2005-03-11,5210,5250,5210,5240,3720,-1.5
50,2005-03-14,5230,5230,5230,5230,470,-0.19
51,2005-03-15,5240,5240,5220,5230,2600,0.0
52,2005-03-16,5260,5260,5260,5260,1000,0.57
53,2005-03-17,5260,5260,5200,5200,4230,-1.14
54,2005-03-18,5260,5260,5260,5260,2000,1.15
55,2005-03-21,0,0,0,5240,0,-0.38
56,2005-03-22,5200,5220,5200,5210,3060,-0.57
57,2005-03-23,5210,5210,5200,5200,110,-0.19
58,2005-03-24,5200,5220,5200,5200,3003,0.0
59,2005-03-25,5200,5200,5200,5200,2000,0.0
60,2005-03-28,5190,5210,5190,5200,9960,0.0
61,2005-03-29,5200,5200,5190,5200,3060,0.0
62,2005-03-30,5190,5190,5190,5190,180,-0.19
63,2005-03-31,5200,5200,5190,5190,4450,0.0
64,2005-04-01,5200,5200,5190,5200,7330,0.19
65,2005-04-04,5190,5190,5190,5190,300,-0.19
66,2005-04-06,5190,5190,5190,5190,250,0.0
67,2005-04-07,5200,5200,5190,5200,3255,0.19
68,2005-04-08,5200,5200,5190,5200,13830,0.0
69,2005-04-11,5190,5200,5190,5200,3530,0.0
70,2005-04-12,5190,5200,5190,5190,3638,-0.19
71,2005-04-13,5190,5200,5190,5190,320,0.0
72,2005-04-14,5190,5200,5190,5190,930,0.0
73,2005-04-15,5190,5190,5190,5190,770,0.0
74,2005-04-18,5190,5200,5190,5200,1910,0.19
75,2005-04-19,5190,5200,5190,5200,1960,0.0
76,2005-04-20,5180,5220,5180,5220,760,0.38
77,2005-04-21,0,0,0,5220,0,0.0
78,2005-04-22,0,0,0,5210,0,-0.19
79,2005-04-25,5190,5200,5190,5200,450,-0.19
80,2005-04-26,5180,5200,5180,5200,470,0.0
81,2005-04-27,5180,5190,5180,5190,2010,-0.19
82,2005-04-28,5150,5190,5150,5190,100,0.0
83,2005-04-29,5160,5200,5160,5180,680,-0.19
84,2005-05-02,5160,5190,5160,5190,1520,0.19
85,2005-05-03,5170,5190,5170,5190,30,0.0
86,2005-05-04,0,0,0,5190,0,0.0
87,2005-05-06,5150,5230,5150,5230,560,0.77
88,2005-05-09,5180,5180,5180,5180,470,-0.96
89,2005-05-10,5150,5200,5150,5200,1860,0.39
90,2005-05-11,0,0,0,5200,0,0.0
91,2005-05-12,5200,5200,5200,5200,2170,0.0
92,2005-05-13,5200,5200,5200,5200,3110,0.0
93,2005-05-16,5200,5200,5170,5170,2467,-0.58
94,2005-05-17,0,0,0,5170,0,0.0
95,2005-05-18,5180,5180,5180,5180,1770,0.19
96,2005-05-19,0,0,0,5180,0,0.0
97,2005-05-20,5180,5200,5170,5180,2940,0.0
98,2005-05-23,5250,5250,5250,5250,10,1.35
99,2005-05-24,5190,5190,5190,5190,10,-1.14
100,2005-05-25,5200,5200,5190,5190,380,0.0
101,2005-05-26,5190,5200,5180,5200,1120,0.19
102,2005-05-27,5190,5190,5190,5190,29,-0.19
103,2005-05-30,5190,5200,5190,5190,2030,0.0
104,2005-05-31,5200,5200,5190,5190,2170,0.0
105,2005-06-01,5190,5200,5190,5200,3800,0.19
106,2005-06-02,5200,5200,5200,5200,20,0.0
107,2005-06-03,5190,5300,5190,5300,1020,1.92
108,2005-06-07,5200,5200,5200,5200,180,-1.89
109,2005-06-08,5200,5200,5200,5200,1010,0.0
110,2005-06-09,5200,5200,5200,5200,550,0.0
111,2005-06-10,5180,5190,5170,5190,6600,-0.19
112,2005-06-13,5200,5200,5180,5200,2140,0.19
113,2005-06-14,5200,5230,5200,5230,470,0.58
