,Date,Open,High,Low,Close,Volume,Change
0,2010-09-28,14000,15380,13320,13740,5346244,NaN
1,2010-09-29,14020,14260,13800,13820,951249,0.58
2,2010-09-30,13800,13900,13560,13680,505994,-1.01
3,2010-10-01,13799,15719,13799,15720,1617532,14.91
4,2010-10-04,16060,17040,15300,16300,2101266,3.69
5,2010-10-05,16320,16700,15820,15980,604025,-1.96
6,2010-10-06,16280,16340,15520,15560,601581,-2.63
7,2010-10-07,15579,15700,14939,15460,628848,-0.64
8,2010-10-08,15339,15400,14840,14900,463704,-3.62
9,2010-10-11,15200,15639,15040,15320,484062,2.82
10,2010-10-12,15460,15600,14860,15000,268690,-2.09
11,2010-10-13,15160,16200,15000,15660,620164,4.4
12,2010-10-14,15700,16340,15460,16340,410304,4.34
13,2010-10-15,16140,16500,15919,16140,284795,-1.22
14,2010-10-18,16020,16120,15740,15840,242993,-1.86
15,2010-10-19,15800,16620,15660,16360,341190,3.28
16,2010-10-20,16300,16900,16240,16760,376054,2.44
17,2010-10-21,16840,16960,16400,16420,185485,-2.03
18,2010-10-22,16320,16660,16240,16600,116017,1.1
19,2010-10-25,16600,16740,15900,15980,193189,-3.73
20,2010-10-26,16020,16180,15900,15960,140362,-0.13
21,2010-10-27,16120,16480,15960,16160,142623,1.25
22,2010-10-28,16260,16540,15960,16200,111584,0.25
23,2010-10-29,16100,16180,15579,15620,131395,-3.58
24,2010-11-01,15640,15960,15300,15660,92758,0.26
25,2010-11-02,15760,15880,15459,15580,79851,-0.51
26,2010-11-03,15740,15900,15420,15560,112099,-0.13
27,2010-11-04,15579,16400,15579,16260,223451,4.5
28,2010-11-05,16400,16400,15819,15860,129154,-2.46
29,2010-11-08,16100,16360,15880,16240,115834,2.4
30,2010-11-09,16339,16420,15960,16140,86101,-0.62
31,2010-11-10,16040,16440,16020,16440,132305,1.86
32,2010-11-11,16520,16880,16320,16680,281250,1.46
33,2010-11-12,16680,16800,15860,16340,232148,-2.04
34,2010-11-15,16340,16360,15639,16280,151562,-0.37
35,2010-11-16,15860,16100,15320,15540,194802,-4.55
36,2010-11-17,15239,15260,14000,14600,338129,-6.05
37,2010-11-18,14640,15120,14620,15000,105493,2.74
38,2010-11-19,15020,15379,15020,15180,97467,1.2
39,2010-11-22,15280,15560,15200,15480,49516,1.98
40,2010-11-23,15580,15580,15300,15400,66609,-0.52
41,2010-11-24,14959,15260,14920,15020,100059,-2.47
42,2010-11-25,15200,15280,15020,15080,43702,0.4
43,2010-11-26,15080,15340,14940,15000,67689,-0.53
44,2010-11-29,14840,15099,14700,14820,37821,-1.2
45,2010-11-30,14820,15000,14619,14960,81938,0.94
46,2010-12-01,15000,15040,14860,14940,41583,-0.13
47,2010-12-02,15099,15600,14960,15600,72243,4.42
48,2010-12-03,15620,15640,15360,15540,35591,-0.38
49,2010-12-06,15540,15860,15300,15600,40119,0.39
50,2010-12-07,15700,16000,15419,15920,67985,2.05
51,2010-12-08,16059,16059,15620,15620,35576,-1.88
52,2010-12-09,15700,15920,15480,15520,52418,-0.64
53,2010-12-10,15600,15640,15099,15300,98836,-1.42
54,2010-12-13,15299,15520,15139,15260,47573,-0.26
55,2010-12-14,15360,15360,15000,15040,73046,-1.44
56,2010-12-15,15040,15140,14600,14640,394395,-2.66
57,2010-12-16,14800,15059,14800,15020,76733,2.6
58,2010-12-17,14900,15160,14779,14980,66373,-0.27
59,2010-12-20,14740,14900,14440,14780,95556,-1.34
60,2010-12-21,14780,14960,14640,14880,60334,0.68
61,2010-12-22,14720,15160,14720,14820,52017,-0.4
62,2010-12-23,14859,15060,14740,14960,29105,0.94
63,2010-12-24,14860,14980,14700,14700,63179,-1.74
64,2010-12-27,14619,14980,14619,14980,37804,1.9
65,2010-12-28,15000,15480,14980,15340,96065,2.4
66,2010-12-29,15459,15800,15320,15740,332797,2.61
67,2010-12-30,15760,15880,15420,15640,66584,-0.64
68,2011-01-03,15640,15640,15200,15300,75494,-2.17
69,2011-01-04,15280,15300,14900,14960,87147,-2.22
70,2011-01-05,14920,15180,14620,14680,145838,-1.87
71,2011-01-06,14720,14900,14620,14680,64403,0.0
72,2011-01-07,14700,14839,14660,14680,45029,0.0
73,2011-01-10,14620,14700,14460,14520,90278,-1.09
74,2011-01-11,14520,14640,14300,14340,100701,-1.24
75,2011-01-12,14440,14700,14400,14660,111261,2.23
76,2011-01-13,14720,14720,13980,14240,163829,-2.86
77,2011-01-14,14260,14340,14000,14140,90027,-0.7
78,2011-01-17,14200,14200,13320,13320,202601,-5.8
79,2011-01-18,13480,13680,13160,13360,123141,0.3
80,2011-01-19,13520,13840,13520,13800,146241,3.29
81,2011-01-20,13660,14100,13660,14080,159871,2.03
82,2011-01-21,14100,14100,13880,14000,112508,-0.57
83,2011-01-24,14020,14460,13900,14440,172125,3.14
84,2011-01-25,14440,14440,13800,14000,105005,-3.05
85,2011-01-26,13960,14040,13720,13760,85073,-1.71
86,2011-01-27,13900,13900,13340,13480,142196,-2.03
87,2011-01-28,13480,13640,13180,13500,146153,0.15
88,2011-01-31,13500,13500,13060,13140,131962,-2.67
89,2011-02-01,13320,13680,13180,13340,143884,1.52
90,2011-02-07,13500,13500,13260,13380,70996,0.3
91,2011-02-08,13400,13600,12640,12740,165854,-4.78
92,2011-02-09,12880,12940,12200,12300,197057,-3.45
93,2011-02-10,12260,12600,12260,12580,66577,2.28
94,2011-02-11,12539,12820,12459,12600,85294,0.16
95,2011-02-14,12620,12680,12300,12360,40070,-1.9
96,2011-02-15,12300,12480,11740,12100,175092,-2.1
97,2011-02-16,12000,12220,11860,12000,87014,-0.83
98,2011-02-17,11920,12120,11700,11860,118985,-1.17
99,2011-02-18,11900,12700,11900,12560,178761,5.9
100,2011-02-21,12660,12759,12460,12620,83634,0.48
101,2011-02-22,12600,12679,12380,12580,135556,-0.32
102,2011-02-23,12579,12840,12440,12680,62344,0.79
103,2011-02-24,12659,13120,12600,12840,80431,1.26
104,2011-02-25,12899,13100,12840,13000,79467,1.25
105,2011-02-28,13000,13020,12499,12680,65303,-2.46
106,2011-03-02,12500,12679,12020,12020,103802,-5.21
107,2011-03-03,12040,12360,12040,12360,63114,2.83
108,2011-03-04,12300,12580,12240,12320,39237,-0.32
109,2011-03-07,12260,12560,12240,12240,17301,-0.65
110,2011-03-08,12240,13280,12240,13000,141037,6.21
111,2011-03-09,13240,13720,13160,13660,155145,5.08
112,2011-03-10,13840,14120,13500,14060,172584,2.93
113,2011-03-11,13800,14400,13720,14300,90284,1.71
114,2011-03-14,13900,14200,13540,13660,76363,-4.48
115,2011-03-15,13620,13960,12740,13800,87401,1.02
116,2011-03-16,13900,13900,13400,13780,65129,-0.14
117,2011-03-17,13500,13640,13260,13260,48542,-3.77
118,2011-03-18,13260,14080,13260,14080,82836,6.18
119,2011-03-21,14000,14120,13760,14040,80125,-0.28
120,2011-03-22,14040,14320,13840,13900,58578,-1.0
121,2011-03-23,13840,13900,13520,13580,130044,-2.3
122,2011-03-24,13600,14260,13600,14220,114422,4.71
123,2011-03-25,14140,14360,14080,14340,95011,0.84
124,2011-03-28,14460,14580,14040,14120,63939,-1.53
125,2011-03-29,14220,14760,14020,14740,112089,4.39
126,2011-03-30,14880,15099,14640,14980,126974,1.63
127,2011-03-31,15200,15240,14800,15180,83198,1.34
128,2011-04-01,15259,15259,14920,14960,54151,-1.45
129,2011-04-04,15000,15100,14600,14860,49878,-0.67
130,2011-04-05,14759,15500,14759,15080,105865,1.48
131,2011-04-06,14959,15240,14760,15020,93496,-0.4
132,2011-04-07,15020,15239,14860,15240,74592,1.46
133,2011-04-08,15160,15340,15060,15240,55420,0.0
134,2011-04-11,15260,15340,14680,14760,156780,-3.15
135,2011-04-12,14720,15180,14720,15140,50425,2.57
136,2011-04-13,14920,15460,14920,15200,48141,0.4
137,2011-04-14,15400,15700,15300,15600,133198,2.63
138,2011-04-15,15740,16160,15600,16160,188535,3.59
139,2011-04-18,16240,16300,15640,16000,64998,-0.99
140,2011-04-19,15780,15800,15440,15560,65418,-2.75
141,2011-04-20,15760,15940,15360,15400,80827,-1.03
142,2011-04-21,15500,15640,15040,15080,156249,-2.08
143,2011-04-22,15200,15240,14720,14780,96006,-1.99
144,2011-04-25,14960,15140,14760,15040,74987,1.76
145,2011-04-26,15200,15200,14700,14920,73910,-0.8
146,2011-04-27,14940,15179,14200,14260,185264,-4.42
147,2011-04-28,14380,14440,13960,14100,93013,-1.12
148,2011-04-29,14160,14360,13980,14240,84235,0.99
149,2011-05-02,14240,14840,14240,14800,89368,3.93
150,2011-05-03,14899,14899,14480,14800,89085,0.0
151,2011-05-04,14800,14820,14160,14160,90927,-4.32
152,2011-05-06,14220,14540,14040,14480,74603,2.26
153,2011-05-09,14500,14500,14160,14340,28774,-0.97
154,2011-05-11,14460,14460,14160,14460,58321,0.84
155,2011-05-12,14320,14859,14320,14640,62285,1.24
156,2011-05-13,14640,15120,14579,15120,101353,3.28
157,2011-05-16,15200,15360,14960,15060,78209,-0.4
158,2011-05-17,15200,15520,15160,15460,98325,2.66
159,2011-05-18,15580,15600,15200,15360,71336,-0.65
160,2011-05-19,15420,15720,14820,15180,70963,-1.17
161,2011-05-20,15180,15340,14840,15180,50423,0.0
162,2011-05-23,16920,17360,15200,15200,763290,0.13
163,2011-05-24,14920,15700,14140,15320,311380,0.79
164,2011-05-25,15440,15880,15100,15100,111438,-1.44
165,2011-05-26,14940,15200,14920,15000,93096,-0.66
166,2011-05-27,14999,16540,14940,15800,305221,5.33
167,2011-05-30,16100,16740,15920,15920,188194,0.76
168,2011-05-31,16120,16299,15739,16240,176217,2.01
169,2011-06-01,16380,16380,15759,15860,105160,-2.34
170,2011-06-02,15480,15780,15360,15500,57234,-2.27
171,2011-06-03,15659,16700,15600,16560,249919,6.84
