,Date,Open,High,Low,Close,Volume,Change
0,2005-06-24,8400,8780,7160,7790,2258783,NaN
1,2005-06-27,7890,7890,7150,7180,425481,-7.83
2,2005-06-28,7300,7590,6970,7150,376146,-0.42
3,2005-06-29,7110,7390,6950,6950,306093,-2.8
4,2005-06-30,6880,7070,6540,6550,435582,-5.76
5,2005-07-01,6540,6630,6300,6400,463517,-2.29
6,2005-07-04,6400,6580,6400,6460,325138,0.94
7,2005-07-05,6480,6690,6460,6480,367471,0.31
8,2005-07-06,6480,6590,6330,6390,269417,-1.39
9,2005-07-07,6350,6420,6250,6300,277411,-1.41
10,2005-07-08,6370,6490,6320,6390,396060,1.43
11,2005-07-11,6450,6780,6400,6610,495052,3.44
12,2005-07-12,6600,6670,6330,6330,264063,-4.24
13,2005-07-13,6330,6500,6250,6450,296443,1.9
14,2005-07-14,6450,6540,6330,6330,225135,-1.86
15,2005-07-15,6330,6380,5960,6050,375756,-4.42
16,2005-07-18,6060,6170,6010,6050,147602,0.0
17,2005-07-19,6130,6400,6050,6130,565440,1.32
18,2005-07-20,6130,6260,5880,5880,319142,-4.08
19,2005-07-21,5880,6010,5640,5670,195836,-3.57
20,2005-07-22,5620,5680,5350,5490,284579,-3.17
21,2005-07-25,5300,5500,5300,5350,288539,-2.55
22,2005-07-26,5400,5450,5320,5350,250864,0.0
23,2005-07-27,5420,5560,5390,5420,251939,1.31
24,2005-07-28,5440,5740,5430,5640,382813,4.06
25,2005-07-29,5730,5760,5590,5700,207673,1.06
26,2005-08-01,5720,5760,5590,5600,97642,-1.75
27,2005-08-02,5700,6160,5700,5790,535595,3.39
28,2005-08-03,5840,5900,5460,5470,186818,-5.53
29,2005-08-04,5590,5590,5250,5280,234833,-3.47
30,2005-08-05,5110,5200,4995,5000,170692,-5.3
31,2005-08-08,4910,5170,4910,5040,154821,0.8
32,2005-08-09,5040,5230,5040,5150,101969,2.18
33,2005-08-10,5300,5340,5200,5200,134038,0.97
34,2005-08-11,5190,5320,5150,5320,152706,2.31
35,2005-08-12,5300,5460,5300,5460,60820,2.63
