,Date,Open,High,Low,Close,Volume,Change
0,2005-07-29,7849,8110,7116,7667,2961243,NaN
1,2005-08-01,7665,7665,6540,6542,746723,-14.67
2,2005-08-02,6671,7064,6488,6882,691799,5.2
3,2005-08-03,6645,6985,6540,6568,292452,-4.56
4,2005-08-04,6489,7536,6437,7274,753656,10.75
5,2005-08-05,7274,7902,7248,7745,1748400,6.48
6,2005-08-08,7745,7745,7038,7117,345565,-8.11
7,2005-08-09,7065,7614,6960,7248,370031,1.84
8,2005-08-10,7247,7718,7142,7667,399734,5.78
9,2005-08-11,7639,7901,7587,7641,464152,-0.34
10,2005-08-12,7744,7796,7430,7484,245563,-2.05
11,2005-08-16,7693,7876,7536,7745,378970,3.49
12,2005-08-17,7639,7796,7430,7458,339714,-3.71
13,2005-08-18,7325,7535,7221,7458,318197,0.0
14,2005-08-19,7273,7561,7273,7327,104061,-1.76
15,2005-08-22,7326,7457,7222,7222,120955,-1.43
16,2005-08-23,7588,8294,7536,7850,1425035,8.7
17,2005-08-24,8007,8111,7719,7850,536779,0.0
18,2005-08-25,7744,8267,7718,8243,629409,5.01
19,2005-08-26,8267,8267,7927,7929,699479,-3.81
20,2005-08-29,7614,7693,7326,7536,2071593,-4.96
21,2005-08-30,7718,8110,7561,8112,1372540,7.64
22,2005-08-31,8006,8450,8006,8086,848297,-0.32
23,2005-09-01,8084,8450,8084,8243,857043,1.94
24,2005-09-02,8320,8634,8215,8583,827726,4.12
25,2005-09-05,8738,8843,8529,8583,653317,0.0
26,2005-09-06,8581,8686,8424,8426,634183,-1.83
27,2005-09-07,8635,9132,8582,9001,1776995,6.82
28,2005-09-08,9132,9236,8765,8818,1235725,-2.03
29,2005-09-09,8896,8896,8608,8687,366847,-1.49
30,2005-09-12,8739,9001,8399,8504,688658,-2.11
31,2005-09-13,8478,8792,8373,8373,612648,-1.54
32,2005-09-14,8581,8921,8529,8740,748149,4.38
33,2005-09-15,8582,8687,7431,7850,1818375,-10.18
34,2005-09-16,7902,8137,7457,8059,1133015,2.66
35,2005-09-20,8137,8321,7876,8216,675320,1.95
36,2005-09-21,8085,8635,8059,8504,621142,3.51
37,2005-09-22,8478,8530,8321,8504,264998,0.0
38,2005-09-23,8504,8530,8268,8347,257784,-1.85
39,2005-09-26,8373,8556,8373,8373,200204,0.31
40,2005-09-27,8373,8713,8347,8661,377653,3.44
41,2005-09-28,8895,9890,8869,9813,1397896,13.3
42,2005-09-29,10048,10257,9681,9943,993647,1.32
43,2005-09-30,10099,10151,9628,9656,295006,-2.89
44,2005-10-04,9680,9916,9523,9656,450731,0.0
45,2005-10-05,9446,9629,9289,9420,411450,-2.44
46,2005-10-06,9393,9760,9341,9446,383856,0.28
47,2005-10-07,9629,9786,9420,9577,303094,1.39
48,2005-10-10,9681,10205,9681,10205,472605,6.56
49,2005-10-11,10205,10205,9707,9891,428291,-3.08
50,2005-10-12,10020,10151,9419,9499,559470,-3.96
51,2005-10-13,9420,9524,9158,9263,355228,-2.48
52,2005-10-14,9315,9315,8844,9001,319033,-2.83
53,2005-10-17,9000,9209,8712,8766,276977,-2.61
54,2005-10-18,8948,9314,8869,9211,437276,5.08
55,2005-10-19,9288,9523,8895,9054,376781,-1.7
56,2005-10-20,9210,9236,8661,8792,279987,-2.89
57,2005-10-21,8477,9078,8477,8897,232484,1.19
58,2005-10-24,8844,9053,8739,9001,232877,1.17
