,Date,Open,High,Low,Close,Volume,Change
0,2014-08-01,4339,4570,3938,4200,3066367,NaN
1,2014-08-04,4179,4269,3999,4059,561355,-3.36
2,2014-08-05,4069,4079,3768,3819,479619,-5.91
3,2014-08-06,3818,3938,3718,3829,381422,0.26
4,2014-08-07,3828,3848,3487,3498,477170,-8.64
5,2014-08-08,3548,3568,3397,3498,262454,0.0
6,2014-08-11,3507,3517,3287,3328,203372,-4.86
7,2014-08-12,3327,3427,3187,3358,193671,0.9
8,2014-08-13,3407,3467,3257,3348,103203,-0.3
9,2014-08-14,3397,3447,2856,3007,312995,-10.19
10,2014-08-18,2986,3026,2876,3007,188239,0.0
11,2014-08-19,3006,3056,2966,3027,92534,0.67
12,2014-08-20,3026,3046,2796,2796,164485,-7.63
13,2014-08-21,2786,2866,2726,2776,88036,-0.72
14,2014-08-22,2836,2956,2796,2796,108398,0.72
15,2014-08-25,2796,2976,2746,2937,148184,5.04
16,2014-08-26,3016,3066,2946,3057,148366,4.09
17,2014-08-27,3026,3056,2866,2866,100682,-6.25
18,2014-08-28,2866,2946,2806,2806,122723,-2.09
19,2014-08-29,2816,2846,2726,2726,100604,-2.85
20,2014-09-01,2605,2736,2585,2706,602169,-0.73
21,2014-09-02,2756,2956,2746,2887,757341,6.69
22,2014-09-03,2876,3016,2836,3017,405222,4.5
23,2014-09-04,3016,3147,2946,3127,519821,3.65
24,2014-09-05,3137,3137,2896,2917,347645,-6.72
25,2014-09-11,2916,2916,2766,2806,178276,-3.81
26,2014-09-12,2826,2886,2756,2887,129842,2.89
27,2014-09-15,2856,2866,2726,2796,127997,-3.15
28,2014-09-16,2816,2886,2766,2806,92761,0.36
29,2014-09-17,2806,2876,2746,2756,134486,-1.78
30,2014-09-18,2806,2886,2776,2877,154751,4.39
31,2014-09-19,2866,2906,2826,2877,115059,0.0
32,2014-09-22,2886,2926,2756,2756,139918,-4.21
33,2014-09-23,2756,2766,2696,2736,88592,-0.73
34,2014-09-24,2726,2776,2696,2706,109243,-1.1
35,2014-09-25,2736,2796,2706,2716,105087,0.37
36,2014-09-26,2666,2736,2645,2716,122287,0.0
37,2014-09-29,2726,2736,2525,2576,156913,-5.15
38,2014-09-30,2575,2625,2455,2466,132631,-4.27
39,2014-10-01,2495,2495,2325,2476,172052,0.41
40,2014-10-02,2455,2465,2375,2436,68572,-1.62
41,2014-10-06,2445,2445,2255,2265,154208,-7.02
42,2014-10-07,2245,2365,2154,2195,178025,-3.09
43,2014-10-08,2164,2305,2144,2285,143482,4.1
44,2014-10-10,2245,2285,2184,2245,88223,-1.75
45,2014-10-13,2225,2245,1994,2035,191736,-9.35
46,2014-10-14,2004,2164,2004,2125,94868,4.42
47,2014-10-15,2144,2345,2124,2215,253815,4.24
48,2014-10-16,2174,2204,2124,2175,52179,-1.81
49,2014-10-17,2184,2225,2104,2145,103939,-1.38
50,2014-10-20,2154,2194,2084,2175,63495,1.4
51,2014-10-21,2164,2265,2124,2205,77368,1.38
52,2014-10-22,2275,2315,2235,2255,99322,2.27
53,2014-10-23,2255,2345,2225,2265,113238,0.44
54,2014-10-24,2285,2315,2074,2085,153632,-7.95
55,2014-10-27,2084,2154,2000,2155,125810,3.36
56,2014-10-28,2114,2144,2034,2065,98967,-4.18
57,2014-10-29,2094,2144,2004,2025,153929,-1.94
58,2014-10-30,2044,2074,1870,1880,224166,-7.16
59,2014-10-31,1900,1900,1757,1780,222609,-5.32
60,2014-11-03,1792,1792,1611,1624,550407,-8.76
61,2014-11-04,1615,1705,1557,1570,415401,-3.33
62,2014-11-05,1573,1591,1497,1523,231851,-2.99
63,2014-11-06,1539,1553,1453,1463,207618,-3.94
64,2014-11-07,1473,1533,1473,1529,131334,4.51
65,2014-11-10,1543,1609,1541,1584,227360,3.6
66,2014-11-11,1611,1611,1523,1568,69114,-1.01
67,2014-11-12,1567,1595,1557,1574,52550,0.38
68,2014-11-13,1571,1665,1571,1646,170886,4.57
69,2014-11-14,1653,1665,1607,1630,51071,-0.97
70,2014-11-17,1647,1647,1583,1598,41960,-1.96
