,Date,Open,High,Low,Close,Volume,Change
0,2007-06-26,11104,12766,9442,9443,982356,NaN
1,2007-06-27,8381,8876,8027,8028,159275,-14.98
2,2007-06-28,7851,8363,7426,8364,243699,4.19
3,2007-06-29,8257,8540,7409,7462,155318,-10.78
4,2007-07-02,7249,7373,6896,7073,111855,-5.21
5,2007-07-03,7232,7338,7002,7179,94575,1.5
6,2007-07-04,7356,8240,7320,8240,108436,14.78
7,2007-07-05,8558,8664,7479,7480,227934,-9.22
8,2007-07-06,7373,7727,7161,7427,80566,-0.71
9,2007-07-09,7479,7550,7267,7285,35547,-1.91
10,2007-07-10,7302,7462,7108,7108,25470,-2.43
11,2007-07-11,7126,7302,6967,7091,29787,-0.24
12,2007-07-12,7338,7338,7055,7215,44925,1.75
13,2007-07-13,7320,7585,7002,7073,40018,-1.97
14,2007-07-16,6984,7002,6631,6719,42616,-5.0
15,2007-07-18,6754,6772,6454,6507,35982,-3.16
16,2007-07-19,6613,6878,6613,6826,28495,4.9
17,2007-07-20,6737,6754,6471,6649,29532,-2.59
18,2007-07-23,6559,6700,6524,6631,19281,-0.27
19,2007-07-24,6631,6631,6365,6507,19012,-1.87
20,2007-07-25,6489,6577,6383,6543,23877,0.55
21,2007-07-26,6860,6860,6542,6560,225723,0.26
22,2007-07-27,6524,6524,6259,6260,78449,-4.57
23,2007-07-30,6188,6330,6012,6189,29376,-1.13
24,2007-07-31,6188,6383,6135,6330,55542,2.28
25,2007-08-01,6312,6330,5976,5977,35436,-5.58
26,2007-08-02,6047,6135,5799,6048,43008,1.19
27,2007-08-03,6047,6100,5941,6030,33753,-0.3
28,2007-08-06,5923,5994,5799,5994,14086,-0.6
29,2007-08-07,6012,6153,5906,5994,23192,0.0
30,2007-08-08,6153,6153,5976,6101,21008,1.79
31,2007-08-09,6118,6330,6100,6260,31750,2.61
32,2007-08-10,6118,6259,6029,6260,54531,0.0
33,2007-08-13,6188,6330,6153,6260,12730,0.0
34,2007-08-14,6330,6860,6295,6454,98286,3.1
35,2007-08-16,5746,5994,5499,5499,49627,-14.8
36,2007-08-17,5782,5782,5304,5499,20393,0.0
37,2007-08-20,5658,5799,5517,5517,24912,0.33
38,2007-08-21,5587,5676,5446,5517,18409,0.0
39,2007-08-22,5552,5729,5552,5676,23896,2.88
40,2007-08-23,5782,5870,5693,5800,16955,2.18
41,2007-08-24,5853,5853,5658,5800,12061,0.0
42,2007-08-27,5835,5959,5658,5871,36139,1.22
43,2007-08-28,5835,5888,5711,5871,16996,0.0
44,2007-08-29,5658,6012,5623,6012,26930,2.4
45,2007-08-30,6029,6118,5941,6012,21062,0.0
46,2007-08-31,5976,6118,5941,6083,15926,1.18
47,2007-09-03,6224,6312,6135,6313,42791,3.78
48,2007-09-04,6365,6365,6118,6224,21616,-1.41
