,Date,Open,High,Low,Close,Volume,Change
0,2017-12-08,5130,5300,4430,4845,4161146,NaN
1,2017-12-11,4910,5140,4650,4930,508595,1.75
2,2017-12-12,4930,4990,4740,4780,249244,-3.04
3,2017-12-13,4745,4815,4605,4700,303636,-1.67
4,2017-12-14,4655,4695,4625,4645,141253,-1.17
5,2017-12-15,4645,4755,4605,4625,165812,-0.43
6,2017-12-18,4630,4665,4450,4470,168694,-3.35
7,2017-12-19,4475,4490,4175,4235,270389,-5.26
8,2017-12-20,4280,4440,4125,4310,144807,1.77
9,2017-12-21,4350,4350,4190,4240,121182,-1.62
10,2017-12-22,4200,4400,4200,4240,120348,0.0
11,2017-12-26,4295,4295,4200,4265,120203,0.59
12,2017-12-27,4275,4500,4140,4235,296964,-0.7
13,2017-12-28,4220,4290,4100,4100,250660,-3.19
14,2018-01-02,4105,4150,4020,4085,152781,-0.37
15,2018-01-03,4095,4170,4065,4120,131801,0.86
16,2018-01-04,4120,4320,4120,4195,251269,1.82
17,2018-01-05,4200,4265,4170,4240,108275,1.07
18,2018-01-08,4245,4350,4235,4265,101658,0.59
19,2018-01-09,4285,4290,4145,4190,91252,-1.76
20,2018-01-10,4185,4245,4095,4160,87638,-0.72
21,2018-01-11,4160,4230,4100,4130,124299,-0.72
22,2018-01-12,4195,4220,4010,4115,178943,-0.36
23,2018-01-15,4165,4165,4040,4125,84341,0.24
24,2018-01-16,4115,4310,4095,4295,189789,4.12
25,2018-01-17,4350,4355,4205,4270,114503,-0.58
26,2018-01-18,4240,4455,4240,4455,296360,4.33
27,2018-01-19,4480,4750,4410,4605,255145,3.37
28,2018-01-22,4610,4635,4420,4495,65228,-2.39
29,2018-01-23,4455,4610,4400,4535,86897,0.89
30,2018-01-24,4615,4615,4500,4535,61534,0.0
31,2018-01-25,4535,4630,4450,4505,80065,-0.66
32,2018-01-26,4550,4605,4505,4555,80229,1.11
33,2018-01-29,4670,4670,4560,4600,46350,0.99
34,2018-01-30,4645,4725,4560,4700,101015,2.17
35,2018-01-31,4730,4780,4650,4660,69464,-0.85
36,2018-02-01,4710,4710,4555,4620,109509,-0.86
37,2018-02-02,4620,4680,4415,4450,61145,-3.68
38,2018-02-05,4400,4540,4350,4475,31025,0.56
39,2018-02-06,4385,4490,4190,4480,67257,0.11
40,2018-02-07,4495,4590,4305,4360,22597,-2.68
41,2018-02-08,4300,4500,4300,4365,15565,0.11
42,2018-02-09,4365,4480,4250,4455,27511,2.06
43,2018-02-12,4370,4550,4370,4470,28265,0.34
44,2018-02-13,4415,4550,4360,4360,17759,-2.46
45,2018-02-14,4360,4600,4290,4550,28270,4.36
46,2018-02-19,4620,4620,4500,4580,38615,0.66
47,2018-02-20,4575,4585,4500,4565,19228,-0.33
48,2018-02-21,4500,4590,4500,4570,57494,0.11
49,2018-02-22,4480,4630,4465,4540,37566,-0.66
50,2018-02-23,4540,4650,4500,4565,40695,0.55
51,2018-02-26,4470,4645,4470,4615,18600,1.1
52,2018-02-27,4545,4670,4500,4655,38111,0.87
53,2018-02-28,4660,4785,4660,4725,75753,1.5
54,2018-03-02,4725,5700,4625,5020,613926,6.24
55,2018-03-05,5120,5120,4805,4805,138792,-4.28
56,2018-03-06,4810,4935,4625,4700,102195,-2.19
57,2018-03-07,4660,4700,4625,4670,30921,-0.64
58,2018-03-08,4670,4775,4660,4720,24254,1.07
59,2018-03-09,4730,4765,4660,4660,22005,-1.27
60,2018-03-12,4710,4710,4600,4695,46570,0.75
61,2018-03-13,4825,5300,4795,5000,366549,6.5
62,2018-03-14,5000,5150,4900,5070,124535,1.4
63,2018-03-15,5050,5160,4930,5090,83200,0.39
64,2018-03-16,5090,5230,5000,5000,81529,-1.77
65,2018-03-19,5110,5110,4850,4855,62995,-2.9
66,2018-03-20,4910,4990,4775,4980,47700,2.57
67,2018-03-21,4930,5080,4895,4895,30299,-1.71
68,2018-03-22,4865,4955,4830,4870,25079,-0.51
69,2018-03-23,4800,5040,4735,4895,75086,0.51
70,2018-03-26,4930,5040,4835,5000,41484,2.15
71,2018-03-27,5000,5070,4920,4995,42199,-0.1
72,2018-03-28,4975,5090,4900,4905,40185,-1.8
73,2018-03-29,4900,4995,4850,4960,34029,1.12
74,2018-03-30,4960,5020,4890,4910,35975,-1.01
75,2018-04-02,4910,4980,4740,4835,52515,-1.53
76,2018-04-03,4795,4795,4695,4735,59351,-2.07
77,2018-04-04,4720,4810,4670,4670,22278,-1.37
78,2018-04-05,4750,4870,4745,4835,26276,3.53
79,2018-04-06,4905,4905,4785,4785,54495,-1.03
80,2018-04-09,4870,4870,4550,4710,37218,-1.57
81,2018-04-10,4710,4865,4630,4860,37540,3.18
82,2018-04-11,4860,4945,4815,4850,18724,-0.21
83,2018-04-12,4860,4930,4690,4710,54207,-2.89
84,2018-04-13,4720,4790,4690,4695,19503,-0.32
85,2018-04-16,4645,4725,4555,4580,51662,-2.45
86,2018-04-17,4645,4685,4500,4595,42075,0.33
87,2018-04-18,4750,4750,4600,4645,30443,1.09
88,2018-04-19,4665,4665,4565,4630,29942,-0.32
89,2018-04-20,4595,4690,4550,4595,21172,-0.76
90,2018-04-23,4665,4680,4600,4640,28090,0.98
91,2018-04-24,4680,4735,4635,4690,15094,1.08
92,2018-04-25,4720,4720,4620,4625,12758,-1.39
93,2018-04-26,4675,4690,4530,4670,64912,0.97
94,2018-04-27,4700,4700,4600,4650,16417,-0.43
95,2018-04-30,4630,4650,4545,4590,24737,-1.29
96,2018-05-02,4540,4595,4515,4585,25573,-0.11
97,2018-05-03,4620,4620,4535,4575,17991,-0.22
98,2018-05-04,4550,4635,4550,4600,34515,0.55
99,2018-05-08,4580,4660,4500,4500,40314,-2.17
100,2018-05-09,4500,4640,4495,4570,24479,1.56
101,2018-05-10,4625,4630,4525,4610,29364,0.88
102,2018-05-11,4610,4665,4560,4600,9742,-0.22
103,2018-05-14,4645,4650,4495,4495,40628,-2.28
104,2018-05-15,4550,4640,4500,4580,12493,1.89
105,2018-05-16,4590,4590,4445,4450,27021,-2.84
106,2018-05-17,4485,4545,4425,4455,19420,0.11
107,2018-05-18,4550,4550,4460,4520,10934,1.46
108,2018-05-21,4580,4580,4470,4475,20634,-1.0
109,2018-05-23,4555,4555,4455,4495,9921,0.45
110,2018-05-24,4475,4565,4385,4400,35029,-2.11
111,2018-05-25,4500,4500,4365,4365,8538,-0.8
112,2018-05-28,4525,4525,4305,4385,17449,0.46
113,2018-05-29,4690,4690,4350,4440,18957,1.25
114,2018-05-30,4495,4495,4350,4440,11242,0.0
115,2018-05-31,4400,4470,4390,4455,20822,0.34
116,2018-06-01,4455,4455,4400,4405,5444,-1.12
117,2018-06-04,4500,4500,4370,4415,12223,0.23
118,2018-06-05,4470,4475,4375,4440,23619,0.57
119,2018-06-07,4495,4495,4405,4420,35792,-0.45
120,2018-06-08,4490,4490,4405,4445,24892,0.57
121,2018-06-11,4445,4480,4375,4475,39106,0.67
122,2018-06-12,4470,4485,4385,4450,17579,-0.56
123,2018-06-14,4490,4490,4410,4455,27744,0.11
124,2018-06-15,4440,4490,4420,4475,20989,0.45
125,2018-06-18,4485,4485,4385,4400,18538,-1.68
126,2018-06-19,4400,4420,4320,4355,22155,-1.02
127,2018-06-20,4355,4365,4290,4295,10775,-1.38
128,2018-06-21,4295,4375,4295,4300,15784,0.12
129,2018-06-22,4300,4390,4160,4345,17650,1.05
130,2018-06-25,4300,4435,4300,4410,9892,1.5
131,2018-06-26,4350,4470,4215,4370,7411,-0.91
132,2018-06-27,4370,4370,4255,4255,12287,-2.63
133,2018-06-28,4180,4250,4180,4200,8932,-1.29
134,2018-06-29,4220,4220,4140,4150,13071,-1.19
135,2018-07-02,4065,4150,4060,4140,15796,-0.24
136,2018-07-03,4150,4230,4050,4150,6400,0.24
137,2018-07-04,4150,4270,4055,4225,3127,1.81
138,2018-07-05,4225,4260,4175,4240,6835,0.36
139,2018-07-06,4280,4285,4185,4285,3192,1.06
140,2018-07-09,4285,4385,4270,4345,7671,1.4
141,2018-07-10,4390,4390,4300,4380,5429,0.81
142,2018-07-11,4350,4405,4350,4390,12990,0.23
143,2018-07-12,4410,4410,4300,4395,5880,0.11
144,2018-07-13,4340,4385,4300,4325,14117,-1.59
145,2018-07-16,4325,4325,4265,4305,3825,-0.46
146,2018-07-17,4285,4370,4265,4350,3025,1.05
147,2018-07-18,4400,4400,4270,4340,3456,-0.23
148,2018-07-19,4275,4340,4250,4320,7675,-0.46
149,2018-07-20,4225,4290,4225,4250,1762,-1.62
150,2018-07-23,4175,4400,4175,4190,1590,-1.41
151,2018-07-24,4090,4175,4090,4165,4605,-0.6
152,2018-07-25,4165,4285,4100,4115,3725,-1.2
153,2018-07-26,4085,4300,3975,4185,33875,1.7
154,2018-07-27,4080,4200,4070,4150,11398,-0.84
155,2018-07-30,4190,4190,4050,4080,8627,-1.69
156,2018-07-31,4080,4105,4010,4040,3949,-0.98
157,2018-08-01,4055,4110,4000,4040,11985,0.0
158,2018-08-02,4010,4120,4005,4050,2443,0.25
159,2018-08-03,4090,4100,3970,4095,7271,1.11
160,2018-08-06,4095,4160,4045,4085,5932,-0.24
161,2018-08-07,4140,4140,4010,4070,4857,-0.37
162,2018-08-08,4070,4135,4025,4085,5766,0.37
163,2018-08-09,4090,4110,4040,4090,2781,0.12
164,2018-08-10,4090,4110,4000,4090,12612,0.0
165,2018-08-13,4090,4090,3980,4030,10411,-1.47
166,2018-08-14,4025,4055,3990,4045,5029,0.37
167,2018-08-16,4060,4110,4000,4035,42829,-0.25
168,2018-08-17,4100,4135,4030,4100,37936,1.61
169,2018-08-20,4145,4290,4105,4180,4990,1.95
170,2018-08-21,4180,4270,4150,4195,6711,0.36
171,2018-08-22,4195,4195,4110,4150,7135,-1.07
172,2018-08-23,4110,4140,4075,4075,6317,-1.81
173,2018-08-24,4060,5250,4010,4265,398778,4.66
174,2018-08-27,4205,4300,4180,4290,36827,0.59
175,2018-08-28,4290,4490,4290,4365,74966,1.75
176,2018-08-29,4385,4480,4365,4460,26551,2.18
177,2018-08-30,4500,4500,4345,4355,30634,-2.35
178,2018-08-31,4355,4410,4300,4385,24653,0.69
179,2018-09-03,4435,4440,4285,4325,12126,-1.37
180,2018-09-04,4330,4405,4240,4240,8143,-1.97
181,2018-09-05,4310,4395,4280,4310,11834,1.65
182,2018-09-06,4300,4400,4220,4300,11665,-0.23
183,2018-09-07,4300,4320,4205,4320,29371,0.47
184,2018-09-10,4265,4500,4255,4440,54426,2.78
185,2018-09-11,4440,4540,4350,4445,21173,0.11
186,2018-09-12,4410,4450,4340,4390,25629,-1.24
187,2018-09-13,4415,4440,4300,4375,26976,-0.34
188,2018-09-14,4385,4385,4265,4330,23245,-1.03
189,2018-09-17,4395,4395,4290,4300,7721,-0.69
190,2018-09-18,4350,4355,4275,4290,8295,-0.23
191,2018-09-19,4320,4410,4275,4330,7078,0.93
192,2018-09-20,4395,4395,4235,4250,13585,-1.85
193,2018-09-21,4250,4380,4200,4360,9283,2.59
194,2018-09-27,4360,4360,4250,4320,10708,-0.92
195,2018-09-28,4320,4365,4220,4295,26008,-0.58
196,2018-10-01,4295,4360,4250,4260,3457,-0.81
197,2018-10-02,4290,4320,4220,4310,8280,1.17
198,2018-10-04,4330,4340,4215,4235,3439,-1.74
199,2018-10-05,4235,4330,4220,4275,6278,0.94
200,2018-10-08,4275,4320,4230,4275,4238,0.0
201,2018-10-10,4200,4275,4170,4185,14522,-2.11
202,2018-10-11,4175,4175,3920,4060,21375,-2.99
203,2018-10-12,4050,4270,3840,4065,9866,0.12
204,2018-10-15,4065,4230,4060,4165,3615,2.46
205,2018-10-16,4165,4290,4105,4165,4917,0.0
206,2018-10-17,4165,4165,4035,4100,3499,-1.56
207,2018-10-18,4120,4250,4015,4040,3526,-1.46
208,2018-10-19,4040,4185,4000,4040,5274,0.0
209,2018-10-22,3910,4200,3910,4050,12382,0.25
