,Date,Open,High,Low,Close,Volume,Change
0,2007-10-16,17925,20614,17925,20614,38050,NaN
1,2007-10-17,23680,23680,23680,23681,825481,14.88
2,2007-10-18,26369,27218,25331,27219,1252710,14.94
3,2007-10-19,29247,30662,25896,26181,2264430,-3.81
4,2007-10-22,23114,24954,22265,22265,967854,-14.96
5,2007-10-23,23350,25567,22878,25568,467377,14.83
6,2007-10-24,28302,29388,23350,25237,2074280,-1.29
7,2007-10-25,27265,29011,25943,28492,1644000,12.9
8,2007-10-26,29482,30048,26699,27596,1014919,-3.14
9,2007-10-29,28539,28539,25001,25237,793609,-8.55
10,2007-10-30,25520,27029,24199,25709,552064,1.87
11,2007-10-31,25944,26039,24246,24671,497437,-4.04
12,2007-11-01,24954,25520,23774,24058,733197,-2.48
13,2007-11-02,22737,23303,21698,22171,461844,-7.84
14,2007-11-05,22454,22572,18869,18963,606536,-14.47
15,2007-11-06,19104,21463,17925,20308,722517,7.09
16,2007-11-07,21605,22076,19340,19577,487370,-3.6
17,2007-11-08,18986,19340,18350,19270,222207,-1.57
18,2007-11-09,19576,20284,18939,19176,325303,-0.49
19,2007-11-12,18397,18751,16321,16369,328646,-14.64
20,2007-11-13,16509,16958,14010,14624,466644,-10.66
21,2007-11-14,15165,15519,13868,14152,343721,-3.23
22,2007-11-15,14057,15920,12783,14223,1319571,0.5
23,2007-11-16,12972,13892,12500,12501,1160663,-12.11
24,2007-11-19,12760,13562,12359,12548,718224,0.38
25,2007-11-20,12500,12524,11321,11840,480826,-5.64
26,2007-11-21,11934,13609,11769,12902,2018544,8.97
27,2007-11-22,12618,14010,12547,13114,1602054,1.64
28,2007-11-23,13301,13349,11156,11180,865803,-14.75
29,2007-11-26,11722,12854,11368,12855,1067793,14.98
30,2007-11-27,12312,14434,12052,13774,1788578,7.15
31,2007-11-28,14198,14246,13113,13208,579156,-4.11
32,2007-11-29,13821,13867,12735,12972,395698,-1.79
33,2007-11-30,13113,13915,13043,13680,655211,5.46
34,2007-12-03,13727,14128,13326,13515,551636,-1.21
35,2007-12-04,13537,15519,12925,15001,2305823,11.0
36,2007-12-05,15095,16320,14647,15190,1254359,1.26
37,2007-12-06,15401,16250,14859,15095,1324302,-0.63
38,2007-12-07,15378,16038,14953,15072,827857,-0.15
39,2007-12-10,15095,15307,13845,13845,467025,-8.14
40,2007-12-11,14151,14458,13750,14458,322785,4.43
41,2007-12-12,13774,14410,13749,14152,311579,-2.12
42,2007-12-13,14411,14599,13821,13822,311157,-2.33
43,2007-12-14,13821,14010,12830,12972,434226,-6.15
44,2007-12-17,12453,12641,11486,11487,470557,-11.45
45,2007-12-18,10848,12429,10848,11652,671055,1.44
46,2007-12-20,12052,12099,10896,10897,378448,-6.48
47,2007-12-21,11227,11368,10661,10803,232446,-0.86
48,2007-12-24,10991,11227,10802,10803,242416,0.0
49,2007-12-26,10944,11179,10731,10755,241871,-0.44
50,2007-12-27,10849,11651,10849,11038,444078,2.63
51,2007-12-28,11085,11722,11038,11628,438121,5.35
52,2008-01-02,11698,11698,10849,10850,311085,-6.69
53,2008-01-03,11061,12477,10991,12477,399899,15.0
54,2008-01-04,13444,14316,12830,13963,2289114,11.91
55,2008-01-07,13491,15047,13113,13114,1368389,-6.08
56,2008-01-08,13444,14104,12760,12972,730810,-1.08
57,2008-01-09,13113,14906,12925,14907,1584896,14.92
58,2008-01-10,15472,15708,14293,14388,1380216,-3.48
59,2008-01-11,14623,14741,13231,13468,585740,-6.39
60,2008-01-14,13302,14033,13066,13562,540492,0.7
61,2008-01-15,14033,14529,12807,13114,837456,-3.3
62,2008-01-16,12547,12971,11439,11604,440067,-11.51
63,2008-01-17,12029,12429,11367,11793,370287,1.63
64,2008-01-18,11628,13538,11462,13539,485797,14.81
