,Date,Open,High,Low,Close,Volume,Change
0,2018-12-14,9630,10200,7800,7800,13443311,NaN
1,2018-12-17,7850,9120,7810,8200,8495871,5.13
2,2018-12-18,8140,8190,7040,7170,2265832,-12.56
3,2018-12-19,7020,7530,6930,7120,1569756,-0.7
4,2018-12-20,7350,8940,7330,8140,10151855,14.33
5,2018-12-21,7950,10550,7860,10550,15304830,29.61
6,2018-12-24,10500,12700,10300,11050,13098217,4.74
7,2018-12-26,10800,11950,10600,11100,5309311,0.45
8,2018-12-27,11150,11850,10900,11350,4179202,2.25
9,2018-12-28,11300,12350,10200,10350,6409718,-8.81
10,2019-01-02,10600,11350,10200,10650,3518559,2.9
11,2019-01-03,11400,12500,10650,11300,8374530,6.1
12,2019-01-04,12050,12500,11350,12000,4124628,6.19
13,2019-01-07,12250,14000,11500,13400,4363702,11.67
14,2019-01-08,13200,14500,12750,13550,6487734,1.12
15,2019-01-09,13700,14050,13150,13150,1801552,-2.95
16,2019-01-10,13300,13600,12250,12350,2045108,-6.08
17,2019-01-11,12550,12750,11900,12600,1860746,2.02
18,2019-01-14,12450,12600,11200,11250,2289361,-10.71
19,2019-01-15,11300,11850,11050,11350,2190492,0.89
20,2019-01-16,11400,11500,10750,11000,1628597,-3.08
21,2019-01-17,11100,11250,10400,10500,1493924,-4.55
22,2019-01-18,10700,11150,10400,10850,1530465,3.33
23,2019-01-21,10950,11600,10500,11450,1874756,5.53
24,2019-01-22,11350,11550,10950,10950,963286,-4.37
25,2019-01-23,10950,10950,10600,10750,623247,-1.83
26,2019-01-24,10700,11400,10500,11000,1446626,2.33
27,2019-01-25,11250,12350,11150,11450,5650446,4.09
28,2019-01-28,11500,11650,11100,11100,912883,-3.06
29,2019-01-29,11050,11450,10950,11250,848064,1.35
30,2019-01-30,11250,11400,10650,10700,1001815,-4.89
31,2019-01-31,10800,11050,10500,10850,662832,1.4
32,2019-02-01,10800,10850,10450,10450,573748,-3.69
33,2019-02-07,10500,10650,10400,10650,278985,1.91
34,2019-02-08,10700,10900,10550,10700,318358,0.47
35,2019-02-11,10750,11200,10650,11200,774877,4.67
36,2019-02-12,11250,11450,11000,11300,817963,0.89
37,2019-02-13,11450,11550,11100,11250,497014,-0.44
38,2019-02-14,11400,11750,11250,11650,934900,3.56
39,2019-02-15,11600,11900,11500,11550,780731,-0.86
40,2019-02-18,11700,11700,11200,11200,604365,-3.03
41,2019-02-19,11750,11850,11150,11200,1452807,0.0
42,2019-02-20,11300,11400,11100,11250,471957,0.45
43,2019-02-21,11350,11350,10650,10700,474721,-4.89
44,2019-02-22,10600,10950,10550,10800,291700,0.93
45,2019-02-25,10900,11400,10750,11050,431392,2.31
46,2019-02-26,11100,11200,10850,10900,188811,-1.36
47,2019-02-27,10950,11150,10800,10800,190614,-0.92
48,2019-02-28,10800,11150,10700,10800,472596,0.0
49,2019-03-04,11150,11450,11000,11450,716470,6.02
50,2019-03-05,11350,11650,11200,11550,507929,0.87
51,2019-03-06,11500,11600,11250,11300,290885,-2.16
52,2019-03-07,11300,11350,10750,10900,399442,-3.54
53,2019-03-08,10700,11200,10650,10850,247123,-0.46
54,2019-03-11,10850,11200,10700,10900,406613,0.46
55,2019-03-12,11150,11200,10850,10950,342864,0.46
56,2019-03-13,11000,11000,10700,10850,292570,-0.91
57,2019-03-14,10900,10950,10600,10750,384497,-0.92
58,2019-03-15,10800,12100,10700,11900,3176141,10.7
59,2019-03-18,11800,12700,11750,12450,3135543,4.62
60,2019-03-19,12650,12850,12300,12750,1799238,2.41
61,2019-03-20,12950,13000,12350,12550,1232667,-1.57
62,2019-03-21,12600,12800,11900,12050,1038390,-3.98
63,2019-03-22,12050,12550,11900,12150,919085,0.83
64,2019-03-25,11850,12600,11750,11750,841879,-3.29
65,2019-03-26,11900,12400,11750,12300,796097,4.68
66,2019-03-27,12500,12600,11950,12350,807853,0.41
67,2019-03-28,12400,12550,11950,11950,528225,-3.24
68,2019-03-29,12050,12150,10400,10950,1455780,-8.37
69,2019-04-01,10950,11150,10700,11050,534546,0.91
70,2019-04-02,11150,11400,10950,11250,606395,1.81
71,2019-04-03,11200,11200,10900,10900,385154,-3.11
72,2019-04-04,11100,11600,10900,11000,806213,0.92
73,2019-04-05,11100,11150,10850,11000,312603,0.0
74,2019-04-08,11100,11400,10900,11250,494604,2.27
75,2019-04-09,11500,13950,11500,12900,11827242,14.67
76,2019-04-10,12950,14100,12700,13200,4981941,2.33
77,2019-04-11,13400,13400,12900,13350,1521999,1.14
78,2019-04-12,13200,14350,13000,13550,3742582,1.5
79,2019-04-15,13600,14150,13500,13800,2026226,1.85
80,2019-04-16,13550,13600,12800,13050,1345079,-5.43
81,2019-04-17,13250,14850,12900,13850,5925194,6.13
82,2019-04-18,13750,13850,13050,13100,1155331,-5.42
83,2019-04-19,13250,13600,12650,12750,947085,-2.67
84,2019-04-22,12800,13050,12600,12950,489516,1.57
85,2019-04-23,13000,13000,12450,12550,506748,-3.09
86,2019-04-24,12600,13100,12400,12600,836631,0.4
87,2019-04-25,12600,12700,12150,12250,500639,-2.78
88,2019-04-26,12200,12300,11700,11900,458935,-2.86
89,2019-04-29,11950,12750,11950,12600,525016,5.88
90,2019-04-30,12750,13100,12650,12650,915096,0.4
91,2019-05-02,12600,13350,12450,13000,860302,2.77
92,2019-05-03,13000,13300,12800,13200,458680,1.54
93,2019-05-07,12750,13250,12550,12600,448121,-4.55
94,2019-05-08,12450,12850,12300,12550,370753,-0.4
95,2019-05-09,12550,12900,11850,12000,465738,-4.38
96,2019-05-10,12000,12400,11500,12150,485833,1.25
97,2019-05-13,14550,15750,13600,15100,10503947,24.28
98,2019-05-14,14850,15250,13050,13200,5135947,-12.58
99,2019-05-15,13400,14150,13200,13450,3651660,1.89
100,2019-05-16,13500,13500,12350,12400,1369281,-7.81
101,2019-05-17,12500,12800,11850,11950,854055,-3.63
