,Date,Open,High,Low,Close,Volume,Change
0,2008-03-24,53500,53700,45500,45500,395064,-14.95
1,2008-03-25,44400,46000,43000,44700,121817,-1.76
2,2008-03-26,44700,45100,44000,44700,39919,0.0
3,2008-03-27,43800,44700,43800,44650,43133,-0.11
4,2008-03-28,44650,44900,43050,44000,69292,-1.46
5,2008-03-31,43750,44000,42400,42900,28126,-2.5
6,2008-04-01,42900,43100,42250,42850,19656,-0.12
7,2008-04-02,42900,43650,42800,42950,23777,0.23
8,2008-04-03,42950,43600,42850,43600,174365,1.51
9,2008-04-04,44300,44300,43600,44300,351553,1.61
10,2008-04-07,44250,45100,44250,45100,25078,1.81
11,2008-04-08,45100,45550,43850,45100,76167,0.0
12,2008-04-10,44900,45500,44450,45100,39713,0.0
13,2008-04-11,45200,45200,44700,44700,45703,-0.89
14,2008-04-14,44050,44850,44050,44500,54810,-0.45
15,2008-04-15,44500,45500,44300,45200,40224,1.57
16,2008-04-16,48500,48500,45850,48000,47516,6.19
17,2008-04-17,47500,49300,47150,49300,33359,2.71
18,2008-04-18,49100,51100,47050,47700,36603,-3.25
19,2008-04-21,47100,49000,46050,48500,87537,1.68
20,2008-04-22,47500,48700,46700,48300,90703,-0.41
21,2008-04-23,48300,50000,46000,50000,229900,3.52
22,2008-04-24,48500,51700,48500,49000,100035,-2.0
23,2008-04-25,49500,52300,49500,52000,36337,6.12
24,2008-04-28,52000,52400,50400,51500,27062,-0.96
25,2008-04-29,51400,51400,48750,49300,30963,-4.27
26,2008-04-30,49300,49350,48100,49000,55519,-0.61
27,2008-05-02,49500,49650,48600,49000,13174,0.0
28,2008-05-06,49000,50000,48100,48600,19071,-0.82
29,2008-05-07,48600,48600,46700,46700,10225,-3.91
30,2008-05-08,46000,46700,44850,44900,22164,-3.85
31,2008-05-09,44700,45500,43900,43900,16270,-2.23
32,2008-05-13,43900,45000,43000,45000,4254,2.51
33,2008-05-14,44150,45000,44150,45000,3060,0.0
34,2008-05-15,45000,45250,44300,45000,10894,0.0
35,2008-05-16,44500,45300,44500,44800,4241,-0.44
36,2008-05-19,45000,45100,44500,45000,7980,0.45
37,2008-05-20,44650,45200,44500,45000,8675,0.0
38,2008-05-21,44700,45300,44700,45000,5413,0.0
39,2008-05-22,44200,45900,44000,45900,18670,2.0
40,2008-05-23,45300,45750,44650,45300,15952,-1.31
41,2008-05-26,45300,45300,44650,45200,1929,-0.22
42,2008-05-27,45200,45500,44800,45500,4736,0.66
43,2008-05-28,44850,45250,44300,45050,8432,-0.99
44,2008-05-29,44550,44700,43650,43700,23452,-3.0
45,2008-05-30,43650,43800,43150,43300,5455,-0.92
46,2008-06-02,43700,43700,42850,42900,7391,-0.92
47,2008-06-03,43000,43450,42700,43300,3804,0.93
48,2008-06-04,43300,43600,42500,42800,6676,-1.15
49,2008-06-05,42600,43000,42600,43000,5868,0.47
50,2008-06-09,42200,42800,42050,42800,3760,-0.47
51,2008-06-10,42300,42950,42050,42050,4112,-1.75
