,Date,Open,High,Low,Close,Volume,Change
0,2009-04-14,8000,9200,8000,9200,203599,NaN
1,2009-04-15,10550,10550,10550,10550,23067,14.67
2,2009-04-16,12100,12100,10300,11000,13515071,4.27
3,2009-04-17,11750,11950,9350,9350,3773152,-15.0
4,2009-04-20,9000,9250,8170,8780,2700435,-6.1
5,2009-04-21,8350,9380,8350,8650,1454107,-1.48
6,2009-04-22,8670,9020,8530,8700,1401361,0.58
7,2009-04-23,8890,9000,8130,8270,804397,-4.94
8,2009-04-24,8220,8290,7240,7540,1002976,-8.83
9,2009-04-27,7610,7770,6830,6900,966526,-8.49
10,2009-04-28,6910,7000,5870,5980,1092255,-13.33
11,2009-04-29,6090,6870,5850,6870,1218920,14.88
12,2009-04-30,6870,6870,6110,6350,853397,-7.57
13,2009-05-04,6400,7100,6400,6620,569006,4.25
14,2009-05-06,6650,7220,6310,6900,858464,4.23
15,2009-05-07,7100,7100,6410,6580,405219,-4.64
16,2009-05-08,6520,6780,6420,6610,251306,0.46
17,2009-05-11,6640,6840,6530,6530,312019,-1.21
18,2009-05-12,6460,6580,6210,6270,284582,-3.98
19,2009-05-13,6270,6440,6120,6130,245224,-2.23
20,2009-05-14,5950,6110,5670,5700,773348,-7.01
21,2009-05-15,5820,6020,5720,5750,420485,0.88
22,2009-05-18,5830,6610,5800,6610,1772988,14.96
23,2009-05-19,6830,7050,6360,6540,2020007,-1.06
24,2009-05-20,6610,6840,6300,6700,1431703,2.45
25,2009-05-21,6800,7580,6800,7300,2401857,8.96
26,2009-05-22,7300,7490,6870,6900,1169336,-5.48
27,2009-05-25,7000,7160,5870,6500,1013485,-5.8
28,2009-05-26,6560,6690,6010,6110,574288,-6.0
29,2009-05-27,6290,6480,6110,6200,715688,1.47
30,2009-05-28,6330,7050,6300,6740,2454594,8.71
31,2009-05-29,6890,7020,6650,6690,965869,-0.74
32,2009-06-01,6760,7110,6690,7110,1269941,6.28
33,2009-06-02,7220,7280,6570,6570,1072832,-7.59
34,2009-06-03,6590,6710,6230,6410,1000770,-2.44
35,2009-06-04,6440,6640,6300,6310,704524,-1.56
36,2009-06-05,6460,6650,6150,6380,843909,1.11
37,2009-06-08,6390,6600,6240,6260,588051,-1.88
38,2009-06-09,6310,6450,6180,6400,464922,2.24
39,2009-06-10,6400,6610,6310,6470,531409,1.09
40,2009-06-11,6420,6550,6240,6260,389695,-3.25
41,2009-06-12,6310,6320,6110,6250,371352,-0.16
42,2009-06-15,6210,6230,6080,6200,246550,-0.8
43,2009-06-16,6110,6160,6020,6050,220529,-2.42
44,2009-06-17,6020,6050,5800,5860,382395,-3.14
45,2009-06-18,5800,6060,5750,5800,298462,-1.02
