,Date,Open,High,Low,Close,Volume,Change
0,2009-06-03,48720,56028,41412,41412,612897,NaN
1,2009-06-04,36805,37293,35211,35211,1002933,-14.97
2,2009-06-05,34237,35477,32553,34769,1175720,-1.26
3,2009-06-08,35875,36052,30560,30561,658155,-12.1
4,2009-06-09,30560,30915,26796,27992,811267,-8.41
5,2009-06-10,28479,31358,28213,28612,884685,2.21
6,2009-06-11,29054,29409,27194,27638,368512,-3.4
7,2009-06-12,27859,29542,27327,29188,372927,5.61
8,2009-06-15,28965,29054,27681,28169,254573,-3.49
9,2009-06-16,27549,29232,27549,27903,298529,-0.94
10,2009-06-17,28168,29276,27991,28966,357285,3.81
11,2009-06-18,29409,29763,27194,27638,242279,-4.58
12,2009-06-19,27903,27947,25821,25999,238375,-5.93
13,2009-06-22,26131,26220,25113,25290,130796,-2.73
14,2009-06-23,24846,25777,23960,24449,152045,-3.33
15,2009-06-24,24624,24891,23474,23651,149860,-3.26
16,2009-06-25,23917,26751,23917,25335,459849,7.12
17,2009-06-26,25688,26176,24714,24714,158310,-2.45
18,2009-06-29,24891,25732,24581,24582,156958,-0.53
19,2009-06-30,24980,25113,22765,23297,248441,-5.23
20,2009-07-01,23784,26751,23518,26176,1100227,12.36
21,2009-07-02,26796,27593,26353,26752,382650,2.2
22,2009-07-03,26397,30738,26264,30738,740594,14.9
23,2009-07-06,31623,32996,29940,30605,906537,-0.43
24,2009-07-07,30605,31446,29763,31447,579336,2.75
25,2009-07-08,30826,31313,28523,29321,431402,-6.76
26,2009-07-09,29232,30029,28169,28523,260015,-2.72
27,2009-07-10,28922,30383,28346,29232,460927,2.49
28,2009-07-13,29010,29542,26796,26840,220845,-8.18
29,2009-07-14,27681,27770,25024,25512,260934,-4.95
30,2009-07-15,25954,26441,25511,25999,148125,1.91
31,2009-07-16,26220,26973,24492,25246,209655,-2.9
32,2009-07-17,25466,25733,24581,25202,136685,-0.17
33,2009-07-20,25467,26397,25113,26265,174241,4.22
34,2009-07-21,26308,26928,25821,25822,131763,-1.69
35,2009-07-22,26131,26486,25378,25467,96110,-1.37
36,2009-07-23,25688,25910,25378,25379,74215,-0.35
37,2009-07-24,25777,26042,25245,25423,95539,0.17
38,2009-07-27,25644,26751,25467,26708,152194,5.05
39,2009-07-28,27194,27194,26043,26087,122935,-2.33
40,2009-07-29,26176,26308,25378,25467,100824,-2.38
41,2009-07-30,25600,25910,25290,25645,55077,0.7
42,2009-07-31,25644,25865,24935,24936,146888,-2.76
43,2009-08-03,25113,25600,24847,25423,108187,1.95
44,2009-08-04,25733,25777,24714,24759,124929,-2.61
45,2009-08-05,24846,25068,24360,24404,105661,-1.43
46,2009-08-06,24625,24669,23960,24449,119810,0.18
47,2009-08-07,24625,24625,24138,24316,43786,-0.54
48,2009-08-10,24537,26264,24138,25467,269474,4.73
49,2009-08-11,25733,27017,25511,26530,256792,4.17
50,2009-08-12,26530,27150,26308,26885,201366,1.34
51,2009-08-13,27061,27283,26397,26708,184966,-0.66
52,2009-08-14,26884,26884,25511,25689,145392,-3.82
53,2009-08-17,25599,25953,24005,24272,136594,-5.52
54,2009-08-18,23872,24847,23740,24493,81874,0.91
55,2009-08-19,24581,24713,23917,23917,66489,-2.35
56,2009-08-20,23961,24360,23651,23873,63252,-0.18
57,2009-08-21,24581,24935,23961,24094,106124,0.93
58,2009-08-24,24360,24448,23297,23651,106685,-1.84
59,2009-08-25,23385,24227,23385,23563,58020,-0.37
60,2009-08-26,23916,25333,23784,24360,190077,3.38
61,2009-08-27,24670,24670,23651,23696,83398,-2.73
62,2009-08-28,23740,25201,23740,24803,134830,4.67
63,2009-08-31,25422,27460,25290,26752,360512,7.86
64,2009-09-01,27150,27726,26441,27593,217398,3.14
65,2009-09-02,27061,27593,26796,27460,131971,-0.48
66,2009-09-03,27504,27726,26751,27372,101134,-0.32
67,2009-09-04,27593,29054,27416,28302,254314,3.4
68,2009-09-07,28302,28877,26353,26353,641765,-6.89
69,2009-09-08,26706,26796,25024,25157,266074,-4.54
70,2009-09-09,25467,25511,24227,24360,141934,-3.17
71,2009-09-10,24360,25113,24360,24493,92030,0.55
72,2009-09-11,24537,24891,24404,24493,88821,0.0
73,2009-09-14,24581,25068,24447,24493,90812,0.0
