,Date,Open,High,Low,Close,Volume,Change
0,2008-06-23,3500,3500,2980,2980,138221,NaN
1,2008-06-24,2960,3070,2540,2540,190000,-14.77
2,2008-06-25,2580,2920,2550,2920,174900,14.96
3,2008-06-26,2960,2980,2550,2600,211816,-10.96
4,2008-06-27,2540,2760,2400,2500,102363,-3.85
5,2008-06-30,2530,2570,2370,2380,40942,-4.8
6,2008-07-01,2410,2450,2310,2350,33349,-1.26
7,2008-07-02,2380,2450,2250,2290,24814,-2.55
8,2008-07-03,2260,2360,2100,2290,21929,0.0
9,2008-07-04,2320,2580,2290,2320,72093,1.31
10,2008-07-07,2310,2640,2310,2340,120785,0.86
11,2008-07-08,2330,2380,1990,2020,43530,-13.68
12,2008-07-09,2050,2190,2010,2050,262008,1.49
13,2008-07-10,2000,2130,1920,2100,11850,2.44
14,2008-07-11,2100,2180,2060,2110,13172,0.48
15,2008-07-14,2060,2170,2060,2120,8686,0.47
16,2008-07-15,2140,2140,2070,2080,8780,-1.89
17,2008-07-16,2080,2130,2040,2100,4970,0.96
18,2008-07-17,2130,2360,2100,2320,35930,10.48
19,2008-07-18,2250,2300,2110,2110,12661,-9.05
20,2008-07-21,2110,2200,2100,2120,12230,0.47
21,2008-07-22,2110,2200,2070,2140,6520,0.94
22,2008-07-23,2100,2200,2080,2160,5010,0.93
23,2008-07-24,2180,2240,2140,2190,9210,1.39
24,2008-07-25,2160,2190,2090,2140,8850,-2.28
25,2008-07-28,2140,2220,2100,2170,4300,1.4
26,2008-07-29,2120,2160,2050,2100,11780,-3.23
27,2008-07-30,2140,2140,2100,2100,12990,0.0
28,2008-07-31,2110,2410,2110,2410,188001,14.76
29,2008-08-01,2300,2340,2190,2290,107378,-4.98
30,2008-08-04,2300,2380,2210,2320,45673,1.31
31,2008-08-05,2330,2560,2290,2360,119198,1.72
32,2008-08-06,2460,2480,2350,2360,38574,0.0
33,2008-08-07,2340,2350,2210,2220,37532,-5.93
34,2008-08-08,2200,2280,2190,2230,11181,0.45
35,2008-08-11,2260,2290,2230,2250,18580,0.9
36,2008-08-12,2240,2290,2200,2290,12970,1.78
37,2008-08-13,2280,2330,2230,2240,3937,-2.18
38,2008-08-14,2230,2280,2220,2240,6091,0.0
39,2008-08-18,2240,2310,2120,2290,12973,2.23
40,2008-08-19,2250,2250,2160,2190,7120,-4.37
41,2008-08-20,2230,2230,2170,2190,7250,0.0
42,2008-08-21,2200,2200,2140,2150,11191,-1.83
43,2008-08-22,2140,2140,1990,2020,12931,-6.05
44,2008-08-25,2020,2100,1900,2000,9150,-0.99
45,2008-08-26,2000,2060,1940,1940,4700,-3.0
46,2008-08-27,1912,1974,1836,1860,14400,-4.12
47,2008-08-28,1860,1928,1750,1750,13480,-5.91
48,2008-08-29,1762,1800,1762,1762,1470,0.69
49,2008-09-01,1760,1790,1680,1680,9330,-4.65
50,2008-09-02,1706,1898,1560,1582,14890,-5.83
51,2008-09-03,1600,1708,1600,1680,2890,6.19
52,2008-09-04,1668,1730,1668,1730,1590,2.98
53,2008-09-05,1678,1752,1618,1650,8242,-4.62
54,2008-09-08,1676,1798,1658,1658,11384,0.48
55,2008-09-09,1684,1684,1652,1682,3530,1.45
56,2008-09-10,1640,1680,1640,1652,7330,-1.78
57,2008-09-11,1670,1670,1602,1636,8240,-0.97
58,2008-09-12,1662,1780,1616,1740,13451,6.36
59,2008-09-16,1592,1696,1546,1552,16440,-10.8
60,2008-09-17,1590,1626,1560,1584,6120,2.06
61,2008-09-18,1540,1664,1506,1514,6570,-4.42
62,2008-09-19,1524,1630,1524,1556,9383,2.77
63,2008-09-22,1532,1604,1530,1562,4930,0.39
64,2008-09-23,1554,1584,1542,1566,3150,0.26
65,2008-09-24,1608,1716,1604,1664,17276,6.26
66,2008-09-25,1700,1912,1622,1912,48404,14.9
67,2008-09-26,1890,1890,1654,1704,36599,-10.88
68,2008-09-29,1662,1726,1662,1682,8180,-1.29
69,2008-09-30,1570,1656,1466,1656,7950,-1.55
70,2008-10-01,1664,1786,1630,1700,9527,2.66
71,2008-10-02,1664,1706,1640,1640,4255,-3.53
72,2008-10-06,1590,1590,1544,1544,8385,-5.85
73,2008-10-07,1460,1540,1460,1538,1440,-0.39
74,2008-10-08,1462,1530,1404,1460,5500,-5.07
75,2008-10-09,1350,1580,1350,1580,5430,8.22
76,2008-10-10,1580,1580,1420,1460,5980,-7.59
77,2008-10-13,1470,1554,1460,1512,2480,3.56
78,2008-10-14,1520,1608,1520,1550,5417,2.51
79,2008-10-15,1570,1600,1550,1578,2120,1.81
80,2008-10-16,1540,1648,1520,1578,12220,0.0
81,2008-10-17,1620,1770,1502,1658,78680,5.07
82,2008-10-20,1640,1684,1424,1510,19380,-8.93
83,2008-10-21,1520,1520,1432,1470,17379,-2.65
84,2008-10-22,1420,1460,1340,1344,17982,-8.57
85,2008-10-23,1304,1306,1238,1250,9042,-6.99
86,2008-10-24,1250,1270,1064,1064,18246,-14.88
87,2008-10-27,1004,1180,906,906,22520,-14.85
88,2008-10-28,880,940,843,870,6771,-3.97
89,2008-10-29,915,974,880,884,76658,1.61
90,2008-10-30,902,1016,902,1016,6779,14.93
91,2008-10-31,1016,1168,1016,1168,7916,14.96
92,2008-11-03,1330,1342,1326,1342,6836,14.9
93,2008-11-04,1536,1542,1440,1542,14276,14.9
94,2008-11-05,1560,1720,1422,1442,27200,-6.49
95,2008-11-06,1308,1442,1308,1360,13730,-5.69
96,2008-11-07,1304,1470,1220,1470,9360,8.09
97,2008-11-10,1456,1456,1340,1374,4730,-6.53
98,2008-11-11,1398,1580,1398,1580,17767,14.99
99,2008-11-12,1680,1790,1540,1590,43927,0.63
100,2008-11-13,1592,1594,1400,1420,18630,-10.69
