,Date,Open,High,Low,Close,Volume,Change
0,2009-08-05,10000,11500,8500,8500,6517736,NaN
1,2009-08-06,8650,8890,7740,7980,1004344,-6.12
2,2009-08-07,8120,8450,7920,7950,504634,-0.38
3,2009-08-10,7960,8160,7810,7810,330992,-1.76
4,2009-08-11,7830,8120,7750,7810,282618,0.0
5,2009-08-12,7890,7890,7620,7660,231691,-1.92
6,2009-08-13,7760,7780,7590,7670,175872,0.13
7,2009-08-14,7780,7940,7570,7940,199332,3.52
8,2009-08-17,8000,8080,7570,7570,302319,-4.66
9,2009-08-18,7460,7500,6950,7000,214308,-7.53
10,2009-08-19,7110,7160,6900,6900,147114,-1.43
11,2009-08-20,6920,6960,6710,6730,124038,-2.46
12,2009-08-21,6780,6930,6550,6600,110812,-1.93
13,2009-08-24,6620,7050,6600,6620,155544,0.3
14,2009-08-25,6620,6740,6510,6530,87491,-1.36
15,2009-08-26,6560,6680,6400,6500,103534,-0.46
16,2009-08-27,6550,6720,6500,6630,64829,2.0
17,2009-08-28,6640,6640,6430,6450,96746,-2.71
18,2009-08-31,6420,6440,6240,6280,102207,-2.64
19,2009-09-01,6260,6450,6060,6270,98673,-0.16
20,2009-09-02,6250,6350,6080,6200,29623,-1.12
21,2009-09-03,6200,6290,6060,6060,41673,-2.26
22,2009-09-04,6080,6380,6020,6140,74679,1.32
23,2009-09-07,6150,6320,6090,6130,41654,-0.16
24,2009-09-08,6140,6180,6000,6020,66188,-1.79
25,2009-09-09,6040,6140,5800,5820,48541,-3.32
26,2009-09-10,5890,6030,5810,5920,53583,1.72
27,2009-09-11,6040,6080,5930,6080,18251,2.7
28,2009-09-14,6100,6150,6030,6060,18470,-0.33
29,2009-09-15,6060,6070,5940,5950,20711,-1.82
30,2009-09-16,6040,6050,5890,5890,29042,-1.01
31,2009-09-17,5890,5980,5820,5850,23117,-0.68
32,2009-09-18,5860,5970,5840,5850,24175,0.0
33,2009-09-21,5860,5940,5860,5890,16743,0.68
34,2009-09-22,5890,6760,5890,6480,396474,10.02
35,2009-09-23,6490,6490,6200,6300,84608,-2.78
36,2009-09-24,6370,6370,6040,6050,62963,-3.97
37,2009-09-25,6010,6100,5860,5880,51109,-2.81
38,2009-09-28,5890,5980,5600,5680,86062,-3.4
39,2009-09-29,5700,5700,5480,5550,51692,-2.29
40,2009-09-30,5550,5650,5450,5480,53043,-1.26
41,2009-10-01,5550,5640,5300,5330,37375,-2.74
42,2009-10-05,5330,5330,5000,5080,50970,-4.69
43,2009-10-06,5150,5180,4985,5080,53355,0.0
44,2009-10-07,5150,5450,5080,5110,56459,0.59
45,2009-10-08,5230,5230,5060,5070,27228,-0.78
46,2009-10-09,5150,5480,5150,5270,44257,3.94
47,2009-10-12,5310,5420,5120,5170,27321,-1.9
48,2009-10-13,5200,5240,5090,5170,24353,0.0
49,2009-10-14,5150,5190,5130,5150,17671,-0.39
50,2009-10-15,5180,5300,5130,5170,22432,0.39
51,2009-10-16,5120,5240,5110,5130,33433,-0.77
52,2009-10-19,5130,5150,4980,5010,49124,-2.34
53,2009-10-20,5000,5150,5000,5080,22705,1.4
54,2009-10-21,5010,5170,5010,5150,16675,1.38
55,2009-10-22,5040,5190,5040,5080,21030,-1.36
56,2009-10-23,5080,5150,5020,5050,20909,-0.59
57,2009-10-26,5030,5170,5010,5150,15338,1.98
