,Date,Open,High,Low,Close,Volume,Change
0,2009-09-25,36100,37600,30700,31300,1818667,-13.3
1,2009-09-28,31350,31350,26650,26650,756543,-14.86
2,2009-09-29,26800,27450,25150,25450,596154,-4.5
3,2009-09-30,25500,26950,25250,26550,648158,4.32
4,2009-10-01,27200,27500,25400,26000,380230,-2.07
5,2009-10-05,25800,26750,25300,26300,194227,1.15
6,2009-10-06,26500,26500,24400,24400,224954,-7.22
7,2009-10-07,24750,25850,21250,21750,959347,-10.86
8,2009-10-08,21850,22200,20250,20950,353454,-3.68
9,2009-10-09,21250,24050,21100,24050,751499,14.8
10,2009-10-12,23450,24400,22850,24000,387529,-0.21
11,2009-10-13,24500,25350,23800,23800,454527,-0.83
12,2009-10-14,24000,24100,22450,22700,240884,-4.62
13,2009-10-15,22950,23000,21500,21950,213810,-3.3
14,2009-10-16,22200,22950,21750,22200,166582,1.14
15,2009-10-19,22300,22600,21450,22450,78557,1.13
16,2009-10-20,22450,23500,22300,23450,156347,4.45
17,2009-10-21,23500,23600,22750,23000,122517,-1.92
18,2009-10-22,22950,25050,22850,24150,447130,5.0
19,2009-10-23,24450,24500,23650,24050,225537,-0.41
20,2009-10-26,24000,24950,23800,24400,228117,1.46
21,2009-10-27,24200,25550,24100,25200,389044,3.28
22,2009-10-28,25300,25850,23500,23600,471005,-6.35
23,2009-10-29,22750,23600,22150,23100,183022,-2.12
24,2009-10-30,23800,24900,23600,24200,266733,4.76
25,2009-11-02,23400,24350,23200,23500,141515,-2.89
26,2009-11-03,23900,24200,23000,23000,157072,-2.13
27,2009-11-04,23400,23450,23000,23350,73907,1.52
28,2009-11-05,23300,23350,22200,22200,107640,-4.93
29,2009-11-06,22600,22800,21500,22300,218723,0.45
30,2009-11-09,22200,22750,22200,22700,111706,1.79
31,2009-11-10,22900,22900,21700,21850,154982,-3.74
32,2009-11-11,22300,22300,21500,21600,108145,-1.14
33,2009-11-12,21600,21650,21100,21400,82466,-0.93
34,2009-11-13,21400,21400,20700,20850,119568,-2.57
35,2009-11-16,20950,21200,20100,20250,130495,-2.88
36,2009-11-17,20400,21350,20400,21200,124372,4.69
37,2009-11-18,21250,22200,21200,21350,198056,0.71
38,2009-11-19,21500,21850,21400,21550,164957,0.94
39,2009-11-20,21650,21900,21350,21700,81910,0.7
40,2009-11-23,21650,21850,21150,21200,102529,-2.3
41,2009-11-24,21250,21250,20100,20150,192165,-4.95
42,2009-11-25,20450,20650,19900,20400,122948,1.24
43,2009-11-26,20400,20550,20100,20150,46475,-1.23
44,2009-11-27,19850,19850,17200,17550,346395,-12.9
45,2009-11-30,18150,18350,17100,17950,263055,2.28
46,2009-12-01,17950,18650,17400,18650,172702,3.9
47,2009-12-02,18950,19550,18750,18900,128211,1.34
48,2009-12-03,19050,19150,18700,19000,49339,0.53
49,2009-12-04,18900,19150,18300,18450,141414,-2.89
50,2009-12-07,18600,19200,18450,18800,77992,1.9
51,2009-12-08,18950,19100,18200,18500,113583,-1.6
52,2009-12-09,18400,18950,18000,18800,130459,1.62
53,2009-12-10,19000,20850,18650,20350,616326,8.24
54,2009-12-11,20750,21750,20650,21150,468932,3.93
55,2009-12-14,21450,21700,20900,21550,196972,1.89
56,2009-12-15,21650,21650,21050,21600,220282,0.23
57,2009-12-16,21600,21600,21050,21050,182622,-2.55
58,2009-12-17,21200,22650,20800,22150,410780,5.23
59,2009-12-18,22150,23750,22100,23700,491874,7.0
60,2009-12-21,24000,24450,23000,23300,462594,-1.69
61,2009-12-22,23950,24100,22250,22250,320118,-4.51
62,2009-12-23,22250,22500,21300,21400,250529,-3.82
63,2009-12-24,21550,22550,21550,21750,168525,1.64
64,2009-12-28,21750,22000,21000,21450,190925,-1.38
65,2009-12-29,21450,23550,21350,23300,441143,8.62
66,2009-12-30,23250,23600,22650,23500,212585,0.86
67,2010-01-04,24000,25700,23850,25550,669716,8.72
68,2010-01-05,26200,26700,24800,24900,723057,-2.54
69,2010-01-06,25350,26400,24550,26150,434734,5.02
70,2010-01-07,26400,26550,24300,24300,427081,-7.07
71,2010-01-08,25500,26950,25300,26500,735411,9.05
72,2010-01-11,26800,27750,26200,26700,463167,0.75
73,2010-01-12,26700,26900,25450,26200,251927,-1.87
74,2010-01-13,26100,26800,25650,25750,220635,-1.72
75,2010-01-14,26350,29600,26350,28550,1140353,10.87
76,2010-01-15,28650,29450,27950,28700,606189,0.53
77,2010-01-18,28900,29650,28250,29500,377796,2.79
78,2010-01-19,29700,29850,28000,28350,375759,-3.9
79,2010-01-20,28700,28750,26650,27100,483382,-4.41
80,2010-01-21,26650,27850,26100,27150,213335,0.18
81,2010-01-22,26600,28200,26200,28000,245419,3.13
82,2010-01-25,27400,28150,26200,26750,209485,-4.46
83,2010-01-26,27050,27350,24600,24600,271167,-8.04
84,2010-01-27,25000,25150,23700,23950,184383,-2.64
85,2010-01-28,24700,24900,23900,24450,167681,2.09
86,2010-01-29,23800,23800,22800,23100,140789,-5.52
87,2010-02-01,23000,23300,22200,22800,164807,-1.3
88,2010-02-02,23900,24500,23550,24050,230562,5.48
89,2010-02-03,25250,25450,24300,24500,164157,1.87
90,2010-02-04,24500,25000,23750,24750,148806,1.02
91,2010-02-05,23500,24000,23100,23300,123805,-5.86
92,2010-02-08,23550,23600,22450,22600,102968,-3.0
93,2010-02-09,22300,23050,21900,22500,202613,-0.44
94,2010-02-10,23150,23200,22650,22800,91666,1.33
95,2010-02-11,23000,23400,22800,23200,80647,1.75
96,2010-02-12,23200,23700,23100,23600,79711,1.72
97,2010-02-16,23800,23850,23300,23600,85744,0.0
98,2010-02-17,23850,24150,23300,24000,127591,1.69
99,2010-02-18,24000,24350,23500,23500,69812,-2.08
100,2010-02-19,23250,23500,21900,22000,244249,-6.38
101,2010-02-22,22350,22850,22250,22600,107165,2.73
102,2010-02-23,22600,22800,22250,22450,68389,-0.66
103,2010-02-24,22150,22300,21850,21850,99891,-2.67
104,2010-02-25,21900,22200,21150,21350,117127,-2.29
105,2010-02-26,21350,21550,21050,21200,87077,-0.7
106,2010-03-02,21450,21450,20350,20650,190653,-2.59
107,2010-03-03,20800,20950,20400,20450,107976,-0.97
108,2010-03-04,20550,22350,20450,22000,356591,7.58
109,2010-03-05,22050,22050,21550,21700,89440,-1.36
110,2010-03-08,22000,22350,21700,21950,102768,1.15
111,2010-03-09,21750,22000,21450,21550,85246,-1.82
112,2010-03-10,21900,22750,21650,22300,116297,3.48
113,2010-03-11,22500,22600,21800,21800,74029,-2.24
114,2010-03-12,21700,22100,21150,21300,99385,-2.29
115,2010-03-15,21300,21300,20550,20900,129823,-1.88
116,2010-03-16,21250,21700,20950,21400,87949,2.39
117,2010-03-17,21400,21650,20900,20900,90453,-2.34
118,2010-03-18,20950,21600,20950,21500,84663,2.87
119,2010-03-19,21700,22150,21350,22050,110359,2.56
120,2010-03-22,22050,22100,21500,21650,75470,-1.81
121,2010-03-23,21650,21900,21100,21200,90612,-2.08
122,2010-03-24,21450,21600,20800,21000,78561,-0.94
123,2010-03-25,21000,21250,20600,21200,74288,0.95
124,2010-03-26,21450,21900,21050,21650,77101,2.12
125,2010-03-29,21500,21850,21200,21450,90894,-0.92
126,2010-03-30,21950,22000,21500,21600,72496,0.7
127,2010-03-31,21600,22450,21600,22200,201825,2.78
128,2010-04-01,22400,22600,21900,22100,118964,-0.45
129,2010-04-02,21900,22000,21250,21250,105164,-3.85
130,2010-04-05,21500,21900,19900,21150,130659,-0.47
131,2010-04-06,20950,21100,20650,20900,52854,-1.18
132,2010-04-07,20900,21350,20800,20800,55143,-0.48
133,2010-04-08,20700,21200,20650,21100,43846,1.44
134,2010-04-09,21150,21300,20700,21100,43547,0.0
135,2010-04-12,21000,21250,20400,20450,84317,-3.08
136,2010-04-13,20400,20900,20400,20550,41188,0.49
137,2010-04-14,20800,21300,20600,21050,59759,2.43
138,2010-04-15,21000,21250,20550,20900,55579,-0.71
139,2010-04-16,20900,21050,20400,20500,59896,-1.91
140,2010-04-19,20100,20350,19650,19650,92921,-4.15
141,2010-04-20,19800,20000,19050,19950,103939,1.53
142,2010-04-21,20000,20850,19900,20600,99153,3.26
143,2010-04-22,20500,20750,20100,20200,60593,-1.94
144,2010-04-23,20100,20850,20100,20600,65654,1.98
145,2010-04-26,20800,21300,20600,20600,82375,0.0
146,2010-04-27,20700,21100,20550,21100,76819,2.43
147,2010-04-28,20500,21450,20500,21000,109658,-0.47
148,2010-04-29,21000,21250,20300,20500,97627,-2.38
149,2010-04-30,20800,21500,20550,21500,124041,4.88
150,2010-05-03,21350,21450,20700,21000,141105,-2.33
151,2010-05-04,21250,21450,20700,21350,112385,1.67
152,2010-05-06,20900,22100,20700,21450,240683,0.47
153,2010-05-07,20700,20700,18250,20100,219955,-6.29
154,2010-05-10,20100,20400,19750,19950,110429,-0.75
155,2010-05-11,20100,20200,18900,19050,152775,-4.51
156,2010-05-12,19000,19400,17700,18550,186707,-2.62
157,2010-05-13,18800,18850,18200,18450,148641,-0.54
158,2010-05-14,18400,18400,17600,18050,165265,-2.17
159,2010-05-17,18200,18950,17800,18950,230023,4.99
160,2010-05-18,19250,19650,18600,19500,188454,2.9
161,2010-05-19,19500,19700,18900,19400,101425,-0.51
162,2010-05-20,19400,20000,17100,18400,107604,-5.15
163,2010-05-24,18000,19000,17950,18400,47304,0.0
164,2010-05-25,18100,18900,17000,18200,119452,-1.09
165,2010-05-26,18100,18450,17800,18150,52544,-0.27
166,2010-05-27,18100,19100,17950,19000,83248,4.68
167,2010-05-28,19500,19550,19000,19300,62500,1.58
168,2010-05-31,20100,21700,20100,20150,736100,4.4
169,2010-06-01,20500,20600,19500,20100,161199,-0.25
