,Date,Open,High,Low,Close,Volume,Change
0,2009-12-22,7600,7600,6460,6460,1565577,NaN
1,2009-12-23,5810,5870,5500,5620,4061932,-13.0
2,2009-12-24,5700,5830,5270,5370,1975859,-4.45
3,2009-12-28,5400,5530,5270,5360,776847,-0.19
4,2009-12-29,5360,5450,5150,5150,602185,-3.92
5,2009-12-30,5170,5190,4995,5010,409633,-2.72
6,2010-01-04,5070,5250,5030,5210,526210,3.99
7,2010-01-05,5250,5270,5150,5150,327238,-1.15
8,2010-01-06,5170,5510,5100,5360,736129,4.08
9,2010-01-07,5360,5500,5330,5350,415848,-0.19
10,2010-01-08,5360,5460,5270,5300,248821,-0.93
11,2010-01-11,5300,5330,5130,5200,352684,-1.89
12,2010-01-12,5190,5280,5180,5250,192783,0.96
13,2010-01-13,5250,5280,5080,5100,284230,-2.86
14,2010-01-14,5100,5180,5070,5130,150533,0.59
15,2010-01-15,5160,5250,5130,5140,162514,0.19
16,2010-01-18,5150,5330,5130,5270,209981,2.53
17,2010-01-19,5270,5370,5250,5360,228550,1.71
18,2010-01-20,5430,5810,5380,5680,1104667,5.97
19,2010-01-21,5720,5720,5510,5580,303438,-1.76
20,2010-01-22,5550,5750,5260,5380,527961,-3.58
21,2010-01-25,5250,5360,5080,5130,300741,-4.65
22,2010-01-26,5190,5200,4860,4905,379159,-4.39
23,2010-01-27,4905,4975,4820,4905,160607,0.0
24,2010-01-28,4945,4945,4750,4840,150380,-1.33
25,2010-01-29,4800,4800,4450,4500,213296,-7.02
26,2010-02-01,4450,4520,4340,4350,144487,-3.33
27,2010-02-02,4450,4540,4360,4370,190093,0.46
28,2010-02-03,4460,4525,4420,4450,99204,1.83
29,2010-02-04,4550,4690,4510,4575,159678,2.81
30,2010-02-05,4300,4570,4300,4565,104270,-0.22
31,2010-02-08,4595,4725,4580,4585,162421,0.44
32,2010-02-09,4585,4695,4400,4690,100656,2.29
33,2010-02-10,4730,4770,4645,4645,73930,-0.96
34,2010-02-11,4730,4730,4575,4605,90985,-0.86
35,2010-02-12,4580,4650,4475,4505,89490,-2.17
36,2010-02-16,4575,4575,4455,4460,100236,-1.0
37,2010-02-17,4500,4515,4455,4475,150564,0.34
38,2010-02-18,4490,4500,4430,4440,79439,-0.78
39,2010-02-19,4450,4470,4315,4315,160489,-2.82
40,2010-02-22,4345,4445,4330,4330,154266,0.35
41,2010-02-23,4330,4375,4280,4310,102879,-0.46
42,2010-02-24,4300,4420,4280,4355,126162,1.04
43,2010-02-25,4345,4480,4330,4365,105828,0.23
44,2010-02-26,4380,4690,4370,4520,197804,3.55
45,2010-03-02,4620,4640,4480,4515,111037,-0.11
46,2010-03-03,4550,4690,4515,4685,176934,3.77
47,2010-03-04,4680,4695,4525,4525,108992,-3.42
48,2010-03-05,4610,4635,4455,4460,132799,-1.44
49,2010-03-08,4470,4550,4460,4500,68296,0.9
50,2010-03-09,4690,4925,4645,4695,327586,4.33
51,2010-03-10,4710,4830,4630,4775,121775,1.7
52,2010-03-11,4775,4780,4680,4750,88457,-0.52
53,2010-03-12,4800,4800,4690,4700,58821,-1.05
54,2010-03-15,4720,4720,4555,4590,101088,-2.34
55,2010-03-16,4600,4680,4590,4640,43785,1.09
56,2010-03-17,4660,4660,4590,4600,94766,-0.86
57,2010-03-18,4605,4685,4590,4670,78381,1.52
58,2010-03-19,4685,4685,4620,4630,48908,-0.86
59,2010-03-22,4650,4690,4595,4605,53513,-0.54
60,2010-03-23,4610,4670,4600,4605,85524,0.0
61,2010-03-24,4625,4730,4620,4670,156835,1.41
62,2010-03-25,4675,4885,4665,4840,212538,3.64
63,2010-03-26,4835,4885,4785,4820,91804,-0.41
64,2010-03-29,4800,4915,4760,4900,175720,1.66
65,2010-03-30,4930,4960,4750,4750,153743,-3.06
66,2010-03-31,4750,4790,4640,4670,126198,-1.68
67,2010-04-01,4730,4730,4640,4695,66336,0.54
68,2010-04-02,4695,4700,4545,4560,145088,-2.88
69,2010-04-05,4540,4630,4310,4395,172020,-3.62
70,2010-04-06,4385,4485,4330,4385,76573,-0.23
71,2010-04-07,4410,4445,4360,4400,65935,0.34
72,2010-04-08,4400,4495,4350,4495,72943,2.16
73,2010-04-09,4500,4530,4390,4430,68961,-1.45
74,2010-04-12,4455,4455,4365,4375,100501,-1.24
75,2010-04-13,4395,4395,4300,4325,118590,-1.14
76,2010-04-14,4325,4385,4320,4375,112071,1.16
77,2010-04-15,4400,4465,4355,4445,143935,1.6
78,2010-04-16,4455,4520,4400,4400,97364,-1.01
79,2010-04-19,4355,4410,4295,4305,126151,-2.16
80,2010-04-20,4310,4385,4280,4330,111740,0.58
81,2010-04-21,4385,4385,4275,4310,128892,-0.46
82,2010-04-22,4315,4345,4285,4305,101488,-0.12
83,2010-04-23,4330,4360,4295,4355,97217,1.16
84,2010-04-26,4375,4385,4330,4345,73733,-0.23
85,2010-04-27,4340,4405,4330,4350,72540,0.12
86,2010-04-28,4290,4340,4280,4310,66209,-0.92
87,2010-04-29,4325,4360,4280,4320,69519,0.23
88,2010-04-30,4320,4445,4320,4390,53717,1.62
89,2010-05-03,4390,4500,4330,4490,90189,2.28
90,2010-05-04,4510,4750,4425,4425,210698,-1.45
91,2010-05-06,4410,4480,4300,4450,127418,0.56
92,2010-05-07,4360,4390,4280,4350,106216,-2.25
93,2010-05-10,4350,4395,4300,4340,81581,-0.23
94,2010-05-11,4370,4470,4290,4380,161644,0.92
95,2010-05-12,4445,4595,4420,4525,274919,3.31
96,2010-05-13,4560,4670,4500,4510,193548,-0.33
97,2010-05-14,4510,4530,4430,4430,138423,-1.77
98,2010-05-17,4420,4420,4275,4305,180146,-2.82
99,2010-05-18,4320,4335,4090,4105,217141,-4.65
100,2010-05-19,4105,4150,3980,4130,126187,0.61
101,2010-05-20,4060,4150,3925,4020,153295,-2.66
102,2010-05-24,3940,4015,3850,3910,68806,-2.74
103,2010-05-25,3885,3885,3535,3660,135341,-6.39
104,2010-05-26,3610,3710,3600,3660,105195,0.0
105,2010-05-27,3660,3715,3575,3660,85866,0.0
106,2010-05-28,3735,3880,3720,3795,124405,3.69
107,2010-05-31,3820,3875,3775,3850,43201,1.45
108,2010-06-01,3900,3930,3800,3880,23343,0.78
109,2010-06-03,3940,3940,3870,3900,28743,0.52
110,2010-06-04,3950,3950,3750,3880,28593,-0.51
111,2010-06-07,3700,3830,3625,3735,68937,-3.74
112,2010-06-08,3690,3795,3680,3740,44157,0.13
113,2010-06-09,3735,3825,3700,3750,46823,0.27
114,2010-06-10,3750,3800,3720,3750,34064,0.0
115,2010-06-11,3800,3850,3750,3850,53333,2.67
116,2010-06-14,3820,3950,3820,3855,35364,0.13
117,2010-06-15,3895,3935,3820,3920,46487,1.69
118,2010-06-16,3920,3970,3855,3880,38818,-1.02
119,2010-06-17,3885,3960,3830,3840,48497,-1.03
120,2010-06-18,3900,3930,3830,3845,33591,0.13
121,2010-06-21,3900,3930,3860,3885,27693,1.04
122,2010-06-22,3900,3900,3850,3890,16919,0.13
123,2010-06-23,3840,3925,3840,3910,35319,0.51
124,2010-06-24,3910,3950,3850,3900,39977,-0.26
125,2010-06-25,3920,3945,3880,3945,45757,1.15
126,2010-06-28,3960,3965,3910,3945,52909,0.0
127,2010-06-29,3910,3950,3800,3865,40319,-2.03
128,2010-06-30,3800,3830,3750,3830,19658,-0.91
129,2010-07-01,3830,3855,3760,3830,53238,0.0
130,2010-07-02,3840,3840,3760,3805,39866,-0.65
131,2010-07-05,3800,3820,3760,3760,19644,-1.18
132,2010-07-06,3780,3795,3680,3795,59321,0.93
133,2010-07-07,3755,3800,3750,3785,16378,-0.26
134,2010-07-08,3805,3830,3765,3770,32384,-0.4
135,2010-07-09,3810,3815,3765,3790,21084,0.53
136,2010-07-12,3840,3880,3780,3835,48562,1.19
137,2010-07-13,3880,3985,3855,3960,146148,3.26
138,2010-07-14,3995,4025,3925,3995,90247,0.88
139,2010-07-15,3980,4075,3910,4035,59483,1.0
140,2010-07-16,4050,4085,3970,4025,34417,-0.25
141,2010-07-19,3985,4060,3930,4035,25887,0.25
142,2010-07-20,4055,4065,4000,4045,26193,0.25
143,2010-07-21,4060,4060,3945,4020,51659,-0.62
144,2010-07-22,3960,4000,3895,3920,60888,-2.49
145,2010-07-23,3970,3970,3915,3970,29725,1.28
146,2010-07-26,3970,4000,3920,3975,20759,0.13
147,2010-07-27,4005,4015,3920,3950,49333,-0.63
148,2010-07-28,3965,3970,3800,3890,68804,-1.52
149,2010-07-29,3880,3895,3795,3795,75436,-2.44
150,2010-07-30,3800,3840,3755,3770,34426,-0.66
151,2010-08-02,3775,3830,3760,3775,33820,0.13
152,2010-08-03,3830,3830,3740,3800,17994,0.66
153,2010-08-04,3820,3820,3725,3800,33796,0.0
154,2010-08-05,3830,3830,3770,3820,22565,0.53
155,2010-08-06,3850,3855,3800,3820,10622,0.0
156,2010-08-09,3865,3955,3805,3945,44233,3.27
157,2010-08-10,3880,3955,3880,3905,32471,-1.01
158,2010-08-11,3945,3945,3870,3910,20428,0.13
159,2010-08-12,3900,3940,3840,3925,24590,0.38
160,2010-08-13,3925,3965,3870,3950,69616,0.64
161,2010-08-16,3925,3970,3850,3970,48629,0.51
162,2010-08-17,3960,4010,3920,4005,52956,0.88
163,2010-08-18,4015,4015,3940,3990,38465,-0.37
164,2010-08-19,3990,4000,3930,3995,45731,0.13
165,2010-08-20,3980,3990,3915,3985,46944,-0.25
166,2010-08-23,3985,3990,3895,3990,53630,0.13
167,2010-08-24,3920,3975,3885,3960,43105,-0.75
168,2010-08-25,3890,3950,3855,3855,23619,-2.65
169,2010-08-26,3855,3890,3750,3770,110203,-2.2
170,2010-08-27,3770,3835,3750,3820,18779,1.33
171,2010-08-30,3800,3885,3760,3860,62638,1.05
172,2010-08-31,3840,3920,3835,3880,20328,0.52
173,2010-09-01,3850,3930,3820,3895,74041,0.39
174,2010-09-02,3910,3910,3845,3885,21918,-0.26
175,2010-09-03,3915,3915,3800,3835,34630,-1.29
176,2010-09-06,3800,3900,3795,3880,40802,1.17
177,2010-09-07,3890,3895,3860,3880,7796,0.0
178,2010-09-08,3875,3945,3805,3940,24569,1.55
179,2010-09-09,3955,3955,3890,3930,13264,-0.25
180,2010-09-10,3950,3950,3885,3890,40926,-1.02
181,2010-09-13,3925,3930,3830,3920,44553,0.77
182,2010-09-14,3865,3925,3830,3855,27662,-1.66
183,2010-09-15,3855,3885,3810,3810,31989,-1.17
184,2010-09-16,3865,3915,3820,3880,44648,1.84
185,2010-09-17,3900,3900,3810,3870,21844,-0.26
186,2010-09-20,3895,3895,3820,3855,43721,-0.39
187,2010-09-24,3880,3880,3820,3840,11522,-0.39
188,2010-09-27,3870,3870,3810,3815,48737,-0.65
189,2010-09-28,3815,3845,3780,3805,48388,-0.26
190,2010-09-29,3810,3810,3770,3805,69095,0.0
191,2010-09-30,3830,3830,3780,3795,17465,-0.26
192,2010-10-01,3795,3900,3765,3835,108452,1.05
193,2010-10-04,3840,3900,3830,3860,39791,0.65
194,2010-10-05,3850,3920,3850,3915,31889,1.42
195,2010-10-06,3915,4030,3915,3985,119823,1.79
196,2010-10-07,3990,4025,3895,3910,30751,-1.88
197,2010-10-08,3975,3975,3875,3920,50340,0.26
198,2010-10-11,3915,3950,3890,3890,25447,-0.77
199,2010-10-12,3865,3940,3865,3935,21040,1.16
200,2010-10-13,3935,3960,3885,3910,34110,-0.64
201,2010-10-14,3945,4200,3900,4200,167630,7.42
202,2010-10-15,4145,4145,4010,4015,95125,-4.4
203,2010-10-18,4100,4260,4055,4200,368045,4.61
