,Date,Open,High,Low,Close,Volume,Change
0,2021-10-28,14325,16000,12700,12700,9757468,NaN
1,2021-10-29,12700,12700,11475,11650,905548,-8.27
2,2021-11-01,11800,11850,10875,10900,537820,-6.44
3,2021-11-02,10900,11600,10825,11050,402786,1.38
4,2021-11-03,11100,11175,10625,10625,174274,-3.85
5,2021-11-04,10625,10750,10250,10400,157284,-2.12
6,2021-11-05,10600,10600,10025,10125,93094,-2.64
7,2021-11-08,10250,10450,10025,10425,90826,2.96
8,2021-11-09,10650,11275,10575,11225,270720,7.67
9,2021-11-10,11150,11225,10575,10850,88732,-3.34
10,2021-11-11,10725,10875,10325,10450,83228,-3.69
11,2021-11-12,10450,10575,10325,10325,68942,-1.2
12,2021-11-15,10325,10500,10250,10450,51032,1.21
13,2021-11-16,10325,10825,10175,10775,163134,3.11
14,2021-11-17,10875,10900,10350,10400,80306,-3.48
15,2021-11-18,10400,10500,10175,10350,55100,-0.48
16,2021-11-19,10350,10350,10175,10250,41148,-0.97
17,2021-11-22,10275,10275,9825,9875,69088,-3.66
18,2021-11-23,9925,10000,9700,9800,24880,-0.76
19,2021-11-24,9700,9900,9625,9875,24254,0.77
20,2021-11-25,9875,9875,9700,9775,28950,-1.01
21,2021-11-26,9700,9750,9375,9500,46202,-2.81
22,2021-11-29,9275,9275,8775,8850,89674,-6.84
23,2021-11-30,9025,9025,8225,8350,89102,-5.65
24,2021-12-01,8350,8450,8275,8425,32986,0.9
25,2021-12-02,8225,8550,8200,8400,47622,-0.3
26,2021-12-03,8425,8625,8325,8625,53158,2.68
27,2021-12-06,8625,8700,8400,8600,21194,-0.29
28,2021-12-07,8675,8675,8500,8600,26426,0.0
29,2021-12-08,8700,9250,8575,8850,77308,2.91
30,2021-12-09,8875,9075,8775,9075,51194,2.54
31,2021-12-10,9075,9075,8750,9050,36838,-0.28
32,2021-12-13,9075,9100,8850,8900,24206,-1.66
33,2021-12-14,9000,9000,8800,8825,13674,-0.84
34,2021-12-15,8825,9200,8800,9100,29414,3.12
35,2021-12-16,9050,9200,8900,8975,23800,-1.37
36,2021-12-17,9000,9200,8850,9050,30704,0.84
37,2021-12-20,8975,9050,8700,8725,37094,-3.59
38,2021-12-21,8725,8800,8525,8650,27056,-0.86
39,2021-12-22,8675,9150,8675,8875,32456,2.6
40,2021-12-23,9050,9050,8650,8750,14874,-1.41
41,2021-12-24,8775,8800,8600,8600,22422,-1.71
42,2021-12-27,8600,8925,8500,8850,29128,2.91
43,2021-12-28,8975,8975,8675,8825,18538,-0.28
44,2021-12-29,8825,8900,8775,8875,9922,0.57
45,2021-12-30,8850,8900,8725,8850,11636,-0.28
46,2022-01-03,8850,9075,8750,9025,21060,1.98
47,2022-01-04,9075,9075,8900,9025,18994,0.0
48,2022-01-05,9025,9025,8775,8850,21762,-1.94
49,2022-01-06,8825,8975,8700,8925,26184,0.85
50,2022-01-07,9075,9500,8900,9500,91984,6.44
51,2022-01-10,9500,9875,9150,9725,70802,2.37
52,2022-01-11,9525,9700,9450,9550,16366,-1.8
53,2022-01-12,9550,9675,9275,9475,23254,-0.79
54,2022-01-13,9525,9525,9250,9500,17704,0.26
55,2022-01-14,9500,9850,9375,9550,51034,0.53
56,2022-01-17,9550,9625,9000,9000,25968,-5.76
57,2022-01-18,8950,9300,8750,8750,16304,-2.78
58,2022-01-19,8900,8900,8575,8750,18074,0.0
59,2022-01-20,8750,9275,8675,8725,22388,-0.29
60,2022-01-21,8825,8925,8675,8800,18120,0.86
61,2022-01-24,8900,8900,8475,8600,27502,-2.27
62,2022-01-25,8600,8600,8075,8525,39736,-0.87
63,2022-01-26,8400,8550,8275,8500,14750,-0.29
64,2022-01-27,8300,8600,8075,8400,13714,-1.18
65,2022-01-28,8400,8500,8200,8500,10012,1.19
66,2022-02-03,8825,8825,8450,8500,20396,0.0
67,2022-02-04,8525,9000,8425,9000,15514,5.88
68,2022-02-07,9200,10500,9000,9550,312458,6.11
69,2022-02-08,9700,9875,9425,9500,58258,-0.52
70,2022-02-09,9600,11000,9600,10600,557610,11.58
71,2022-02-10,10650,10950,10475,10650,164930,0.47
72,2022-02-11,10650,11350,10075,10300,401222,-3.29
73,2022-02-14,9925,10150,9475,9725,95892,-5.58
74,2022-02-15,9625,10275,9600,10000,104522,2.83
75,2022-02-16,10250,10600,10000,10000,82750,0.0
76,2022-02-17,10250,12425,10125,11525,1172550,15.25
77,2022-02-18,11275,12000,11125,11400,329982,-1.08
78,2022-02-21,11499,12050,11499,11750,395754,3.07
79,2022-02-22,11499,12299,11375,11950,513954,1.7
80,2022-02-23,12150,12825,11800,11850,531012,-0.84
81,2022-02-24,11625,11750,11075,11200,236158,-5.49
82,2022-02-25,11600,12700,11250,12325,516806,10.04
83,2022-02-28,12200,12500,11900,12375,227218,0.41
84,2022-03-02,12375,13450,12100,13175,476562,6.46
85,2022-03-03,13450,13825,13025,13400,403686,1.71
86,2022-03-04,13400,13699,12875,13450,146858,0.37
87,2022-03-07,13175,13200,12425,12825,221364,-4.65
88,2022-03-08,12250,12950,12150,12750,181804,-0.58
89,2022-03-10,13000,13425,12725,12850,304064,0.78
90,2022-03-11,12725,13050,12400,12600,179088,-1.95
91,2022-03-14,12550,12550,11400,11475,273060,-8.93
92,2022-03-15,11275,11975,11175,11550,154942,0.65
93,2022-03-16,11550,11750,11275,11450,110342,-0.87
94,2022-03-17,11675,11750,11200,11400,104346,-0.44
95,2022-03-18,11400,11725,11175,11600,76854,1.75
96,2022-03-21,11550,11750,11450,11475,51326,-1.08
97,2022-03-22,11525,12875,11399,12525,349214,9.15
98,2022-03-23,12500,12824,12250,12575,143080,0.4
99,2022-03-24,12449,12575,12275,12500,67628,-0.6
100,2022-03-25,12525,13200,12325,12725,138944,1.8
101,2022-03-28,12649,12750,12300,12500,65696,-1.77
102,2022-03-29,12500,12950,12375,12900,62606,3.2
103,2022-03-30,12899,13150,12725,12850,34262,-0.39
104,2022-03-31,12850,12925,12725,12750,41768,-0.78
105,2022-04-01,12750,14775,12650,14125,826410,10.78
106,2022-04-04,14200,15150,13900,14600,598380,3.36
107,2022-04-05,14575,14875,14125,14625,163308,0.17
108,2022-04-06,14350,14675,14225,14500,101684,-0.85
109,2022-04-07,14325,14750,14075,14750,104128,1.72
110,2022-04-08,15175,15900,14499,15650,467564,6.1
111,2022-04-11,15650,15750,14775,14950,178342,-4.47
112,2022-04-12,14575,15000,14250,14600,127022,-2.34
113,2022-04-13,14600,14749,14025,14700,86716,0.68
114,2022-04-14,14675,17750,14375,16450,1418286,11.9
115,2022-04-15,16199,16625,15600,16225,360498,-1.37
116,2022-04-18,15900,17450,15850,16500,574768,1.69
117,2022-04-19,16400,16800,15750,15950,231420,-3.33
118,2022-04-20,16075,16725,15500,16500,189376,3.45
119,2022-04-21,16500,17025,16100,16700,211852,1.21
120,2022-04-22,16725,16900,16125,16750,115154,0.3
121,2022-04-25,16325,16400,15399,15525,118430,-7.31
122,2022-04-26,15825,15825,15149,15500,98592,-0.16
123,2022-04-27,14825,14975,13775,14850,149546,-4.19
124,2022-04-28,14999,16300,14750,15975,273638,7.58
125,2022-04-29,15950,16750,15150,15775,459886,-1.25
126,2022-05-02,15625,15925,15075,15100,109496,-4.28
127,2022-05-03,14975,15000,14575,14850,70530,-1.66
128,2022-05-04,14625,15150,14625,14800,41356,-0.34
129,2022-05-06,14700,14774,13625,13825,163394,-6.59
130,2022-05-09,13575,14075,13175,13250,118520,-4.16
131,2022-05-10,12874,13150,12275,12725,149266,-3.96
132,2022-05-11,12800,13450,12800,13200,154880,3.73
133,2022-05-12,12850,13050,12525,12625,122238,-4.36
134,2022-05-13,12700,14100,12650,14025,236478,11.09
135,2022-05-16,13975,14350,13799,13925,105892,-0.71
136,2022-05-17,14000,14775,13875,14250,189212,2.33
137,2022-05-18,14600,14600,13675,14175,139914,-0.53
138,2022-05-19,13750,14600,13499,14350,111938,1.23
139,2022-05-20,14350,15450,14275,15325,164674,6.79
140,2022-05-23,15725,16750,14500,14700,705482,-4.08
141,2022-05-24,14800,15425,14400,14925,256788,1.53
142,2022-05-25,15350,15350,14550,14775,92258,-1.01
143,2022-05-26,14850,15250,14700,14725,128406,-0.34
144,2022-05-27,14825,15150,14650,14725,46280,0.0
145,2022-05-30,14775,15100,14775,14850,48604,0.85
146,2022-05-31,14850,15350,14775,15250,76964,2.69
147,2022-06-02,15625,15625,14725,14800,162460,-2.95
148,2022-06-03,15500,15750,14300,14300,99008,-3.38
149,2022-06-07,14100,14450,13800,14100,42068,-1.4
150,2022-06-08,14000,14250,13900,14100,21456,0.0
151,2022-06-09,14000,17000,14000,15450,789345,9.57
152,2022-06-10,15250,15850,14850,15350,117250,-0.65
153,2022-06-13,14700,15000,13950,14000,67292,-8.79
154,2022-06-14,13750,15700,12950,14850,157508,6.07
155,2022-06-15,14700,15150,14100,14500,124873,-2.36
156,2022-06-16,14650,15300,14550,14900,63108,2.76
