,Date,Open,High,Low,Close,Volume,Change
0,2012-09-27,4249,4461,3776,4273,7411767,NaN
1,2012-09-28,4386,4394,3729,3730,1725425,-12.71
2,2012-10-02,3790,3837,3558,3589,613781,-3.78
3,2012-10-04,3658,3908,3620,3622,657083,0.92
4,2012-10-05,3643,3780,3643,3674,269927,1.44
5,2012-10-08,3695,3747,3539,3565,328517,-2.97
6,2012-10-09,3596,3817,3539,3711,449466,4.1
7,2012-10-10,3766,3860,3681,3759,499711,1.29
8,2012-10-11,3771,3823,3610,3659,511786,-2.66
9,2012-10-12,3681,4012,3596,3772,993643,3.09
10,2012-10-15,3771,3955,3747,3783,612826,0.29
11,2012-10-16,3804,3964,3700,3777,585708,-0.16
12,2012-10-17,3817,3879,3695,3721,356040,-1.48
13,2012-10-18,3719,3757,3308,3493,317528,-6.13
14,2012-10-19,3469,3573,3398,3532,140517,1.12
15,2012-10-22,3493,3587,3426,3523,97181,-0.25
16,2012-10-23,3493,3710,3474,3646,193343,3.49
17,2012-10-24,3615,3681,3530,3598,124537,-1.32
18,2012-10-25,3629,3629,3431,3513,150131,-2.36
19,2012-10-26,3539,3563,3412,3480,133888,-0.94
20,2012-10-29,3539,3539,3294,3375,105186,-3.02
21,2012-10-30,3350,3384,3242,3335,107675,-1.19
22,2012-10-31,3304,3365,3267,3305,84589,-0.9
23,2012-11-01,3304,3356,3242,3344,128359,1.18
24,2012-11-02,3369,3388,3267,3305,64630,-1.17
25,2012-11-05,3279,3398,3279,3315,62803,0.3
26,2012-11-06,3313,3539,3313,3499,160212,5.55
27,2012-11-07,3496,3582,3417,3527,62706,0.8
28,2012-11-08,3493,3558,3450,3561,51691,0.96
29,2012-11-09,3515,3587,3487,3579,51018,0.51
30,2012-11-12,3582,3729,3582,3674,107952,2.65
31,2012-11-13,3671,3695,3445,3565,133061,-2.97
32,2012-11-14,3539,3851,3493,3796,675244,6.48
33,2012-11-15,3771,3941,3704,3872,646559,2.0
34,2012-11-16,3870,4012,3851,3924,477579,1.34
35,2012-11-19,3988,4252,3931,4249,933971,8.28
36,2012-11-20,4318,4405,4233,4306,739067,1.34
37,2012-11-21,4347,4469,4233,4321,584332,0.35
38,2012-11-22,4313,4343,4233,4343,224597,0.51
39,2012-11-23,4389,4653,4362,4533,521873,4.37
40,2012-11-26,4696,4767,4550,4551,369898,0.4
41,2012-11-27,4541,4744,4493,4722,441552,3.76
42,2012-11-28,4767,4790,4630,4675,170776,-1.0
43,2012-11-29,4744,4744,4424,4486,434154,-4.04
44,2012-11-30,4507,4630,4442,4570,391412,1.87
45,2012-12-03,4672,5240,4668,4745,3542357,3.83
46,2012-12-04,4814,5027,4720,4982,783142,4.99
47,2012-12-05,5027,5357,4814,5336,1307722,7.11
48,2012-12-06,5334,5451,5121,5383,676841,0.88
49,2012-12-07,5357,5429,4909,5242,956019,-2.62
50,2012-12-10,5169,5286,5027,5146,234964,-1.83
51,2012-12-11,5145,5169,4720,4982,442494,-3.19
52,2012-12-12,4933,5216,4767,5194,610925,4.26
53,2012-12-13,5286,5523,5145,5265,557109,1.37
54,2012-12-14,5192,5429,5192,5430,344058,3.13
55,2012-12-17,5381,5711,5381,5689,619196,4.77
56,2012-12-18,5665,5783,5381,5737,639005,0.84
57,2012-12-20,5665,5829,5568,5737,508374,0.0
58,2012-12-21,5711,5877,5640,5832,335111,1.66
59,2012-12-24,5805,5877,5593,5832,301128,0.0
60,2012-12-26,5853,5853,5568,5737,349693,-1.63
61,2012-12-27,5687,5829,5546,5714,383903,-0.4
62,2012-12-28,5759,5901,5640,5855,327242,2.47
63,2013-01-02,5995,6230,5759,5879,997996,0.41
64,2013-01-03,5947,5995,5568,5666,342333,-3.62
65,2013-01-04,5618,5665,5500,5666,300128,0.0
66,2013-01-07,5711,5947,5640,5855,602892,3.34
67,2013-01-08,5877,5947,5759,5784,195831,-1.21
68,2013-01-09,5711,5805,5687,5808,188181,0.41
69,2013-01-10,5805,5853,5665,5714,236833,-1.62
70,2013-01-11,5783,6467,5687,6422,1501445,12.39
71,2013-01-14,6419,6632,6255,6399,499422,-0.36
72,2013-01-15,6443,6632,6230,6374,393768,-0.39
73,2013-01-16,6396,6514,6255,6374,245231,0.0
74,2013-01-17,6373,6775,6373,6611,466930,3.72
75,2013-01-18,6798,6821,6585,6800,219128,2.86
76,2013-01-21,6798,6845,6490,6517,333349,-4.16
77,2013-01-22,6561,6561,6302,6540,281017,0.35
78,2013-01-23,6538,6704,6443,6517,156423,-0.35
79,2013-01-24,6419,6467,6302,6304,141562,-3.27
80,2013-01-25,6255,6443,6065,6257,217917,-0.75
81,2013-01-28,6324,6467,5995,6469,170696,3.39
82,2013-01-29,6514,6514,6230,6351,184886,-1.82
83,2013-01-30,6349,6443,6230,6280,151443,-1.12
84,2013-01-31,6302,6373,6113,6233,154479,-0.75
85,2013-02-01,6230,6230,6020,6115,287416,-1.89
86,2013-02-04,6184,6324,5924,5926,295614,-3.09
87,2013-02-05,5971,5971,5618,5902,319578,-0.4
88,2013-02-06,5901,6159,5877,6020,432452,2.0
89,2013-02-07,6089,6089,5829,5949,234521,-1.18
90,2013-02-08,5901,6278,5901,6257,448807,5.18
91,2013-02-12,6302,6324,6089,6163,188529,-1.5
92,2013-02-13,6159,6230,6020,6044,367149,-1.93
93,2013-02-14,5971,6065,5805,5855,425810,-3.13
94,2013-02-15,5829,5947,5640,5689,683201,-2.84
