,Date,Open,High,Low,Close,Volume,Change
0,2010-08-06,7545,8676,6413,6414,5727006,NaN
1,2010-08-09,5706,5788,5452,5454,3987985,-14.97
2,2010-08-10,5507,5556,4787,4843,2553721,-11.2
3,2010-08-11,4959,5158,4849,5042,1518600,4.11
4,2010-08-12,4904,4924,4561,4733,670470,-6.13
5,2010-08-13,4794,5109,4732,4987,828978,5.37
6,2010-08-16,4945,4986,4671,4706,470183,-5.63
7,2010-08-17,4698,4767,4512,4569,389178,-2.91
8,2010-08-18,4616,4677,4520,4582,235006,0.28
9,2010-08-19,4616,4801,4526,4692,447130,2.4
10,2010-08-20,4629,4684,4499,4548,218036,-3.07
11,2010-08-23,4567,4581,4293,4308,239446,-5.28
12,2010-08-24,4280,4485,4184,4246,221934,-1.44
13,2010-08-25,4129,4231,4053,4212,204129,-0.8
14,2010-08-26,4252,4390,4019,4116,290817,-2.28
15,2010-08-27,4094,4149,3943,4006,173162,-2.67
16,2010-08-30,4074,4547,3998,4205,962327,4.97
17,2010-08-31,4184,4272,4080,4082,219256,-2.93
18,2010-09-01,4170,4245,4121,4129,179563,1.15
19,2010-09-02,4149,4197,4053,4054,146466,-1.82
20,2010-09-03,4080,4094,3943,4006,156495,-1.18
21,2010-09-06,3964,4039,3937,3972,261051,-0.85
22,2010-09-07,3991,4053,3943,3978,160796,0.15
23,2010-09-08,3984,4094,3943,3999,190905,0.53
24,2010-09-09,3978,4046,3889,3896,217265,-2.58
25,2010-09-10,3923,4321,3895,4150,832719,6.52
26,2010-09-13,4218,4239,4115,4137,275789,-0.31
27,2010-09-14,4142,4163,4019,4019,221434,-2.85
28,2010-09-15,4019,4588,4019,4472,1632408,11.27
29,2010-09-16,4471,4561,4369,4527,443732,1.23
30,2010-09-17,4554,4595,4376,4439,253268,-1.94
31,2010-09-20,4457,4499,4307,4329,160283,-2.48
32,2010-09-24,4335,4588,4293,4445,375943,2.68
33,2010-09-27,4457,4457,4300,4363,225680,-1.84
34,2010-09-28,4341,4369,4204,4233,171683,-2.98
35,2010-09-29,4231,4376,4218,4335,233287,2.41
36,2010-09-30,4335,4376,4272,4335,165450,0.0
37,2010-10-01,4335,4588,4293,4321,578248,-0.32
38,2010-10-04,4348,4348,4190,4198,222197,-2.85
39,2010-10-05,4231,4286,4121,4205,98475,0.17
40,2010-10-06,4239,4691,4231,4404,1468801,4.73
41,2010-10-07,4437,4540,4376,4431,329326,0.61
42,2010-10-08,4451,4465,4362,4384,155697,-1.06
43,2010-10-11,4417,4602,4382,4493,410150,2.49
44,2010-10-12,4547,4684,4471,4596,358053,2.29
45,2010-10-13,4657,4657,4445,4451,258352,-3.15
46,2010-10-14,4471,4520,4410,4514,130574,1.42
47,2010-10-15,4540,4643,4526,4610,239784,2.13
48,2010-10-18,4561,4698,4492,4514,243122,-2.08
49,2010-10-19,4554,4567,4445,4459,129694,-1.22
50,2010-10-20,4390,4499,4376,4451,97603,-0.18
51,2010-10-21,4457,4457,4327,4329,204649,-2.74
52,2010-10-22,4327,4471,4327,4390,169868,1.41
53,2010-10-25,4403,4437,4355,4390,103918,0.0
54,2010-10-26,4403,4424,4286,4288,153102,-2.32
55,2010-10-27,4369,4369,4239,4280,114591,-0.19
56,2010-10-28,4300,4431,4259,4425,183211,3.39
57,2010-10-29,4575,5082,4533,4980,1780499,12.54
58,2010-11-01,5068,5350,5048,5110,1024129,2.61
59,2010-11-02,5144,5164,4910,5076,442709,-0.67
60,2010-11-03,5137,5397,5082,5083,447979,0.14
61,2010-11-04,5144,5144,4897,4932,271591,-2.97
62,2010-11-05,5007,5007,4787,4836,243030,-1.95
63,2010-11-08,4773,5054,4773,4973,213404,2.83
64,2010-11-09,5041,5713,4965,5714,1431534,14.9
65,2010-11-10,5871,5919,5405,5556,1549425,-2.77
66,2010-11-11,5569,5727,5473,5639,1175434,1.49
67,2010-11-12,5617,6365,5418,5419,2603701,-3.9
68,2010-11-15,5411,5480,4918,4994,583060,-7.84
69,2010-11-16,5007,5226,4945,5124,482748,2.6
70,2010-11-17,5007,5158,5000,5056,261744,-1.33
71,2010-11-18,5082,5432,5082,5213,536667,3.11
72,2010-11-19,5219,5391,5095,5152,282989,-1.17
73,2010-11-22,5178,5199,4767,4802,384001,-6.79
74,2010-11-23,4746,4897,4616,4761,256035,-0.85
75,2010-11-24,4403,4602,4046,4589,331073,-3.61
76,2010-11-25,4622,4732,4499,4500,159286,-1.94
77,2010-11-26,4485,4561,4252,4288,192422,-4.71
78,2010-11-29,4225,4410,4225,4329,71404,0.96
79,2010-11-30,4300,4526,4300,4465,80922,3.14
80,2010-12-01,4471,4663,4457,4630,227646,3.7
81,2010-12-02,4657,4698,4540,4555,59192,-1.62
82,2010-12-03,4554,4629,4362,4459,46699,-2.11
83,2010-12-06,4581,4650,4445,4445,83073,-0.31
84,2010-12-07,4410,4485,4341,4349,69775,-2.16
85,2010-12-08,4335,4499,4327,4370,39053,0.48
86,2010-12-09,4390,4451,4369,4370,38117,0.0
87,2010-12-10,4376,4492,4266,4274,132111,-2.2
88,2010-12-13,4280,4307,4239,4280,96154,0.14
89,2010-12-14,4410,4410,4272,4308,64403,0.65
90,2010-12-15,4321,4335,4252,4253,52116,-1.28
91,2010-12-16,4252,4300,4225,4267,43618,0.33
92,2010-12-17,4204,4307,4163,4164,70678,-2.41
93,2010-12-20,4108,4108,3909,4013,88959,-3.63
94,2010-12-21,4135,4135,4019,4040,60499,0.67
95,2010-12-22,4046,4211,4039,4191,37851,3.74
96,2010-12-23,4204,4239,4176,4178,22609,-0.31
97,2010-12-24,4142,4231,4060,4102,61430,-1.82
98,2010-12-27,4080,4135,4053,4068,39874,-0.83
99,2010-12-28,4135,4135,4019,4019,36740,-1.2
100,2010-12-29,4046,4176,4019,4150,26471,3.26
101,2010-12-30,4170,4170,4080,4102,36654,-1.16
102,2011-01-03,4362,4512,4272,4356,171639,6.19
103,2011-01-04,4390,4424,4321,4363,76114,0.16
104,2011-01-05,4424,4547,4362,4479,184909,2.66
105,2011-01-06,4478,4478,4382,4445,102731,-0.76
106,2011-01-07,4492,4629,4465,4541,94179,2.16
107,2011-01-10,4595,4691,4526,4527,106078,-0.31
108,2011-01-11,4478,4575,4362,4376,84076,-3.34
109,2011-01-12,4382,4471,4382,4404,51034,0.64
110,2011-01-13,4410,4457,4362,4404,45564,0.0
111,2011-01-14,4403,4499,4362,4493,73239,2.02
112,2011-01-17,4492,5068,4492,4836,723467,7.63
113,2011-01-18,4877,4890,4698,4699,174482,-2.83
114,2011-01-19,4705,4877,4663,4692,187860,-0.15
115,2011-01-20,4698,4801,4663,4733,94900,0.87
116,2011-01-21,4677,4787,4629,4671,107071,-1.31
117,2011-01-24,4698,4698,4424,4555,86163,-2.48
118,2011-01-25,4575,4814,4485,4699,141265,3.16
119,2011-01-26,4698,4993,4698,4775,183298,1.62
120,2011-01-27,4773,4869,4677,4740,94601,-0.73
121,2011-01-28,4739,4842,4595,4637,67366,-2.17
122,2011-01-31,4478,4561,4424,4439,91452,-4.27
123,2011-02-01,4445,4581,4437,4439,43515,0.0
124,2011-02-07,4445,4520,4437,4493,40515,1.22
125,2011-02-08,4478,4520,4348,4363,55336,-2.89
126,2011-02-09,4424,4424,4225,4294,61207,-1.58
127,2011-02-10,4211,4307,4211,4294,26027,0.0
128,2011-02-11,4293,4307,4197,4198,34371,-2.24
129,2011-02-14,4218,4314,4197,4225,30747,0.64
130,2011-02-15,4170,4272,4170,4184,39975,-0.97
131,2011-02-16,4239,4239,4074,4082,58109,-2.44
132,2011-02-17,4115,4115,3970,4013,48530,-1.69
133,2011-02-18,4156,4184,4005,4184,32301,4.26
134,2011-02-21,4170,4204,4074,4074,20628,-2.63
135,2011-02-22,4142,4142,3943,3992,30002,-2.01
136,2011-02-23,3978,4053,3909,3931,38227,-1.53
137,2011-02-24,3895,3964,3854,3903,28276,-0.71
138,2011-02-25,3868,4025,3848,3978,37599,1.92
139,2011-02-28,4033,4033,3779,3828,67914,-3.77
140,2011-03-02,3799,3943,3779,3787,30918,-1.07
141,2011-03-03,3813,3970,3813,3972,39360,4.89
142,2011-03-04,3970,4039,3909,3972,27941,0.0
143,2011-03-07,3943,4046,3929,3937,26328,-0.88
144,2011-03-08,3840,4033,3840,4027,29247,2.29
145,2011-03-09,3998,4074,3978,4040,22611,0.32
146,2011-03-10,4088,4115,3978,4040,37738,0.0
147,2011-03-11,4012,4046,3950,3978,27675,-1.53
148,2011-03-14,4101,4101,3895,3917,45077,-1.53
149,2011-03-15,3950,4012,3463,3752,48579,-4.21
150,2011-03-16,3758,3861,3738,3842,35178,2.4
151,2011-03-17,3786,3807,3703,3773,29245,-1.8
152,2011-03-18,3752,3868,3738,3807,15070,0.9
153,2011-03-21,3744,3943,3744,3931,15771,3.26
154,2011-03-22,3978,3978,3875,3931,16544,0.0
155,2011-03-23,3984,4012,3895,3951,30665,0.51
156,2011-03-24,3957,4211,3957,4129,69057,4.51
157,2011-03-25,4156,4225,4067,4109,47393,-0.48
158,2011-03-28,4129,4170,4094,4109,40939,0.0
159,2011-03-29,4094,4149,4053,4061,34868,-1.17
160,2011-03-30,4094,4121,4067,4116,27877,1.35
161,2011-03-31,4149,4239,4149,4205,66526,2.16
162,2011-04-01,4204,4272,4129,4137,35064,-1.62
163,2011-04-04,4149,4211,4046,4047,49635,-2.18
164,2011-04-05,4080,4080,3978,4027,50220,-0.49
165,2011-04-06,4039,4300,4039,4219,114738,4.77
166,2011-04-07,4231,4252,4135,4233,39858,0.33
167,2011-04-08,4231,4643,4218,4445,158642,5.01
168,2011-04-11,4457,4616,4410,4459,76238,0.31
169,2011-04-12,4437,4457,4293,4308,33701,-3.39
170,2011-04-13,4376,4424,4211,4397,41984,2.07
171,2011-04-14,4417,4698,4410,4637,158143,5.46
172,2011-04-15,4650,4924,4561,4871,256788,5.05
173,2011-04-18,4973,5054,4787,4850,239576,-0.43
174,2011-04-19,4828,5123,4732,4850,171423,0.0
175,2011-04-20,4986,4986,4773,4822,80945,-0.58
176,2011-04-21,4822,4938,4698,4706,79848,-2.41
177,2011-04-22,4650,4780,4588,4589,48261,-2.49
