,Date,Open,High,Low,Close,Volume,Change
0,2023-02-17,20250,20250,20250,20250,22814,NaN
1,2023-02-20,23750,25500,19070,19110,3271986,-5.63
2,2023-02-21,19610,20400,17870,17940,3043246,-6.12
3,2023-02-22,17640,18300,15880,16100,2280797,-10.26
4,2023-02-23,16100,16240,15690,15700,408875,-2.48
5,2023-02-24,15950,15990,14250,14360,560046,-8.54
6,2023-02-27,13970,14260,13670,14020,276028,-2.37
7,2023-02-28,14570,15230,13590,13700,599601,-2.28
8,2023-03-02,13840,13840,13400,13560,196597,-1.02
9,2023-03-03,13680,14460,13460,13750,423669,1.4
10,2023-03-06,13860,15100,13800,14310,734179,4.07
11,2023-03-07,14580,14590,13950,14020,237722,-2.03
12,2023-03-08,13860,13900,13390,13420,182621,-4.28
13,2023-03-09,13630,13660,12750,12780,121840,-4.77
14,2023-03-10,12650,12650,12290,12300,69492,-3.76
15,2023-03-13,12110,12160,11610,11850,71615,-3.66
16,2023-03-14,11910,13850,11290,12450,1010750,5.06
17,2023-03-15,12720,13200,12410,12830,200488,3.05
18,2023-03-16,12860,13000,12160,12160,114059,-5.22
19,2023-03-17,12350,12470,11950,12210,82167,0.41
20,2023-03-20,12530,13880,12350,13840,771159,13.35
21,2023-03-21,14100,14510,13050,13210,448809,-4.55
22,2023-03-22,13250,13740,12910,13740,166002,4.01
23,2023-03-23,13600,13710,13240,13290,142978,-3.28
24,2023-03-24,13350,13770,13220,13420,180261,0.98
25,2023-03-27,13640,13640,13010,13060,93781,-2.68
26,2023-03-28,13250,16970,13250,16970,3166147,29.94
27,2023-03-29,17800,19310,17480,18450,3224131,8.72
28,2023-03-30,18710,21950,18260,19750,2673259,7.05
29,2023-03-31,20100,20150,17690,18020,534361,-8.76
30,2023-04-03,17350,18470,17080,17750,332360,-1.5
31,2023-04-04,17520,18650,16910,17030,416511,-4.06
32,2023-04-05,16950,18450,16610,18120,332918,6.4
33,2023-04-06,17960,18260,16750,16870,202573,-6.9
34,2023-04-07,17000,17590,16350,17220,288984,2.07
35,2023-04-10,17220,17570,16420,16480,155853,-4.3
36,2023-04-11,16560,16970,16230,16970,157140,2.97
37,2023-04-12,16970,17000,16240,16380,127401,-3.48
38,2023-04-13,16200,16520,16050,16480,88194,0.61
39,2023-04-14,16520,17030,16180,16180,188804,-1.82
40,2023-04-17,16180,16230,15050,15130,154087,-6.49
41,2023-04-18,14900,15320,14900,14900,86895,-1.52
42,2023-04-19,15020,15170,14490,14530,82285,-2.48
43,2023-04-20,14600,14610,14020,14250,103679,-1.93
44,2023-04-21,14250,14750,14060,14110,83572,-0.98
45,2023-04-24,14040,14040,13420,13510,72579,-4.25
46,2023-04-25,13520,13640,12890,12960,67565,-4.07
47,2023-04-26,12820,13210,12560,12720,60611,-1.85
48,2023-04-27,12650,12960,12210,12930,62159,1.65
49,2023-04-28,13090,13090,12450,12450,46874,-3.71
50,2023-05-02,12320,12940,12320,12760,22156,2.49
