,Date,Open,High,Low,Close,Volume,Change
0,2012-11-06,10500,12050,10100,12050,2974829,NaN
1,2012-11-07,13050,13850,12750,13850,729181,14.94
2,2012-11-08,14950,15450,13150,13850,4753390,0.0
3,2012-11-09,13850,14800,12950,13700,2577551,-1.08
4,2012-11-12,14050,14300,12800,13350,1467768,-2.55
5,2012-11-13,13600,13700,12750,13450,1086033,0.75
6,2012-11-14,13250,13550,12200,12350,739226,-8.18
7,2012-11-15,12050,12200,11000,11000,782522,-10.93
8,2012-11-16,11400,12650,11300,11900,3111087,8.18
9,2012-11-19,11700,13650,11300,13650,1876537,14.71
10,2012-11-20,13700,14400,13150,13750,1879810,0.73
11,2012-11-21,14150,14300,12000,12050,1956751,-12.36
12,2012-11-22,12300,12450,11750,12000,674755,-0.41
13,2012-11-23,12150,12150,11150,11400,698482,-5.0
14,2012-11-26,11400,12150,11250,12000,701015,5.26
15,2012-11-27,12000,12400,11700,12200,531186,1.67
16,2012-11-28,12250,12250,11550,11850,428282,-2.87
17,2012-11-29,11900,12150,11250,11300,440010,-4.64
18,2012-11-30,11450,11650,11150,11350,271568,0.44
19,2012-12-03,10950,11100,10000,10150,851177,-10.57
20,2012-12-04,10300,11600,10250,11200,655176,10.34
21,2012-12-05,11200,11650,10500,10600,608540,-5.36
22,2012-12-06,10300,11950,10150,11500,1173707,8.49
23,2012-12-07,11500,12150,11200,11850,528631,3.04
24,2012-12-10,11950,12250,11500,11700,291217,-1.27
25,2012-12-11,11550,11750,10700,10700,295752,-8.55
26,2012-12-12,10950,11350,10550,10700,360085,0.0
27,2012-12-13,10700,11300,10600,11250,284092,5.14
28,2012-12-14,11200,11450,10650,10900,287629,-3.11
29,2012-12-17,10750,10900,10300,10400,273012,-4.59
30,2012-12-18,10450,10700,10200,10550,264722,1.44
31,2012-12-20,10600,10850,10350,10550,118109,0.0
32,2012-12-21,10550,10650,9840,9990,330387,-5.31
33,2012-12-24,10000,10000,9200,9300,702969,-6.91
34,2012-12-26,9250,9550,8970,9000,653274,-3.23
35,2012-12-27,9150,10000,9000,9930,980053,10.33
36,2012-12-28,9900,10700,9840,10550,693588,6.24
37,2013-01-02,10700,10750,10300,10300,601098,-2.37
38,2013-01-03,10400,10450,10000,10250,320345,-0.49
39,2013-01-04,10250,10950,10100,10900,452861,6.34
40,2013-01-07,11050,11400,10950,11250,465071,3.21
41,2013-01-08,11250,11450,11000,11100,202873,-1.33
42,2013-01-09,11100,11350,10600,10750,276105,-3.15
43,2013-01-10,10800,12000,10650,11700,909470,8.84
44,2013-01-11,11800,12250,11550,12050,788129,2.99
45,2013-01-14,12400,13700,12300,13450,1622853,11.62
46,2013-01-15,13400,13500,12900,13350,529444,-0.74
47,2013-01-16,13400,13950,13100,13400,593943,0.37
48,2013-01-17,13300,13700,12800,13200,313757,-1.49
49,2013-01-18,13200,13900,13050,13900,376279,5.3
50,2013-01-21,13900,14000,13550,13800,253703,-0.72
51,2013-01-22,13650,13850,13400,13750,341756,-0.36
52,2013-01-23,13650,14150,13550,13600,238214,-1.09
53,2013-01-24,13600,13700,12800,12800,326638,-5.88
54,2013-01-25,12950,13200,12600,12900,256376,0.78
55,2013-01-28,12800,13050,12550,12750,144134,-1.16
56,2013-01-29,12750,13250,12750,12750,167564,0.0
57,2013-01-30,12900,13100,12550,12600,160444,-1.18
58,2013-01-31,12750,12750,12100,12500,208139,-0.79
59,2013-02-01,12500,12800,12150,12450,234907,-0.4
60,2013-02-04,12450,12500,11150,11150,333277,-10.44
61,2013-02-05,11200,11500,10800,11300,181179,1.35
62,2013-02-06,11400,11750,11300,11550,149548,2.21
63,2013-02-07,11600,12500,11600,12400,359844,7.36
64,2013-02-08,12500,12750,12150,12550,247876,1.21
65,2013-02-12,12700,13200,12300,12650,354689,0.8
66,2013-02-13,12750,12900,12550,12800,192504,1.19
67,2013-02-14,12900,12900,12350,12600,248230,-1.56
68,2013-02-15,12600,13200,12600,13200,413133,4.76
69,2013-02-18,13200,13450,13050,13450,235341,1.89
70,2013-02-19,13500,13500,13050,13250,221351,-1.49
71,2013-02-20,13350,13400,13050,13300,315801,0.38
72,2013-02-21,13450,14350,13350,13500,1229771,1.5
73,2013-02-22,13200,13600,12750,13600,573011,0.74
74,2013-02-25,13650,13850,13350,13600,230280,0.0
75,2013-02-26,13700,14100,13600,13800,284902,1.47
76,2013-02-27,13900,14350,13850,14250,601476,3.26
