,Date,Open,High,Low,Close,Volume,Change
0,2013-07-24,4000,4600,3950,4600,26681764,NaN
1,2013-07-25,5020,5290,4865,5290,16914648,15.0
2,2013-07-26,5150,5200,4760,4800,12302637,-9.26
3,2013-07-29,4965,5130,4765,4805,6930238,0.1
4,2013-07-30,4800,4985,4650,4880,7257669,1.56
5,2013-07-31,4880,4920,4660,4700,3978764,-3.69
6,2013-08-01,4800,5400,4785,5400,12027491,14.89
7,2013-08-02,5680,5940,5260,5350,12415875,-0.93
8,2013-08-05,5350,5690,5320,5540,6138581,3.55
9,2013-08-06,5600,5660,5460,5560,3682048,0.36
10,2013-08-07,5700,5890,5430,5440,5080479,-2.16
11,2013-08-08,5410,5490,5090,5180,4509094,-4.78
12,2013-08-09,5240,5360,5030,5090,2880508,-1.74
13,2013-08-12,5090,5130,4910,5020,2164353,-1.38
14,2013-08-13,5000,5150,4830,5120,3387798,1.99
15,2013-08-14,5120,5250,4950,4950,2131674,-3.32
16,2013-08-16,4875,4995,4825,4865,1111176,-1.72
17,2013-08-19,4900,5010,4830,4960,1257388,1.95
18,2013-08-20,4990,5050,4660,4660,1454470,-6.05
19,2013-08-21,4675,4760,4395,4550,1612537,-2.36
20,2013-08-22,4490,4600,4365,4470,1017715,-1.76
21,2013-08-23,4510,5040,4480,4845,2675557,8.39
22,2013-08-26,4845,5050,4805,4885,952850,0.83
23,2013-08-27,4890,5330,4890,5060,7763982,3.58
24,2013-08-28,4980,5220,4930,5160,1500664,1.98
25,2013-08-29,5220,5290,5090,5120,962261,-0.78
26,2013-08-30,5100,5210,4950,4950,650934,-3.32
27,2013-09-02,5000,5030,4805,4990,795918,0.81
28,2013-09-03,5060,5070,4915,4950,1012092,-0.8
29,2013-09-04,4950,4995,4885,4930,417407,-0.4
30,2013-09-05,4920,5050,4845,5040,619239,2.23
31,2013-09-06,5130,5200,5050,5120,1612555,1.59
32,2013-09-09,5140,5160,4970,4980,598898,-2.73
33,2013-09-10,5030,5070,4865,4970,988964,-0.2
34,2013-09-11,4990,5170,4935,5170,890404,4.02
35,2013-09-12,5240,5400,5110,5200,1640581,0.58
36,2013-09-13,5280,5360,5100,5140,1392297,-1.15
37,2013-09-16,5120,5190,5050,5160,646926,0.39
38,2013-09-17,5230,5320,5170,5300,1276091,2.71
39,2013-09-23,5290,5320,5150,5240,997798,-1.13
40,2013-09-24,5230,5370,5180,5290,731901,0.95
41,2013-09-25,5290,5350,5190,5190,623113,-1.89
42,2013-09-26,5190,5230,5070,5100,646399,-1.73
43,2013-09-27,5160,5160,5000,5000,613932,-1.96
44,2013-09-30,5000,5050,4935,4955,422218,-0.9
45,2013-10-01,4950,4995,4735,4835,677622,-2.42
46,2013-10-02,4855,5030,4855,4980,407321,3.0
47,2013-10-04,4930,4950,4860,4870,273332,-2.21
48,2013-10-07,4830,4935,4830,4845,229017,-0.51
49,2013-10-08,4760,4870,4760,4845,290212,0.0
50,2013-10-10,4850,4975,4850,4900,219129,1.14
51,2013-10-11,4910,4980,4855,4855,246384,-0.92
52,2013-10-14,4840,4900,4750,4870,514341,0.31
53,2013-10-15,4895,5040,4810,5020,523457,3.08
54,2013-10-16,5050,5100,4850,4875,437522,-2.89
55,2013-10-17,4870,4930,4785,4860,437193,-0.31
56,2013-10-18,4905,4980,4855,4955,191307,1.95
57,2013-10-21,4935,4995,4865,4900,329285,-1.11
58,2013-10-22,4920,5000,4835,4980,375127,1.63
59,2013-10-23,5050,5160,4975,4980,604668,0.0
60,2013-10-24,5050,5090,4985,5050,433357,1.41
61,2013-10-25,5080,5080,4925,4970,248120,-1.58
62,2013-10-28,4950,4950,4850,4880,244201,-1.81
63,2013-10-29,4870,4970,4855,4905,222015,0.51
64,2013-10-30,4910,5020,4865,4970,353028,1.33
65,2013-10-31,4990,5010,4865,4870,267486,-2.01
