,Date,Open,High,Low,Close,Volume,Change
0,2015-03-31,2190,2200,2165,2175,973733,-0.68
1,2015-04-01,2170,2185,2155,2170,262148,-0.23
2,2015-04-02,2170,2180,2160,2175,70996,0.23
3,2015-04-03,2170,2185,2165,2185,76882,0.46
4,2015-04-06,2185,2215,2185,2210,188048,1.14
5,2015-04-07,2215,2220,2195,2200,143673,-0.45
6,2015-04-08,2225,2225,2190,2200,77924,0.0
7,2015-04-09,2190,2200,2180,2195,130904,-0.23
8,2015-04-10,2195,2200,2180,2200,95194,0.23
9,2015-04-13,2200,2200,2175,2185,84790,-0.68
10,2015-04-14,2195,2195,2180,2190,30578,0.23
11,2015-04-15,2195,2215,2195,2215,45070,1.14
12,2015-04-16,2220,2230,2215,2225,37358,0.45
13,2015-04-17,2220,2250,2215,2245,35210,0.9
14,2015-04-20,2245,2340,2225,2300,54580,2.45
15,2015-04-21,2320,2365,2310,2340,33385,1.74
16,2015-04-22,2350,2360,2260,2285,61261,-2.35
17,2015-04-23,2300,2300,2250,2280,114103,-0.22
18,2015-04-24,2295,2295,2255,2270,59191,-0.44
19,2015-04-27,2270,2270,2250,2255,29116,-0.66
20,2015-04-28,2250,2260,2245,2250,32353,-0.22
21,2015-04-29,2250,2275,2250,2260,20691,0.44
22,2015-04-30,2255,2270,2255,2260,6548,0.0
23,2015-05-04,2250,2275,2250,2270,28319,0.44
24,2015-05-06,2270,2270,2250,2265,22214,-0.22
25,2015-05-07,2270,2270,2210,2230,22337,-1.55
26,2015-05-08,2220,2235,2210,2230,15552,0.0
27,2015-05-11,2230,2250,2225,2235,18602,0.22
28,2015-05-12,2215,2245,2210,2230,13938,-0.22
29,2015-05-13,2225,2250,2210,2245,9055,0.67
30,2015-05-14,2260,2260,2240,2250,5885,0.22
31,2015-05-15,2245,2270,2245,2270,20563,0.89
32,2015-05-18,2250,2270,2250,2255,23867,-0.66
33,2015-05-19,2225,2300,2225,2275,31141,0.89
34,2015-05-20,2275,2285,2260,2285,11375,0.44
35,2015-05-21,2295,2295,2250,2260,51030,-1.09
36,2015-05-22,2285,2285,2235,2260,17034,0.0
37,2015-05-26,2230,2250,2225,2225,11315,-1.55
38,2015-05-27,2230,2230,2200,2215,51387,-0.45
39,2015-05-28,2210,2215,2205,2215,31570,0.0
40,2015-05-29,2210,2215,2200,2215,58657,0.0
41,2015-06-01,2205,2220,2205,2215,21460,0.0
42,2015-06-02,2210,2210,2200,2210,44388,-0.23
43,2015-06-03,2205,2220,2200,2215,37339,0.23
44,2015-06-04,2200,2215,2195,2205,70546,-0.45
45,2015-06-05,2215,2220,2205,2220,141762,0.68
46,2015-06-08,2200,2220,2200,2205,10206,-0.68
47,2015-06-09,2215,2220,2200,2215,2961,0.45
48,2015-06-10,2200,2210,2190,2190,80669,-1.13
49,2015-06-11,2190,2195,2170,2175,21862,-0.68
50,2015-06-12,2160,2160,2120,2155,15781,-0.92
51,2015-06-15,2155,2160,2135,2150,15842,-0.23
52,2015-06-16,2140,2140,2105,2120,16239,-1.4
53,2015-06-17,2150,2150,2050,2080,35006,-1.89
54,2015-06-18,2100,2100,2080,2090,17281,0.48
55,2015-06-19,2055,2120,2055,2085,18295,-0.24
56,2015-06-22,2085,2125,2085,2125,5846,1.92
57,2015-06-23,2140,2140,2090,2095,16336,-1.41
58,2015-06-24,2080,2100,2080,2085,5152,-0.48
59,2015-06-25,2085,2100,2045,2095,8224,0.48
60,2015-06-26,2065,2125,2065,2115,32713,0.95
61,2015-06-29,2115,2140,2115,2140,21156,1.18
62,2015-06-30,2160,2165,2120,2165,28400,1.17
63,2015-07-01,2205,2205,2155,2165,35637,0.0
64,2015-07-02,2165,2180,2125,2165,34224,0.0
65,2015-07-03,2195,2195,2155,2155,26310,-0.46
66,2015-07-06,2210,2210,2140,2145,37082,-0.46
67,2015-07-07,2145,2165,2145,2150,16592,0.23
68,2015-07-08,2150,2165,2150,2165,7047,0.7
69,2015-07-09,2160,2185,2160,2165,6743,0.0
70,2015-07-10,2180,2190,2155,2185,2332,0.92
71,2015-07-13,2185,2195,2180,2195,21514,0.46
72,2015-07-14,2215,2215,2160,2190,15722,-0.23
73,2015-07-15,2190,2210,2180,2195,786,0.23
74,2015-07-16,2210,2210,2160,2195,1887,0.0
75,2015-07-17,2190,2190,2165,2190,4479,-0.23
76,2015-07-20,2205,2205,2165,2190,4757,0.0
77,2015-07-21,2190,2195,2190,2195,3352,0.23
78,2015-07-22,2195,2265,2195,2210,21414,0.68
79,2015-07-23,2210,2235,2210,2225,4636,0.68
80,2015-07-24,2215,2240,2215,2235,11665,0.45
81,2015-07-27,2245,2285,2230,2250,17172,0.67
82,2015-07-28,2230,2250,2230,2250,5448,0.0
83,2015-07-29,2250,2285,2225,2270,5582,0.89
84,2015-07-30,2235,2270,2215,2240,4205,-1.32
85,2015-07-31,2270,2270,2245,2245,1735,0.22
86,2015-08-03,2240,2280,2235,2260,13521,0.67
87,2015-08-04,2280,2280,2240,2265,618,0.22
88,2015-08-05,2225,2265,2220,2245,21512,-0.88
89,2015-08-06,2260,2340,2240,2315,65802,3.12
90,2015-08-07,2340,2340,2255,2280,53641,-1.51
91,2015-08-10,2250,2300,2250,2285,12453,0.22
92,2015-08-11,2310,2310,2270,2295,12924,0.44
93,2015-08-12,2265,2295,2220,2260,11079,-1.53
94,2015-08-13,2300,2300,2235,2260,3439,0.0
95,2015-08-17,2260,2310,2245,2245,15734,-0.66
96,2015-08-18,2220,2275,2220,2245,11554,0.0
97,2015-08-19,2220,2265,2165,2225,64952,-0.89
98,2015-08-20,2220,2300,2220,2285,38452,2.7
99,2015-08-21,2225,2270,2190,2225,8782,-2.63
100,2015-08-24,2200,2220,2165,2200,6916,-1.12
101,2015-08-25,2170,2210,2170,2200,6190,0.0
102,2015-08-26,2205,2205,2180,2200,4516,0.0
103,2015-08-27,2200,2200,2150,2200,14504,0.0
104,2015-08-28,2200,2200,2170,2195,2337,-0.23
105,2015-08-31,2225,2225,2160,2190,4125,-0.23
106,2015-09-01,2210,2210,2205,2210,4952,0.91
107,2015-09-02,2210,2235,2175,2230,13676,0.9
108,2015-09-03,2225,2225,2190,2200,3726,-1.35
109,2015-09-04,2200,2200,2150,2180,7335,-0.91
110,2015-09-07,2180,2180,2150,2160,1488,-0.92
111,2015-09-08,2155,2165,2150,2165,7133,0.23
112,2015-09-09,2165,2195,2140,2195,7317,1.39
113,2015-09-10,2195,2195,2165,2195,4229,0.0
114,2015-09-11,2195,2195,2150,2175,12032,-0.91
115,2015-09-14,2145,2165,2130,2160,37503,-0.69
116,2015-09-15,2160,2160,2120,2140,3654,-0.93
117,2015-09-16,2115,2150,2115,2150,8774,0.47
118,2015-09-17,2115,2165,2105,2135,17556,-0.7
119,2015-09-18,2105,2145,2100,2130,17487,-0.23
120,2015-09-21,2105,2130,2100,2125,6370,-0.23
121,2015-09-22,2125,2125,2100,2100,16343,-1.18
122,2015-09-23,2110,2130,2095,2130,7023,1.43
123,2015-09-24,2130,2200,2130,2170,6830,1.88
124,2015-09-25,2170,2170,2170,2170,6459,0.0
125,2015-09-30,2200,2200,2110,2110,1613,-2.76
126,2015-10-01,2115,2165,2115,2165,4899,2.61
127,2015-10-02,2140,2145,2120,2145,214,-0.92
128,2015-10-05,2120,2140,2110,2140,10511,-0.23
129,2015-10-06,2135,2135,2100,2130,11809,-0.47
130,2015-10-07,2140,2140,2105,2120,3468,-0.47
