,Date,Open,High,Low,Close,Volume,Change
0,2015-01-26,16590,17603,14565,16253,3031885,NaN
1,2015-01-27,16253,16494,15433,16060,552482,-1.19
2,2015-01-28,16108,18423,16012,18231,1987758,13.52
3,2015-01-29,18375,19388,17748,18520,1036549,1.59
4,2015-01-30,18375,19291,17941,18858,594423,1.83
5,2015-02-02,19146,19822,18616,18616,472109,-1.28
6,2015-02-03,19050,19918,18327,19919,425853,7.0
7,2015-02-04,20063,21461,19677,20787,640907,4.36
8,2015-02-05,21027,21027,19773,20401,326386,-1.86
9,2015-02-06,20835,20835,19050,19629,423667,-3.78
10,2015-02-09,19677,19918,18375,18520,497747,-5.65
11,2015-02-10,18520,18905,17941,18568,320326,0.26
12,2015-02-11,18520,18954,18085,18231,351882,-1.81
13,2015-02-12,18278,20111,18278,20015,537479,9.79
14,2015-02-13,19966,20545,19581,20015,311595,0.0
15,2015-02-16,20111,20545,19725,19870,172220,-0.72
16,2015-02-17,20015,20159,19388,20160,128874,1.46
17,2015-02-23,20159,20304,19581,20063,101253,-0.48
18,2015-02-24,20063,20159,19629,20015,105284,-0.24
19,2015-02-25,19966,20111,19050,19099,270428,-4.58
20,2015-02-26,18954,19436,18520,19051,257805,-0.25
21,2015-02-27,19050,19677,18857,19581,215445,2.78
22,2015-03-02,19388,19773,19098,19436,195667,-0.74
23,2015-03-03,19677,20208,19388,20208,224829,3.97
24,2015-03-04,20208,21365,20111,20690,612457,2.39
25,2015-03-05,20786,20786,19966,20015,364697,-3.26
26,2015-03-06,20111,20545,19918,20256,125103,1.2
27,2015-03-09,20208,20786,19870,20642,157493,1.91
28,2015-03-10,20593,20738,19918,20208,116014,-2.1
29,2015-03-11,19773,19966,19243,19774,232006,-2.15
30,2015-03-12,19773,19918,19291,19774,118211,0.0
31,2015-03-13,19677,20690,19677,20546,181473,3.9
32,2015-03-16,20545,20786,20159,20690,128951,0.7
33,2015-03-17,20835,20979,20304,20642,203745,-0.23
34,2015-03-18,20497,20593,19870,20063,146974,-2.8
35,2015-03-19,20400,20545,20015,20497,200348,2.16
36,2015-03-20,20497,20786,19677,20015,308667,-2.35
37,2015-03-23,19966,20449,19822,20256,122363,1.2
38,2015-03-24,20208,21944,20063,21414,447547,5.72
39,2015-03-25,21510,22667,21365,22185,613064,3.6
40,2015-03-26,21992,22137,21124,21221,311003,-4.35
41,2015-03-27,21269,21847,20786,21076,246840,-0.68
42,2015-03-30,20931,21896,20738,21800,239097,3.44
43,2015-03-31,21992,21992,21172,21462,138299,-1.55
44,2015-04-01,21365,22281,21076,22234,283854,3.6
45,2015-04-02,22426,22426,21510,21607,224514,-2.82
46,2015-04-03,21799,21944,21124,21607,147215,0.0
47,2015-04-06,21365,21606,20786,20835,237817,-3.57
48,2015-04-07,20835,21896,20497,21800,307397,4.63
49,2015-04-08,21751,22040,21558,21800,135562,0.0
50,2015-04-09,21944,22137,21510,21655,123192,-0.67
51,2015-04-10,21654,22378,21510,21751,274236,0.44
52,2015-04-13,22040,23005,21703,22571,217476,3.77
53,2015-04-14,22474,23005,21413,21655,222182,-4.06
54,2015-04-15,21896,22330,21461,22234,172287,2.67
55,2015-04-16,22330,22715,21703,21800,189585,-1.95
56,2015-04-17,21799,21896,20931,21607,269075,-0.89
57,2015-04-20,21269,21413,20835,21366,251303,-1.12
58,2015-04-21,21413,21510,20931,21028,155944,-1.58
59,2015-04-22,21027,21606,20593,21414,311160,1.84
60,2015-04-23,21461,22088,21124,21993,195422,2.7
61,2015-04-24,22088,22812,22088,22571,487599,2.63
62,2015-04-27,22571,23198,22426,22957,318510,1.71
63,2015-04-28,23101,23246,22571,23005,164450,0.21
64,2015-04-29,23053,23632,22812,23536,182047,2.31
65,2015-04-30,23728,23921,22715,23102,139545,-1.84
66,2015-05-04,23198,23198,22088,22571,148401,-2.3
67,2015-05-06,22571,22571,21896,22089,146525,-2.14
68,2015-05-07,21896,22426,21510,22427,80906,1.53
69,2015-05-08,22474,22860,21992,22427,155341,0.0
70,2015-05-11,22571,22764,22330,22716,93507,1.29
71,2015-05-12,22764,23150,22571,23150,56989,1.91
72,2015-05-13,23246,23294,22908,23005,89609,-0.63
73,2015-05-14,22908,23198,22715,23005,75466,0.0
74,2015-05-15,23246,23391,21413,22427,393230,-2.51
75,2015-05-18,22860,22860,21461,21896,229918,-2.37
76,2015-05-19,21896,22281,21461,22089,200034,0.88
77,2015-05-20,22281,22330,21558,21848,178187,-1.09
78,2015-05-21,22040,22715,21799,21993,208715,0.66
79,2015-05-22,22185,22667,21992,22185,188739,0.87
80,2015-05-26,22426,22426,21654,21703,114394,-2.17
81,2015-05-27,21654,22040,21124,21703,141102,0.0
82,2015-05-28,22088,22378,21220,21414,241372,-1.33
83,2015-05-29,21413,22281,21172,22282,241911,4.05
84,2015-06-01,22281,22378,21558,22089,148650,-0.87
85,2015-06-02,22281,22281,21269,21703,131046,-1.75
86,2015-06-03,21461,22137,21365,21896,84318,0.89
87,2015-06-04,21654,22088,21269,21993,100343,0.44
88,2015-06-05,22281,22860,21944,22282,189763,1.31
