,Date,Open,High,Low,Close,Volume,Change
0,2016-02-03,9500,12350,9310,12350,13082837,30.0
1,2016-02-04,12000,12650,10500,11100,7053917,-10.12
2,2016-02-05,11300,12300,10600,11550,4661069,4.05
3,2016-02-11,11250,12500,10900,12500,3641745,8.23
4,2016-02-12,12400,12700,10400,10800,2758366,-13.6
5,2016-02-15,11000,11350,10050,10400,2126837,-3.7
6,2016-02-16,11100,11550,10850,11100,2028887,6.73
7,2016-02-17,11750,13600,11550,12150,7588272,9.46
8,2016-02-18,12150,12350,11350,12050,2071977,-0.82
9,2016-02-19,12450,12700,11750,11850,2203347,-1.66
10,2016-02-22,12300,14200,12300,14100,6863911,18.99
11,2016-02-23,13900,14000,13450,13900,2040734,-1.42
12,2016-02-24,13700,15100,13250,13500,4591785,-2.88
13,2016-02-25,13700,13950,12800,13150,1403508,-2.59
14,2016-02-26,13200,13300,12650,13100,1108779,-0.38
15,2016-02-29,13050,13250,12400,12450,1235125,-4.96
16,2016-03-02,12700,12800,12200,12800,1161415,2.81
17,2016-03-03,12500,12650,12050,12150,1356836,-5.08
18,2016-03-04,12300,12750,12000,12700,1283940,4.53
19,2016-03-07,12900,13400,12750,13200,1852350,3.94
20,2016-03-08,13150,13350,12700,13300,1030205,0.76
21,2016-03-09,13150,13450,13000,13000,580064,-2.26
22,2016-03-10,13050,13350,12650,12700,925625,-2.31
23,2016-03-11,12650,12850,12200,12450,584660,-1.97
24,2016-03-14,12550,12550,11900,11900,546561,-4.42
25,2016-03-15,11900,12300,11800,11950,365867,0.42
26,2016-03-16,11950,12000,11300,11500,682273,-3.77
27,2016-03-17,11600,11800,11500,11650,410698,1.3
28,2016-03-18,11750,11900,11350,11400,445831,-2.15
29,2016-03-21,11600,11650,11050,11150,396698,-2.19
30,2016-03-22,11050,11300,11000,11250,349633,0.9
31,2016-03-23,11250,11300,10400,10750,884933,-4.44
32,2016-03-24,10650,11550,10550,11500,752406,6.98
33,2016-03-25,11500,11650,11100,11150,351043,-3.04
34,2016-03-28,11250,11300,10800,10950,242069,-1.79
35,2016-03-29,10950,11450,10800,11400,281334,4.11
36,2016-03-30,11450,11600,11200,11550,318768,1.32
37,2016-03-31,11600,11650,10900,10950,476817,-5.19
38,2016-04-01,11000,11350,10850,11250,371970,2.74
39,2016-04-04,11600,12000,11500,11850,899279,5.33
40,2016-04-05,12050,12400,11800,11950,778501,0.84
41,2016-04-06,11800,11950,11600,11700,347290,-2.09
42,2016-04-07,11650,11950,11000,11200,582762,-4.27
43,2016-04-08,11150,11400,11000,11250,425872,0.45
44,2016-04-11,11350,11600,11200,11200,399665,-0.44
45,2016-04-12,11250,11800,11250,11650,640107,4.02
46,2016-04-14,11850,12000,11450,11550,360044,-0.86
47,2016-04-15,11600,11650,11150,11250,360413,-2.6
48,2016-04-18,11250,11350,11050,11050,304658,-1.78
49,2016-04-19,11150,11250,10950,11000,309164,-0.45
50,2016-04-20,11000,11300,10950,11050,261083,0.45
51,2016-04-21,11100,11150,10650,10750,419422,-2.71
52,2016-04-22,10700,10700,10400,10450,426765,-2.79
53,2016-04-25,10450,10650,10400,10550,200778,0.96
54,2016-04-26,10650,10950,10550,10800,294943,2.37
55,2016-04-27,11000,11100,10750,10750,323538,-0.46
56,2016-04-28,10800,10950,10350,10400,372596,-3.26
57,2016-04-29,10450,10550,10250,10350,231794,-0.48
58,2016-05-02,10350,10400,9990,10000,350474,-3.38
59,2016-05-03,9940,9990,9040,9200,1640477,-8.0
60,2016-05-04,9250,9250,8520,8640,1228609,-6.09
61,2016-05-09,8700,8810,8510,8550,520546,-1.04
62,2016-05-10,8580,8890,8580,8820,422818,3.16
63,2016-05-11,8840,8890,8710,8740,227524,-0.91
64,2016-05-12,8760,9210,8760,9000,685366,2.97
65,2016-05-13,9060,9130,8920,8950,233177,-0.56
66,2016-05-16,8910,8950,8630,8660,386992,-3.24
67,2016-05-17,8500,8560,8080,8170,486572,-5.66
68,2016-05-18,8100,8100,7610,7680,547050,-6.0
69,2016-05-19,7680,7870,7640,7660,233525,-0.26
70,2016-05-20,7690,8070,7600,7870,412051,2.74
71,2016-05-23,7830,7920,7780,7820,197914,-0.64
72,2016-05-24,7890,8450,7850,8070,651863,3.2
73,2016-05-25,8110,8210,7920,7940,253445,-1.61
74,2016-05-26,7950,7980,7690,7690,232421,-3.15
75,2016-05-27,7700,7850,7640,7700,185616,0.13
76,2016-05-30,7700,7830,7660,7740,116361,0.52
77,2016-05-31,7740,7940,7740,7860,160862,1.55
78,2016-06-01,7930,8080,7920,8010,175664,1.91
79,2016-06-02,8080,8080,7820,7830,201933,-2.25
80,2016-06-03,7820,7900,7690,7690,207616,-1.79
81,2016-06-07,7740,7890,7640,7840,145272,1.95
82,2016-06-08,7870,8040,7740,8000,212968,2.04
83,2016-06-09,8120,8120,7830,7860,205087,-1.75
84,2016-06-10,7850,7900,7760,7830,112838,-0.38
85,2016-06-13,7740,7800,7570,7600,196927,-2.94
86,2016-06-14,7550,7590,7200,7260,355459,-4.47
87,2016-06-15,7200,7300,6990,7000,295730,-3.58
88,2016-06-16,7040,7100,6420,6450,519069,-7.86
89,2016-06-17,6550,7050,6540,6740,481703,4.5
90,2016-06-20,6900,6910,6720,6780,162167,0.59
91,2016-06-21,6780,6840,6600,6610,172877,-2.51
92,2016-06-22,6590,6710,6570,6610,112202,0.0
93,2016-06-23,6580,6580,6310,6330,255748,-4.24
94,2016-06-24,6420,6480,5630,5720,605880,-9.64
95,2016-06-27,5300,5740,5300,5660,339589,-1.05
96,2016-06-28,5650,5870,5600,5810,180106,2.65
97,2016-06-29,5890,6920,5890,6600,2064507,13.6
98,2016-06-30,6610,6640,6240,6330,417092,-4.09
99,2016-07-01,6360,6510,6300,6340,204891,0.16
100,2016-07-04,6410,6430,6240,6340,189859,0.0
101,2016-07-05,6310,6320,6140,6150,201905,-3.0
102,2016-07-06,6140,6200,5980,6140,322283,-0.16
103,2016-07-07,6350,6560,6260,6320,419307,2.93
104,2016-07-08,6280,6780,6280,6700,452461,6.01
105,2016-07-11,6700,7020,6640,6820,518526,1.79
106,2016-07-12,6860,6920,6680,6720,185705,-1.47
107,2016-07-13,6740,6800,6650,6710,132969,-0.15
108,2016-07-14,6660,6700,6500,6510,198899,-2.98
109,2016-07-15,6550,6750,6480,6620,200951,1.69
110,2016-07-18,6680,7100,6620,6940,645661,4.83
111,2016-07-19,6960,7110,6850,6860,264127,-1.15
112,2016-07-20,6890,6920,6680,6780,158667,-1.17
113,2016-07-21,6780,7030,6780,6930,276472,2.21
114,2016-07-22,6960,7010,6840,6850,118950,-1.15
115,2016-07-25,6860,7160,6760,7100,284867,3.65
116,2016-07-26,7210,7420,6970,6970,738686,-1.83
117,2016-07-27,6950,7180,6930,6930,259841,-0.57
118,2016-07-28,6950,6970,6770,6770,183517,-2.31
119,2016-07-29,6810,6900,6720,6750,165657,-0.3
120,2016-08-01,6750,7100,6750,6850,311639,1.48
121,2016-08-02,6840,8900,6790,8450,13952225,23.36
122,2016-08-03,8200,8340,7790,8090,2742393,-4.26
123,2016-08-04,8080,9540,7980,8440,13216353,4.33
124,2016-08-05,8600,9590,8550,8890,6514324,5.33
125,2016-08-08,9300,9460,8680,8740,2163268,-1.69
126,2016-08-09,8740,9070,8210,8310,2441232,-4.92
127,2016-08-10,8170,8590,8170,8260,1342477,-0.6
