,Date,Open,High,Low,Close,Volume,Change
0,2016-09-08,2065,2075,2029,2050,1014265,NaN
1,2016-09-09,2060,2065,2055,2060,125778,0.49
2,2016-09-12,2055,2065,2055,2055,9771,-0.24
3,2016-09-13,2060,2060,2055,2055,7442,0.0
4,2016-09-19,2055,2060,2049,2055,38055,0.0
5,2016-09-20,2055,2060,2050,2060,38206,0.24
6,2016-09-21,2055,2055,2055,2055,1505,-0.24
7,2016-09-22,2055,2055,2049,2055,219,0.0
8,2016-09-23,2050,2055,2050,2050,5308,-0.24
9,2016-09-26,2055,2060,2055,2055,11072,0.24
10,2016-09-27,2049,2055,2049,2055,4271,0.0
11,2016-09-28,2060,2060,2060,2060,1,0.24
12,2016-09-29,2044,2060,2044,2055,376,-0.24
13,2016-09-30,2055,2060,2044,2055,6943,0.0
14,2016-10-04,2055,2055,2049,2055,745,0.0
15,2016-10-05,2055,2055,2044,2055,3748,0.0
16,2016-10-06,2055,2060,2049,2055,2819,0.0
17,2016-10-07,2055,2055,2050,2050,1067,-0.24
18,2016-10-10,0,0,0,2050,0,0.0
19,2016-10-11,0,0,0,2050,0,0.0
20,2016-10-12,0,0,0,2050,0,0.0
21,2016-10-13,0,0,0,2050,0,0.0
22,2016-10-14,0,0,0,2050,0,0.0
23,2016-10-17,0,0,0,2050,0,0.0
24,2016-10-18,0,0,0,2050,0,0.0
25,2016-10-19,0,0,0,2050,0,0.0
26,2016-10-20,0,0,0,2050,0,0.0
27,2016-10-21,0,0,0,2050,0,0.0
28,2016-10-24,0,0,0,2050,0,0.0
29,2016-10-25,0,0,0,2050,0,0.0
30,2016-10-26,0,0,0,2050,0,0.0
31,2016-10-27,0,0,0,2050,0,0.0
32,2016-10-28,0,0,0,2050,0,0.0
33,2016-10-31,0,0,0,2050,0,0.0
34,2016-11-01,0,0,0,2050,0,0.0
35,2016-11-02,0,0,0,2050,0,0.0
36,2016-11-03,0,0,0,2050,0,0.0
37,2016-11-04,0,0,0,2050,0,0.0
38,2016-11-07,0,0,0,2050,0,0.0
39,2016-11-08,0,0,0,2050,0,0.0
40,2016-11-09,0,0,0,2050,0,0.0
41,2016-11-10,0,0,0,2050,0,0.0
42,2016-11-11,0,0,0,2050,0,0.0
43,2016-11-14,0,0,0,2050,0,0.0
44,2016-11-15,0,0,0,2050,0,0.0
45,2016-11-16,0,0,0,2050,0,0.0
46,2016-11-17,0,0,0,2050,0,0.0
47,2016-11-18,0,0,0,2050,0,0.0
48,2016-11-21,0,0,0,2050,0,0.0
49,2016-11-22,0,0,0,2050,0,0.0
50,2016-11-23,0,0,0,2050,0,0.0
51,2016-11-24,0,0,0,2050,0,0.0
52,2016-11-25,0,0,0,2050,0,0.0
53,2016-11-28,0,0,0,2050,0,0.0
54,2016-11-29,0,0,0,2050,0,0.0
55,2016-11-30,0,0,0,2050,0,0.0
56,2016-12-01,0,0,0,2050,0,0.0
57,2016-12-02,0,0,0,2050,0,0.0
58,2016-12-05,0,0,0,2050,0,0.0
59,2016-12-06,0,0,0,2050,0,0.0
60,2016-12-07,0,0,0,2050,0,0.0
61,2016-12-08,0,0,0,2050,0,0.0
62,2016-12-09,0,0,0,2050,0,0.0
63,2016-12-12,0,0,0,2050,0,0.0
64,2016-12-13,0,0,0,2050,0,0.0
65,2016-12-14,0,0,0,2050,0,0.0
66,2016-12-15,2050,2050,2010,2020,303218,-1.46
67,2016-12-16,1990,2020,1990,2010,79680,-0.5
68,2016-12-19,2000,2015,1995,2005,50081,-0.25
69,2016-12-20,2000,2010,1995,2005,68961,0.0
70,2016-12-21,2000,2000,1995,1995,106451,-0.5
71,2016-12-22,1995,2000,1990,1990,18214,-0.25
72,2016-12-23,1985,2000,1985,2000,31259,0.5
73,2016-12-26,2005,2005,1995,2005,88275,0.25
74,2016-12-27,2000,2010,2000,2000,56199,-0.25
75,2016-12-28,2000,2000,1990,1990,517,-0.5
76,2016-12-29,1995,2000,1990,2000,24767,0.5
77,2017-01-02,1990,2080,1990,1990,6765,-0.5
78,2017-01-03,1990,2010,1990,2000,13407,0.5
79,2017-01-04,2005,2010,2000,2005,905,0.25
80,2017-01-05,2005,2005,1990,2005,13584,0.0
81,2017-01-06,2005,2005,1995,2005,2848,0.0
82,2017-01-09,1995,2000,1995,2000,4504,-0.25
83,2017-01-10,1995,2000,1995,1995,24536,-0.25
84,2017-01-11,1995,2000,1995,2000,6210,0.25
85,2017-01-12,1995,2000,1995,2000,7059,0.0
86,2017-01-13,2000,2000,1995,1995,2274,-0.25
87,2017-01-16,1995,2000,1995,2000,8632,0.25
88,2017-01-17,1995,1995,1990,1995,3420,-0.25
89,2017-01-18,1990,2000,1990,1995,3478,0.0
90,2017-01-19,1990,2025,1990,2010,226283,0.75
91,2017-01-20,2020,2080,1990,2035,444354,1.24
92,2017-01-23,2035,2045,1990,2015,211858,-0.98
93,2017-01-24,2000,2005,1990,2005,47429,-0.5
94,2017-01-25,1990,2005,1945,2005,88173,0.0
95,2017-01-26,2005,2005,1900,1935,193053,-3.49
96,2017-01-31,1910,1995,1910,1975,127135,2.07
97,2017-02-01,1955,2005,1955,1980,22623,0.25
98,2017-02-02,1985,2000,1955,1980,17781,0.0
99,2017-02-03,1965,1980,1900,1955,57132,-1.26
100,2017-02-06,1910,1980,1910,1965,27571,0.51
101,2017-02-07,1925,1980,1925,1940,47186,-1.27
102,2017-02-08,1930,1950,1920,1950,19357,0.52
103,2017-02-09,1950,1975,1940,1975,38940,1.28
104,2017-02-10,1980,1980,1950,1960,24146,-0.76
105,2017-02-13,1960,1995,1950,1990,9762,1.53
106,2017-02-14,1955,1995,1955,1975,34344,-0.75
107,2017-02-15,1950,1990,1930,1940,53197,-1.77
108,2017-02-16,1930,1975,1930,1935,23866,-0.26
109,2017-02-17,1935,1950,1935,1945,6551,0.52
110,2017-02-20,1940,1965,1940,1955,10239,0.51
111,2017-02-21,1945,1975,1940,1955,6260,0.0
112,2017-02-22,1970,1970,1895,1920,77037,-1.79
113,2017-02-23,1920,1950,1915,1940,10032,1.04
114,2017-02-24,1925,1955,1905,1925,71370,-0.77
115,2017-02-27,1915,1935,1900,1915,54072,-0.52
116,2017-02-28,1915,2000,1915,1965,69336,2.61
117,2017-03-02,1940,1970,1910,1925,95407,-2.04
118,2017-03-03,1925,1935,1905,1930,53792,0.26
119,2017-03-06,1930,1940,1925,1935,15085,0.26
120,2017-03-07,1925,1940,1920,1940,8371,0.26
121,2017-03-08,1930,1955,1925,1945,3486,0.26
122,2017-03-09,1985,1985,1925,1960,5422,0.77
123,2017-03-10,1975,1985,1970,1985,13186,1.28
124,2017-03-13,1970,1985,1935,1945,12121,-2.02
125,2017-03-14,1985,1985,1930,1930,20914,-0.77
126,2017-03-15,1935,1965,1935,1955,4972,1.3
127,2017-03-16,1940,1975,1940,1975,16723,1.02
128,2017-03-17,1985,2215,1940,2005,969066,1.52
129,2017-03-20,2040,2100,1950,2025,339504,1.0
130,2017-03-21,2060,2630,1895,2120,13935059,4.69
131,2017-03-22,2130,2755,2015,2720,28954936,28.3
132,2017-03-23,2585,2715,2465,2510,6394010,-7.72
133,2017-03-24,2490,2500,2245,2260,3898230,-9.96
134,2017-03-27,2235,2745,2215,2485,14846489,9.96
135,2017-03-28,2450,3230,2340,3230,14281980,29.98
136,2017-03-29,3380,3460,3045,3050,15443755,-5.57
137,2017-03-30,3125,3675,3020,3235,19541568,6.07
138,2017-03-31,3145,3315,3145,3315,1278746,2.47
139,2017-04-03,3250,3385,3250,3320,879346,0.15
140,2017-04-04,3350,3555,3350,3400,1490622,2.41
141,2017-04-05,3400,3455,3120,3270,2013092,-3.82
142,2017-04-06,3240,3270,2950,3060,1905596,-6.42
143,2017-04-07,3080,3605,2960,3255,6042934,6.37
144,2017-04-10,3115,3560,3000,3215,4908850,-1.23
145,2017-04-11,3250,3260,3030,3175,1562655,-1.24
146,2017-04-12,3130,3225,3030,3055,1318031,-3.78
147,2017-04-13,3085,3390,3035,3100,4266452,1.47
148,2017-04-14,3050,3105,2960,3030,1158365,-2.26
149,2017-04-17,3090,3145,3000,3040,920628,0.33
150,2017-04-18,3055,3555,3055,3225,14996059,6.09
151,2017-04-19,3300,3410,3100,3120,2991141,-3.26
152,2017-04-20,3110,3650,2995,3130,9465558,0.32
153,2017-04-21,3155,3320,3045,3090,3139686,-1.28
154,2017-04-24,3130,3440,3085,3120,4537202,0.97
155,2017-04-25,3180,3325,3135,3255,3131883,4.33
156,2017-04-26,3360,3560,3260,3320,6835036,2.0
157,2017-04-27,3310,3390,3060,3110,2746651,-6.33
158,2017-04-28,3150,3165,3010,3015,1217114,-3.05
159,2017-05-02,3035,3090,2985,3060,688196,1.49
160,2017-05-04,3025,3090,3010,3025,382894,-1.14
161,2017-05-08,3030,3055,2820,2870,859386,-5.12
162,2017-05-10,2880,2905,2760,2775,741747,-3.31
163,2017-05-11,2810,2810,2670,2755,814196,-0.72
164,2017-05-12,2790,2860,2705,2750,1164568,-0.18
165,2017-05-15,2975,2975,2750,2790,2114704,1.45
166,2017-05-16,2780,2790,2630,2665,850679,-4.48
167,2017-05-17,2890,3205,2750,2820,15330467,5.82
168,2017-05-18,2910,3060,2810,2890,3560625,2.48
169,2017-05-19,2845,2900,2785,2805,1496572,-2.94
170,2017-05-22,2905,2945,2830,2865,1558481,2.14
171,2017-05-23,2835,3120,2820,2950,4501829,2.97
172,2017-05-24,2915,2955,2815,2865,922588,-2.88
173,2017-05-25,2860,2865,2750,2765,721924,-3.49
174,2017-05-26,2745,2815,2705,2765,472364,0.0
175,2017-05-29,2845,2975,2810,2850,3179479,3.07
176,2017-05-30,2825,2850,2735,2795,956866,-1.93
177,2017-05-31,2805,2815,2735,2745,433234,-1.79
178,2017-06-01,2715,2730,2615,2625,739615,-4.37
179,2017-06-02,2650,2665,2580,2645,691472,0.76
180,2017-06-05,2610,2630,2525,2540,658491,-3.97
181,2017-06-07,2570,2595,2500,2505,551564,-1.38
182,2017-06-08,2505,2510,2440,2480,589904,-1.0
183,2017-06-09,2475,2505,2450,2480,475118,0.0
184,2017-06-12,2530,2530,2420,2510,503146,1.21
185,2017-06-13,2510,2525,2455,2465,453889,-1.79
186,2017-06-14,2470,2790,2425,2550,3526879,3.45
187,2017-06-15,2580,2630,2510,2550,1067798,0.0
188,2017-06-16,2530,2530,2445,2445,487987,-4.12
189,2017-06-19,2480,2640,2450,2480,1476890,1.43
190,2017-06-20,2505,2640,2470,2470,1200661,-0.4
191,2017-06-21,2500,2500,2360,2380,653809,-3.64
192,2017-06-22,2380,2405,2285,2285,431239,-3.99
193,2017-06-23,2270,2320,2270,2305,187341,0.88
194,2017-06-26,2305,2310,2210,2230,458453,-3.25
195,2017-06-27,2230,2265,2225,2240,190532,0.45
196,2017-06-28,2240,2365,2230,2275,623270,1.56
197,2017-06-29,2295,2345,2215,2260,778424,-0.66
198,2017-06-30,2255,2435,2205,2260,667082,0.0
199,2017-07-03,2270,2270,2190,2200,228522,-2.65
200,2017-07-04,2185,2205,2125,2125,224907,-3.41
201,2017-07-05,2120,2195,2120,2175,187906,2.35
202,2017-07-06,2180,2195,2145,2170,98840,-0.23
203,2017-07-07,2150,2235,2150,2180,106934,0.46
204,2017-07-10,2180,2210,2115,2125,152907,-2.52
205,2017-07-11,2140,2170,2115,2135,128550,0.47
206,2017-07-12,2175,2775,2170,2320,16911217,8.67
207,2017-07-13,2305,2460,2285,2335,3225828,0.65
208,2017-07-14,2370,2550,2295,2325,2966765,-0.43
209,2017-07-17,2325,2355,2300,2330,835041,0.22
210,2017-07-18,2515,2810,2400,2425,12050613,4.08
211,2017-07-19,2425,2550,2400,2505,1637617,3.3
212,2017-07-20,2505,2530,2450,2505,895774,0.0
213,2017-07-21,2465,2535,2460,2505,879976,0.0
214,2017-07-24,2510,2525,2380,2385,667054,-4.79
215,2017-07-25,2370,2405,2340,2350,424433,-1.47
216,2017-07-26,2340,2345,2205,2245,615478,-4.47
217,2017-07-27,2215,2240,2130,2145,637059,-4.45
218,2017-07-28,2165,2475,2160,2215,5322061,3.26
219,2017-07-31,2190,2225,2130,2135,745467,-3.61
220,2017-08-01,2125,2180,2125,2140,421937,0.23
221,2017-08-02,2155,2435,2130,2255,2631182,5.37
222,2017-08-03,2275,2290,2215,2225,371479,-1.33
223,2017-08-04,2265,2425,2220,2335,2028536,4.94
224,2017-08-07,2530,2595,2350,2350,2462461,0.64
225,2017-08-08,2395,2450,2325,2385,804804,1.49
226,2017-08-09,2340,2360,2255,2260,611022,-5.24
227,2017-08-10,2210,2300,2205,2235,397278,-1.11
228,2017-08-11,2195,2215,2145,2180,359008,-2.46
229,2017-08-14,2185,2285,2185,2250,398378,3.21
230,2017-08-16,2250,2275,2195,2215,362760,-1.56
231,2017-08-17,2215,2235,2150,2190,446185,-1.13
232,2017-08-18,2170,2210,2150,2205,243968,0.68
233,2017-08-21,2220,2350,2190,2255,807483,2.27
234,2017-08-22,2265,2265,2210,2215,240428,-1.77
235,2017-08-23,2220,2300,2205,2290,635129,3.39
236,2017-08-24,2280,2370,2265,2285,946519,-0.22
237,2017-08-25,2320,2360,2275,2350,775576,2.84
238,2017-08-28,2365,2365,2310,2350,308019,0.0
239,2017-08-29,2325,2360,2300,2300,405891,-2.13
240,2017-08-30,2305,2340,2270,2290,244372,-0.43
241,2017-08-31,2315,2320,2280,2290,192362,0.0
242,2017-09-01,2320,2350,2285,2325,324693,1.53
243,2017-09-04,2250,2295,2195,2195,421921,-5.59
244,2017-09-05,2220,2220,2160,2165,215610,-1.37
245,2017-09-06,2160,2210,2160,2195,113766,1.39
246,2017-09-07,2205,2225,2185,2195,105097,0.0
247,2017-09-08,2195,2220,2155,2155,142531,-1.82
248,2017-09-11,2160,2220,2150,2180,147448,1.16
249,2017-09-12,2190,2400,2190,2250,1546478,3.21
250,2017-09-13,2255,2270,2210,2215,245997,-1.56
251,2017-09-14,2250,2250,2210,2245,191381,1.35
252,2017-09-15,2220,2265,2190,2230,214911,-0.67
253,2017-09-18,2250,2330,2220,2315,537530,3.81
254,2017-09-19,2365,2365,2240,2240,336053,-3.24
255,2017-09-20,2235,2265,2165,2165,277012,-3.35
256,2017-09-21,2175,2220,2140,2140,203628,-1.15
257,2017-09-22,2100,2100,1950,1995,500620,-6.78
258,2017-09-25,1995,1995,1840,1850,368415,-7.27
259,2017-09-26,1870,2180,1850,1910,1958356,3.24
260,2017-09-27,1875,1930,1875,1905,254012,-0.26
261,2017-09-28,1905,1940,1880,1890,131623,-0.79
262,2017-09-29,1895,1915,1870,1905,122836,0.79
263,2017-10-10,1905,1910,1880,1900,89122,-0.26
264,2017-10-11,1915,1925,1895,1900,114070,0.0
265,2017-10-12,1920,2190,1910,2005,5031509,5.53
266,2017-10-13,2005,2080,1950,1980,863538,-1.25
267,2017-10-16,1980,2170,1975,2065,1615284,4.29
268,2017-10-17,2045,2120,2030,2065,419329,0.0
269,2017-10-18,2080,2085,1980,1990,282672,-3.63
270,2017-10-19,2020,2080,1975,2070,375328,4.02
271,2017-10-20,2110,2145,2020,2025,371689,-2.17
272,2017-10-23,2045,2055,2000,2020,185147,-0.25
273,2017-10-24,2020,2045,2000,2015,168957,-0.25
274,2017-10-25,2040,2130,2005,2070,850475,2.73
275,2017-10-26,2105,2110,1965,1970,334010,-4.83
276,2017-10-27,1990,2040,1910,2025,519501,2.79
277,2017-10-30,1990,1990,1920,1955,315345,-3.46
278,2017-10-31,1965,1990,1940,1940,171508,-0.77
279,2017-11-01,1960,1975,1915,1935,144834,-0.26
280,2017-11-02,1930,1955,1925,1930,113638,-0.26
281,2017-11-03,1935,1950,1920,1920,115716,-0.52
282,2017-11-06,1915,1945,1910,1915,169925,-0.26
283,2017-11-07,1910,1930,1895,1900,137548,-0.78
284,2017-11-08,1900,2015,1900,1940,553266,2.11
285,2017-11-09,1940,1965,1920,1935,189668,-0.26
286,2017-11-10,1960,1960,1930,1950,142923,0.78
287,2017-11-13,1950,1970,1915,1940,230226,-0.51
288,2017-11-14,1925,1935,1895,1905,222495,-1.8
289,2017-11-15,1895,1910,1870,1890,280949,-0.79
290,2017-11-16,1910,1910,1860,1885,176443,-0.26
291,2017-11-17,1885,1910,1870,1895,126521,0.53
292,2017-11-20,1925,1935,1900,1905,151793,0.53
293,2017-11-21,1905,1980,1905,1930,314978,1.31
294,2017-11-22,1935,1955,1860,1860,292576,-3.63
295,2017-11-23,1880,1920,1855,1900,140643,2.15
296,2017-11-24,1925,1925,1885,1905,98075,0.26
297,2017-11-27,1905,2230,1905,1970,4596012,3.41
298,2017-11-28,2025,2055,1955,1955,1578138,-0.76
299,2017-11-29,1955,1980,1895,1895,562945,-3.07
300,2017-11-30,1900,1925,1860,1870,281821,-1.32
301,2017-12-01,1900,1900,1840,1850,303061,-1.07
302,2017-12-04,1885,1885,1825,1850,271922,0.0
303,2017-12-05,1855,1880,1835,1870,329871,1.08
304,2017-12-06,1870,1895,1840,1840,326984,-1.6
305,2017-12-07,1840,1860,1730,1790,755361,-2.72
306,2017-12-08,1795,1795,1720,1730,393532,-3.35
307,2017-12-11,1720,1760,1720,1725,121828,-0.29
308,2017-12-12,1725,1760,1720,1745,164730,1.16
309,2017-12-13,1750,1750,1715,1735,178895,-0.57
310,2017-12-14,1735,1735,1685,1695,268686,-2.31
311,2017-12-15,1695,1700,1595,1650,362621,-2.65
312,2017-12-18,1620,1775,1600,1660,472554,0.61
313,2017-12-19,1685,1725,1645,1660,267052,0.0
314,2017-12-20,1645,1690,1580,1585,318605,-4.52
315,2017-12-21,1590,1605,1525,1550,234268,-2.21
316,2017-12-22,1585,1615,1530,1560,87896,0.65
317,2017-12-26,1570,1600,1540,1560,101442,0.0
318,2017-12-27,1570,1805,1570,1610,2510171,3.21
319,2017-12-28,1610,1780,1600,1720,1100096,6.83
320,2018-01-02,1720,1745,1685,1720,349030,0.0
321,2018-01-03,1740,1745,1705,1715,165494,-0.29
322,2018-01-04,1715,1760,1690,1700,315553,-0.87
323,2018-01-05,1745,1780,1710,1730,262887,1.76
324,2018-01-08,1730,1765,1715,1740,180223,0.58
325,2018-01-09,1740,1775,1710,1755,206943,0.86
326,2018-01-10,1760,1785,1705,1705,195840,-2.85
327,2018-01-11,1705,1740,1665,1720,142344,0.88
328,2018-01-12,1750,1750,1625,1670,432342,-2.91
329,2018-01-15,1675,1680,1635,1650,104889,-1.2
330,2018-01-16,1695,1695,1640,1680,95325,1.82
331,2018-01-17,1680,1810,1655,1710,764915,1.79
332,2018-01-18,1720,1765,1700,1715,383405,0.29
333,2018-01-19,1725,1780,1715,1730,259061,0.87
334,2018-01-22,1720,1770,1715,1745,74361,0.87
335,2018-01-23,1735,1760,1710,1715,166531,-1.72
336,2018-01-24,1740,1810,1710,1810,383403,5.54
337,2018-01-25,1815,1865,1805,1860,458861,2.76
338,2018-01-26,1865,1900,1810,1865,371576,0.27
339,2018-01-29,1895,1910,1825,1875,363860,0.54
340,2018-01-30,1875,1890,1855,1875,153841,0.0
341,2018-01-31,1865,1875,1805,1860,168558,-0.8
342,2018-02-01,1845,1895,1830,1885,215533,1.34
343,2018-02-02,1890,1895,1850,1885,207119,0.0
344,2018-02-05,1885,1885,1800,1815,135983,-3.71
345,2018-02-06,1730,1810,1720,1775,172037,-2.2
346,2018-02-07,1840,1840,1720,1720,198696,-3.1
347,2018-02-08,1735,1765,1710,1765,140940,2.62
348,2018-02-09,1730,1760,1675,1705,202122,-3.4
349,2018-02-12,1710,1765,1700,1715,97888,0.59
350,2018-02-13,1750,1750,1690,1705,91403,-0.58
351,2018-02-14,1740,1740,1665,1725,65603,1.17
352,2018-02-19,1740,1740,1690,1710,98429,-0.87
353,2018-02-20,1725,1745,1675,1710,196748,0.0
354,2018-02-21,1730,1830,1710,1830,407031,7.02
355,2018-02-22,1805,1850,1760,1805,219675,-1.37
356,2018-02-23,1805,1835,1790,1790,146391,-0.83
357,2018-02-26,1780,1800,1720,1720,200862,-3.91
358,2018-02-27,1725,1760,1700,1700,223480,-1.16
359,2018-02-28,1705,1725,1660,1700,133973,0.0
360,2018-03-02,1675,1700,1645,1685,166074,-0.88
361,2018-03-05,1695,1715,1660,1685,74657,0.0
362,2018-03-06,1700,1700,1645,1680,126234,-0.3
363,2018-03-07,1680,1750,1620,1695,392149,0.89
364,2018-03-08,1715,1730,1670,1700,95228,0.29
