,Date,Open,High,Low,Close,Volume,Change
0,2023-01-27,12000,15600,12000,15600,7997263,NaN
1,2023-01-30,17900,20200,17650,19470,15074633,24.81
2,2023-01-31,18680,19590,17620,18310,3934004,-5.96
3,2023-02-01,18210,18230,16780,17500,2583128,-4.42
4,2023-02-02,17870,21750,17600,20250,13421825,15.71
5,2023-02-03,20250,22400,19550,20350,6348695,0.49
6,2023-02-06,21200,22550,20200,20550,2907404,0.98
7,2023-02-07,20950,21550,20200,21550,2517431,4.87
8,2023-02-08,23250,23450,21250,21600,3068456,0.23
9,2023-02-09,21100,21450,20300,21100,829215,-2.31
10,2023-02-10,20800,20850,19810,19840,816964,-5.97
11,2023-02-13,19830,19840,18790,19300,734172,-2.72
12,2023-02-14,19830,22850,19590,20100,7370152,4.15
13,2023-02-15,20150,21000,19640,19700,1175185,-1.99
14,2023-02-16,20150,20550,19000,19410,819483,-1.47
15,2023-02-17,19020,19020,18670,18690,483118,-3.71
16,2023-02-20,18410,19110,17870,18760,539001,0.37
17,2023-02-21,18700,19770,18510,18730,760383,-0.16
18,2023-02-22,18190,18490,17950,18200,257114,-2.83
19,2023-02-23,18200,18360,17900,18000,257709,-1.1
20,2023-02-24,18510,18970,18000,18010,630090,0.06
21,2023-02-27,17400,17800,17060,17290,521972,-4.0
22,2023-02-28,17660,19250,17600,17990,1250030,4.05
23,2023-03-02,17990,18070,17420,17760,227797,-1.28
24,2023-03-03,17760,18060,17460,17550,267896,-1.18
25,2023-03-06,17550,18220,17550,17620,353175,0.4
26,2023-03-07,17630,17780,17250,17290,184314,-1.87
27,2023-03-08,17210,17290,16550,16600,205558,-3.99
28,2023-03-09,17030,17300,16490,16560,142381,-0.24
29,2023-03-10,16300,16300,15720,15790,163396,-4.65
30,2023-03-13,15250,15470,14500,15050,221631,-4.69
31,2023-03-14,15090,18140,15090,15800,3338880,4.98
32,2023-03-15,17010,18480,16530,16840,2086481,6.58
33,2023-03-16,16840,18090,16840,17100,1392825,1.54
34,2023-03-17,18370,18400,17300,17300,800464,1.17
35,2023-03-20,17500,17560,17000,17200,264411,-0.58
36,2023-03-21,17340,17700,16710,16720,328214,-2.79
37,2023-03-22,16990,17150,16690,17060,266025,2.03
38,2023-03-23,16880,16890,16550,16560,225757,-2.93
39,2023-03-24,17000,19460,16750,18850,5257390,13.83
40,2023-03-27,19420,21600,19340,19940,4024097,5.78
41,2023-03-28,19920,23000,19470,23000,4794803,15.35
42,2023-03-29,26500,27900,24200,25250,5631006,9.78
43,2023-03-30,25650,32500,25150,30550,9241409,20.99
44,2023-03-31,31200,32950,28600,30500,2417850,-0.16
45,2023-04-03,29850,31900,28100,30700,2099262,0.66
46,2023-04-04,29850,30600,28200,28850,819954,-6.03
47,2023-04-05,28200,31350,27950,30350,2055894,5.2
48,2023-04-06,31550,32500,29600,30000,2312725,-1.15
49,2023-04-07,30550,37900,30200,35000,8612106,16.67
50,2023-04-10,34000,34000,32150,33150,974724,-5.29
51,2023-04-11,34150,35700,32100,32400,1451998,-2.26
52,2023-04-12,31800,31850,28650,29950,717148,-7.56
53,2023-04-13,28700,29050,26800,29000,466102,-3.17
54,2023-04-14,29250,29300,27750,28400,435748,-2.07
55,2023-04-17,28450,29800,27550,29800,407459,4.93
56,2023-04-18,29500,29500,28400,28850,290049,-3.19
57,2023-04-19,29000,29650,27900,28050,249957,-2.77
58,2023-04-20,27400,27500,25650,26000,307395,-7.31
59,2023-04-21,25500,27000,25000,27000,277798,3.85
60,2023-04-24,26650,26700,23800,24550,358774,-9.07
61,2023-04-25,24250,24700,23000,23900,265001,-2.65
62,2023-04-26,24100,25400,23500,24800,521555,3.77
63,2023-04-27,24950,25050,21600,22000,673103,-11.29
64,2023-04-28,22150,22200,20450,21000,535250,-4.55
65,2023-05-02,21050,21200,20500,20900,317358,-0.48
