,Date,Open,High,Low,Close,Volume,Change
0,2019-10-25,15700,17800,14450,14900,10651604,NaN
1,2019-10-28,15150,15750,14100,14300,1216898,-4.03
2,2019-10-29,14600,14600,13200,13400,682436,-6.29
3,2019-10-30,13450,13650,12400,12900,685459,-3.73
4,2019-10-31,12900,13700,12700,13350,529976,3.49
5,2019-11-01,13250,13450,12200,12300,402588,-7.87
6,2019-11-04,12450,12550,11950,12350,339348,0.41
7,2019-11-05,12150,12250,11600,11650,289454,-5.67
8,2019-11-06,11950,12200,11650,12000,248214,3.0
9,2019-11-07,11800,11900,11450,11700,177141,-2.5
10,2019-11-08,11850,12600,11750,12000,447576,2.56
11,2019-11-11,12100,13050,12050,12450,394880,3.75
12,2019-11-12,12550,12800,12000,12100,163967,-2.81
13,2019-11-13,12200,12250,11850,11850,76904,-2.07
14,2019-11-14,11850,12150,11700,11750,74620,-0.84
15,2019-11-15,11750,12150,11550,11900,74906,1.28
16,2019-11-18,11700,11850,11100,11200,162133,-5.88
17,2019-11-19,11200,11250,10600,10900,109157,-2.68
18,2019-11-20,10800,10850,9970,9980,155183,-8.44
19,2019-11-21,10000,10000,9100,9280,192480,-7.01
20,2019-11-22,9290,9370,9050,9200,68724,-0.86
21,2019-11-25,9280,9600,9260,9470,80955,2.93
22,2019-11-26,9470,9990,9420,9780,135551,3.27
23,2019-11-27,9810,9870,9460,9460,64818,-3.27
24,2019-11-28,9480,9570,9270,9270,44706,-2.01
25,2019-11-29,9290,9350,8600,9130,89556,-1.51
26,2019-12-02,9120,9310,8940,9150,26505,0.22
27,2019-12-03,9000,9200,8900,8960,23016,-2.08
28,2019-12-04,8860,9090,8840,8840,17277,-1.34
29,2019-12-05,8850,9000,7960,8120,247030,-8.14
30,2019-12-06,8390,8450,8130,8450,141083,4.06
31,2019-12-09,8450,8760,8290,8690,60508,2.84
32,2019-12-10,8760,8760,8410,8560,27449,-1.5
33,2019-12-11,8510,8640,8470,8510,34898,-0.58
34,2019-12-12,8420,9170,8420,8820,110064,3.64
35,2019-12-13,9000,9560,8820,9430,232062,6.92
36,2019-12-16,9470,10850,9470,10200,500369,8.17
37,2019-12-17,10250,12300,9880,11550,1097607,13.24
38,2019-12-18,11400,11450,10750,10800,257903,-6.49
39,2019-12-19,10800,11600,10600,11200,374301,3.7
40,2019-12-20,11300,12050,11300,11550,321916,3.12
41,2019-12-23,11700,12050,11100,11450,157623,-0.87
42,2019-12-24,11300,12400,10950,11800,303276,3.06
43,2019-12-26,11850,12150,11700,11800,121756,0.0
44,2019-12-27,12050,12050,11300,11550,183033,-2.12
45,2019-12-30,11650,11850,11550,11800,85384,2.16
46,2020-01-02,11700,11900,11400,11600,129843,-1.69
47,2020-01-03,11650,11700,11200,11450,77391,-1.29
48,2020-01-06,11150,11500,10850,11300,73281,-1.31
49,2020-01-07,11350,11750,11050,11150,92560,-1.33
50,2020-01-08,11000,11100,10250,10400,112197,-6.73
51,2020-01-09,10850,10950,10600,10800,80313,3.85
52,2020-01-10,10950,10950,10550,10800,29938,0.0
53,2020-01-13,10800,10800,10350,10450,76288,-3.24
54,2020-01-14,10550,10750,10300,10450,39871,0.0
55,2020-01-15,10500,10750,10300,10550,30000,0.96
56,2020-01-16,10600,10650,10350,10450,60355,-0.95
57,2020-01-17,10400,10750,10400,10550,31074,0.96
58,2020-01-20,10550,11350,10500,11350,141242,7.58
59,2020-01-21,11400,11400,10800,11200,71958,-1.32
60,2020-01-22,11200,11200,10900,11050,45330,-1.34
61,2020-01-23,11100,11350,10750,10900,38305,-1.36
62,2020-01-28,10150,10250,9780,9970,128956,-8.53
63,2020-01-29,9970,10150,9700,9720,46764,-2.51
64,2020-01-30,9600,9730,9000,9200,57829,-5.35
65,2020-01-31,9070,9170,8550,8730,74830,-5.11
66,2020-02-03,8590,8710,8290,8460,104367,-3.09
67,2020-02-04,8680,8790,8490,8600,92483,1.65
