,Date,Open,High,Low,Close,Volume,Change
0,2018-01-11,49800,49800,39500,40200,109013,NaN
1,2018-01-12,40200,40800,35300,37900,79579,-5.72
2,2018-01-15,38700,40200,36200,36600,47466,-3.43
3,2018-01-16,36600,37500,35400,35500,29257,-3.01
4,2018-01-17,35600,36100,33700,33900,55657,-4.51
5,2018-01-18,34000,34200,32600,32800,43571,-3.24
6,2018-01-19,32800,36000,32400,35000,88014,6.71
7,2018-01-22,35100,38600,35100,36900,102422,5.43
8,2018-01-23,37500,39300,35300,37900,47273,2.71
9,2018-01-24,38000,39600,37500,38500,21604,1.58
10,2018-01-25,38700,39500,37600,38300,24323,-0.52
11,2018-01-26,38100,38800,37100,38600,20492,0.78
12,2018-01-29,38700,40000,37800,39900,27478,3.37
13,2018-01-30,39900,39900,38500,39000,29889,-2.26
14,2018-01-31,38600,39400,37900,38500,19297,-1.28
15,2018-02-01,38500,38800,38200,38600,9631,0.26
16,2018-02-02,38500,38600,37000,37900,18835,-1.81
17,2018-02-05,36700,37700,36500,36600,12870,-3.43
18,2018-02-06,35500,36700,34600,36700,20150,0.27
19,2018-02-07,37000,37500,35900,36900,17974,0.54
20,2018-02-08,36900,37300,36100,36600,10468,-0.81
21,2018-02-09,35600,39000,35600,38000,13235,3.83
22,2018-02-12,39000,41600,37900,41100,30744,8.16
23,2018-02-13,41100,42700,38700,39000,32577,-5.11
24,2018-02-14,38600,38900,36400,37200,25856,-4.62
25,2018-02-19,37200,37900,36800,37400,9235,0.54
26,2018-02-20,37400,37800,36800,36800,5492,-1.6
27,2018-02-21,36700,37100,36400,37000,10521,0.54
28,2018-02-22,37100,37200,36300,36900,2936,-0.27
29,2018-02-23,36800,37500,36400,37000,6638,0.27
30,2018-02-26,37000,37400,36500,36700,3538,-0.81
31,2018-02-27,36600,36800,35900,36200,6936,-1.36
32,2018-02-28,35900,36000,35200,35600,3885,-1.66
33,2018-03-02,35500,40000,34600,38300,16208,7.58
34,2018-03-05,38400,38600,36800,37700,5153,-1.57
35,2018-03-06,37400,38100,37000,37600,5461,-0.27
36,2018-03-07,37500,38100,37200,37400,11849,-0.53
37,2018-03-08,38100,38100,36400,36400,10963,-2.67
38,2018-03-09,36500,36600,35400,36400,31918,0.0
39,2018-03-12,36400,36500,35800,36300,18224,-0.27
40,2018-03-13,36300,36400,35400,35800,12546,-1.38
41,2018-03-14,35700,35800,35200,35300,7450,-1.4
42,2018-03-15,35300,36400,35300,36300,12968,2.83
43,2018-03-16,36300,36500,35800,35800,13027,-1.38
44,2018-03-19,35800,36200,35600,35700,4446,-0.28
45,2018-03-20,35400,36100,35100,35700,17551,0.0
46,2018-03-21,36000,37000,35600,36900,15205,3.36
47,2018-03-22,36600,36800,35400,35400,9441,-4.07
48,2018-03-23,35200,35200,34000,34300,14865,-3.11
49,2018-03-26,34000,34900,34000,34600,5348,0.87
50,2018-03-27,35300,35400,34400,34600,7575,0.0
51,2018-03-28,34700,34800,34200,34800,3894,0.58
52,2018-03-29,35300,35300,34400,34500,4596,-0.86
53,2018-03-30,34500,35000,33900,34600,6355,0.29
54,2018-04-02,35300,37900,34800,37600,22795,8.67
55,2018-04-03,37200,37900,36200,36800,5967,-2.13
56,2018-04-04,36800,36800,35600,36200,7599,-1.63
57,2018-04-05,36100,40000,36100,39500,25930,9.12
58,2018-04-06,39200,39600,38700,39000,9140,-1.27
59,2018-04-09,38500,40100,38300,39400,7738,1.03
60,2018-04-10,39400,42200,38300,42000,12799,6.6
61,2018-04-11,42000,42200,41100,41300,8244,-1.67
62,2018-04-12,41200,41600,38800,39200,14329,-5.08
63,2018-04-13,39200,40800,39200,40700,8327,3.83
64,2018-04-16,40700,41400,38700,41000,8381,0.74
65,2018-04-17,41300,42000,40400,41300,10971,0.73
66,2018-04-18,41300,42400,41300,42200,9594,2.18
67,2018-04-19,42400,43000,40600,42300,10186,0.24
68,2018-04-20,42300,43000,40800,42300,13741,0.0
69,2018-04-23,42600,43000,41000,42600,7270,0.71
70,2018-04-24,42600,42900,42100,42800,9104,0.47
71,2018-04-25,42800,44600,41500,44400,7672,3.74
72,2018-04-26,44800,45000,42600,43700,4731,-1.58
73,2018-04-27,43700,43700,42200,43100,1953,-1.37
74,2018-04-30,44900,45600,42299,42600,6328,-1.16
75,2018-05-02,42900,43199,40999,43000,4291,0.94
76,2018-05-03,43600,43600,42299,42600,1604,-0.93
77,2018-05-04,43700,44400,41000,43900,7365,3.05
78,2018-05-08,43000,43299,42000,42800,1864,-2.51
79,2018-05-09,43299,43299,40200,42800,5065,0.0
80,2018-05-10,43000,43000,41100,41300,3113,-3.5
81,2018-05-11,41500,41500,39700,40200,7527,-2.66
82,2018-05-14,39900,40200,38400,38400,6586,-4.48
83,2018-05-15,38100,41500,38100,39900,21090,3.91
84,2018-05-16,40000,44300,40000,43300,24334,8.52
85,2018-05-17,44500,49699,43000,45400,21369,4.85
86,2018-05-18,45000,46700,44700,44900,6848,-1.1
87,2018-05-21,44600,46200,44500,45300,4334,0.89
88,2018-05-23,45300,45300,43500,44100,3186,-2.65
89,2018-05-24,43900,44700,43500,44100,1353,0.0
90,2018-05-25,44500,44500,43200,44300,3040,0.45
91,2018-05-28,43400,45000,43400,44300,2206,0.0
92,2018-05-29,44400,45100,44200,45000,4923,1.58
93,2018-05-30,45000,47600,44800,46800,6503,4.0
94,2018-05-31,47200,48000,45600,45700,6377,-2.35
95,2018-06-01,46300,47200,43400,44500,4989,-2.63
96,2018-06-04,44500,47400,43800,47100,6558,5.84
97,2018-06-05,47100,47600,45400,46000,1838,-2.34
98,2018-06-07,46400,46800,45200,45200,2083,-1.74
99,2018-06-08,44800,45999,43900,44100,1630,-2.43
100,2018-06-11,44900,46400,44700,46200,4700,4.76
101,2018-06-12,45500,46900,45500,46500,826,0.65
102,2018-06-14,46500,47400,44699,47400,2351,1.94
103,2018-06-15,47400,47400,43000,45100,6175,-4.85
104,2018-06-18,45800,45800,40800,40800,4476,-9.53
105,2018-06-19,41200,45000,40800,43200,5845,5.88
106,2018-06-20,44100,44100,42300,43300,2029,0.23
107,2018-06-21,43300,43300,41600,42000,2029,-3.0
108,2018-06-22,41900,43599,41700,42300,2852,0.71
109,2018-06-25,42100,42400,41000,42300,3224,0.0
110,2018-06-26,42000,44200,41100,43800,3509,3.55
111,2018-06-27,44000,44800,43200,44100,1669,0.68
112,2018-06-28,44000,45600,42700,44600,6926,1.13
113,2018-06-29,45400,45400,43400,44400,1111,-0.45
114,2018-07-02,44400,45000,42500,43100,2335,-2.93
115,2018-07-03,43500,45699,42799,44900,6759,4.18
116,2018-07-04,44500,45100,44300,44300,874,-1.34
117,2018-07-05,43899,45600,43100,44700,3870,0.9
118,2018-07-06,44700,45900,44300,45700,1746,2.24
119,2018-07-09,44700,46600,44700,46000,1067,0.66
120,2018-07-10,46000,46700,45700,46100,5518,0.22
121,2018-07-11,46100,47800,46100,46700,3302,1.3
122,2018-07-12,47699,47900,46300,47900,1757,2.57
123,2018-07-13,47900,47999,47300,47900,1366,0.0
124,2018-07-16,48200,48400,47400,48000,1056,0.21
125,2018-07-17,47400,47400,45600,46100,1968,-3.96
126,2018-07-18,46500,46500,46000,46400,1814,0.65
127,2018-07-19,46000,47800,43500,45400,4396,-2.16
128,2018-07-20,45400,47700,45000,45100,1595,-0.66
129,2018-07-23,45000,45700,43600,43700,768,-3.1
130,2018-07-24,43700,45900,43700,45800,1030,4.81
131,2018-07-25,47400,47400,45800,46700,1352,1.97
132,2018-07-26,47400,47400,46100,47000,1100,0.64
133,2018-07-27,47400,47500,44300,44900,3355,-4.47
134,2018-07-30,44900,45000,43700,44800,1759,-0.22
135,2018-07-31,44800,44800,43400,44000,2629,-1.79
136,2018-08-01,43999,44700,42100,42800,8363,-2.73
137,2018-08-02,42800,43700,42200,43100,6052,0.7
138,2018-08-03,42800,42900,42300,42400,1226,-1.62
139,2018-08-06,42800,42800,41400,41800,2749,-1.42
140,2018-08-07,41899,42000,41100,41800,1650,0.0
141,2018-08-08,41300,42900,41300,41900,3487,0.24
142,2018-08-09,42200,43400,41300,42400,2979,1.19
143,2018-08-10,42200,42200,39900,40200,4049,-5.19
144,2018-08-13,40200,41300,39800,39800,2704,-1.0
145,2018-08-14,40500,40500,36700,38000,15981,-4.52
146,2018-08-16,37800,39900,36900,39400,14315,3.68
