,Date,Open,High,Low,Close,Volume,Change
0,2018-11-28,8739,8915,6752,6797,4724082,NaN
1,2018-11-29,6850,7194,6664,6912,1641049,1.69
2,2018-11-30,6832,6982,6541,6576,650644,-4.86
3,2018-12-03,6620,6673,6223,6312,530349,-4.01
4,2018-12-04,6320,6364,5949,6153,503264,-2.52
5,2018-12-05,6196,7238,6196,6329,3724733,2.86
6,2018-12-06,6258,6311,5781,5791,541223,-8.5
7,2018-12-07,5826,5923,5614,5632,314994,-2.75
8,2018-12-10,5543,5587,5393,5473,182687,-2.82
9,2018-12-11,5587,6964,5534,6356,4428913,16.13
10,2018-12-12,6267,6488,6143,6382,1010777,0.41
11,2018-12-13,6417,6417,6002,6206,584313,-2.76
12,2018-12-14,6152,6196,5596,5597,470550,-9.81
13,2018-12-17,5640,5852,5543,5764,224093,2.98
14,2018-12-18,5667,5826,5561,5711,156732,-0.92
15,2018-12-19,5764,6055,5667,5959,211552,4.34
16,2018-12-20,5781,6293,5781,6179,396573,3.69
17,2018-12-21,6311,7150,6267,6400,2379447,3.58
18,2018-12-24,6329,6523,6002,6003,282959,-6.2
19,2018-12-26,6161,6505,6046,6100,426042,1.62
20,2018-12-27,6214,6488,6143,6320,343051,3.61
21,2018-12-28,6452,7282,6391,6568,2797457,3.92
22,2019-01-02,6567,6620,6408,6621,205448,0.81
23,2019-01-03,6717,7326,6638,7327,1134666,10.66
24,2019-01-04,7724,8297,6956,6983,1615795,-4.69
25,2019-01-07,7150,7353,6938,7018,622138,0.5
26,2019-01-08,7079,7088,6523,6762,526922,-3.65
27,2019-01-09,6894,6964,6700,6700,292757,-0.92
28,2019-01-10,6700,6779,6452,6559,174578,-2.1
29,2019-01-11,6629,6700,6532,6559,138832,0.0
30,2019-01-14,6558,7150,6488,6850,571666,4.44
31,2019-01-15,6761,6841,6629,6674,182612,-2.57
32,2019-01-16,6664,6726,6488,6506,187605,-2.52
33,2019-01-17,6505,6673,6470,6471,156597,-0.54
34,2019-01-18,6496,6523,6073,6073,314492,-6.15
35,2019-01-21,6135,6179,5737,5835,271850,-3.92
36,2019-01-22,5879,6046,5826,5879,91401,0.75
37,2019-01-23,5773,5976,5773,5879,54663,0.0
38,2019-01-24,5887,5958,5852,5879,62096,0.0
39,2019-01-25,6258,6576,5932,5932,488734,0.9
40,2019-01-28,5967,6108,5940,6091,89743,2.68
41,2019-01-29,6046,6135,5984,6064,56385,-0.44
42,2019-01-30,6011,6099,5967,5967,62003,-1.6
43,2019-01-31,6002,6188,5914,6126,78058,2.66
44,2019-02-01,6179,6179,5932,5994,78680,-2.15
45,2019-02-07,5958,6073,5834,5985,82041,-0.15
46,2019-02-08,5985,6011,5870,5879,63385,-1.77
47,2019-02-11,5879,5932,5790,5888,69197,0.15
48,2019-02-12,5826,5914,5826,5853,36435,-0.59
49,2019-02-13,5852,5932,5781,5870,58733,0.29
50,2019-02-14,5870,6285,5826,5985,171274,1.96
51,2019-02-15,6002,6046,5923,5950,53445,-0.58
52,2019-02-18,5984,6002,5887,5941,54877,-0.15
53,2019-02-19,5940,6135,5896,6091,88009,2.52
54,2019-02-20,6090,6249,6046,6206,89294,1.89
55,2019-02-21,6196,6232,6073,6162,72393,-0.71
56,2019-02-22,6179,6620,6099,6356,498557,3.15
57,2019-02-25,6382,6532,6152,6206,206506,-2.36
58,2019-02-26,6276,6549,6214,6488,350817,4.54
59,2019-02-27,6505,6567,6364,6435,187699,-0.82
60,2019-02-28,6408,6408,6002,6091,181755,-5.35
61,2019-03-04,6258,6382,6152,6250,166990,2.61
62,2019-03-05,6249,6541,6249,6488,329426,3.81
63,2019-03-06,6488,6558,6338,6426,149159,-0.96
64,2019-03-07,6426,6541,6276,6409,144906,-0.26
65,2019-03-08,6285,6444,6258,6356,83318,-0.83
66,2019-03-11,6452,6470,6285,6471,99362,1.81
67,2019-03-12,6470,6620,6382,6479,234515,0.12
68,2019-03-13,6549,7061,6444,7062,1081054,9.0
69,2019-03-14,6850,6858,6700,6832,435024,-3.26
70,2019-03-15,6903,7203,6744,7062,579921,3.37
71,2019-03-18,7123,7459,6973,7238,595732,2.49
72,2019-03-19,7256,7388,6770,6779,412008,-6.34
73,2019-03-20,6717,6823,6391,6568,314536,-3.11
74,2019-03-21,6532,6673,6329,6409,147797,-2.42
75,2019-03-22,6532,6779,6417,6479,215049,1.09
76,2019-03-25,6399,6629,5932,6003,576581,-7.35
77,2019-03-26,6002,6223,5993,6020,124733,0.28
78,2019-03-27,6064,6293,6029,6135,110999,1.91
79,2019-03-28,6090,6179,5958,5985,74245,-2.44
80,2019-03-29,5985,6099,5817,6100,88532,1.92
81,2019-04-01,6099,6214,6046,6179,56277,1.3
82,2019-04-02,6258,6258,6126,6179,65989,0.0
83,2019-04-03,6179,6355,6152,6303,86983,2.01
84,2019-04-04,6346,6399,6188,6206,73608,-1.54
85,2019-04-05,6285,6285,6108,6188,58359,-0.29
86,2019-04-08,6126,6735,6126,6612,337510,6.85
87,2019-04-09,6611,6691,6417,6523,158048,-1.35
88,2019-04-10,6638,7194,6541,6894,609191,5.69
89,2019-04-11,6894,6894,6629,6682,208039,-3.08
90,2019-04-12,6735,7000,6567,6568,254108,-1.71
91,2019-04-15,6585,6867,6444,6762,182103,2.95
92,2019-04-16,6761,6841,6629,6832,86826,1.04
93,2019-04-17,6797,6850,6620,6629,81621,-2.97
94,2019-04-18,6735,6735,6408,6453,89948,-2.66
95,2019-04-19,6444,6611,6426,6585,56536,2.05
96,2019-04-22,6541,6761,6541,6735,71170,2.28
97,2019-04-23,6735,6770,6629,6638,42600,-1.44
98,2019-04-24,6726,7150,6638,6647,225626,0.14
99,2019-04-25,6629,6682,6444,6523,74456,-1.87
100,2019-04-26,6479,6558,6258,6365,98094,-2.42
101,2019-04-29,6338,6479,6285,6391,33233,0.41
102,2019-04-30,6461,6479,6293,6444,35725,0.83
103,2019-05-02,6479,6479,6338,6426,26993,-0.28
104,2019-05-03,6479,6496,6276,6356,47215,-1.09
105,2019-05-07,6276,6532,6240,6312,30405,-0.69
106,2019-05-08,6276,6426,6267,6356,21346,0.7
107,2019-05-09,6311,6355,6011,6117,96223,-3.76
108,2019-05-10,6090,6214,5932,6153,65644,0.59
109,2019-05-13,6152,6293,5976,6064,57124,-1.45
110,2019-05-14,6179,6179,5755,5959,71784,-1.73
111,2019-05-15,5958,6170,5914,6126,31235,2.8
112,2019-05-16,6214,6214,5826,5959,45824,-2.73
113,2019-05-17,5870,6037,5870,6003,41563,0.74
114,2019-05-20,6002,6055,5773,5791,43929,-3.53
115,2019-05-21,5790,5861,5746,5861,14637,1.21
116,2019-05-22,5993,6258,5932,5932,75597,1.21
117,2019-05-23,6002,6002,5755,5782,35965,-2.53
118,2019-05-24,5737,5870,5481,5535,88194,-4.27
119,2019-05-27,5543,5826,5508,5676,28753,2.55
120,2019-05-28,5764,5834,5605,5826,22336,2.64
121,2019-05-29,5896,5896,5596,5817,26548,-0.15
122,2019-05-30,5817,5870,5676,5826,18732,0.15
123,2019-05-31,5737,5861,5623,5711,36257,-1.97
124,2019-06-03,5640,5746,5517,5561,47460,-2.63
125,2019-06-04,5561,5614,5446,5491,49538,-1.26
126,2019-06-05,5561,5561,5181,5296,354222,-3.55
127,2019-06-07,5340,5517,5261,5358,137481,1.17
128,2019-06-10,5420,5640,5358,5623,57861,4.95
129,2019-06-11,5649,5711,5578,5641,23977,0.32
130,2019-06-12,5640,5667,5534,5632,17875,-0.16
131,2019-06-13,5631,5773,5517,5685,33380,0.94
132,2019-06-14,5826,5826,5649,5694,23713,0.16
133,2019-06-17,5631,5631,5402,5517,32704,-3.11
134,2019-06-18,5517,5570,5287,5323,42038,-3.52
135,2019-06-19,5411,5508,5331,5464,16025,2.65
136,2019-06-20,5420,5605,5420,5605,21413,2.58
137,2019-06-21,5614,5746,5561,5703,22450,1.75
138,2019-06-24,5746,5755,5481,5561,25187,-2.49
139,2019-06-25,5481,5649,5269,5314,51160,-4.44
140,2019-06-26,5314,5481,5287,5394,31483,1.51
141,2019-06-27,5420,5614,5269,5349,49571,-0.83
142,2019-06-28,5305,5393,5252,5376,72917,0.5
143,2019-07-01,5375,5570,5243,5332,118006,-0.82
144,2019-07-02,5393,5393,5296,5367,48704,0.66
145,2019-07-03,5402,5402,5269,5323,59814,-0.82
146,2019-07-04,5437,5587,5181,5447,136410,2.33
147,2019-07-05,5464,5676,5411,5544,142411,1.78
148,2019-07-08,5543,5640,5278,5349,84454,-3.52
149,2019-07-09,5278,5446,5278,5358,47750,0.17
150,2019-07-10,5358,5481,5234,5358,73691,0.0
151,2019-07-11,5402,5799,5393,5685,453105,6.1
152,2019-07-12,5658,5676,5349,5376,153233,-5.44
153,2019-07-15,5367,5578,5358,5447,122234,1.32
154,2019-07-16,5446,5693,5411,5694,165661,4.53
155,2019-07-17,5755,5755,5420,5473,188924,-3.88
156,2019-07-18,5473,5481,5367,5447,29477,-0.48
157,2019-07-19,5446,5596,5384,5579,70921,2.42
158,2019-07-22,5684,5684,5534,5588,54687,0.16
159,2019-07-23,5587,5658,5525,5597,63105,0.16
160,2019-07-24,5605,5667,5464,5508,42329,-1.59
161,2019-07-25,5508,5614,5340,5402,38157,-1.92
