,Date,Open,High,Low,Close,Volume,Change
0,2019-10-18,6703,8694,6653,7838,22082000,NaN
1,2019-10-21,7963,8215,6980,7031,3681336,-10.3
2,2019-10-22,7232,8266,7131,7308,6989044,3.94
3,2019-10-23,7736,7862,7031,7157,2175711,-2.07
4,2019-10-24,7106,7484,6879,7208,1462218,0.71
5,2019-10-25,7283,7812,7081,7812,1987257,8.38
6,2019-10-28,7711,9425,7509,8871,8552872,13.56
7,2019-10-29,8795,9652,8165,8493,4166705,-4.26
8,2019-10-30,8770,9097,8417,8972,2968278,5.64
9,2019-10-31,8820,9047,8341,8342,1532879,-7.02
10,2019-11-01,8316,8618,8014,8442,1115871,1.2
11,2019-11-04,8392,8568,8089,8140,498727,-3.58
12,2019-11-05,8215,8669,8140,8165,955201,0.31
13,2019-11-06,8165,8593,7938,8014,794583,-1.85
14,2019-11-07,8064,8165,7787,8039,323066,0.31
15,2019-11-08,8039,8039,7711,7737,354658,-3.76
16,2019-11-11,7837,8568,7787,8468,1294875,9.45
17,2019-11-12,8492,9223,8291,8442,1968732,-0.31
18,2019-11-13,8618,8770,8291,8619,673980,2.1
19,2019-11-14,8618,8946,8417,8644,544796,0.29
20,2019-11-15,8644,9274,8593,9173,1864688,6.12
21,2019-11-18,9097,10534,9022,9803,4999392,6.87
22,2019-11-19,9702,10030,9374,9551,1137221,-2.57
23,2019-11-20,9500,9752,8971,8997,940803,-5.8
24,2019-11-21,9022,9173,8870,9148,508509,1.68
25,2019-11-22,9122,9173,8618,8770,516859,-4.13
26,2019-11-25,8921,9122,8694,9047,394285,3.16
27,2019-11-26,9122,9349,8896,8972,547453,-0.83
28,2019-11-27,8971,9072,8644,8820,420728,-1.69
29,2019-11-28,8795,8896,8644,8644,249907,-2.0
30,2019-11-29,8644,8820,8417,8468,256843,-2.04
31,2019-12-02,8568,8644,8140,8241,350132,-2.68
32,2019-12-03,8114,8366,8039,8064,235114,-2.15
33,2019-12-04,7988,8417,7938,8266,256425,2.5
34,2019-12-05,8467,8618,8165,8316,253161,0.6
35,2019-12-06,8316,8669,8266,8619,253016,3.64
36,2019-12-09,8694,9072,8568,8997,617257,4.39
37,2019-12-10,8971,9148,8770,8871,302982,-1.4
38,2019-12-11,8870,9349,8820,9148,620245,3.12
39,2019-12-12,9148,9374,9022,9173,244326,0.27
40,2019-12-13,9274,9274,8996,9022,219078,-1.65
41,2019-12-16,9072,9248,8996,9098,244552,0.84
42,2019-12-17,9274,9349,9022,9098,425440,0.0
43,2019-12-18,9248,9274,8845,8896,253465,-2.22
44,2019-12-19,8921,8921,8442,8568,372361,-3.69
45,2019-12-20,8644,8744,8518,8669,150915,1.18
46,2019-12-23,8744,9248,8694,9148,629014,5.53
47,2019-12-24,9122,9299,8996,9098,299121,-0.55
48,2019-12-26,9122,9425,9097,9324,344988,2.48
49,2019-12-27,9475,9526,9148,9299,334708,-0.27
50,2019-12-30,9299,9374,9022,9375,390126,0.82
51,2020-01-02,9475,10156,9400,10106,1343625,7.8
52,2020-01-03,10080,12298,10055,11668,8144219,15.46
53,2020-01-06,11693,13608,11592,12298,10245811,5.4
54,2020-01-07,12298,12575,11945,12374,1554189,0.62
55,2020-01-08,12172,12247,11416,11769,1634758,-4.89
56,2020-01-09,12247,13860,12197,13357,6980965,13.49
57,2020-01-10,13533,14591,12852,13029,4913276,-2.46
58,2020-01-13,12852,13608,12802,13105,1241273,0.58
59,2020-01-14,13205,13835,12877,13684,1061674,4.42
60,2020-01-15,13709,13835,13205,13206,834547,-3.49
61,2020-01-16,13104,13507,13079,13382,482689,1.33
62,2020-01-17,13533,14591,13331,14214,1644762,6.22
63,2020-01-20,14364,14616,13608,13810,1022446,-2.84
64,2020-01-21,13835,14163,13583,13936,479534,0.91
65,2020-01-22,13810,14112,13659,14037,489732,0.72
66,2020-01-23,13936,13961,12701,13004,1071050,-7.36
67,2020-01-28,12172,12676,12172,12399,630853,-4.65
68,2020-01-29,12575,13054,12424,12676,693499,2.23
69,2020-01-30,12877,12877,11391,11593,1041829,-8.54
70,2020-01-31,11794,12071,11391,11391,531710,-1.74
71,2020-02-03,11189,11869,10836,11870,706107,4.21
72,2020-02-04,11995,12424,11869,12097,494263,1.91
73,2020-02-05,12247,12323,11265,11517,584165,-4.79
74,2020-02-06,11592,11844,11466,11668,330272,1.31
75,2020-02-07,11668,11819,11214,11391,376069,-2.37
76,2020-02-10,11441,12474,11416,12449,693723,9.29
77,2020-02-11,12449,12651,12172,12550,585463,0.81
78,2020-02-12,12525,12575,12247,12575,276208,0.2
79,2020-02-13,12651,13054,12424,12601,700282,0.21
80,2020-02-14,12399,12399,11819,11945,808084,-5.21
81,2020-02-17,11970,12172,11668,12046,283826,0.85
82,2020-02-18,12096,12096,11391,11441,441871,-5.02
83,2020-02-19,11491,11718,11088,11416,359552,-0.22
84,2020-02-20,11542,11920,11416,11542,417023,1.1
85,2020-02-21,11290,11466,10836,10887,510268,-5.67
86,2020-02-24,10382,10559,10080,10106,541927,-7.17
87,2020-02-25,10105,10685,9979,10685,379640,5.73
88,2020-02-26,10307,10811,10231,10711,229149,0.24
89,2020-02-27,10811,11138,10382,10585,294584,-1.18
90,2020-02-28,10156,10433,9828,10131,358419,-4.29
91,2020-03-02,10130,10483,10004,10307,297171,1.74
92,2020-03-03,10634,10760,10080,10081,287211,-2.19
93,2020-03-04,10004,10559,9979,10559,204303,4.74
94,2020-03-05,10634,10786,10332,10433,211011,-1.19
95,2020-03-06,10256,10408,10030,10081,257401,-3.37
96,2020-03-09,9904,9929,8971,9047,538442,-10.26
97,2020-03-10,8870,9274,8744,9123,589713,0.84
98,2020-03-11,9122,9148,8266,8468,601149,-7.18
99,2020-03-12,8240,8518,7736,7863,515820,-7.14
100,2020-03-13,7157,7610,6627,7409,564841,-5.77
101,2020-03-16,7510,7736,6854,6855,374649,-7.48
102,2020-03-17,6552,7157,6501,7082,424797,3.31
103,2020-03-18,7182,7686,6854,6855,490756,-3.21
104,2020-03-19,7283,7308,6123,6452,632691,-5.88
105,2020-03-20,6602,7383,6602,7233,423723,12.1
106,2020-03-23,6804,6930,6401,6603,397304,-8.71
107,2020-03-24,6854,7333,6653,7233,467070,9.54
108,2020-03-25,7409,8140,7333,7762,1006885,7.31
109,2020-03-26,7888,8114,7636,7661,713444,-1.3
110,2020-03-27,7963,8064,7182,7434,656193,-2.96
111,2020-03-30,7106,7661,7031,7661,355019,3.05
112,2020-03-31,7938,8014,7585,7787,516961,1.64
113,2020-04-01,7661,8240,7434,7510,701002,-3.56
114,2020-04-02,7711,8039,7333,8039,404546,7.04
115,2020-04-03,8190,8417,7988,8190,506290,1.88
116,2020-04-06,8266,8669,8215,8644,500759,5.54
117,2020-04-07,8845,8870,8543,8820,536777,2.04
118,2020-04-08,8820,9677,8568,9274,683507,5.15
119,2020-04-09,9374,9551,9198,9375,387079,1.09
120,2020-04-10,9374,9450,8593,9072,459702,-3.23
121,2020-04-13,8996,8996,8644,8644,371571,-4.72
122,2020-04-14,8719,8996,8694,8871,281181,2.63
123,2020-04-16,8770,9173,8644,9148,302922,3.12
124,2020-04-17,9274,9450,9223,9274,1940321,1.38
125,2020-04-20,9374,9400,8971,8972,856827,-3.26
126,2020-04-21,8845,8896,8266,8594,861764,-4.21
127,2020-04-22,8467,8644,8341,8644,390442,0.58
128,2020-04-23,8946,9349,8669,9249,1419569,7.0
129,2020-04-24,9198,9752,9097,9274,1809673,0.27
130,2020-04-27,9526,9727,9374,9476,782067,2.18
131,2020-04-28,9500,10130,9324,9980,1350079,5.32
132,2020-04-29,9954,10508,9853,10055,1216459,0.75
133,2020-05-04,9702,10055,9702,9854,524377,-2.0
134,2020-05-06,10030,10307,9979,10257,686888,4.09
135,2020-05-07,10382,10534,10231,10433,645196,1.72
136,2020-05-08,10685,10912,10382,10383,685313,-0.48
137,2020-05-11,10408,10483,9929,10106,619483,-2.67
138,2020-05-12,10080,10408,9878,10408,623983,2.99
139,2020-05-13,10231,10584,9727,9980,1125577,-4.11
140,2020-05-14,9878,9929,9551,9904,512616,-0.76
141,2020-05-15,10030,10786,9979,10509,1670346,6.11
142,2020-05-18,10534,10786,10282,10736,820732,2.16
143,2020-05-19,10836,11038,10458,10786,682761,0.47
144,2020-05-20,10987,11416,10861,11315,912382,4.9
145,2020-05-21,11517,11844,11315,11441,974605,1.11
146,2020-05-22,11491,11567,10886,11089,696786,-3.08
147,2020-05-25,11239,11592,10760,11567,881130,4.31
148,2020-05-26,11592,11718,11340,11542,412778,-0.22
149,2020-05-27,11517,11517,11038,11265,475532,-2.4
150,2020-05-28,11164,11365,10483,10811,531958,-4.03
151,2020-05-29,10634,10912,10458,10811,271097,0.0
152,2020-06-01,10760,11844,10760,11769,1692255,8.86
153,2020-06-02,12096,12298,11895,11996,1131638,1.93
154,2020-06-03,12247,12273,11869,12097,590824,0.84
155,2020-06-04,12046,12172,11769,12021,445946,-0.63
156,2020-06-05,12046,12449,11869,12223,635188,1.68
157,2020-06-08,12273,12474,11995,12046,318191,-1.45
158,2020-06-09,12373,12424,11895,12248,429178,1.68
159,2020-06-10,12298,12323,12121,12223,218512,-0.2
160,2020-06-11,12222,13331,12071,13332,1508697,9.07
161,2020-06-12,12625,13860,12575,13760,1535379,3.21
162,2020-06-15,13684,13810,12474,13029,1103999,-5.31
163,2020-06-16,13331,13457,12802,13407,838874,2.9
164,2020-06-17,13205,13407,12575,12928,587965,-3.57
165,2020-06-18,12751,13129,12625,12802,353110,-0.97
166,2020-06-19,13054,13407,12751,13281,721466,3.74
167,2020-06-22,13507,14440,13331,13458,2793899,1.33
168,2020-06-23,13583,13785,13079,13155,509187,-2.25
169,2020-06-24,13356,14163,13205,13936,1246836,5.94
170,2020-06-25,13608,14440,13407,14163,1491659,1.63
171,2020-06-26,14289,14490,13709,13760,909801,-2.85
172,2020-06-29,13533,13659,12903,13079,638178,-4.95
173,2020-06-30,13331,13457,12625,12626,636577,-3.46
174,2020-07-01,12726,13029,12172,12197,570166,-3.4
175,2020-07-02,12298,12651,12071,12424,342934,1.86
176,2020-07-03,12298,12701,12298,12550,232119,1.01
177,2020-07-06,12550,12651,12222,12475,277610,-0.6
178,2020-07-07,12525,12600,12147,12197,319779,-2.23
179,2020-07-08,12222,12424,12121,12248,223359,0.42
180,2020-07-09,12499,12802,12373,12802,488573,4.52
181,2020-07-10,12978,13281,12701,12928,578580,0.98
182,2020-07-13,12978,13079,12550,12853,335542,-0.58
183,2020-07-14,12903,13482,12651,13256,702346,3.14
184,2020-07-15,13608,13734,13255,13558,541864,2.28
185,2020-07-16,13659,13734,13432,13609,491228,0.38
186,2020-07-17,13583,13684,13331,13584,271549,-0.18
187,2020-07-20,13533,13533,12852,12903,448972,-5.01
188,2020-07-21,13003,13104,12550,12853,343752,-0.39
189,2020-07-22,12726,12827,12499,12601,284394,-1.96
190,2020-07-23,12525,12928,12474,12550,233204,-0.4
191,2020-07-24,12399,12802,12323,12475,225609,-0.6
192,2020-07-27,12424,12852,12424,12676,188254,1.61
193,2020-07-28,12651,13079,12651,12853,293861,1.4
194,2020-07-29,12978,13003,12600,12601,215072,-1.96
195,2020-07-30,12802,13961,12802,13962,1401511,10.8
196,2020-07-31,14163,14188,13180,13180,879693,-5.6
197,2020-08-03,13205,13533,13104,13483,272813,2.3
198,2020-08-04,13457,13759,13281,13609,354051,0.93
199,2020-08-05,13659,13734,13381,13659,279995,0.37
200,2020-08-06,13659,13659,13230,13306,287118,-2.58
201,2020-08-07,13281,13356,12827,12853,388656,-3.4
202,2020-08-10,12802,13255,12701,13004,261573,1.17
203,2020-08-11,13104,13180,12676,12802,344490,-1.55
