,Date,Open,High,Low,Close,Volume,Change
0,2018-12-21,2144,2150,2139,2145,405739,NaN
1,2018-12-24,2139,2166,2139,2150,156786,0.23
2,2018-12-26,2150,2150,2150,2150,88317,0.0
3,2018-12-27,2150,2166,2150,2166,21620,0.74
4,2018-12-28,2150,2155,2150,2150,4009,-0.74
5,2019-01-02,2155,2160,2150,2150,10487,0.0
6,2019-01-03,2150,2155,2150,2150,3136,0.0
7,2019-01-04,2155,2155,2150,2150,105,0.0
8,2019-01-07,2150,2150,2150,2150,11235,0.0
9,2019-01-08,2155,2160,2155,2156,19614,0.28
10,2019-01-09,2155,2155,2155,2156,8,0.0
11,2019-01-10,2155,2160,2150,2150,18623,-0.28
12,2019-01-11,2150,2155,2139,2150,113388,0.0
13,2019-01-14,2150,2160,2150,2150,17091,0.0
14,2019-01-15,2160,2160,2160,2161,36569,0.51
15,2019-01-16,2155,2160,2155,2156,7256,-0.23
16,2019-01-17,2160,2160,2155,2156,10740,0.0
17,2019-01-18,2160,2160,2160,2161,7050,0.23
18,2019-01-21,2160,2160,2155,2161,13367,0.0
19,2019-01-22,2160,2166,2160,2166,11251,0.23
20,2019-01-23,2160,2160,2144,2161,85559,-0.23
21,2019-01-24,2160,2160,2155,2156,4972,-0.23
22,2019-01-25,2155,2155,2155,2156,88,0.0
23,2019-01-28,2155,2155,2155,2156,20,0.0
24,2019-01-29,2155,2155,2155,2156,0,0.0
25,2019-01-30,2160,2171,2160,2172,30000,0.74
26,2019-01-31,2171,2171,2160,2161,3511,-0.51
27,2019-02-01,2166,2166,2160,2166,7800,0.23
28,2019-02-07,2171,2171,2171,2172,20,0.28
29,2019-02-08,2160,2160,2160,2161,11,-0.51
30,2019-02-11,2160,2160,2160,2161,0,0.0
31,2019-02-12,2160,2160,2160,2161,0,0.0
32,2019-02-13,2160,2160,2160,2161,0,0.0
33,2019-02-14,2160,2166,2160,2161,2913,0.0
34,2019-02-15,2160,2160,2160,2161,10,0.0
35,2019-02-18,2166,2166,2166,2166,1,0.23
36,2019-02-19,2155,2160,2155,2161,2351,-0.23
37,2019-02-20,2160,2160,2160,2161,0,0.0
38,2019-02-21,2150,2155,2150,2156,11364,-0.23
39,2019-02-22,2155,2155,2155,2156,0,0.0
40,2019-02-25,2160,2160,2160,2161,0,0.23
41,2019-02-26,2160,2160,2160,2161,1,0.0
42,2019-02-27,2160,2160,2160,2161,5350,0.0
43,2019-02-28,2160,2160,2155,2156,806,-0.23
44,2019-03-04,2160,2160,2160,2161,200,0.23
45,2019-03-05,2160,2160,2160,2161,494,0.0
46,2019-03-06,2160,2160,2160,2161,0,0.0
47,2019-03-07,2166,2166,2160,2161,3400,0.0
48,2019-03-08,2160,2160,2155,2156,49071,-0.23
49,2019-03-11,2155,2166,2155,2166,62947,0.46
50,2019-03-12,2166,2166,2155,2166,15449,0.0
51,2019-03-13,2155,2160,2155,2161,10870,-0.23
52,2019-03-14,2160,2160,2160,2161,2909,0.0
53,2019-03-15,2155,2166,2155,2161,3538,0.0
54,2019-03-18,2166,2166,2166,2166,6000,0.23
55,2019-03-19,2160,2166,2160,2166,1101,0.0
56,2019-03-20,2171,2171,2171,2172,246,0.28
57,2019-03-21,2171,2171,2171,2172,27214,0.0
58,2019-03-22,2171,2171,2171,2172,0,0.0
59,2019-03-25,2160,2160,2160,2161,494,-0.51
60,2019-03-26,2160,2171,2160,2172,5215,0.51
61,2019-03-27,2166,2166,2166,2166,99,-0.28
62,2019-03-28,2166,2166,2166,2166,100,0.0
63,2019-03-29,2160,2166,2160,2161,3338,-0.23
64,2019-04-01,2166,2171,2160,2166,3131,0.23
65,2019-04-02,2166,2176,2166,2166,9768,0.0
66,2019-04-03,2166,2171,2166,2172,6000,0.28
67,2019-04-04,2182,2182,2182,2182,1652,0.46
68,2019-04-05,2182,2193,2182,2182,6794,0.0
69,2019-04-08,2176,2176,2176,2177,3554,-0.23
70,2019-04-09,2171,2193,2171,2188,15613,0.51
71,2019-04-10,2193,2193,2187,2188,758,0.0
72,2019-04-11,2193,2193,2171,2188,5447,0.0
73,2019-04-12,2166,2193,2166,2193,11,0.23
74,2019-04-15,2193,2193,2187,2188,6243,-0.23
75,2019-04-16,2187,2198,2187,2198,9525,0.46
76,2019-04-17,2203,2235,2198,2198,13956,0.0
77,2019-04-18,2166,2203,2166,2204,1934,0.27
78,2019-04-19,2225,2225,2209,2214,70204,0.45
79,2019-04-22,2235,2235,2214,2220,15318,0.27
80,2019-04-23,2182,2230,2182,2230,20001,0.45
81,2019-04-24,2230,2235,2230,2230,13165,0.0
82,2019-04-25,2219,2225,2219,2220,73,-0.45
83,2019-04-26,2230,2230,2225,2225,7020,0.23
84,2019-04-29,2225,2225,2225,2225,892,0.0
85,2019-04-30,2230,2230,2225,2230,12496,0.22
86,2019-05-02,2214,2230,2214,2220,2531,-0.45
87,2019-05-03,2230,2246,2230,2230,23593,0.45
88,2019-05-07,2230,2230,2230,2230,1982,0.0
