,Date,Open,High,Low,Close,Volume,Change
0,2019-11-25,7650,9940,7500,9940,10219409,NaN
1,2019-11-26,12900,12900,12900,12900,81782,29.78
2,2019-11-27,16750,16750,16750,16750,45616,29.84
3,2019-11-28,21750,21750,18000,18750,10999625,11.94
4,2019-11-29,18800,20150,16050,17150,4966844,-8.53
5,2019-12-02,17350,18400,14700,15200,2447497,-11.37
6,2019-12-03,14850,16950,14650,16950,3726793,11.51
7,2019-12-04,16050,16300,14900,14950,1583130,-11.8
8,2019-12-05,14900,15900,13950,14500,1420574,-3.01
9,2019-12-06,14350,14800,13300,13500,1302098,-6.9
10,2019-12-09,13950,14050,12450,12750,951473,-5.56
11,2019-12-10,12750,16550,12550,14700,8896170,15.29
12,2019-12-11,14450,14550,13150,13250,1919351,-9.86
13,2019-12-12,13400,13800,13000,13250,1005540,0.0
14,2019-12-13,13450,15800,13150,13800,6259310,4.15
15,2019-12-16,14000,15900,13900,15400,3404198,11.59
16,2019-12-17,15050,16600,14650,15650,2808809,1.62
17,2019-12-18,15400,15700,15000,15250,924637,-2.56
18,2019-12-19,15750,16700,15050,15050,2645346,-1.31
19,2019-12-20,14950,15650,14700,14950,680872,-0.66
20,2019-12-23,15200,15550,14300,14300,559953,-4.35
21,2019-12-24,14500,16050,14050,14950,1762197,4.55
22,2019-12-26,15000,15550,14950,15300,620801,2.34
23,2019-12-27,15550,15650,15100,15300,470550,0.0
24,2019-12-30,15300,15900,15300,15750,650606,2.94
25,2020-01-02,15750,20450,15700,19000,5946676,20.63
26,2020-01-03,18800,24700,18650,24700,4229119,30.0
27,2020-01-06,25050,29450,23500,25850,9637585,4.66
28,2020-01-07,25100,27600,23350,24350,2241987,-5.8
29,2020-01-08,24600,24850,22000,22600,1347498,-7.19
30,2020-01-09,23350,26200,23000,24750,2300790,9.51
31,2020-01-10,24950,26100,24250,25150,1083200,1.62
32,2020-01-13,25500,25550,23900,24250,378072,-3.58
33,2020-01-14,25900,27350,24900,25450,1101194,4.95
34,2020-01-15,25600,26450,24600,26450,592280,3.93
35,2020-01-16,27000,30150,26150,28450,3024624,7.56
36,2020-01-17,28850,29500,27650,29500,767995,3.69
37,2020-01-20,28750,30950,28150,30600,893416,3.73
38,2020-01-21,29700,32400,29500,30600,720450,0.0
