,Date,Open,High,Low,Close,Volume,Change
0,2019-12-24,2140,2150,2140,2140,804694,NaN
1,2019-12-26,2140,2145,2134,2140,54247,0.0
2,2019-12-27,2145,2145,2140,2145,51314,0.23
3,2019-12-30,2134,2145,2134,2140,59253,-0.23
4,2020-01-02,2140,2145,2134,2145,4963,0.23
5,2020-01-03,2140,2145,2140,2140,6118,-0.23
6,2020-01-06,2140,2145,2140,2145,46149,0.23
7,2020-01-07,2140,2145,2140,2145,88702,0.0
8,2020-01-08,2140,2145,2140,2145,1949,0.0
9,2020-01-09,2140,2145,2140,2145,2460,0.0
10,2020-01-10,2140,2145,2140,2140,77577,-0.23
11,2020-01-13,2145,2145,2140,2145,27517,0.23
12,2020-01-14,2145,2145,2140,2140,26654,-0.23
13,2020-01-15,2140,2145,2140,2145,44820,0.23
14,2020-01-16,2145,2150,2140,2145,39203,0.0
15,2020-01-17,2145,2145,2140,2145,99025,0.0
16,2020-01-20,2145,2150,2145,2145,42057,0.0
17,2020-01-21,2145,2150,2145,2145,8528,0.0
18,2020-01-22,2145,2150,2145,2151,2503,0.28
19,2020-01-23,2150,2150,2145,2151,5814,0.0
20,2020-01-28,2145,2150,2140,2151,8170,0.0
21,2020-01-29,2150,2150,2150,2151,450,0.0
22,2020-01-30,2145,2150,2145,2151,2366,0.0
23,2020-01-31,2150,2150,2145,2151,37957,0.0
24,2020-02-03,2145,2150,2145,2151,4569,0.0
25,2020-02-04,2150,2150,2145,2151,107,0.0
26,2020-02-05,2150,2150,2145,2145,3781,-0.28
27,2020-02-06,2145,2150,2145,2151,8631,0.28
28,2020-02-07,2145,2150,2145,2151,11469,0.0
29,2020-02-10,2150,2150,2145,2151,5244,0.0
30,2020-02-11,2145,2150,2145,2151,1763,0.0
31,2020-02-12,2150,2150,2145,2151,6274,0.0
32,2020-02-13,2150,2166,2150,2151,21644,0.0
33,2020-02-14,2150,2156,2145,2151,35688,0.0
34,2020-02-17,2150,2161,2150,2161,25931,0.46
35,2020-02-18,2156,2166,2156,2161,13281,0.0
36,2020-02-19,2161,2172,2156,2161,13490,0.0
37,2020-02-20,2161,2166,2161,2167,7159,0.28
38,2020-02-21,2166,2166,2150,2151,48845,-0.74
39,2020-02-24,2172,2172,2156,2156,628,0.23
40,2020-02-25,2150,2161,2140,2156,50155,0.0
41,2020-02-26,2156,2161,2156,2161,2685,0.23
42,2020-02-27,2150,2161,2150,2161,10276,0.0
43,2020-02-28,2150,2166,2150,2161,6533,0.0
44,2020-03-02,2161,2161,2161,2161,247,0.0
45,2020-03-03,2150,2161,2150,2161,3707,0.0
46,2020-03-04,2156,2161,2150,2161,1301,0.0
47,2020-03-05,2161,2161,2150,2161,7341,0.0
48,2020-03-06,2150,2204,2150,2161,5010,0.0
49,2020-03-09,2161,2177,2161,2167,2478,0.28
50,2020-03-10,2161,2166,2150,2156,31327,-0.51
51,2020-03-11,2156,2161,2150,2161,13270,0.23
52,2020-03-12,2156,2161,2145,2161,12978,0.0
53,2020-03-13,2150,2172,2140,2167,39098,0.28
54,2020-03-16,2140,2145,2140,2145,4667,-1.02
55,2020-03-17,2140,2150,2140,2145,16160,0.0
56,2020-03-18,2140,2156,2140,2140,5036,-0.23
57,2020-03-19,2161,2161,2123,2145,26266,0.23
58,2020-03-20,2140,2145,2140,2145,2965,0.0
59,2020-03-23,2118,2129,2113,2129,29097,-0.75
60,2020-03-24,2129,2140,2097,2135,30836,0.28
61,2020-03-25,2118,2140,2118,2140,10796,0.23
62,2020-03-26,2118,2145,2118,2140,33063,0.0
63,2020-03-27,2140,2145,2129,2135,19734,-0.23
64,2020-03-30,2118,2140,2118,2140,4598,0.23
65,2020-03-31,2118,2140,2118,2140,3002,0.0
66,2020-04-01,2123,2134,2123,2135,10648,-0.23
67,2020-04-02,2134,2134,2123,2135,10001,0.0
68,2020-04-03,2118,2134,2118,2135,10946,0.0
69,2020-04-06,2113,2134,2113,2135,5593,0.0
70,2020-04-07,2123,2145,2123,2145,46468,0.47
71,2020-04-08,2129,2145,2129,2145,5277,0.0
72,2020-04-09,2118,2145,2118,2145,5422,0.0
73,2020-04-10,2123,2145,2123,2145,16125,0.0
74,2020-04-13,2129,2140,2123,2135,14048,-0.47
75,2020-04-14,2123,2134,2118,2135,7819,0.0
76,2020-04-16,2123,2134,2123,2129,14740,-0.28
77,2020-04-17,2134,2145,2123,2145,11883,0.75
78,2020-04-20,2123,2145,2123,2129,14333,-0.75
79,2020-04-21,2123,2140,2123,2140,18114,0.52
80,2020-04-22,0,0,0,2140,0,0.0
81,2020-04-23,0,0,0,2140,0,0.0
82,2020-04-24,0,0,0,2140,0,0.0
83,2020-04-27,0,0,0,2140,0,0.0
84,2020-04-28,0,0,0,2140,0,0.0
85,2020-04-29,0,0,0,2140,0,0.0
86,2020-05-04,0,0,0,2140,0,0.0
87,2020-05-06,0,0,0,2140,0,0.0
88,2020-05-07,0,0,0,2140,0,0.0
89,2020-05-08,0,0,0,2140,0,0.0
90,2020-05-11,0,0,0,2140,0,0.0
91,2020-05-12,0,0,0,2140,0,0.0
92,2020-05-13,0,0,0,2140,0,0.0
93,2020-05-14,0,0,0,2140,0,0.0
94,2020-05-15,0,0,0,2140,0,0.0
95,2020-05-18,0,0,0,2140,0,0.0
96,2020-05-19,0,0,0,2140,0,0.0
97,2020-05-20,0,0,0,2140,0,0.0
98,2020-05-21,0,0,0,2140,0,0.0
99,2020-05-22,0,0,0,2140,0,0.0
100,2020-05-25,0,0,0,2140,0,0.0
101,2020-05-26,0,0,0,2140,0,0.0
102,2020-05-27,0,0,0,2140,0,0.0
103,2020-05-28,0,0,0,2140,0,0.0
104,2020-05-29,0,0,0,2140,0,0.0
105,2020-06-01,0,0,0,2140,0,0.0
106,2020-06-02,0,0,0,2140,0,0.0
107,2020-06-03,0,0,0,2140,0,0.0
108,2020-06-04,0,0,0,2140,0,0.0
109,2020-06-05,0,0,0,2140,0,0.0
110,2020-06-08,0,0,0,2140,0,0.0
111,2020-06-09,0,0,0,2140,0,0.0
112,2020-06-10,0,0,0,2140,0,0.0
113,2020-06-11,0,0,0,2140,0,0.0
114,2020-06-12,0,0,0,2140,0,0.0
115,2020-06-15,0,0,0,2140,0,0.0
