,Date,Open,High,Low,Close,Volume,Change
0,2021-05-17,31535,31702,27230,27465,3235730,NaN
1,2021-05-18,27764,28532,27297,27965,679630,1.82
2,2021-05-20,27698,28232,27331,27431,369986,-1.91
3,2021-05-21,27431,27898,26630,26630,320702,-2.92
4,2021-05-24,26630,26663,25695,25696,196990,-3.51
5,2021-05-25,25862,26296,25495,25629,130103,-0.26
6,2021-05-26,25762,29566,25662,28466,830014,11.07
7,2021-05-27,28499,35306,27764,31135,2830594,9.38
8,2021-05-28,31736,32570,30701,32036,548741,2.89
9,2021-05-31,32036,32970,31168,31269,279441,-2.39
10,2021-06-01,31469,34105,31168,33905,538016,8.43
11,2021-06-02,33838,36975,32670,35173,710527,3.74
12,2021-06-03,35106,35840,33438,33572,222494,-4.55
13,2021-06-04,32336,32537,31168,31536,436847,-6.06
14,2021-06-07,31202,31202,29600,30201,205831,-4.23
15,2021-06-08,30434,31869,29934,31603,172353,4.64
16,2021-06-09,31402,32003,30034,30568,133320,-3.28
17,2021-06-10,30568,31068,30100,30234,108228,-1.09
18,2021-06-11,30701,30701,29333,29467,100123,-2.54
19,2021-06-14,29767,30301,29400,30201,52556,2.49
20,2021-06-15,30301,30334,29500,30101,79303,-0.33
21,2021-06-16,30201,31435,30000,31236,160166,3.77
22,2021-06-17,31268,32370,30768,32036,146245,2.56
23,2021-06-18,31769,32503,31702,31970,82249,-0.21
24,2021-06-21,31902,31902,30768,31035,65206,-2.92
25,2021-06-22,31535,33204,30835,32937,173122,6.13
26,2021-06-23,33037,33037,31469,31903,171961,-3.14
27,2021-06-24,31602,31702,30901,31135,61352,-2.41
28,2021-06-25,31168,31736,31135,31135,37110,0.0
29,2021-06-28,31001,31302,30601,30935,34694,-0.64
30,2021-06-29,30935,31168,30568,30601,33766,-1.08
31,2021-06-30,31135,31235,30601,30635,38298,0.11
32,2021-07-01,30701,31168,30701,30735,27540,0.33
33,2021-07-02,30734,31068,30367,30501,41497,-0.76
34,2021-07-05,30568,31369,30434,31302,40232,2.63
35,2021-07-06,31435,31435,31035,31069,20239,-0.74
36,2021-07-07,30768,30935,29633,30134,100574,-3.01
37,2021-07-08,30267,30367,29700,29801,34849,-1.11
38,2021-07-09,29667,29667,27931,28366,120840,-4.82
39,2021-07-12,28499,29166,28499,28799,21938,1.53
40,2021-07-13,28799,29466,28699,29333,42977,1.85
41,2021-07-14,29333,29333,28098,28566,62335,-2.61
42,2021-07-15,28565,28866,27230,28633,20178,0.23
43,2021-07-16,28432,28665,28098,28232,30739,-1.4
44,2021-07-19,28065,28098,27497,27698,35060,-1.89
45,2021-07-20,27364,27664,26830,27498,67934,-0.72
46,2021-07-21,27831,27865,27464,27531,24879,0.12
47,2021-07-22,27698,29033,27698,28733,61268,4.37
48,2021-07-23,28732,29500,28565,29033,51570,1.04
49,2021-07-26,28899,28999,28198,28199,21210,-2.87
50,2021-07-27,28165,29066,28098,28699,14466,1.77
