,Date,Open,High,Low,Close,Volume,Change
0,2020-08-05,4500,4550,4300,4350,1924775,NaN
1,2020-08-06,4355,4670,4350,4600,595568,5.75
2,2020-08-07,4600,4635,4555,4590,175776,-0.22
3,2020-08-10,4575,4590,4500,4590,191833,0.0
4,2020-08-11,4615,4650,4555,4640,230088,1.09
5,2020-08-12,4640,4865,4620,4760,215966,2.59
6,2020-08-13,4760,4820,4730,4780,363114,0.42
7,2020-08-14,4775,4785,4710,4760,60409,-0.42
8,2020-08-18,4735,4800,4640,4660,113989,-2.1
9,2020-08-19,4665,4755,4665,4730,68967,1.5
10,2020-08-20,4655,4780,4655,4685,95666,-0.95
11,2020-08-21,4690,4790,4690,4730,23834,0.96
12,2020-08-24,4730,4760,4730,4750,43431,0.42
13,2020-08-25,4750,4775,4740,4760,69237,0.21
14,2020-08-26,4785,4785,4750,4765,34217,0.11
15,2020-08-27,4790,4790,4750,4760,79402,-0.1
16,2020-08-28,4770,4780,4755,4760,34066,0.0
17,2020-08-31,4780,4790,4750,4765,73962,0.11
18,2020-09-01,4780,4780,4705,4760,28649,-0.1
19,2020-09-02,4760,4815,4740,4790,80615,0.63
20,2020-09-03,4770,4800,4755,4765,25542,-0.52
21,2020-09-04,4765,4800,4745,4760,15249,-0.1
22,2020-09-07,4760,4765,4750,4755,28658,-0.11
23,2020-09-08,4765,4780,4755,4765,45583,0.21
24,2020-09-09,4765,4805,4755,4780,24735,0.31
25,2020-09-10,4805,4830,4790,4810,72209,0.63
26,2020-09-11,4815,4820,4790,4810,11710,0.0
27,2020-09-14,4810,4820,4790,4800,28993,-0.21
28,2020-09-15,4800,4800,4780,4790,28848,-0.21
29,2020-09-16,4780,4800,4770,4800,37387,0.21
30,2020-09-17,4785,4805,4770,4785,27168,-0.31
31,2020-09-18,4785,4815,4780,4785,30133,0.0
32,2020-09-21,4785,4790,4780,4785,41376,0.0
33,2020-09-22,4790,4790,4755,4755,31277,-0.63
34,2020-09-23,4760,4790,4735,4750,72796,-0.11
35,2020-09-24,4755,4755,4730,4740,15869,-0.21
36,2020-09-25,4750,4780,4730,4735,38084,-0.11
37,2020-09-28,4745,4770,4720,4750,48107,0.32
38,2020-09-29,4745,4760,4710,4760,48864,0.21
39,2020-10-05,4755,4765,4745,4750,45198,-0.21
