,Date,Open,High,Low,Close,Volume,Change
0,2022-02-21,2130,2150,2120,2130,2416677,NaN
1,2022-02-22,2125,2145,2120,2125,229849,-0.23
2,2022-02-23,2125,2130,2120,2120,90891,-0.24
3,2022-02-24,2120,2130,2110,2115,175707,-0.24
4,2022-02-25,2120,2125,2110,2120,47022,0.24
5,2022-02-28,2110,2120,2110,2115,42535,-0.24
6,2022-03-02,2115,2120,2110,2115,41429,0.0
7,2022-03-03,2110,2120,2110,2115,60992,0.0
8,2022-03-04,2115,2120,2110,2120,30753,0.24
9,2022-03-07,2125,2130,2110,2115,36011,-0.24
10,2022-03-08,2110,2120,2110,2110,14855,-0.24
11,2022-03-10,2110,2115,2110,2110,10774,0.0
12,2022-03-11,2110,2120,2110,2110,11845,0.0
13,2022-03-14,2110,2115,2110,2110,12217,0.0
14,2022-03-15,2110,2115,2110,2110,13469,0.0
15,2022-03-16,2110,2125,2110,2115,11199,0.24
16,2022-03-17,2120,2140,2110,2135,70855,0.95
17,2022-03-18,2120,2130,2115,2125,11206,-0.47
18,2022-03-21,2125,2155,2115,2130,122419,0.24
19,2022-03-22,2130,2135,2125,2130,17249,0.0
20,2022-03-23,2130,2135,2125,2135,18487,0.23
21,2022-03-24,2135,2270,2125,2135,258359,0.0
22,2022-03-25,2130,2145,2130,2145,13137,0.47
23,2022-03-28,2150,2160,2135,2155,30921,0.47
24,2022-03-29,2135,2155,2135,2145,6293,-0.46
25,2022-03-30,2135,2145,2135,2135,3156,-0.47
26,2022-03-31,2145,2145,2135,2140,12431,0.23
27,2022-04-01,2135,2155,2135,2150,23560,0.47
28,2022-04-04,2140,2160,2140,2155,9803,0.23
29,2022-04-05,2160,2185,2155,2180,15929,1.16
30,2022-04-06,2180,2180,2170,2180,9211,0.0
31,2022-04-07,2185,2190,2170,2180,7967,0.0
32,2022-04-08,2190,2195,2175,2190,5650,0.46
33,2022-04-11,2195,2215,2195,2210,35643,0.91
34,2022-04-12,2210,2235,2195,2195,68459,-0.68
35,2022-04-13,2195,2210,2195,2205,5743,0.46
36,2022-04-14,2225,2230,2210,2225,17004,0.91
37,2022-04-15,2225,2260,2210,2240,19597,0.67
38,2022-04-18,2250,2250,2210,2220,11873,-0.89
39,2022-04-19,2240,2240,2200,2205,9868,-0.68
40,2022-04-20,2205,2220,2195,2205,21719,0.0
41,2022-04-21,2210,2215,2205,2210,3614,0.23
42,2022-04-22,2215,2215,2200,2210,7412,0.0
43,2022-04-25,2210,2220,2200,2215,11495,0.23
44,2022-04-26,2215,2235,2210,2220,20012,0.23
45,2022-04-27,2220,2235,2200,2225,17880,0.23
46,2022-04-28,2235,2245,2225,2245,9062,0.9
47,2022-04-29,2245,2255,2225,2255,19047,0.45
48,2022-05-02,2230,2240,2230,2240,5235,-0.67
49,2022-05-03,2240,2250,2235,2240,3947,0.0
50,2022-05-04,2235,2250,2225,2250,13144,0.45
51,2022-05-06,2230,2245,2225,2235,4605,-0.67
52,2022-05-09,2230,2230,2215,2215,7891,-0.89
53,2022-05-10,2205,2215,2195,2210,15630,-0.23
54,2022-05-11,2205,2225,2200,2210,1316,0.0
55,2022-05-12,2210,2250,2185,2190,23938,-0.9
56,2022-05-13,2190,2210,2190,2210,4552,0.91
57,2022-05-16,2215,2215,2190,2210,23553,0.0
58,2022-05-17,2210,2210,2200,2205,9913,-0.23
59,2022-05-18,2210,2210,2200,2200,3453,-0.23
60,2022-05-19,2200,2205,2195,2200,24621,0.0
61,2022-05-20,2210,2220,2195,2215,7492,0.68
62,2022-05-23,2200,2220,2200,2210,24397,-0.23
63,2022-05-24,2220,2220,2200,2210,3380,0.0
64,2022-05-25,2205,2220,2200,2210,9067,0.0
65,2022-05-26,2215,2215,2195,2215,6371,0.23
66,2022-05-27,2195,2220,2195,2215,1038,0.0
67,2022-05-30,2215,2215,2195,2215,11671,0.0
68,2022-05-31,2220,2220,2190,2210,49937,-0.23
69,2022-06-02,2210,2215,2200,2210,1861,0.0
70,2022-06-03,2225,2225,2200,2215,2933,0.23
71,2022-06-07,2220,2220,2200,2215,14484,0.0
72,2022-06-08,2220,2220,2200,2215,9168,0.0
73,2022-06-09,2220,2225,2200,2215,5339,0.0
74,2022-06-10,2220,2220,2195,2200,6158,-0.68
75,2022-06-13,2210,2340,2160,2190,306627,-0.45
76,2022-06-14,2185,2205,2170,2205,15416,0.68
77,2022-06-15,2210,2210,2180,2200,11596,-0.23
78,2022-06-16,2205,2205,2180,2195,3309,-0.23
79,2022-06-17,2205,2205,2170,2175,12806,-0.91
80,2022-06-20,2170,2180,2165,2175,19564,0.0
81,2022-06-21,2185,2185,2165,2180,2937,0.23
82,2022-06-22,2195,2195,2165,2170,5274,-0.46
83,2022-06-23,2165,2170,2130,2155,26604,-0.69
84,2022-06-24,2150,2150,2130,2150,27698,-0.23
85,2022-06-27,2150,2150,2110,2140,2811,-0.47
86,2022-06-28,2150,2155,2135,2150,2634,0.47
87,2022-06-29,2150,2160,2135,2155,8380,0.23
88,2022-06-30,2160,2175,2140,2175,15186,0.93
89,2022-07-01,2185,2185,2145,2170,784,-0.23
90,2022-07-04,2185,2185,2140,2140,1274,-1.38
91,2022-07-05,2175,2175,2135,2145,2355,0.23
92,2022-07-06,2180,2180,2130,2135,8607,-0.47
93,2022-07-07,2135,2150,2135,2145,2385,0.47
94,2022-07-08,2165,2165,2150,2165,1580,0.93
95,2022-07-11,2175,2175,2155,2175,10904,0.46
96,2022-07-12,2175,2175,2160,2160,517,-0.69
97,2022-07-13,2170,2170,2145,2165,2688,0.23
98,2022-07-14,2145,2170,2140,2165,6462,0.0
99,2022-07-15,2175,2200,2145,2180,4461,0.69
100,2022-07-18,2180,2180,2150,2180,2760,0.0
101,2022-07-19,2185,2185,2160,2175,173,-0.23
102,2022-07-20,2185,2185,2160,2170,473,-0.23
103,2022-07-21,2180,2180,2160,2170,3246,0.0
104,2022-07-22,2175,2175,2160,2165,1926,-0.23
105,2022-07-25,2170,2170,2155,2160,5632,-0.23
106,2022-07-26,2170,2170,2155,2155,3247,-0.23
107,2022-07-27,2155,2160,2150,2155,5565,0.0
108,2022-07-28,2175,2175,2155,2160,1568,0.23
109,2022-07-29,2160,2160,2155,2160,9677,0.0
110,2022-08-01,2160,2160,2150,2155,10519,-0.23
111,2022-08-02,2155,2155,2145,2145,1814,-0.46
112,2022-08-03,2155,2160,2145,2160,6515,0.7
113,2022-08-04,2165,2165,2140,2155,1499,-0.23
114,2022-08-05,2160,2160,2145,2150,2844,-0.23
115,2022-08-08,2140,2150,2140,2150,2944,0.0
116,2022-08-09,2150,2150,2140,2140,5029,-0.47
117,2022-08-10,2145,2145,2140,2145,4602,0.23
118,2022-08-11,2140,2145,2140,2145,14818,0.0
119,2022-08-12,2150,2150,2140,2150,6652,0.23
120,2022-08-16,2150,2150,2145,2150,7765,0.0
121,2022-08-17,2155,2155,2145,2155,2132,0.23
122,2022-08-18,2155,2155,2145,2145,7758,-0.46
123,2022-08-19,2155,2160,2145,2160,6762,0.7
124,2022-08-22,2165,2165,2140,2145,8665,-0.69
125,2022-08-23,2135,2155,2135,2145,5418,0.0
126,2022-08-24,2155,2155,2135,2150,2066,0.23
127,2022-08-25,2160,2160,2150,2155,1819,0.23
128,2022-08-26,2155,2155,2145,2155,711,0.0
129,2022-08-29,2150,2155,2135,2155,4878,0.0
130,2022-08-30,2155,2155,2135,2150,2746,-0.23
131,2022-08-31,2155,2155,2130,2145,3392,-0.23
132,2022-09-01,2155,2155,2135,2150,1265,0.23
133,2022-09-02,2155,2155,2135,2150,1463,0.0
134,2022-09-05,2155,2155,2130,2155,9560,0.23
135,2022-09-06,2160,2160,2140,2160,4042,0.23
136,2022-09-07,2160,2160,2140,2160,2091,0.0
137,2022-09-08,2160,2165,2145,2165,1393,0.23
138,2022-09-13,2170,2175,2160,2175,2730,0.46
139,2022-09-14,2175,2180,2155,2175,13763,0.0
140,2022-09-15,2180,2290,2180,2255,148230,3.68
141,2022-09-16,2250,2275,2220,2220,12560,-1.55
142,2022-09-19,2220,2275,2205,2230,54450,0.45
143,2022-09-20,2240,2240,2155,2175,61678,-2.47
144,2022-09-21,2180,2210,2160,2210,10744,1.61
145,2022-09-22,2240,2270,2185,2220,53993,0.45
146,2022-09-23,2190,2250,2190,2230,16855,0.45
147,2022-09-26,2205,2235,2175,2195,18519,-1.57
148,2022-09-27,2215,2215,2160,2175,15566,-0.91
149,2022-09-28,2170,2175,2160,2175,3720,0.0
150,2022-09-29,2155,2175,2150,2150,31143,-1.15
151,2022-09-30,2150,2185,2140,2155,10628,0.23
152,2022-10-04,2150,2170,2150,2150,1423,-0.23
153,2022-10-05,2155,2160,2130,2135,12174,-0.7
154,2022-10-06,2130,2175,2130,2155,4101,0.94
155,2022-10-07,2175,2175,2140,2155,130,0.0
156,2022-10-11,2165,2165,2130,2140,4077,-0.7
157,2022-10-12,2125,2135,2120,2125,22014,-0.7
158,2022-10-13,2130,2140,2105,2105,33510,-0.94
159,2022-10-14,2105,2125,2075,2075,71162,-1.43
160,2022-10-17,2085,2085,2065,2085,8446,0.48
161,2022-10-18,2080,2105,2065,2105,5110,0.96
162,2022-10-19,2100,2105,2100,2105,4019,0.0
163,2022-10-20,2095,2105,2070,2100,22713,-0.24
164,2022-10-21,2090,2095,2065,2090,9422,-0.48
165,2022-10-24,2090,2090,2060,2070,14466,-0.96
166,2022-10-25,2050,2070,2040,2050,1428,-0.97
167,2022-10-26,2040,2045,2030,2035,2634,-0.73
168,2022-10-27,2075,2080,2035,2060,3211,1.23
169,2022-10-28,2040,2060,2035,2055,1277,-0.24
170,2022-10-31,2055,2055,2045,2055,2146,0.0
171,2022-11-01,2040,2065,2035,2060,4683,0.24
172,2022-11-02,2035,2060,2035,2045,3237,-0.73
173,2022-11-03,2030,2040,2030,2035,6315,-0.49
174,2022-11-04,2030,2035,2010,2025,17903,-0.49
175,2022-11-07,2030,2070,2030,2050,2303,1.23
176,2022-11-08,2050,2050,2020,2040,1666,-0.49
177,2022-11-09,2035,2035,2015,2035,6641,-0.25
178,2022-11-10,2030,2035,2025,2035,1171,0.0
179,2022-11-11,2025,2045,2025,2040,4149,0.25
180,2022-11-14,2030,2040,2030,2040,704,0.0
181,2022-11-15,2035,2050,2035,2050,3483,0.49
182,2022-11-16,2030,2050,2030,2050,12835,0.0
183,2022-11-17,2035,2050,2035,2050,445,0.0
184,2022-11-18,2030,2050,2030,2045,1340,-0.24
185,2022-11-21,2045,2045,2025,2045,4634,0.0
186,2022-11-22,2025,2030,2015,2025,2795,-0.98
187,2022-11-23,2025,2025,2005,2025,20693,0.0
188,2022-11-24,2005,2030,2005,2030,3412,0.25
189,2022-11-25,2030,2035,2025,2030,8689,0.0
190,2022-11-28,2025,2035,2025,2030,3213,0.0
191,2022-11-29,2030,2035,2030,2030,3446,0.0
192,2022-11-30,2030,2035,2015,2035,4214,0.25
193,2022-12-01,2035,2040,2030,2040,3773,0.25
194,2022-12-02,2040,2040,2020,2035,1262,-0.25
195,2022-12-05,2040,2045,2000,2020,16111,-0.74
196,2022-12-06,2010,2040,2010,2035,859,0.74
197,2022-12-07,2045,2045,2015,2015,9026,-0.98
198,2022-12-08,2045,2045,2015,2015,6928,0.0
199,2022-12-09,2045,2045,2020,2035,10322,0.99
200,2022-12-12,2020,2035,2010,2015,1712,-0.98
201,2022-12-13,2050,2050,2015,2030,6479,0.74
202,2022-12-14,2045,2075,2015,2030,9554,0.0
203,2022-12-15,2030,2050,2025,2025,3562,-0.25
204,2022-12-16,0,0,0,2025,0,0.0
205,2022-12-19,0,0,0,2025,0,0.0
206,2022-12-20,0,0,0,2025,0,0.0
207,2022-12-21,0,0,0,2025,0,0.0
208,2022-12-22,0,0,0,2025,0,0.0
209,2022-12-23,0,0,0,2025,0,0.0
210,2022-12-26,0,0,0,2025,0,0.0
211,2022-12-27,0,0,0,2025,0,0.0
212,2022-12-28,0,0,0,2025,0,0.0
213,2022-12-29,0,0,0,2025,0,0.0
214,2023-01-02,0,0,0,2025,0,0.0
215,2023-01-03,0,0,0,2025,0,0.0
216,2023-01-04,0,0,0,2025,0,0.0
217,2023-01-05,0,0,0,2025,0,0.0
218,2023-01-06,0,0,0,2025,0,0.0
219,2023-01-09,0,0,0,2025,0,0.0
220,2023-01-10,0,0,0,2025,0,0.0
221,2023-01-11,0,0,0,2025,0,0.0
222,2023-01-12,0,0,0,2025,0,0.0
223,2023-01-13,0,0,0,2025,0,0.0
224,2023-01-16,0,0,0,2025,0,0.0
225,2023-01-17,0,0,0,2025,0,0.0
226,2023-01-18,0,0,0,2025,0,0.0
227,2023-01-19,0,0,0,2025,0,0.0
228,2023-01-20,0,0,0,2025,0,0.0
229,2023-01-25,0,0,0,2025,0,0.0
230,2023-01-26,0,0,0,2025,0,0.0
231,2023-01-27,0,0,0,2025,0,0.0
232,2023-01-30,0,0,0,2025,0,0.0
233,2023-01-31,0,0,0,2025,0,0.0
234,2023-02-01,0,0,0,2025,0,0.0
235,2023-02-02,0,0,0,2025,0,0.0
236,2023-02-03,0,0,0,2025,0,0.0
237,2023-02-06,0,0,0,2025,0,0.0
238,2023-02-07,0,0,0,2025,0,0.0
239,2023-02-08,0,0,0,2025,0,0.0
240,2023-02-09,0,0,0,2025,0,0.0
241,2023-02-10,0,0,0,2025,0,0.0
242,2023-02-13,0,0,0,2025,0,0.0
243,2023-02-14,0,0,0,2025,0,0.0
244,2023-02-15,0,0,0,2025,0,0.0
245,2023-02-16,0,0,0,2025,0,0.0
246,2023-02-17,0,0,0,2025,0,0.0
247,2023-02-20,0,0,0,2025,0,0.0
248,2023-02-21,0,0,0,2025,0,0.0
249,2023-02-22,0,0,0,2025,0,0.0
250,2023-02-23,0,0,0,2025,0,0.0
251,2023-02-24,0,0,0,2025,0,0.0
252,2023-02-27,0,0,0,2025,0,0.0
253,2023-02-28,0,0,0,2025,0,0.0
254,2023-03-02,0,0,0,2025,0,0.0
255,2023-03-03,0,0,0,2025,0,0.0
256,2023-03-06,0,0,0,2025,0,0.0
257,2023-03-07,0,0,0,2025,0,0.0
258,2023-03-08,0,0,0,2025,0,0.0
259,2023-03-09,0,0,0,2025,0,0.0
260,2023-03-10,0,0,0,2025,0,0.0
261,2023-03-13,0,0,0,2025,0,0.0
