,Date,Open,High,Low,Close,Volume,Change
0,2023-03-27,4900,4900,4305,4510,2910963,NaN
1,2023-03-28,4510,4630,4400,4550,693953,0.89
2,2023-03-29,4570,4650,4490,4550,431557,0.0
3,2023-03-30,4550,4600,4505,4560,186828,0.22
4,2023-03-31,4575,4635,4515,4635,200910,1.64
5,2023-04-03,4665,4845,4665,4845,262779,4.53
6,2023-04-04,4805,4890,4785,4855,232815,0.21
7,2023-04-05,4845,5050,4710,5040,461322,3.81
8,2023-04-06,4980,5130,4880,4955,500670,-1.69
9,2023-04-07,4955,4985,4880,4955,94507,0.0
10,2023-04-10,4955,5100,4850,4945,173052,-0.2
11,2023-04-11,4910,4970,4880,4945,174387,0.0
12,2023-04-12,4950,5010,4905,4985,123622,0.81
13,2023-04-13,4985,5090,4900,4985,251315,0.0
14,2023-04-14,4985,5100,4985,5080,180361,1.91
15,2023-04-17,5080,5100,4985,4985,126720,-1.87
16,2023-04-18,4990,5070,4975,4990,78097,0.1
17,2023-04-19,4990,5000,4915,4950,58123,-0.8
18,2023-04-20,4975,5130,4920,5080,327931,2.63
19,2023-04-21,5080,5170,5000,5110,415508,0.59
20,2023-04-24,5110,5200,5010,5200,273858,1.76
21,2023-04-25,5200,5450,5110,5400,483407,3.85
22,2023-04-26,5210,5410,5200,5410,159424,0.19
23,2023-04-27,5180,5360,5180,5300,91478,-2.03
24,2023-04-28,5300,5350,5010,5140,67447,-3.02
25,2023-05-02,5140,5140,5000,5010,70698,-2.53
