,Date,Open,High,Low,Close,Volume,Change
0,2009-12-23,2588,2976,2463,2548,20415430,NaN
1,2009-12-24,2588,2648,2256,2352,3728532,-7.69
2,2009-12-28,2324,2435,2264,2352,1987712,0.0
3,2009-12-29,2341,2406,2303,2304,1124723,-2.04
4,2009-12-30,2289,2344,2222,2304,1964120,0.0
5,2010-01-04,2312,2505,2312,2448,1208960,6.25
6,2010-01-05,2446,2484,2344,2444,632863,-0.16
7,2010-01-06,2575,2771,2547,2587,2791741,5.85
8,2010-01-07,2624,2654,2481,2542,908522,-1.74
9,2010-01-08,2539,2605,2490,2517,457868,-0.98
10,2010-01-11,2516,2648,2516,2538,689434,0.83
11,2010-01-12,2550,2638,2526,2534,447190,-0.16
12,2010-01-13,2519,2533,2400,2401,513096,-5.25
13,2010-01-14,2400,2424,2330,2395,381710,-0.25
14,2010-01-15,2400,2630,2400,2601,950921,8.6
15,2010-01-18,2648,2697,2564,2688,693792,3.34
16,2010-01-19,2722,2749,2627,2695,703142,0.26
17,2010-01-20,2756,2771,2638,2678,959298,-0.63
18,2010-01-21,2654,2687,2575,2618,510445,-2.24
19,2010-01-22,2588,2596,2427,2559,408041,-2.25
20,2010-01-25,2498,2617,2432,2465,388770,-3.67
21,2010-01-26,2526,2526,2268,2318,321952,-5.96
22,2010-01-27,2324,2406,2275,2405,265568,3.75
23,2010-01-28,2427,2427,2330,2367,129828,-1.58
24,2010-01-29,2312,2355,2268,2276,129101,-3.84
25,2010-02-01,2330,2330,1961,2046,638989,-10.11
26,2010-02-02,2061,2097,1998,2052,497858,0.29
27,2010-02-03,2078,2114,2043,2095,196583,2.1
28,2010-02-04,2078,2141,1981,2143,521611,2.29
29,2010-02-05,2092,2092,1995,2074,274774,-3.22
30,2010-02-08,2086,2127,2043,2074,172838,0.0
31,2010-02-09,2072,2075,1988,2070,203079,-0.19
32,2010-02-10,2110,2135,2055,2091,301559,1.01
33,2010-02-11,2092,2219,2092,2168,406102,3.68
34,2010-02-12,2198,2198,2135,2185,146199,0.78
35,2010-02-16,2184,2190,2149,2192,117507,0.32
36,2010-02-17,2208,2310,2184,2297,364258,4.79
37,2010-02-18,2310,2334,2268,2283,201550,-0.61
38,2010-02-19,2281,2365,2271,2339,546997,2.45
39,2010-02-22,2341,2379,2324,2342,327862,0.13
40,2010-02-23,2361,2397,2281,2382,208193,1.71
41,2010-02-24,2379,2406,2261,2395,1537582,0.55
42,2010-02-25,2406,2459,2358,2399,331051,0.17
43,2010-02-26,2397,2397,2348,2388,81197,-0.46
44,2010-03-02,2424,2449,2386,2432,215812,1.84
45,2010-03-03,2435,2449,2406,2423,131909,-0.37
46,2010-03-04,2449,2449,2361,2423,123751,0.0
47,2010-03-05,2397,2418,2334,2356,246337,-2.77
48,2010-03-08,2352,2361,2306,2364,236992,0.34
49,2010-03-09,2361,2421,2327,2416,117210,2.2
50,2010-03-10,2414,2435,2379,2419,80019,0.12
51,2010-03-11,2418,2455,2393,2419,264703,0.0
52,2010-03-12,2441,2512,2439,2511,276079,3.8
53,2010-03-15,2526,2526,2463,2499,169105,-0.48
54,2010-03-16,2498,2508,2453,2472,156761,-1.08
55,2010-03-17,2498,2505,2427,2468,181432,-0.16
56,2010-03-18,2467,2495,2414,2458,194299,-0.41
57,2010-03-19,2406,2467,2406,2444,80343,-0.57
58,2010-03-22,2441,2441,2400,2423,82308,-0.86
59,2010-03-23,2427,2463,2390,2465,174881,1.73
60,2010-03-24,2488,2488,2414,2462,112692,-0.12
61,2010-03-25,2441,2467,2406,2437,158192,-1.02
62,2010-03-26,2410,2446,2365,2440,128246,0.12
63,2010-03-29,2432,2459,2400,2437,109921,-0.12
64,2010-03-30,2449,2588,2427,2513,404174,3.12
65,2010-03-31,2533,2571,2470,2517,455442,0.16
66,2010-04-01,2516,2544,2470,2527,104387,0.4
67,2010-04-02,2533,2544,2484,2486,115216,-1.62
68,2010-04-05,2455,2484,2365,2444,167944,-1.69
69,2010-04-06,2414,2455,2386,2423,69552,-0.86
70,2010-04-07,2421,2441,2365,2391,154162,-1.32
71,2010-04-08,2406,2406,2338,2399,115978,0.33
72,2010-04-09,2406,2435,2383,2431,54421,1.33
73,2010-04-12,2463,2484,2400,2475,164921,1.81
74,2010-04-13,2495,2516,2455,2475,158915,0.0
75,2010-04-14,2476,2498,2449,2496,45133,0.85
76,2010-04-15,2505,2519,2470,2506,37162,0.4
77,2010-04-16,2505,2505,2406,2444,103471,-2.47
78,2010-04-19,2439,2441,2406,2409,55312,-1.43
79,2010-04-20,2435,2439,2386,2423,52123,0.58
80,2010-04-21,2453,2453,2393,2440,115081,0.7
81,2010-04-22,2463,2463,2421,2450,51779,0.41
82,2010-04-23,2449,2453,2418,2432,118571,-0.73
83,2010-04-26,2439,2449,2372,2437,69269,0.21
84,2010-04-27,2435,2441,2400,2437,70116,0.0
85,2010-04-28,2427,2427,2352,2401,50561,-1.48
86,2010-04-29,2427,2427,2355,2370,27705,-1.29
87,2010-04-30,2365,2441,2303,2444,156717,3.12
88,2010-05-03,2441,2441,2355,2409,82421,-1.43
89,2010-05-04,2406,2418,2358,2409,17780,0.0
90,2010-05-06,2344,2406,2344,2391,30549,-0.75
91,2010-05-07,2338,2375,2254,2370,58505,-0.88
92,2010-05-10,2330,2446,2317,2426,83854,2.36
93,2010-05-11,2512,2512,2397,2419,145214,-0.29
94,2010-05-12,2427,2427,2344,2374,94936,-1.86
95,2010-05-13,2393,2393,2317,2335,95431,-1.64
96,2010-05-14,2317,2352,2303,2321,64020,-0.6
97,2010-05-17,2306,2344,2268,2307,31139,-0.6
98,2010-05-18,2306,2306,2256,2304,48543,-0.13
99,2010-05-19,2268,2358,2198,2335,39273,1.35
100,2010-05-20,2334,2352,2296,2333,51608,-0.09
101,2010-05-24,2330,2330,2254,2290,163822,-1.84
102,2010-05-25,2324,2324,2100,2192,45574,-4.28
103,2010-05-26,2215,2317,2159,2227,43022,1.6
104,2010-05-27,2198,2275,2176,2227,13386,0.0
105,2010-05-28,2225,2355,2225,2307,60684,3.59
106,2010-05-31,2355,2355,2292,2325,24607,0.78
107,2010-06-01,2358,2358,2281,2325,41744,0.0
108,2010-06-03,2330,2358,2296,2321,88720,-0.17
109,2010-06-04,2303,2334,2299,2318,35698,-0.13
110,2010-06-07,2317,2441,2261,2325,46980,0.3
111,2010-06-08,2352,2352,2264,2318,87120,-0.3
112,2010-06-09,2317,2317,2240,2311,17431,-0.3
113,2010-06-10,2261,2317,2256,2301,33567,-0.43
114,2010-06-11,2306,2338,2264,2304,42293,0.13
115,2010-06-14,2306,2338,2264,2297,20556,-0.3
116,2010-06-15,2296,2303,2264,2276,57642,-0.91
117,2010-06-16,2303,2310,2264,2294,36551,0.79
118,2010-06-17,2317,2317,2256,2266,39987,-1.22
119,2010-06-18,2289,2289,2219,2266,56880,0.0
120,2010-06-21,2268,2271,2232,2269,46077,0.13
121,2010-06-22,2281,2310,2243,2255,146789,-0.62
122,2010-06-23,2254,2275,2219,2231,209423,-1.06
123,2010-06-24,2254,2268,2212,2241,78147,0.45
124,2010-06-25,2219,2254,2212,2255,89397,0.62
125,2010-06-28,2261,2278,2225,2280,75332,1.11
126,2010-06-29,2278,2285,2184,2227,62144,-2.32
127,2010-06-30,2243,2243,2187,2234,21652,0.31
128,2010-07-01,2198,2256,2198,2227,6673,-0.31
129,2010-07-02,2236,2236,2190,2213,18057,-0.63
130,2010-07-05,2198,2232,2190,2234,28623,0.95
131,2010-07-06,2240,2240,2187,2234,17261,0.0
132,2010-07-07,2232,2232,2198,2227,8784,-0.31
133,2010-07-08,2232,2232,2146,2185,81765,-1.89
134,2010-07-09,2219,2219,2139,2182,36769,-0.14
135,2010-07-12,2194,2194,2124,2136,44946,-2.11
136,2010-07-13,2135,2187,2127,2164,48192,1.31
137,2010-07-14,2212,2225,2135,2185,27773,0.97
138,2010-07-15,2184,2198,2159,2189,16769,0.18
139,2010-07-16,2194,2194,2132,2154,19383,-1.6
140,2010-07-19,2153,2153,1831,2101,47094,-2.46
141,2010-07-20,2100,2184,2037,2064,39538,-1.76
142,2010-07-21,2092,2092,2020,2033,51638,-1.5
143,2010-07-22,2078,2078,1947,2035,68314,0.1
144,2010-07-23,2023,2058,2002,2042,25546,0.34
145,2010-07-26,2034,2041,1978,2025,23844,-0.83
146,2010-07-27,2023,2023,1988,2011,8767,-0.69
147,2010-07-28,1988,1995,1940,1997,38309,-0.7
148,2010-07-29,2020,2020,1961,1965,16175,-1.6
149,2010-07-30,1954,2092,1954,2039,73092,3.77
150,2010-08-02,2037,2078,2009,2042,12150,0.15
151,2010-08-03,2023,2048,1995,2025,17671,-0.83
152,2010-08-04,2051,2051,1963,2014,32238,-0.54
153,2010-08-05,2023,2048,1981,2007,66013,-0.35
154,2010-08-06,1985,2012,1968,1997,53764,-0.5
155,2010-08-09,2020,2020,1968,2011,16956,0.7
156,2010-08-10,2029,2029,1978,1990,7264,-1.04
157,2010-08-11,1988,2023,1954,1993,27733,0.15
158,2010-08-12,1992,2016,1884,2018,74671,1.25
159,2010-08-13,2012,2016,1974,2011,15328,-0.35
160,2010-08-16,1985,2023,1954,1984,73891,-1.34
161,2010-08-17,1995,1995,1947,1969,40548,-0.76
162,2010-08-18,1985,1995,1915,1986,45042,0.86
163,2010-08-19,1971,1998,1943,1986,73320,0.0
164,2010-08-20,1992,1992,1954,1984,11957,-0.1
165,2010-08-23,1954,1968,1900,1944,102906,-2.02
166,2010-08-24,1954,1954,1919,1944,38956,0.0
167,2010-08-25,1940,1954,1884,1944,65049,0.0
168,2010-08-26,1974,1974,1919,1944,29572,0.0
169,2010-08-27,1922,1988,1912,1941,77414,-0.15
170,2010-08-30,1940,1954,1919,1927,50962,-0.72
171,2010-08-31,1932,1936,1778,1850,271448,-4.0
172,2010-09-01,1856,1898,1807,1843,513396,-0.38
173,2010-09-02,1845,1876,1827,1843,70714,0.0
174,2010-09-03,1856,1870,1803,1833,138342,-0.54
175,2010-09-06,1841,1841,1761,1773,257499,-3.27
176,2010-09-07,1772,1831,1743,1830,222126,3.21
177,2010-09-08,1814,1841,1741,1781,229407,-2.68
178,2010-09-09,1792,1814,1765,1815,50407,1.91
179,2010-09-10,1814,1835,1782,1794,69585,-1.16
180,2010-09-13,1789,1827,1769,1794,72217,0.0
181,2010-09-14,1792,1807,1734,1769,149281,-1.39
182,2010-09-15,1775,1782,1720,1738,68024,-1.75
183,2010-09-16,1758,1758,1709,1732,51557,-0.35
184,2010-09-17,1729,1765,1702,1767,63872,2.02
185,2010-09-20,1775,1775,1737,1745,17212,-1.25
186,2010-09-24,1743,1747,1716,1738,33241,-0.4
187,2010-09-27,1741,1782,1716,1742,78352,0.23
188,2010-09-28,1741,1782,1729,1763,106188,1.21
189,2010-09-29,1761,1775,1743,1777,90830,0.79
190,2010-09-30,1775,1786,1755,1781,57543,0.23
191,2010-10-01,1761,1814,1761,1815,88972,1.91
192,2010-10-04,1841,1863,1807,1830,100090,0.83
193,2010-10-05,1827,1852,1803,1840,57607,0.55
194,2010-10-06,1870,1880,1821,1871,85993,1.68
195,2010-10-07,1870,1887,1814,1868,31196,-0.16
196,2010-10-08,1863,1880,1817,1843,21520,-1.34
197,2010-10-11,1831,1856,1821,1847,29448,0.22
198,2010-10-12,1845,1863,1807,1815,36120,-1.73
199,2010-10-13,1800,1838,1800,1812,26748,-0.17
200,2010-10-14,1821,1849,1792,1819,61115,0.39
201,2010-10-15,1814,1841,1807,1843,28276,1.32
202,2010-10-18,1841,1880,1827,1875,187967,1.74
203,2010-10-19,1856,1887,1849,1868,75503,-0.37
204,2010-10-20,1845,2009,1845,2011,161838,7.66
205,2010-10-21,2023,2114,1971,2014,212789,0.15
206,2010-10-22,1981,2023,1968,2014,137343,0.0
207,2010-10-25,2058,2075,1981,1986,110796,-1.39
208,2010-10-26,2009,2009,1954,1979,33500,-0.35
