,Date,Open,High,Low,Close,Volume,Change
0,2021-03-16,15000,17450,13550,14350,50935624,NaN
1,2021-03-17,14150,14950,13750,14050,11310377,-2.09
2,2021-03-18,14900,16300,14500,15050,28336219,7.12
3,2021-03-19,14400,15250,14250,14550,5557836,-3.32
4,2021-03-22,14700,15100,14000,14350,4358077,-1.37
5,2021-03-23,15350,16100,14350,14650,12315616,2.09
6,2021-03-24,14350,14450,13850,13950,2602734,-4.78
7,2021-03-25,13950,14200,13550,13800,2149226,-1.08
8,2021-03-26,13750,13900,12900,13000,2686876,-5.8
9,2021-03-29,12900,12900,12050,12100,2447845,-6.92
10,2021-03-30,12700,13050,12250,12250,3420983,1.24
11,2021-03-31,11600,11950,11250,11250,3052273,-8.16
12,2021-04-01,11150,12100,10750,11300,3926633,0.44
13,2021-04-02,11400,12200,11350,11600,2935630,2.65
14,2021-04-05,11350,11500,10750,10750,1991461,-7.33
15,2021-04-06,10800,10850,9980,10150,2753017,-5.58
16,2021-04-07,10150,10600,10000,10200,1693687,0.49
17,2021-04-08,10400,11000,10200,10700,2445826,4.9
18,2021-04-09,10700,12750,10700,12000,8213327,12.15
19,2021-04-12,11900,12900,11750,11850,3478905,-1.25
20,2021-04-13,11950,12600,11900,12150,2060234,2.53
21,2021-04-14,12100,12150,11400,11400,2005294,-6.17
22,2021-04-15,11550,12450,11350,11700,2745628,2.63
23,2021-04-16,11650,13600,11650,12900,8954054,10.26
24,2021-04-19,12900,13300,12450,12950,3084598,0.39
25,2021-04-20,13250,13400,12750,13100,2040712,1.16
26,2021-04-21,12950,13300,12400,12650,2284678,-3.44
27,2021-04-22,12700,13050,12600,12600,1234997,-0.4
28,2021-04-23,12500,13100,12500,13000,1472648,3.17
29,2021-04-26,12900,13900,12750,13400,3089051,3.08
30,2021-04-27,13250,14450,13200,14000,4607148,4.48
31,2021-04-28,14100,14250,13100,13300,1672967,-5.0
32,2021-04-29,13700,14200,13300,13350,1778108,0.38
33,2021-04-30,13650,13850,13100,13400,1384317,0.37
34,2021-05-03,13400,13650,12400,12550,1370102,-6.34
35,2021-05-04,12500,12700,11800,12250,889177,-2.39
36,2021-05-06,12200,12250,11750,11950,631547,-2.45
37,2021-05-07,11900,12550,11900,12200,703518,2.09
38,2021-05-10,12200,12600,12150,12550,462382,2.87
39,2021-05-11,12400,12600,11650,11800,1105200,-5.98
40,2021-05-12,11700,11750,10800,11250,1694352,-4.66
41,2021-05-13,10950,11700,10700,11350,792077,0.89
42,2021-05-14,11350,11600,11050,11100,835828,-2.2
43,2021-05-17,11600,12300,11450,12050,1340667,8.56
44,2021-05-18,12200,12500,11750,12400,928302,2.9
45,2021-05-20,12650,12700,11650,11750,1016667,-5.24
46,2021-05-21,12000,12250,11750,11900,663896,1.28
47,2021-05-24,11900,12500,11900,12000,632907,0.84
48,2021-05-25,12100,12150,11550,11950,482491,-0.42
49,2021-05-26,12000,12100,11650,11850,382294,-0.84
50,2021-05-27,11750,12000,11650,11950,400450,0.84
51,2021-05-28,12250,12350,12000,12200,484907,2.09
52,2021-05-31,12250,12700,12050,12400,827746,1.64
53,2021-06-01,12450,12500,12000,12100,511057,-2.42
54,2021-06-02,12050,12250,11900,11950,433862,-1.24
55,2021-06-03,11900,12100,11800,12050,414681,0.84
56,2021-06-04,12050,12200,11850,12100,397180,0.41
57,2021-06-07,12150,12350,11700,11850,885254,-2.07
58,2021-06-08,11850,12150,11700,11800,648501,-0.42
59,2021-06-09,11850,11950,11100,11200,1055743,-5.08
60,2021-06-10,11150,11550,11150,11300,541841,0.89
61,2021-06-11,11200,11450,11100,11200,454093,-0.88
62,2021-06-14,11350,11500,11150,11300,629725,0.89
63,2021-06-15,11300,11300,10950,11000,585110,-2.65
64,2021-06-16,10550,10750,10450,10500,1456081,-4.55
65,2021-06-17,10550,10950,10300,10900,976410,3.81
66,2021-06-18,10850,11000,10650,10950,484421,0.46
67,2021-06-21,10950,11000,10800,10900,451581,-0.46
68,2021-06-22,10900,10950,10500,10700,659231,-1.83
69,2021-06-23,10700,10750,10300,10500,893631,-1.87
70,2021-06-24,10500,10700,10300,10400,550507,-0.95
71,2021-06-25,10500,10650,10400,10450,395473,0.48
