일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,630,635,625,632,272468,172,,
2024-03-12,631,635,625,630,414342,261,,
2024-03-11,624,633,620,630,379458,238,,
2024-03-08,626,630,622,624,494091,309,,
2024-03-07,636,638,625,625,659666,415,,
2024-03-06,640,643,635,636,598225,381,,
2024-03-05,650,650,640,641,190832,123,,
2024-03-04,642,658,641,647,494962,322,,
2024-02-29,642,647,638,641,647954,415,,
2024-02-28,642,649,641,642,367470,237,,
2024-02-27,653,655,638,642,1230397,791,,
2024-02-26,663,664,647,655,715742,468,,
2024-02-23,675,675,656,662,1160151,767,,
2024-02-22,666,680,666,670,581422,391,,
2024-02-21,670,680,666,666,648142,434,,
2024-02-20,683,687,674,674,549624,373,,
2024-02-19,671,687,669,677,688413,465,,
2024-02-16,683,684,668,671,942549,635,,
2024-02-15,684,686,674,685,587873,399,,
2024-02-14,671,692,666,686,1244923,848,,
2024-02-13,665,676,662,671,859248,577,,
2024-02-08,657,667,657,664,515947,342,,
2024-02-07,660,665,655,663,648389,427,,
2024-02-06,668,669,654,660,887195,586,,
2024-02-05,681,681,663,665,894956,599,,
2024-02-02,668,679,668,676,706727,477,,
2024-02-01,661,677,656,669,1052129,704,,
2024-01-31,669,675,654,663,1585674,1048,,
2024-01-30,686,699,665,670,1680690,1143,,
2024-01-29,703,713,686,689,2826518,1971,,
2024-01-26,686,697,681,696,993895,686,,
2024-01-25,699,702,680,686,2036641,1401,,
2024-01-24,701,712,695,699,2042551,1434,,
2024-01-23,708,725,699,700,2646680,1877,,
2024-01-22,715,734,697,716,6151798,4412,,
2024-01-19,735,760,711,718,5041797,3708,,
2024-01-18,760,791,728,753,9593508,7224,,
2024-01-17,750,869,740,770,46364164,37379,,
2024-01-16,878,950,770,770,103938871,90694,,
2024-01-15,681,843,658,770,86708466,67284,,
2024-01-12,658,678,653,664,2571927,1714,,
2024-01-11,652,656,648,651,337366,219,,
2024-01-10,661,669,650,650,1010168,666,,
2024-01-09,646,675,643,655,1564585,1030,,
2024-01-08,662,663,647,648,687798,448,,
2024-01-05,665,668,655,659,1241695,822,,
2024-01-04,662,726,656,680,8876225,6086,,
2024-01-03,647,648,640,645,287619,186,,
2024-01-02,643,649,640,647,301128,194,,
2023-12-28,634,644,634,641,336487,215,,
2023-12-27,640,643,632,635,372185,236,4,0.00
2023-12-26,644,645,634,637,459113,293,,
2023-12-22,650,651,640,644,395221,254,,
2023-12-21,654,654,646,650,476413,309,,
2023-12-20,651,655,647,650,324233,211,,
2023-12-19,660,660,645,650,420080,273,,
2023-12-18,655,657,650,655,168527,110,,
2023-12-15,643,655,643,652,500367,325,,
2023-12-14,648,659,639,641,678291,437,,
2023-12-13,658,662,645,646,606394,394,,
2023-12-12,658,662,655,657,323028,212,,
2023-12-11,658,666,654,658,402744,266,,
2023-12-08,652,661,651,660,254025,167,,
2023-12-07,662,663,650,651,569995,373,,
2023-12-06,665,669,660,664,332696,221,,
2023-12-05,669,673,663,663,551895,368,,
2023-12-04,677,677,664,670,537088,360,,
2023-12-01,679,680,667,667,749533,505,,
2023-11-30,678,682,672,679,346893,235,,
2023-11-29,700,710,673,676,1534403,1051,,
2023-11-28,685,690,677,679,469237,319,,
2023-11-27,694,701,685,685,594084,410,,
2023-11-24,684,715,681,698,707354,492,,
2023-11-23,693,699,681,684,629171,434,,
2023-11-22,705,710,692,692,785716,548,,
2023-11-21,698,708,693,706,543487,381,,
2023-11-20,681,703,680,696,1090922,757,,
2023-11-17,677,687,665,681,1332221,899,,
2023-11-16,683,687,675,681,769105,523,,
2023-11-15,676,684,671,683,1205511,819,,
2023-11-14,695,697,676,678,1483919,1013,,
2023-11-13,672,708,666,684,2369991,1614,,
2023-11-10,679,682,664,667,1036014,695,,
2023-11-09,686,691,662,680,1293694,876,,
2023-11-08,699,714,683,687,2399696,1679,,
2023-11-07,756,759,705,713,3137090,2269,,
2023-11-06,771,771,743,754,2741711,2067,,
2023-11-03,776,785,746,767,2790485,2134,,
2023-11-02,761,786,760,776,3132238,2425,,
2023-11-01,784,803,756,773,5086348,3967,,
2023-10-31,790,794,740,746,6022354,4631,,
2023-10-30,749,850,745,813,21553421,17577,,
2023-10-27,770,774,732,749,3545862,2663,,
2023-10-26,808,820,753,759,5601558,4327,,
2023-10-25,750,839,746,790,8626605,6913,,
2023-10-24,750,784,720,770,5124831,3823,,
2023-10-23,831,846,770,781,7337544,5830,,
2023-10-20,902,965,815,833,28444116,25465,,
2023-10-19,845,1033,845,887,107119782,102642,,
2023-10-18,834,897,794,850,18107531,15357,,
2023-10-17,830,912,804,831,31000313,26397,,
2023-10-16,805,915,721,796,56172526,47606,,
2023-10-13,715,843,694,762,28222737,22206,,
2023-10-12,728,728,690,710,2615211,1862,,
2023-10-11,670,748,663,728,7064317,5010,,
2023-10-10,682,749,662,720,17188223,12272,,
2023-10-06,609,626,609,622,399209,246,,
2023-10-05,624,627,614,618,240478,149,,
2023-10-04,640,644,615,623,425183,264,,
2023-09-27,634,642,628,641,232275,147,,
2023-09-26,636,644,628,635,222278,141,,
2023-09-25,657,658,635,640,244576,158,,
2023-09-22,650,663,650,657,266253,175,,
2023-09-21,678,678,652,660,389283,257,,
2023-09-20,683,688,675,678,172930,117,,
2023-09-19,694,697,677,683,456849,314,,
2023-09-18,700,705,693,696,228279,159,,
2023-09-15,695,712,688,699,581498,407,,
2023-09-14,682,692,678,685,347279,237,,
2023-09-13,725,725,680,686,981965,690,,
2023-09-12,692,704,679,704,1111605,768,,
2023-09-11,693,700,687,692,309159,214,,
2023-09-08,690,701,680,696,554509,383,,
2023-09-07,690,710,667,697,1437993,992,,
2023-09-06,692,728,679,682,1855982,1295,,
2023-09-05,666,676,665,675,206597,138,,
2023-09-04,675,677,663,667,255101,171,,
2023-09-01,670,679,662,674,429785,289,,
2023-08-31,671,680,666,671,282233,189,,
2023-08-30,675,675,664,671,328876,221,,
2023-08-29,672,679,665,669,418939,281,,
2023-08-28,646,671,646,670,551292,365,,
2023-08-25,653,657,645,645,182132,118,,
2023-08-24,645,658,645,658,304161,198,,
2023-08-23,639,648,639,645,360043,232,,
2023-08-22,640,646,633,644,243416,155,,
