일자,시가,고가,저가,종가,거래량,거래대금,수정주가구분,수정비율
2024-03-13,5830,5890,5760,5820,65178,380,,
2024-03-12,5890,5890,5790,5830,58438,340,,
2024-03-11,5820,5920,5790,5830,36161,212,,
2024-03-08,5710,5880,5710,5820,41951,244,,
2024-03-07,5750,5810,5640,5700,52836,300,,
2024-03-06,5800,5880,5700,5750,44909,259,,
2024-03-05,5870,5900,5800,5800,48742,285,,
2024-03-04,5840,5980,5840,5900,38358,227,,
2024-02-29,5900,5930,5800,5820,30491,178,,
2024-02-28,5910,6010,5850,5860,32004,189,,
2024-02-27,6000,6080,5870,5910,68150,404,,
2024-02-26,6080,6130,6010,6050,43431,263,,
2024-02-23,6210,6240,5990,6080,155006,940,,
2024-02-22,6190,6230,6090,6210,48007,297,,
2024-02-21,6130,6270,6130,6150,72478,450,,
2024-02-20,6210,6250,6150,6180,104419,646,,
2024-02-19,6260,6290,6170,6230,99620,621,,
2024-02-16,6200,6330,6130,6240,251506,1568,,
2024-02-15,5940,6770,5940,6190,3060198,19789,,
2024-02-14,5830,5950,5820,5940,21116,124,,
2024-02-13,5940,5960,5780,5920,26135,155,,
2024-02-08,6150,6150,5930,5930,134805,811,,
2024-02-07,5700,5840,5680,5840,50759,297,,
2024-02-06,5780,5780,5640,5710,20478,116,,
2024-02-05,5740,5970,5700,5740,77845,451,,
2024-02-02,5560,5720,5560,5690,41355,234,,
2024-02-01,5480,5560,5400,5560,39027,214,,
2024-01-31,5510,5610,5440,5480,83304,458,,
2024-01-30,5680,5740,5590,5590,78870,444,,
2024-01-29,5680,5750,5620,5730,36622,208,,
2024-01-26,5680,5780,5630,5700,30139,172,,
2024-01-25,5780,5790,5620,5680,50075,284,,
2024-01-24,5870,5920,5770,5780,26608,155,,
2024-01-23,5840,5950,5820,5890,22536,132,,
2024-01-22,6080,6080,5850,5890,64990,385,,
2024-01-19,5980,6100,5980,6040,40837,247,,
2024-01-18,5770,6110,5730,6000,169845,989,,
2024-01-17,6040,6040,5860,5900,47555,281,,
2024-01-16,6130,6170,6030,6040,18547,113,,
2024-01-15,6060,6220,6050,6110,25914,158,,
2024-01-12,6280,6280,6060,6090,46475,285,,
2024-01-11,6240,6320,6230,6240,29268,184,,
2024-01-10,6370,6370,6240,6280,22466,141,,
2024-01-09,6370,6380,6230,6330,47599,299,,
2024-01-08,6290,6340,6200,6320,32287,203,,
2024-01-05,6290,6320,6040,6280,36910,229,,
2024-01-04,6340,6340,6200,6290,35413,221,,
2024-01-03,6280,6360,6230,6340,29953,188,,
2024-01-02,6400,6400,6260,6360,27102,172,,
2023-12-28,6370,6410,6260,6360,36000,227,,
2023-12-27,6340,6410,6270,6370,57183,364,4,0.00
2023-12-26,6330,6370,6250,6350,52785,334,,
2023-12-22,6140,6410,6100,6320,121321,764,,
2023-12-21,6160,6260,6100,6140,55023,339,,
2023-12-20,6120,6180,6120,6170,32335,199,,
2023-12-19,6130,6160,6080,6140,29402,180,,
2023-12-18,6180,6180,6110,6130,19922,122,,
2023-12-15,6100,6190,6080,6130,45788,281,,
2023-12-14,6100,6110,6030,6070,51926,315,,
2023-12-13,6180,6180,6060,6070,39727,242,,
2023-12-12,6080,6180,6030,6170,79008,483,,
2023-12-11,6170,6170,6060,6100,73485,448,,
2023-12-08,6020,6170,6000,6100,92586,564,,
2023-12-07,5900,6480,5900,6040,881839,5455,,
2023-12-06,5860,5920,5850,5890,24231,142,,
2023-12-05,6000,6000,5830,5880,44553,262,,
2023-12-04,6030,6030,5930,5980,26644,159,,
2023-12-01,6010,6070,5950,6010,35595,214,,
2023-11-30,5950,6040,5950,6030,37706,227,,
2023-11-29,5980,5990,5900,5950,33955,201,,
2023-11-28,6000,6000,5950,5980,14083,84,,
2023-11-27,6040,6040,5950,5990,23770,142,,
2023-11-24,6090,6090,5990,6050,22499,136,,
2023-11-23,6120,6120,6040,6070,26105,159,,
2023-11-22,6060,6110,6020,6100,16506,100,,
2023-11-21,6100,6140,6030,6090,57710,350,,
2023-11-20,6100,6120,6060,6110,25856,158,,
2023-11-17,6030,6090,6000,6090,28494,173,,
2023-11-16,6080,6130,5990,6080,35802,217,,
2023-11-15,6100,6140,6010,6040,45777,278,,
2023-11-14,5790,6000,5790,5990,32109,191,,
2023-11-13,5820,5900,5670,5790,33907,197,,
2023-11-10,5740,5810,5650,5810,18912,108,,
2023-11-09,5800,5910,5740,5790,16624,96,,
2023-11-08,5860,5890,5780,5820,24529,143,,
2023-11-07,5930,5930,5700,5860,34443,200,,
2023-11-06,5740,5940,5740,5930,72910,427,,
2023-11-03,5560,5700,5540,5640,21827,122,,
2023-11-02,5410,5560,5400,5560,27051,149,,
2023-11-01,5360,5470,5290,5350,32614,175,,
2023-10-31,5600,5600,5290,5340,51307,276,,
2023-10-30,5410,5570,5410,5570,20150,111,,
2023-10-27,5450,5620,5380,5480,28956,159,,
2023-10-26,5570,5570,5400,5450,27922,152,,
2023-10-25,5670,5700,5580,5630,18493,104,,
2023-10-24,5540,5640,5360,5640,47936,263,,
2023-10-23,5520,5660,5450,5480,46128,255,,
2023-10-20,5710,5760,5400,5600,87563,486,,
2023-10-19,5910,5910,5720,5780,42142,243,,
2023-10-18,5960,6000,5900,5920,21397,127,,
2023-10-17,5900,6000,5900,5950,36830,219,,
2023-10-16,5960,5970,5790,5860,60377,353,,
2023-10-13,6160,6230,6010,6060,41585,253,,
2023-10-12,6100,6230,6100,6180,47632,294,,
2023-10-11,5990,6120,5910,6100,41106,249,,
2023-10-10,6070,6160,5900,5940,58960,355,,
2023-10-06,5770,6110,5770,6100,32790,197,,
2023-10-05,5830,6270,5810,5870,179324,1070,,
2023-10-04,6000,6050,5810,5810,64498,379,,
2023-09-27,5850,6070,5850,6070,20606,123,,
2023-09-26,6140,6150,5900,5960,58022,348,,
2023-09-25,6190,6230,6080,6140,34487,211,,
2023-09-22,6150,6270,6110,6230,32186,199,,
2023-09-21,6370,6410,6240,6280,67953,428,,
2023-09-20,6470,6520,6400,6420,49494,319,,
2023-09-19,6530,6580,6470,6510,47217,307,,
2023-09-18,6700,6700,6510,6580,23317,154,,
2023-09-15,6570,6700,6570,6640,34306,228,,
2023-09-14,6530,6630,6500,6630,42657,280,,
2023-09-13,6550,6650,6510,6550,51493,338,,
2023-09-12,6650,6750,6560,6610,50968,337,,
2023-09-11,6610,6680,6570,6620,41629,275,,
2023-09-08,6530,6650,6530,6610,40831,269,,
2023-09-07,6750,6760,6570,6580,56823,376,,
2023-09-06,6800,6850,6740,6750,41107,279,,
2023-09-05,6740,6940,6740,6820,46699,319,,
2023-09-04,6780,6840,6750,6780,35242,239,,
