일자,개인,외국인,기관,금융투자,보험,투신,기타금융,은행,연기금등,사모펀드,기타법인
2024-03-13,-7193,1038,6491,-9378,0,35869,-20000,0,0,0,0
2024-03-12,-1896,-26754,28350,-26079,0,54429,0,0,0,0,300
2024-03-11,101427,-129964,27001,1981,0,25020,0,0,0,0,1000
2024-03-08,-347349,197015,146175,1386,0,149883,-5094,0,0,0,4569
2024-03-07,29586,-109692,80291,-1457,0,81748,0,0,0,0,0
2024-03-06,-81964,-9890,92056,670,0,91386,0,0,0,0,-202
2024-03-05,-83067,4578,78289,6784,0,71505,0,0,0,0,0
2024-03-04,-27826,-7376,43202,-483,0,43685,0,0,0,0,0
2024-02-29,-83131,32696,60655,3208,0,57447,0,0,0,0,-20
2024-02-28,-11583,3950,11033,11033,0,0,0,0,0,0,-3
2024-02-27,47292,-46924,-333,-333,0,0,0,0,0,0,0
2024-02-26,29528,-44979,14951,4816,0,10135,0,0,0,0,500
2024-02-23,46122,-45155,-167,-167,0,0,0,0,0,0,-800
2024-02-22,32777,-34844,2167,2167,0,0,0,0,0,0,0
2024-02-21,30777,-47212,16404,-1195,0,17599,0,0,0,0,0
2024-02-20,59269,-83414,22609,12935,0,9674,0,0,0,0,775
2024-02-19,-171216,100385,67529,-4021,0,71550,0,0,0,0,0
2024-02-16,14403,-6172,-4151,-4151,0,0,0,0,0,0,-4080
2024-02-15,-52734,3871,50464,7992,0,42472,0,0,0,0,-1600
2024-02-14,-8099,-8973,17072,-1363,0,18435,0,0,0,0,0
2024-02-13,-104146,50375,49771,17001,0,32770,0,0,0,0,0
2024-02-08,-49993,32517,17200,-13,0,17213,0,0,0,0,50
2024-02-07,-80462,78898,-268,-268,0,0,0,0,0,0,1
2024-02-06,58837,-59863,994,994,0,0,0,0,0,0,1
2024-02-05,-6589,5581,4196,4196,0,0,0,0,0,0,-3544
2024-02-02,14114,-28552,14882,14882,0,0,0,0,0,0,0
2024-02-01,-132023,88196,40033,-5227,0,45260,0,0,0,0,3649
2024-01-31,-26417,1094,21700,198,0,21502,0,0,0,0,3623
2024-01-30,-728,-18276,18652,2025,0,16627,0,0,0,0,0
2024-01-29,-86591,41878,43080,-5843,0,48923,0,0,0,0,0
2024-01-26,-27149,26858,163,163,0,0,0,0,0,0,50
2024-01-25,16107,-16443,196,196,0,0,0,0,0,0,6
2024-01-24,-111,264,-167,-167,0,0,0,0,0,0,-10
2024-01-23,76022,-34209,-41708,677,-42385,0,0,0,0,0,1000
2024-01-22,3217,-17869,14652,416,0,14236,0,0,0,0,0
2024-01-19,-68986,25526,43450,-6694,0,50144,0,0,0,0,10
2024-01-18,2592,-5880,2788,2788,0,0,0,0,0,0,500
2024-01-17,45432,-50155,3296,3296,0,0,0,0,0,0,0
2024-01-16,9495,-8693,505,-253,0,758,0,0,0,0,-1307
2024-01-15,831,-11525,11194,-585,0,13779,-2000,0,0,0,0
2024-01-12,29790,-31395,1605,1605,0,0,0,0,0,0,0
2024-01-11,68530,-73566,630,630,0,0,0,0,0,0,4465
2024-01-10,29455,-73555,44098,44098,0,0,0,0,0,0,0
2024-01-09,-119963,-41885,176726,176726,0,0,0,0,0,0,-15294
2024-01-08,-257886,46421,252783,252783,0,0,0,0,0,0,-40250
2024-01-05,318638,-494827,235054,235054,0,0,0,0,0,0,-58243
2024-01-04,-64454,-171390,268212,268212,0,0,0,0,0,0,-35483
2024-01-03,-307389,106840,245695,245695,0,0,0,0,0,0,-43609
