,Date,Open,High,Low,Close,Volume,Change
0,2000-01-04,729,759,729,760,30,-8.32
1,2000-01-05,725,850,690,732,96,-3.68
2,2000-01-06,739,741,739,741,5,1.23
3,2000-01-07,748,748,748,748,0,0.94
4,2000-01-10,837,837,759,760,2,1.6
5,2000-01-11,771,850,771,851,11,11.97
6,2000-01-12,943,943,920,921,9,8.23
7,2000-01-13,851,920,810,810,23,-12.05
8,2000-01-14,810,897,810,898,4,10.86
9,2000-01-17,790,793,790,791,63,-11.92
10,2000-01-18,805,847,696,714,65,-9.73
11,2000-01-19,716,799,713,799,67,11.9
12,2000-01-20,851,873,739,739,3,-7.51
13,2000-01-21,805,805,669,670,8,-9.34
14,2000-01-24,749,749,667,679,28,1.34
15,2000-01-25,759,759,759,760,5,11.93
16,2000-01-26,850,850,850,851,124,11.97
17,2000-01-27,952,952,952,952,36,11.87
18,2000-01-28,1066,1066,1064,1065,113,11.87
19,2000-01-31,937,1172,937,937,336,-12.02
20,2000-02-01,937,943,937,944,12,0.75
21,2000-02-02,831,1013,831,1013,39,7.31
22,2000-02-03,900,920,897,898,85,-11.35
23,2000-02-07,909,943,909,939,145,4.57
24,2000-02-08,1036,1036,828,990,71,5.43
25,2000-02-09,871,965,871,966,177,-2.42
26,2000-02-10,861,964,861,965,29,-0.1
27,2000-02-11,886,980,886,981,87,1.66
28,2000-02-14,1010,1010,1010,1011,1,3.06
29,2000-02-15,891,965,891,966,6,-4.45
30,2000-02-16,897,942,897,943,2,-2.38
31,2000-02-17,897,897,897,898,1,-4.77
32,2000-02-18,932,1004,909,1005,188,11.92
33,2000-02-21,1120,1123,1082,1124,111,11.84
34,2000-02-22,1243,1243,1036,1080,45,-3.91
35,2000-02-23,1208,1208,950,951,56,-11.94
36,2000-02-24,964,1059,943,944,174,-0.74
37,2000-02-25,921,1056,921,1057,178,11.97
38,2000-02-28,1174,1183,1174,1183,115,11.92
39,2000-02-29,1042,1323,1042,1324,120,11.92
40,2000-03-02,1482,1482,1482,1483,31,12.01
41,2000-03-03,1659,1659,1305,1305,38,-12.0
42,2000-03-06,1450,1461,1450,1462,91,12.03
43,2000-03-07,1634,1636,1611,1637,202,11.97
44,2000-03-08,1832,1832,1795,1833,291,11.97
45,2000-03-09,2051,2051,1616,2051,506,11.89
46,2000-03-10,2295,2295,2051,2296,355,11.95
47,2000-03-13,2567,2567,2567,2567,47,11.8
48,2000-03-14,2866,2866,2866,2866,49,11.65
